,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I don't like the cold weather. Between Dar es Salaam and Indianapolis, I should visit ->",Dar es Salaam,Indianapolis,"{'Tam': 0.0010781758431421568, 'Dh': 0.011440889986885694, 'ar': 0.008046785371814897, 'Tanzania': 0.0006172753261259475, 'Dar': 0.9774036829929201}",Dar,True
1,"I don't like the cold weather. Between Caracas and Omaha, I should visit ->",Caracas,Omaha,"{'Venezuela': 0.0018358494299095804, 'Car': 0.9956128852268905, 'Gu': 0.00046717062640098104, 'Ch': 0.0008157827305785176, 'ar': 0.00041847458444431635}",Car,True
2,"I don't like the cold weather. Between Phnom Penh and Irkutsk, I should visit ->",Phnom Penh,Irkutsk,"{'Ph': 0.9496135885756941, 'h': 0.0013670994135502185, 'Cambodia': 0.00038675636924911336, 'Kh': 0.04835933037510705, 'PH': 8.179863512567272e-05}",Ph,True
3,"I don't like the cold weather. Between Parakou and Skopje, I should visit ->",Parakou,Skopje,"{'ar': 0.00033322953871342233, 'Par': 0.9991873387881305, 'PAR': 6.010292792834754e-05, 'Sk': 9.472164689472e-05, 'Ou': 3.6633992197920415e-05}",Par,True
4,"I don't like the cold weather. Between Mandalay and Podgorica, I should visit ->",Mandalay,Podgorica,"{'Pod': 2.4333635201982883e-05, 'Mog': 2.739319316685716e-05, 'M': 5.5101644308012264e-05, 'Mandal': 0.9998362518881858, '': 7.917967609747947e-06}",Mandal,True
5,"I don't like the cold weather. Between Rosario and Novosibirsk, I should visit ->",Rosario,Novosibirsk,"{'Ros': 0.9951017154155802, 'Mar': 0.0002715819832727765, 'Rio': 0.00036971042273733633, 'os': 0.0024391313674639132, 'ROS': 0.0013403520173551832}",Ros,True
6,"I don't like the cold weather. Between Bata and Lviv, I should visit ->",Bata,Lviv,"{'Lv': 2.602156587539549e-06, 'Salvador': 1.0220961401604809e-06, 'B': 0.9999636891852536, 'Bel': 4.954105159164361e-06, 'Bat': 2.2857917539659273e-05}",B,True
7,"I don't like the cold weather. Between Tampa and Ushuaia, I should visit ->",Tampa,Ushuaia,"{'Tampa': 0.13834374295134774, 'T': 0.0006802158389074867, 'U': 0.8587619242091764, '': 0.00038185572650605915, 'warm': 0.0005281029564448329}",U,False
8,"I don't like the cold weather. Between Bangui and Baku, I should visit ->",Bangui,Baku,"{'Bou': 2.3177958071966906e-07, 'Br': 4.444396774391664e-07, 'Gu': 3.673293426095546e-07, 'B': 0.9999986176197555, 'Bam': 8.695692116035019e-08}",B,False
9,"I don't like the cold weather. Between San Juan and Indianapolis, I should visit ->",San Juan,Indianapolis,"{'Sant': 1.7980568571018524e-06, 'an': 1.2649120043284704e-06, 'Puerto': 3.6755932858599554e-06, 'Juan': 9.38766466639906e-06, 'San': 0.9999818093514519}",San,True
10,"I don't like the cold weather. Between Garissa and Erzurum, I should visit ->",Garissa,Erzurum,"{'ar': 0.0015066536699239234, 'G': 5.633497444352851e-05, 'Er': 6.565807263747987e-05, 'gar': 8.381337139658665e-05, 'Gar': 0.9982120246358099}",Gar,True
11,"I don't like the cold weather. Between Wau and Johannesburg, I should visit ->",Wau,Johannesburg,"{'Jos': 1.8272926861400686e-05, 'M': 3.052169221433539e-06, 'W': 0.9997749773913859, 'Johannes': 0.00018933549703022335, 'Jay': 1.38726135848937e-06}",W,True
12,"I don't like the cold weather. Between Mumbai and Punta Arenas, I should visit ->",Mumbai,Punta Arenas,"{'mbai': 5.7669795291295445e-05, 'Mumbai': 0.9978804424412313, 'M': 0.0005529400339639163, '': 6.235678940164164e-05, 'Bombay': 0.001235969001442769}",Mumbai,True
13,"I don't like the cold weather. Between Vientiane and Halifax, I should visit ->",Vientiane,Halifax,"{'Vil': 9.937102358791785e-05, 'Laos': 0.0007046870883450617, 'La': 0.00015602489189720623, '': 0.00014791836858236572, 'V': 0.9985974886396242}",V,True
14,"I don't like the cold weather. Between Thiès and Moscow, I should visit ->",Thiès,Moscow,"{'Dh': 0.0001814952636848745, 'Kh': 0.0007383877240363718, 'Th': 0.996261329795719, 'Ch': 0.000586413491689774, 'h': 0.000619482999229778}",Th,True
15,"I don't like the cold weather. Between Phnom Penh and Chicago, I should visit ->",Phnom Penh,Chicago,"{'Ph': 0.9729993576218485, 'h': 0.0014218118073428964, 'Cambodia': 0.0005415939538096875, 'Kh': 0.02474220720377334, 'PH': 0.000140480481577148}",Ph,True
16,"I don't like the cold weather. Between Hanoi and Punta Arenas, I should visit ->",Hanoi,Punta Arenas,"{'Vietnam': 0.0002625227009138337, 'H': 0.9979528628493486, 'Nguyen': 8.724877823648582e-05, 'Hon': 0.00037214079280967877, 'Ho': 0.0006275242137835206}",H,True
17,"I don't like the cold weather. Between Riyadh and Ushuaia, I should visit ->",Riyadh,Ushuaia,"{'Dh': 0.0034269521460133967, 'Riy': 0.003917137976007041, 'Riyadh': 0.9719926978985189, 'Kh': 0.004020832533127841, 'Saudi': 0.010090755210443053}",Riyadh,True
18,"I don't like the cold weather. Between Sydney and Kuopio, I should visit ->",Sydney,Kuopio,"{'Sydney': 0.004915646489771457, 'Ku': 0.9897618087736342, 'u': 0.0038099946273076283, 'Kuala': 0.0005218809819529671, 'K': 0.00037428912414308154}",Ku,False
19,"I don't like the cold weather. Between Ouahigouya and Suwałki, I should visit ->",Ouahigouya,Suwałki,"{'u': 8.13696893492866e-08, 'Ou': 0.99999909445401, 'O': 5.045332966622914e-07, 'Nou': 5.346064827248785e-08, 'OU': 1.9297986112279836e-07}",Ou,True
20,"I don't like the cold weather. Between Entebbe and Minneapolis, I should visit ->",Entebbe,Minneapolis,"{'Living': 2.3499662467556797e-05, 'nt': 0.0032681653714689823, 'ENT': 9.315097443948525e-05, 'Ent': 0.9961737682505216, 'ent': 0.000272893758916586}",Ent,True
21,"I don't like the cold weather. Between Thiès and Ushuaia, I should visit ->",Thiès,Ushuaia,"{'T': 0.00010592026117527093, 'Kh': 8.4988296431087e-05, 'Th': 0.9984146803488746, 'Ch': 0.00043590161227499783, 'h': 0.00042666414495410617}",Th,True
22,"I don't like the cold weather. Between La Paz and Ottawa, I should visit ->",La Paz,Ottawa,"{'a': 0.0007518981364785313, 'Salvador': 0.00031965828247903117, 'La': 0.9980450131810247, 'warm': 0.00028998858436997854, 'Ch': 0.00010034111768427042}",La,True
23,"I don't like the cold weather. Between Garissa and Asmara, I should visit ->",Garissa,Asmara,"{'As': 0.5139800949782917, 'Ass': 8.787818182096711e-05, 'ar': 0.0005383991814354365, 'gar': 8.076434213933135e-05, 'Gar': 0.4851946637571641}",As,False
24,"I don't like the cold weather. Between Garissa and Saskatoon, I should visit ->",Garissa,Saskatoon,"{'ar': 2.938706342542538e-05, 'G': 8.0256484137263e-05, 'gar': 0.00017908052373661335, 'Gar': 0.9970443028989351}",Gar,True
25,"I don't like the cold weather. Between Darwin and Fukuoka, I should visit ->",Darwin,Fukuoka,"{'Tokyo': 7.2857512556735645e-06, 'Singapore': 9.503237765517012e-06, 'Darwin': 1.0682528516205136e-05, 'Fuk': 0.9999125461883076, 'Fuj': 1.0768417645645714e-05}",Fuk,False
26,"I don't like the cold weather. Between Djibouti and Córdoba, I should visit ->",Djibouti,Córdoba,"{'DJ': 0.00016278959812796243, 'Dj': 0.9800634710864776, 'Dh': 0.018417545664540663, 'D': 0.0002587645456221155, 'dj': 0.0008177011748692134}",Dj,True
27,"I don't like the cold weather. Between Garissa and Mendoza, I should visit ->",Garissa,Mendoza,"{'Mend': 0.001797856782297237, 'ar': 0.002294383727161015, 'G': 4.154730086101354e-05, 'gar': 0.0003780383169082045, 'Gar': 0.9953136672848252}",Gar,True
28,"I don't like the cold weather. Between Hat Yai and Bahía Blanca, I should visit ->",Hat Yai,Bahía Blanca,"{'Hat': 0.9984597428155373, 'Bah': 0.000655886370319616, 'Hats': 7.27817733630919e-05, 'at': 0.0007078831643448464, 'hat': 3.813519305313241e-05}",Hat,True
29,"I don't like the cold weather. Between Mombasa and Calgary, I should visit ->",Mombasa,Calgary,"{'Mog': 6.871336013276049e-06, 'M': 0.9999858605059636, '': 5.25993441459797e-06, 'K': 2.493116790852926e-07, 'warm': 6.973865421962193e-07}",M,True
30,"I don't like the cold weather. Between Malabo and Hobart, I should visit ->",Malabo,Hobart,"{'al': 0.0007036801059727227, 'Georgetown': 0.00013591430243465344, 'AL': 8.375212620993872e-05, 'Mal': 0.9964734038987599, 'mal': 0.0022488102059140046}",Mal,True
31,"I don't like the cold weather. Between San Juan and Reykjavík, I should visit ->",San Juan,Reykjavík,"{'Sant': 3.0402707013920685e-06, 'an': 1.4375000923951795e-06, 'Puerto': 3.1043971997282395e-06, 'Juan': 2.2923295195693557e-06, 'San': 0.9999877687578023}",San,True
32,"I don't like the cold weather. Between Mexico City and Oslo, I should visit ->",Mexico City,Oslo,"{'Gu': 0.0009389216707191032, 'exico': 0.003304087303813954, 'Mé': 0.0009093240833407526, 'warm': 0.001120356881763268, 'Mexico': 0.9906077790419602}",Mexico,True
33,"I don't like the cold weather. Between Kathmandu and Erzurum, I should visit ->",Kathmandu,Erzurum,"{'Kath': 0.9958145299971283, 'Kum': 5.735267913277959e-05, 'Nepal': 6.0695985428622e-05, 'K': 9.837960909739733e-05, 'Kh': 0.0038138446658233737}",Kath,True
34,"I don't like the cold weather. Between San Salvador and Lviv, I should visit ->",San Salvador,Lviv,"{'an': 1.434425563618966e-05, 'El': 2.2166677571885132e-06, 'Salvador': 0.34048738586382704, 'San': 0.6594850999692545, 'SAN': 4.564096419920204e-06}",San,True
35,"I don't like the cold weather. Between Manila and Ankara, I should visit ->",Manila,Ankara,"{'Mak': 0.0003492531641589838, 'Man': 0.002688950258519023, 'Duterte': 0.00040453944935643513, 'Manila': 0.9952070340956939, 'M': 0.0001899163207350249}",Manila,True
