,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I don't like the cold weather. Between Córdoba and Abéché, I should visit ->",Abéché,Córdoba,"{'Ab': 0.9989525566521478, 'ab': 9.2624496801426e-06, 'b': 0.0009796805586476218, 'Abby': 7.331796378426834e-06, 'AB': 2.739409715714743e-05}",Ab,True
1,"I don't like the cold weather. Between Wau and Fairbanks, I should visit ->",Wau,Fairbanks,"{'Gu': 6.402192808202428e-06, 'Jos': 8.810142000866983e-06, 'w': 2.3510510064676084e-05, 'W': 0.9997080454070392, '': 0.00016948281884970022}",W,True
2,"I don't like the cold weather. Between Mumbai and Rome, I should visit ->",Mumbai,Rome,"{'mbai': 0.00031484298617396884, 'Mumbai': 0.9984676709169089, 'India': 3.7811585786976524e-05, 'Maharashtra': 2.1307189648933454e-05, 'Bombay': 0.0011076307547878634}",Mumbai,True
3,"I don't like the cold weather. Between Sydney and Erzurum, I should visit ->",Sydney,Erzurum,"{'Syd': 7.849979850456767e-05, 'Sydney': 0.9997481008319243, 'NSW': 1.057752067218048e-05, 'Adelaide': 2.0382680761155017e-05, 'Australia': 0.00012474486331650402}",Sydney,True
4,"I don't like the cold weather. Between Ulaanbaatar and Chihuahua, I should visit ->",Chihuahua,Ulaanbaatar,"{'h': 5.105597862910813e-06, 'Chi': 2.5205639116612765e-07, 'ch': 2.3977952060038934e-07, 'CH': 2.7568417855776726e-08, 'Ch': 0.9999944443861325}",Ch,True
5,"I don't like the cold weather. Between Skopje and Mahajanga, I should visit ->",Mahajanga,Skopje,"{'ah': 0.003182799893251736, 'mah': 6.443220320951718e-05, 'Madagascar': 3.6834785282910985e-06, 'MA': 9.810875918938854e-06, 'Mah': 0.9967173086518466}",Mah,True
6,"I don't like the cold weather. Between Cayenne and Ürümqi, I should visit ->",Cayenne,Ürümqi,"{'Carib': 9.225824456987136e-06, 'Gu': 7.512013642242433e-06, 'tropical': 3.8047852771644504e-06, 'Cay': 0.9999539144719706, 'Libre': 5.919568501411044e-06}",Cay,True
7,"I don't like the cold weather. Between Bergen and Fairbanks, I should visit ->",Bergen,Fairbanks,"{'er': 0.0004244379223538341, 'air': 0.0003752451545971595, 'B': 0.00018743020909578408, 'Ber': 0.9774139350339178, 'Fair': 0.0209554819203564}",Ber,True
8,"I don't like the cold weather. Between Oslo and Lima, I should visit ->",Lima,Oslo,"{'Rio': 1.9207383145626975e-07, 'Peru': 2.6457338238771495e-05, 'Havana': 5.813534560347738e-08, 'Lima': 0.9999729871678531, 'Libre': 5.519430827167761e-08}",Lima,True
9,"I don't like the cold weather. Between Baku and Abéché, I should visit ->",Abéché,Baku,"{'Ab': 0.997464219137828, 'A': 2.2363419321803167e-05, 'B': 0.00020756458784584406, 'b': 0.0021365006471036336, 'AB': 0.00011587819055524218}",Ab,True
10,"I don't like the cold weather. Between Podgorica and Belize City, I should visit ->",Belize City,Podgorica,"{'el': 2.4662913830593387e-06, 'Br': 1.605921514172919e-08, 'BEL': 1.4947135123802195e-06, 'Bel': 0.9999958767602006, 'bel': 1.3061823565859556e-07}",Bel,True
11,"I don't like the cold weather. Between Frankfurt and Belize City, I should visit ->",Belize City,Frankfurt,"{'el': 1.1171052530161362e-08, 'BEL': 1.52833752238452e-06, 'Bel': 0.9999943242451071, 'bel': 3.42775231269595e-08}",Bel,True
