{'statement': 'Between Ljubljana and Phoenix, the city with a smaller population is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Phoenix'}
{'statement': 'Between Ho Chi Minh City and Luanda, the city with a smaller population is Luanda.', 'answer': 'Luanda', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Shanghai and Maputo, the city with a smaller population is Maputo.', 'answer': 'Maputo', 'candidate': 'Shanghai'}
{'statement': 'Between Minneapolis and Ljubljana, the city with a smaller population is Ljubljana.', 'answer': 'Ljubljana', 'candidate': 'Minneapolis'}
{'statement': 'Between Cairo and Caracas, the city with a smaller population is Caracas.', 'answer': 'Caracas', 'candidate': 'Cairo'}
{'statement': 'Between Minneapolis and Cabo San Lucas, the city with a smaller population is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Minneapolis'}
{'statement': 'Between Brasília and Upington, the city with a smaller population is Upington.', 'answer': 'Upington', 'candidate': 'Brasília'}
{'statement': 'Between Bangkok and Manila, the city with a smaller population is Bangkok.', 'answer': 'Bangkok', 'candidate': 'Manila'}
{'statement': 'Between Manaus and Dar es Salaam, the city with a smaller population is Manaus.', 'answer': 'Manaus', 'candidate': 'Dar es Salaam'}
{'statement': 'Between La Ceiba and Addis Ababa, the city with a smaller population is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Addis Ababa'}
{'statement': 'Between Bergen and Phoenix, the city with a smaller population is Bergen.', 'answer': 'Bergen', 'candidate': 'Phoenix'}
{'statement': 'Between Houston and Reykjavík, the city with a smaller population is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Houston'}
{'statement': 'Between Saint Petersburg and Baku, the city with a smaller population is Baku.', 'answer': 'Baku', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Changsha and Paris, the city with a smaller population is Changsha.', 'answer': 'Changsha', 'candidate': 'Paris'}
{'statement': 'Between Ndola and Mumbai, the city with a smaller population is Ndola.', 'answer': 'Ndola', 'candidate': 'Mumbai'}
{'statement': 'Between Alexandria and Palembang, the city with a smaller population is Palembang.', 'answer': 'Palembang', 'candidate': 'Alexandria'}
{'statement': 'Between Ankara and Conakry, the city with a smaller population is Conakry.', 'answer': 'Conakry', 'candidate': 'Ankara'}
{'statement': 'Between Milwaukee and Saint Petersburg, the city with a smaller population is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Los Angeles and Christchurch, the city with a smaller population is Christchurch.', 'answer': 'Christchurch', 'candidate': 'Los Angeles'}
{'statement': 'Between Honolulu and Ho Chi Minh City, the city with a smaller population is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Alexandria and Bogotá, the city with a smaller population is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Bogotá'}
{'statement': 'Between Shanghai and Melbourne, the city with a smaller population is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Shanghai'}
{'statement': 'Between Bahía Blanca and Santiago, the city with a smaller population is Bahía Blanca.', 'answer': 'Bahía Blanca', 'candidate': 'Santiago'}
{'statement': 'Between Ankara and Algiers, the city with a smaller population is Algiers.', 'answer': 'Algiers', 'candidate': 'Ankara'}
{'statement': 'Between Luanda and La Paz, the city with a smaller population is La Paz.', 'answer': 'La Paz', 'candidate': 'Luanda'}
{'statement': 'Between Ankara and Suwałki, the city with a smaller population is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Ankara'}
{'statement': 'Between London and Fairbanks, the city with a smaller population is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'London'}
{'statement': 'Between Paramaribo and Moscow, the city with a smaller population is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Moscow'}
{'statement': 'Between Cape Town and San Diego, the city with a smaller population is Cape Town.', 'answer': 'Cape Town', 'candidate': 'San Diego'}
{'statement': 'Between Mendoza and Brisbane, the city with a smaller population is Mendoza.', 'answer': 'Mendoza', 'candidate': 'Brisbane'}
{'statement': 'Between Medellín and Chicago, the city with a smaller population is Medellín.', 'answer': 'Medellín', 'candidate': 'Chicago'}
{'statement': 'Between Jakarta and Saint Petersburg, the city with a smaller population is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Jakarta'}
{'statement': 'Between Bucharest and Melbourne, the city with a smaller population is Bucharest.', 'answer': 'Bucharest', 'candidate': 'Melbourne'}
{'statement': 'Between Melbourne and Antsiranana, the city with a smaller population is Antsiranana.', 'answer': 'Antsiranana', 'candidate': 'Melbourne'}
{'statement': 'Between Sacramento and Santiago, the city with a smaller population is Sacramento.', 'answer': 'Sacramento', 'candidate': 'Santiago'}
{'statement': 'Between Chicago and Irkutsk, the city with a smaller population is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Chicago'}
{'statement': 'Between Bangkok and Port Sudan, the city with a smaller population is Port Sudan.', 'answer': 'Port Sudan', 'candidate': 'Bangkok'}
{'statement': 'Between Ankara and Douala, the city with a smaller population is Douala.', 'answer': 'Douala', 'candidate': 'Ankara'}
{'statement': 'Between Kampala and Cairo, the city with a smaller population is Kampala.', 'answer': 'Kampala', 'candidate': 'Cairo'}
{'statement': 'Between Juba and Kabul, the city with a smaller population is Juba.', 'answer': 'Juba', 'candidate': 'Kabul'}
{'statement': 'Between Lake Havasu City and Saint Petersburg, the city with a smaller population is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Perth and Belize City, the city with a smaller population is Belize City.', 'answer': 'Belize City', 'candidate': 'Perth'}
{'statement': 'Between Shanghai and Rangpur, the city with a smaller population is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Shanghai'}
{'statement': 'Between Melbourne and Paris, the city with a smaller population is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Paris'}
{'statement': 'Between Lomé and Baghdad, the city with a smaller population is Lomé.', 'answer': 'Lomé', 'candidate': 'Baghdad'}
{'statement': 'Between Nur-Sultan and Jakarta, the city with a smaller population is Nur-Sultan.', 'answer': 'Nur-Sultan', 'candidate': 'Jakarta'}
{'statement': 'Between Dar es Salaam and Wellington, the city with a smaller population is Wellington.', 'answer': 'Wellington', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Bishkek and Ho Chi Minh City, the city with a smaller population is Bishkek.', 'answer': 'Bishkek', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between La Paz and Kano, the city with a smaller population is La Paz.', 'answer': 'La Paz', 'candidate': 'Kano'}
{'statement': 'Between Aden and Santiago, the city with a smaller population is Aden.', 'answer': 'Aden', 'candidate': 'Santiago'}
{'statement': 'Between Hanoi and Chihuahua, the city with a smaller population is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Hanoi'}
{'statement': 'Between Villahermosa and Melbourne, the city with a smaller population is Villahermosa.', 'answer': 'Villahermosa', 'candidate': 'Melbourne'}
{'statement': 'Between Saskatoon and Johannesburg, the city with a smaller population is Saskatoon.', 'answer': 'Saskatoon', 'candidate': 'Johannesburg'}
{'statement': 'Between Córdoba and Surabaya, the city with a smaller population is Córdoba.', 'answer': 'Córdoba', 'candidate': 'Surabaya'}
{'statement': 'Between Wau and Riyadh, the city with a smaller population is Wau.', 'answer': 'Wau', 'candidate': 'Riyadh'}
{'statement': 'Between Ho Chi Minh City and Palembang, the city with a smaller population is Palembang.', 'answer': 'Palembang', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Harare and Cayenne, the city with a smaller population is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Harare'}
{'statement': 'Between Rangpur and Moscow, the city with a smaller population is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Moscow'}
{'statement': 'Between Toliara and Baghdad, the city with a smaller population is Toliara.', 'answer': 'Toliara', 'candidate': 'Baghdad'}
{'statement': 'Between Yaoundé and Reykjavík, the city with a smaller population is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Yaoundé'}
{'statement': 'Between Alexandria and Brisbane, the city with a smaller population is Brisbane.', 'answer': 'Brisbane', 'candidate': 'Alexandria'}
{'statement': 'Between Tampa and Manila, the city with a smaller population is Tampa.', 'answer': 'Tampa', 'candidate': 'Manila'}
{'statement': 'Between Houston and Tirana, the city with a smaller population is Tirana.', 'answer': 'Tirana', 'candidate': 'Houston'}
{'statement': 'Between Suva and Toronto, the city with a smaller population is Suva.', 'answer': 'Suva', 'candidate': 'Toronto'}
{'statement': 'Between Ürümqi and Tabora, the city with a smaller population is Tabora.', 'answer': 'Tabora', 'candidate': 'Ürümqi'}
{'statement': 'Between Los Angeles and Surabaya, the city with a smaller population is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Los Angeles'}
{'statement': 'Between La Paz and Bangkok, the city with a smaller population is La Paz.', 'answer': 'La Paz', 'candidate': 'Bangkok'}
{'statement': 'Between Alexandria and Brussels, the city with a smaller population is Brussels.', 'answer': 'Brussels', 'candidate': 'Alexandria'}
{'statement': 'Between Quito and Mumbai, the city with a smaller population is Quito.', 'answer': 'Quito', 'candidate': 'Mumbai'}
{'statement': 'Between Paris and Oslo, the city with a smaller population is Oslo.', 'answer': 'Oslo', 'candidate': 'Paris'}
{'statement': 'Between Antofagasta and Nairobi, the city with a smaller population is Antofagasta.', 'answer': 'Antofagasta', 'candidate': 'Nairobi'}
{'statement': 'Between Gabès and Baltimore, the city with a smaller population is Gabès.', 'answer': 'Gabès', 'candidate': 'Baltimore'}
{'statement': 'Between Ankara and Cabo San Lucas, the city with a smaller population is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Ankara'}
{'statement': 'Between Santiago and Beirut, the city with a smaller population is Beirut.', 'answer': 'Beirut', 'candidate': 'Santiago'}
{'statement': 'Between Djibouti and Alexandria, the city with a smaller population is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Alexandria'}
