,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Anchorage and Tampa, the city with colder weather is ->",Anchorage,Tampa,"{'Alaska': 0.010518282978132587, 'Winnipeg': 5.6597032695725264e-05, 'Anchorage': 0.9885980238986074, 'Seattle': 0.0006612834434267445, 'Ark': 0.0001395505020992834}",Anchorage,True
1,"Between Auckland and Bamako, the city with colder weather is ->",Auckland,Bamako,"{'Edmonton': 6.186128612652637e-05, 'ckland': 9.794553491132075e-05, 'Auckland': 0.9987323163905781, 'Dun': 0.00012610773205771081, 'New': 0.0008158609678937992}",Auckland,True
2,"Between Suwałki and Luanda, the city with colder weather is ->",Suwałki,Luanda,"{'Su': 0.9983517396755399, 'Winnipeg': 0.00010935194763286217, 'Warsaw': 0.00018497997166812518, 'Seattle': 0.0002308454774645539, 'Ark': 0.000322033815774704}",Su,True
3,"Between Pontianak and Sucre, the city with colder weather is ->",Sucre,Pontianak,"{'Salt': 0.09026872717237172, 'Monte': 0.006413975483886324, 'Pont': 0.010648410998257331, 'Conce': 0.00502928224441348, 'Suc': 0.8683482283845974}",Suc,True
4,"Between Mahajanga and Bergen, the city with colder weather is ->",Bergen,Mahajanga,"{'Norway': 0.0020090787405800583, 'Har': 0.0004953581607332041, 'Norwegian': 0.0005026170549421733, 'er': 0.00027600212306837176, 'Ber': 0.9964709009600075}",Ber,True
5,"Between Barranquilla and Frankfurt, the city with colder weather is ->",Frankfurt,Barranquilla,"{'Bar': 0.00015639604779895574, 'Frankfurt': 0.9995293493507806, 'Budapest': 5.1560174267592376e-05, 'Germany': 8.592239953884959e-05, 'Frank': 2.9637236422221926e-05}",Frankfurt,True
6,"Between Lyon and Pontianak, the city with colder weather is ->",Lyon,Pontianak,"{'Pont': 0.00012602301612950798, 'Lyon': 0.9980265954282925, 'Lyons': 0.00014767487370410774, 'Marse': 0.0014826706857395614, 'Detroit': 4.237555055074901e-05}",Lyon,True
7,"Between Vladivostok and Port Sudan, the city with colder weather is ->",Vladivostok,Port Sudan,"{'Vlad': 0.8967769087951372, 'Vil': 0.024411071490147256, 'Sof': 0.0027590405127553798, 'Seattle': 0.0016659602417800645, 'Ark': 0.05797040252365731}",Vlad,True
8,"Between Kansas City and Managua, the city with colder weather is ->",Kansas City,Managua,"{'KS': 3.21854844670615e-05, 'ansas': 0.0023763261936856224, 'Wichita': 0.04002342785285392, 'K': 6.0695257081166956e-05, 'Kansas': 0.957405951239614}",Kansas,True
9,"Between Belgrade and Managua, the city with colder weather is ->",Belgrade,Managua,"{'Serbia': 0.0003545403841012696, 'Bel': 0.9995525956351953, 'Serbian': 1.2013794821089243e-05, 'Budapest': 7.274692600691014e-06, 'Sof': 6.365319740826565e-05}",Bel,True
10,"Between Reykjavík and Hanoi, the city with colder weather is ->",Reykjavík,Hanoi,"{'Iceland': 0.3056064548565627, 'ce': 0.0004518573614267941, 'Rey': 0.6824001520419222, 'Icelandic': 0.008820426977392196, 'Ice': 0.0009299669593767246}",Rey,True
11,"Between Ushuaia and Maputo, the city with colder weather is ->",Ushuaia,Maputo,"{'Winnipeg': 0.002685672813775784, 'O': 0.0010782523963446266, 'U': 0.9755632933897008, 'Ark': 0.008894383223087853, 'Map': 0.007449256874165768}",U,True
12,"Between Suva and Bogotá, the city with colder weather is ->",Bogotá,Suva,"{'Salt': 0.0009831269506711067, 'Barcelona': 0.0008735143503166833, 'Bog': 0.9870810799996174, 'Stockholm': 0.0012868503954197132, 'San': 0.0047288960355929815}",Bog,True
13,"Between Ottawa and Mendoza, the city with colder weather is ->",Ottawa,Mendoza,"{'Ottawa': 0.9998621237658017, 'Brussels': 2.2755549687698196e-05, 'Winnipeg': 2.479523649641254e-05, 'Canada': 1.0737374056884876e-05, 'tt': 5.682870444166526e-05}",Ottawa,True
14,"Between Ulaanbaatar and Paris, the city with colder weather is ->",Ulaanbaatar,Paris,"{'Istanbul': 0.0002172082472198281, 'aris': 0.004586486575400943, 'Budapest': 0.0002105919885628678, 'U': 0.040764368508865244, 'Paris': 0.9529391103228056}",Paris,False
15,"Between London and Makurdi, the city with colder weather is ->",London,Makurdi,"{'ondon': 0.0005301105437782269, 'Edinburgh': 2.7214925596417505e-05, 'Stockholm': 6.187743402941506e-05, 'London': 0.999151038471927, 'England': 7.297716310038671e-05}",London,True
16,"Between Irkutsk and Bishkek, the city with colder weather is ->",Irkutsk,Bishkek,"{'Har': 0.004931437752880425, 'Vil': 0.00377976288558267, 'O': 0.008361127437779848, 'Ir': 0.9061619465150341, 'Ark': 0.06513655282600651}",Ir,True
17,"Between Panama City and Mexico City, the city with colder weather is ->",Mexico City,Panama City,"{'Madrid': 0.3074839463777556, 'Mon': 0.007097878091178002, 'San': 0.0076100464752379225, 'exico': 0.005064132142450352, 'Mexico': 0.6448063756783311}",Mexico,True
18,"Between Port Moresby and Addis Ababa, the city with colder weather is ->",Addis Ababa,Port Moresby,"{'Istanbul': 0.4195096079499359, 'Add': 0.1773398909413027, 'Warsaw': 0.06878559025137591, 'Port': 0.06021230172211733, 'Ark': 0.11803733573829704}",Istanbul,True
19,"Between Djibouti and Harare, the city with colder weather is ->",Harare,Djibouti,"{'ar': 2.0271963781420878e-08, 'Har': 0.9999999317236823, 'Edmonton': 5.6019275504436395e-08, 'Detroit': 3.012031427416283e-08, 'Ark': 2.1914748046350934e-08}",Har,True
20,"Between Riyadh and Oslo, the city with colder weather is ->",Oslo,Riyadh,"{'Norway': 0.0032037018809526192, 'Norwegian': 0.00017994703506731636, 'Stockholm': 0.001383555007306549, 'Oslo': 0.992695110355482, 'O': 0.002211193199223668}",Oslo,True
21,"Between Sapporo and Medellín, the city with colder weather is ->",Sapporo,Medellín,"{'Har': 1.220008059621198e-05, 'Sapp': 0.9999585605986357, 'S': 4.318406886483135e-06, 'Seattle': 3.4230811206399537e-06, 'Ark': 9.642202503225777e-06}",Sapp,True
