,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I don't like expensive restaurants. Between St. Louis Bar & Grill and Adega Restaurante, I should go to ->",St. Louis Bar & Grill,Adega Restaurante,"{'affordable': 0.0005265635662814502, 'Ad': 0.9650822211581978, 'Starbucks': 0.0003280696908649183, 'd': 0.013241474071037674, 'St': 0.019330260681535223}",Ad,False
1,"I don't like expensive restaurants. Between Beryl's Pepper Pot and Aris Place, I should go to ->",Aris Place,Beryl's Pepper Pot,"{'r': 4.940887470533218e-05, 'B': 0.9936563521344524, 'H': 9.100865855607393e-06, 'Bib': 1.809356875926997e-05, 'Ar': 0.006232375616537283}",B,False
2,"I don't like expensive restaurants. Between Daily Press Juicery and New Bilan Restaurant, I should go to ->",New Bilan Restaurant,Daily Press Juicery,"{'Poor': 0.01865649940567923, 'aily': 0.04398744617404382, 'ew': 0.002896065173645647, 'Daily': 0.7302951583870892, 'New': 0.19456781761761108}",Daily,False
3,"I don't like expensive restaurants. Between McDonald's and Nook, I should go to ->",McDonald's,Nook,"{'McDonald': 0.9988112911747284, 'McD': 0.00014280878362092422, 'N': 0.00043515642230820877, 'cheap': 0.00016272742437741994, 'c': 0.0002081769747246058}",McDonald,True
4,"I don't like expensive restaurants. Between KFC and Mysteriously Yours Dinner Theatre, I should go to ->",KFC,Mysteriously Yours Dinner Theatre,"{'Kom': 5.576696399489591e-06, '': 1.4416762008067567e-05, 'k': 1.7775934674511008e-05, 'K': 0.9999562957250596, 'cheap': 1.4286308784163116e-06}",K,True
5,"I don't like expensive restaurants. Between Mamma's Pizza and Sichuan Landscape Chinese Restaurant, I should go to ->",Mamma's Pizza,Sichuan Landscape Chinese Restaurant,"{'Pizza': 0.01273584653059774, 'Mam': 0.9816814423970747, 'S': 0.003506552212129218, 'Mama': 0.000635021310368031, 'cheap': 0.0005043830796176066}",Mam,True
6,"I don't like expensive restaurants. Between Sheriff Broaster Chicken and Adega Restaurante, I should go to ->",Sheriff Broaster Chicken,Adega Restaurante,"{'Ad': 0.898506480686905, 'Sheriff': 0.09462353022253549, 'sheriff': 0.00044501017984656074, 'd': 0.003780963528927201, 'Hue': 0.0005289450535638601}",Ad,False
7,"I don't like expensive restaurants. Between Thompson Rooftop and Viccino Pizzeria, I should go to ->",Viccino Pizzeria,Thompson Rooftop,"{'Thompson': 0.0053435428016027995, 'Pizza': 0.0021689697364521516, 'Vic': 0.5472508824846595, 'V': 0.43779859636876944, 'cheap': 0.0014257005101217652}",Vic,True
8,"I don't like expensive restaurants. Between Green Grotto and Druxy's Famous Deli, I should go to ->",Druxy's Famous Deli,Green Grotto,"{'Dru': 0.9975378921717626, 'Green': 7.626434721347019e-05, 'dru': 0.001676910779502025, 'Cy': 3.128837297117309e-05, 'cheap': 0.0004971501822244952}",Dru,True
9,"I don't like expensive restaurants. Between Ici Bistro and Paradise Farms Prime Beef Bistro, I should go to ->",Paradise Farms Prime Beef Bistro,Ici Bistro,"{'Paradise': 0.031333937614407815, 'Pizza': 0.00019663919616614032, 'I': 0.9673763943671206, '808': 0.00034757016488606087, 'cheap': 0.00018825445993709454}",I,False
10,"I don't like expensive restaurants. Between Edible Arrangements and Tortería San Cosme, I should go to ->",Tortería San Cosme,Edible Arrangements,"{'Ed': 0.9927932212758214, 'Hue': 8.236005565929266e-05, 'Tor': 0.0024497838078816185, 'Peter': 0.00011848703649974034, 'd': 0.004112301218442085}",Ed,False
11,"I don't like expensive restaurants. Between Thompson Rooftop and Joe Badali's Ristorante Italiano & Bar, I should go to ->",Joe Badali's Ristorante Italiano & Bar,Thompson Rooftop,"{'Thompson': 0.0018868585040734038, 'oe': 0.023956945432132008, 'Pizza': 6.231290567078867e-05, 'hompson': 0.00022493175789691473, 'Joe': 0.9736668051829364}",Joe,True
12,"I don't like expensive restaurants. Between Basha Middle Eastern Grill and Tim Hortons, I should go to ->",Tim Hortons,Basha Middle Eastern Grill,"{'im': 7.656029175690257e-05, 'TIM': 0.00019423515379054818, 'tim': 0.008088507920218795, 'Tim': 0.8745921461301648}",Tim,True
