,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for a small city to visit. Between Chicago and Mandalay, you should visit ->",Mandalay,Chicago,"{'Pir': 2.531366979606063e-05, 'Mand': 4.513881674149899e-05, 'Mon': 3.0380214507759442e-05, 'M': 0.0007900370617468566, 'Mandal': 0.998916670925086}",Mandal,True
1,"You are looking for a small city to visit. Between Moscow and Minneapolis, you should visit ->",Minneapolis,Moscow,"{'Min': 6.715192286744657e-05, 'Minneapolis': 0.9852592080979243, 'MN': 8.06998372031158e-05, 'M': 0.013592583036077643, 'Minnesota': 0.0007272421898052616}",Minneapolis,True
2,"You are looking for a small city to visit. Between Manila and Hamilton, you should visit ->",Hamilton,Manila,"{'Hamilton': 0.9999993338092819, 'small': 1.6976598500699566e-08, 'Havana': 1.670922290847621e-08, 'McMaster': 3.489661513421279e-08, 'amilton': 5.206608327412369e-07}",Hamilton,True
3,"You are looking for a small city to visit. Between Kabul and Yinchuan, you should visit ->",Yinchuan,Kabul,"{'y': 2.878048781071811e-06, 'W': 6.050888120005381e-06, 'N': 4.946823027795964e-06, '': 1.3392308611711986e-05, 'Y': 0.9999635690436234}",Y,True
4,"You are looking for a small city to visit. Between Riyadh and Goiânia, you should visit ->",Goiânia,Riyadh,"{'GO': 0.00014092679314063383, 'Go': 0.99914293355144, 'a': 2.3720260537991097e-05, 'G': 0.00043098869409617646, 'o': 0.0001879424047094422}",Go,True
5,"You are looking for a small city to visit. Between Lahore and Belgrade, you should visit ->",Belgrade,Lahore,"{'Bl': 2.310154852414706e-06, 'el': 2.6299992419673077e-06, 'Lah': 1.6949096998190275e-05, 'B': 3.4295620059446576e-06, 'Bel': 0.9999685756437554}",Bel,True
6,"You are looking for a small city to visit. Between Jakarta and Ushuaia, you should visit ->",Ushuaia,Jakarta,"{'a': 5.673626785506249e-06, 'u': 4.313400438795868e-06, 'U': 0.9999121914054003, '': 5.018532021637639e-05, '0': 4.894316128076636e-06}",U,True
7,"You are looking for a small city to visit. Between Bogotá and Piura, you should visit ->",Piura,Bogotá,"{'Pir': 0.0002965601480195969, 'Pi': 0.998259769260516, 'PI': 0.00014863915021249882, 'P': 0.00017131013314593675, 'i': 0.001063438556280079}",Pi,True
8,"You are looking for a small city to visit. Between Shanghai and Tauranga, you should visit ->",Tauranga,Shanghai,"{'Tai': 3.3968507213470735e-08, 'Tam': 6.930581664510771e-08, 'T': 0.9999996923682474, 'W': 3.2922319662369945e-08, '': 7.596858024270119e-08}",T,True
9,"You are looking for a small city to visit. Between Bangkok and Minneapolis, you should visit ->",Minneapolis,Bangkok,"{'Minneapolis': 0.9760899518842873, 'Winnipeg': 0.00014583714558822353, 'MN': 0.00012223856155489418, 'M': 0.022899587080585298, 'Minnesota': 0.0003827163284476612}",Minneapolis,True
10,"You are looking for a small city to visit. Between Berlin and Garoua, you should visit ->",Garoua,Berlin,"{'ar': 0.0012377282946631396, 'G': 0.00012685282522438443, 'gar': 2.778889715377587e-05, 'Bat': 7.719978337151384e-06, 'Gar': 0.9985656012347268}",Gar,True
11,"You are looking for a small city to visit. Between Johannesburg and Suwałki, you should visit ->",Suwałki,Johannesburg,"{'SU': 4.6618597894592336e-05, 'Su': 0.9992973084034582, 'Jos': 6.256590980477558e-05, 'W': 5.251708566883975e-05, 'u': 0.0004353052712563574}",Su,True
12,"You are looking for a small city to visit. Between Ankara and Toliara, you should visit ->",Toliara,Ankara,"{'Tam': 6.469803544276589e-08, 'a': 5.483029830476976e-09, 'T': 0.9999999317236823, 'M': 6.952795694864408e-09, '': 4.3093054556641517e-08}",T,True
13,"You are looking for a small city to visit. Between Johannesburg and Kampala, you should visit ->",Kampala,Johannesburg,"{'Kum': 0.00270216871664527, 'Jos': 0.0031180608276178707, 'Johannes': 0.048004496278139394, 'Kamp': 0.9051061132009154, 'K': 0.037396244277193944}",Kamp,True
14,"You are looking for a small city to visit. Between Baghdad and Gabès, you should visit ->",Gabès,Baghdad,"{'Gab': 0.9975927883919375, 'Gabriel': 1.4313763515319111e-05, 'B': 0.00011137752514192654, 'G': 0.0015652426798732583, 'ab': 0.000625518720279976}",Gab,True
15,"You are looking for a small city to visit. Between Nairobi and Lake Havasu City, you should visit ->",Lake Havasu City,Nairobi,"{'Hav': 0.014632956494280425, 'Lakes': 5.6599523019950555e-05, 'N': 9.125041660297874e-05, 'ake': 0.0024626157030787767, 'Lake': 0.982556612533013}",Lake,True
16,"You are looking for a small city to visit. Between Saint Petersburg and Algiers, you should visit ->",Algiers,Saint Petersburg,"{'l': 0.0011433477468242937, 'Alger': 0.0029177573167686, 'St': 0.004538081197456338, 'Saint': 0.0013330980294725503, 'Al': 0.9893480926771963}",Al,True
