,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like big cities. Between Manila and Mexicali, this person should visit ->",Mexicali,Manila,"{'Man': 0.028943642553335477, 'Gu': 0.039733850387319046, 'San': 0.013273449727892102, 'B': 0.010136312558142995, 'Mex': 0.8643287369173327}",Mex,True
1,"Someone doesn't like big cities. Between Buenos Aires and Zürich, this person should visit ->",Zürich,Buenos Aires,"{'Z': 0.9091738854268547, 'San': 0.02091101343903299, 'C': 0.008068882355771748, 'R': 0.004616103629330802, 'Buenos': 0.04038783714945276}",Z,True
2,"Someone doesn't like big cities. Between Saint Petersburg and Barranquilla, this person should visit ->",Barranquilla,Saint Petersburg,"{'Br': 0.004156980124231791, 'Gu': 0.004829001313926324, 'Bar': 0.9620123813240818, 'B': 0.007374683447871139, 'smaller': 0.0036462501341176213}",Bar,True
3,"Someone doesn't like big cities. Between Luanda and Bratislava, this person should visit ->",Bratislava,Luanda,"{'Br': 0.999995638343512, 'Slov': 2.1032182064817304e-07, 'B': 8.556708977292133e-07, 'Lu': 2.3201493485105494e-06, 'r': 2.8744336138358597e-07}",Br,True
4,"Someone doesn't like big cities. Between Los Angeles and Nairobi, this person should visit ->",Nairobi,Los Angeles,"{'Kenya': 4.934155620109081e-06, 'N': 0.9999233970391567, 'smaller': 2.246464299885583e-06, 'K': 4.291305353965174e-05, 'Los': 1.3052785482986374e-05}",N,True
5,"Someone doesn't like big cities. Between Ürümqi and Garissa, this person should visit ->",Garissa,Ürümqi,"{'ar': 0.00026375735165209816, 'G': 4.8989821790076765e-05, 'Ou': 8.694725330662454e-06, 'gar': 1.885717650648496e-05, 'Gar': 0.9995986694546567}",Gar,True
6,"Someone doesn't like big cities. Between Ho Chi Minh City and Santiago, this person should visit ->",Santiago,Ho Chi Minh City,"{'San': 0.016315087268138156, 'Santiago': 0.6539492303320227, 'Ant': 0.008990174681879556, 'Conce': 0.30257732933947734, 'Ch': 0.006894954270697376}",Santiago,True
7,"Someone doesn't like big cities. Between San Diego and Gabès, this person should visit ->",Gabès,San Diego,"{'Gab': 0.929326842678097, 'Gabriel': 0.00014307694435511912, 'San': 0.060382315901406525, 'G': 0.009266004558758964, 'ab': 0.00040039475900779383}",Gab,True
8,"Someone doesn't like big cities. Between Lahore and Mandalay, this person should visit ->",Mandalay,Lahore,"{'Pir': 0.00036287588382649514, 'Man': 0.00018803132249426834, 'M': 0.0014907224660437258, 'Mandal': 0.99640628899186, 'Lod': 0.00016043077770255988}",Mandal,True
9,"Someone doesn't like big cities. Between Baghdad and Fairbanks, this person should visit ->",Fairbanks,Baghdad,"{'air': 0.0011663637216865947, 'N': 4.726814294751115e-05, 'Fort': 7.574978839788521e-06, 'Fair': 0.99866060978482, 'Ark': 6.930913051347408e-06}",Fair,True
10,"Someone doesn't like big cities. Between Mexico City and Bangkok, this person should visit ->",Bangkok,Mexico City,"{'Gu': 0.1246842172579906, 'San': 0.03485576960842224, 'O': 0.039712264878332515, 'Ver': 0.18734249748387108, 'Ch': 0.4113965038402691}",Ch,False
11,"Someone doesn't like big cities. Between Mumbai and Mexicali, this person should visit ->",Mexicali,Mumbai,"{'Man': 0.004065567253343514, 'Gu': 0.05313548534567424, 'M': 0.004658123939476958, 'B': 0.004399544351049207, 'Mex': 0.8998850824293616}",Mex,True
12,"Someone doesn't like big cities. Between Ankara and Kuopio, this person should visit ->",Kuopio,Ankara,"{'Ku': 0.9935447740702151, 'Ant': 0.00010365660469331992, 'u': 0.0033209835165480873, 'K': 0.002280756711661143, 'Ark': 7.260142559729038e-05}",Ku,True
13,"Someone doesn't like big cities. Between Brasília and Garoua, this person should visit ->",Garoua,Brasília,"{'ar': 0.00017889723913803733, 'G': 0.00024452206688830826, 'Ou': 0.0008118997386460818, 'Libre': 0.00017520584817934336, 'Gar': 0.9980495398244472}",Gar,True
14,"Someone doesn't like big cities. Between Lima and Ankara, this person should visit ->",Ankara,Lima,"{'San': 0.004134768241839328, 'C': 0.06666718674217591, 'Ant': 0.05794819831593805, 'Lima': 0.8455758960302683, 'Conce': 0.0032641907598713496}",Lima,False
15,"Someone doesn't like big cities. Between Johannesburg and Paramaribo, this person should visit ->",Paramaribo,Johannesburg,"{'Mar': 0.0001429059266186623, 'Gu': 0.00010924101171551688, 'aram': 0.0005303274033353882, 'Param': 0.9981118870321608, 'Georgetown': 0.00012798026315952442}",Param,True
16,"Someone doesn't like big cities. Between Douala and Ljubljana, this person should visit ->",Ljubljana,Douala,"{'Jos': 0.00203353219588153, 'L': 0.06282443429813153, 'Ou': 0.002867496871446652, 'Libre': 0.005208824877505009, 'Dou': 0.9190450014314827}",Dou,False
17,"Someone doesn't like big cities. Between Alexandria and Malabo, this person should visit ->",Malabo,Alexandria,"{'Man': 0.004920790946081353, 'Alexandria': 0.0017354538756435864, 'M': 0.0040883696785320766, 'Ant': 0.012740109931871932, 'Mal': 0.9626676790435944}",Mal,True
18,"Someone doesn't like big cities. Between Ho Chi Minh City and Anchorage, this person should visit ->",Anchorage,Ho Chi Minh City,"{'Alaska': 0.0012654820021605285, 'small': 0.00027285173651352135, 'Ant': 0.00098673997804688, 'N': 0.0012766467054470395, 'Anchorage': 0.9940129104794522}",Anchorage,True
