,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like big cities. If I were you, between Guadalajara and Kansas City I would visit ->",Kansas City,Guadalajara,"{'small': 2.445612162917958e-05, 'Gu': 0.9957503361855535, 'ansas': 1.512568902066017e-05, 'Wichita': 0.0029585381526109084, 'Kansas': 0.0012239957097553305}",Gu,False
1,"You don't like big cities. If I were you, between Guadalajara and Dodoma I would visit ->",Dodoma,Guadalajara,"{'small': 0.00021625052162856074, 'Dod': 0.998096331180379, 'dod': 0.00010901707899302621, 'D': 0.00013658915586950695, 'Lod': 0.0011243344706766036}",Dod,True
2,"You don't like big cities. If I were you, between Toronto and Minneapolis I would visit ->",Minneapolis,Toronto,"{'Minneapolis': 0.984494546774064, 'Winnipeg': 0.0059501134046570725, 'M': 0.007251506779894393, 'St': 0.0001427115639463348, 'Minnesota': 0.0015571703235201853}",Minneapolis,True
3,"You don't like big cities. If I were you, between Bangkok and Garissa I would visit ->",Garissa,Bangkok,"{'small': 0.0007021215645891911, 'ar': 0.004962329456538362, 'G': 0.0007172411083805974, 'gar': 2.207087923545579e-05, 'Gar': 0.993426696800469}",Gar,True
4,"You don't like big cities. If I were you, between Mumbai and Mahajanga I would visit ->",Mahajanga,Mumbai,"{'Tam': 0.00036029082695451694, 'small': 0.0005546157646084798, 'M': 0.03692474339299294, 'ah': 0.0023434712702757507, 'Mah': 0.9583767376342381}",Mah,True
5,"You don't like big cities. If I were you, between Shanghai and Cape Town I would visit ->",Cape Town,Shanghai,"{'small': 0.0015109941006014257, 'Cape': 0.9971827060421646, 'C': 0.0006373449029637527, 'Cap': 8.736760466670948e-05, 'Fort': 6.26464213225947e-05}",Cape,True
6,"You don't like big cities. If I were you, between Bogotá and Douala I would visit ->",Douala,Bogotá,"{'Dak': 0.0001271776029498489, 'D': 0.0005232992907123931, 'ou': 0.0006328997001213007, 'Ou': 0.0004397713171105824, 'Dou': 0.9976978131065282}",Dou,True
7,"You don't like big cities. If I were you, between Brasília and Campos do Jordão I would visit ->",Campos do Jordão,Brasília,"{'small': 0.0007227152199876307, 'amp': 0.0001357354211175499, 'Jos': 0.00028121136015486976, 'Jord': 0.0026474525585189314, 'Camp': 0.995402837449162}",Camp,True
8,"You don't like big cities. If I were you, between Hanoi and Asmara I would visit ->",Asmara,Hanoi,"{'As': 0.999981092236754, 'small': 2.662277762223308e-06, 's': 3.8113126255948156e-07, 'Ass': 1.3347385967082818e-05, 'Ash': 1.973117063385353e-06}",As,True
9,"You don't like big cities. If I were you, between Moscow and Napier I would visit ->",Napier,Moscow,"{'small': 0.0007248085550355821, 'Nap': 0.9919553745914598, 'N': 0.001664726056028899, 'ap': 0.002998981343924608, 'New': 0.0018611209713918929}",Nap,True
10,"You don't like big cities. If I were you, between Denver and Upington I would visit ->",Upington,Denver,"{'small': 4.470000251861043e-05, 'Up': 0.9995099801989382, 'O': 8.396554683369249e-05, 'p': 0.0001428189234045194, 'Down': 0.00010111713102014653}",Up,True
11,"You don't like big cities. If I were you, between Chicago and Murmansk I would visit ->",Murmansk,Chicago,"{'Pir': 0.0005034070855372889, 'small': 0.001987072756156543, 'ur': 0.0035590095112767854, 'M': 0.0012269759672972377, 'Mur': 0.9919439909769002}",Mur,True
12,"You don't like big cities. If I were you, between Alexandria and Garoua I would visit ->",Garoua,Alexandria,"{'small': 0.002777859810795036, 'ar': 0.004468609466823531, 'G': 0.0009969658912218965, 'Libre': 0.0008351393172707482, 'Gar': 0.9886914849360743}",Gar,True
13,"You don't like big cities. If I were you, between Guangzhou and San José I would visit ->",San José,Guangzhou,"{'Sant': 6.213905796396165e-07, 'small': 9.712091454849718e-07, 'an': 4.127777600823131e-07, 'Gu': 6.185208098530007e-07, 'San': 0.9999952788481447}",San,True
14,"You don't like big cities. If I were you, between Los Angeles and Palermo I would visit ->",Palermo,Los Angeles,"{'Pir': 0.00047115897234164877, 'al': 0.003696059599229699, 'small': 0.0008067855195901349, 'Col': 0.00040020617746069627, 'Pal': 0.9935636095725169}",Pal,True
15,"You don't like big cities. If I were you, between Denver and Bergen I would visit ->",Bergen,Denver,"{'small': 0.0009207748630156331, 'Berg': 0.00010532307784673715, 'er': 6.654001912186499e-05, 'B': 0.0011139288594210605, 'Ber': 0.9975433193911825}",Ber,True
16,"You don't like big cities. If I were you, between Lahore and Asmara I would visit ->",Asmara,Lahore,"{'As': 0.9999795425592563, 'small': 2.362743769604802e-06, 's': 5.063078264309782e-07, 'Ass': 1.4855075003822681e-05, 'Ash': 2.311379559005067e-06}",As,True
17,"You don't like big cities. If I were you, between Monterrey and Kathmandu I would visit ->",Kathmandu,Monterrey,"{'small': 0.000846086464229087, 'Kath': 0.2211491761443188, 'Mon': 0.7736463669840705, 'K': 0.0007508722704196173, 'Kh': 0.0017691899367661252}",Mon,False
18,"You don't like big cities. If I were you, between Guangzhou and Tampa I would visit ->",Tampa,Guangzhou,"{'small': 0.0005383752770424622, 'Tampa': 0.9740047622284144, 'Tall': 0.0008230667128511142, 'T': 0.02295684798128568, 'Wichita': 0.0004377752093468172}",Tampa,True
19,"You don't like big cities. If I were you, between Buenos Aires and Yakutsk I would visit ->",Yakutsk,Buenos Aires,"{'small': 0.00046493650969009086, 'Kum': 4.8275035223851906e-05, 'Yak': 0.997763795538921, 'yak': 0.0005915614449850899, 'Ash': 0.0007022374242055038}",Yak,True
20,"You don't like big cities. If I were you, between Lima and Baltimore I would visit ->",Baltimore,Lima,"{'Baltimore': 0.9783806578192085, 'small': 0.002767362440352094, 'B': 0.002409448249034983, 'altimore': 0.005179255287179341, 'Balt': 0.0016964958838548857}",Baltimore,True
21,"You don't like big cities. If I were you, between Lima and Irkutsk I would visit ->",Irkutsk,Lima,"{'small': 0.0003153662172448836, 'r': 0.0010076084774639739, 'ir': 0.0001132779528244753, 'Ver': 7.804211040255362e-05, 'Ir': 0.9980249842154575}",Ir,True
22,"You don't like big cities. If I were you, between Beijing and Pretoria I would visit ->",Pretoria,Beijing,"{'Bl': 3.083941433142157e-05, 'small': 3.178643282304387e-05, 'T': 5.966786244588262e-05, 'Pret': 0.9997020839358064, 'ret': 4.291307499618389e-05}",Pret,True
23,"You don't like big cities. If I were you, between Guadalajara and Honolulu I would visit ->",Honolulu,Guadalajara,"{'small': 1.1420620736539334e-05, 'Gu': 0.9999558198479717, 'G': 6.29559106824323e-06, 'Ch': 3.0905515124107106e-06, 'Hon': 1.1747313286359817e-05}",Gu,False
24,"You don't like big cities. If I were you, between Moscow and Gabès I would visit ->",Gabès,Moscow,"{'Gab': 0.9730103243594111, 'small': 0.002846207137466571, 'G': 0.005201244786618737, 'Libre': 0.013401655967452158, 'ab': 0.0038853780100953934}",Gab,True
25,"You don't like big cities. If I were you, between Beijing and Tabora I would visit ->",Tabora,Beijing,"{'Tam': 2.289711096693433e-07, 'small': 8.574534029207695e-07, 'T': 0.999998499344226, 'W': 1.2880051819901165e-07, '': 7.82273113788448e-08}",T,True
26,"You don't like big cities. If I were you, between Minneapolis and Tabora I would visit ->",Tabora,Minneapolis,"{'Tam': 2.6714653736910423e-07, 'small': 1.4883491578297957e-06, 'T': 0.9999975456765119, 'W': 2.5382266069843986e-07, 'N': 8.992111958299835e-08}",T,True
27,"You don't like big cities. If I were you, between Mexico City and Palembang I would visit ->",Palembang,Mexico City,"{'Pir': 0.00018933966245697744, 'al': 0.0038999033819983103, 'small': 0.0008434389800248967, 'Pal': 0.9939324434214336, 'B': 0.0002840907013046621}",Pal,True
28,"You don't like big cities. If I were you, between Paris and Palermo I would visit ->",Palermo,Paris,"{'Pir': 0.0006290629668464292, 'al': 0.0041776662573425076, 'small': 0.00043683150906388365, 'Col': 0.00017317169482312074, 'Pal': 0.9939704713084218}",Pal,True
29,"You don't like big cities. If I were you, between Riyadh and Kano I would visit ->",Kano,Riyadh,"{'small': 2.7684169287423184e-07, 'Kum': 3.430821524283121e-08, 'W': 3.4205752680188926e-08, 'N': 1.947071893461705e-07, 'K': 0.9999994539509491}",K,True
30,"You don't like big cities. If I were you, between Luanda and Guadalajara I would visit ->",Guadalajara,Luanda,"{'small': 4.331216970048948e-06, 'Gu': 0.9996158362797859, 'u': 3.7830386333787926e-06, 'Lu': 0.00036421817063556213, 'Ch': 2.748748062344795e-06}",Gu,True
31,"You don't like big cities. If I were you, between Lagos and Lake Havasu City I would visit ->",Lake Havasu City,Lagos,"{'small': 0.006558797504957927, 'Lag': 0.014946636316687996, 'Hav': 0.049466317280726486, 'ake': 0.00511716348645915, 'Lake': 0.9197497139552682}",Lake,True
32,"You don't like big cities. If I were you, between Kabul and Canberra I would visit ->",Canberra,Kabul,"{'ACT': 0.0009223863384434645, 'small': 0.0005121647537594136, 'Adelaide': 0.0016443079210135421, 'C': 0.0004934704891336764, 'Canberra': 0.9949519245758943}",Canberra,True
33,"You don't like big cities. If I were you, between Kunming and Omaha I would visit ->",Omaha,Kunming,"{'small': 0.005113695225488655, 'Kum': 0.0023312974987052025, 'Kun': 0.00225032641489782, 'Omaha': 0.8895303430314478, 'O': 0.09340748479188979}",Omaha,True
34,"You don't like big cities. If I were you, between Kuwait City and Kathmandu I would visit ->",Kathmandu,Kuwait City,"{'small': 0.0006421794989327869, 'Kath': 0.991536297518483, 'K': 0.0021729480174809187, 'Kh': 0.004265512248893607, 'Kat': 0.0003970910335145617}",Kath,True
35,"You don't like big cities. If I were you, between Chicago and Perth I would visit ->",Perth,Chicago,"{'small': 0.00048540158467426543, 'Adelaide': 0.002272981211713616, 'Perth': 0.996352822567444, 'St': 0.00017915844071015178, 'Dun': 0.0001888510403408423}",Perth,True
36,"You don't like big cities. If I were you, between Karachi and San José I would visit ->",San José,Karachi,"{'Sant': 8.894157948790629e-07, 'small': 3.826052722414688e-07, 'an': 3.3530123507118367e-07, 'San': 0.9999967093467143, 'Conce': 3.2445045289333327e-07}",San,True
37,"You don't like big cities. If I were you, between London and Bamako I would visit ->",Bamako,London,"{'Tam': 0.00030529073679614856, 'small': 0.00042595979247961866, 'M': 0.0004158441530443822, 'B': 0.053357202802036534, 'Bam': 0.9448734403620734}",Bam,True
38,"You don't like big cities. If I were you, between Santiago and Berlin I would visit ->",Berlin,Santiago,"{'Sant': 0.006680853033237692, 'Salvador': 0.11816941072681869, 'San': 0.010239651429889543, 'Santiago': 0.6575446029794209, 'Conce': 0.17570138518720257}",Santiago,False
39,"You don't like big cities. If I were you, between Lima and Lviv I would visit ->",Lviv,Lima,"{'Living': 7.835090801612333e-05, 'small': 0.0003427936141207753, 'Lv': 0.9696799455232632, 'v': 0.028731270066191732, 'Vil': 0.00019332323059507547}",Lv,True
40,"You don't like big cities. If I were you, between Lagos and Cape Town I would visit ->",Cape Town,Lagos,"{'small': 0.0015270836097315056, 'Cape': 0.9958076734393685, 'C': 0.001443196981775372, 'cape': 0.00010563666927986181, 'Cap': 0.0001935712299102933}",Cape,True
41,"You don't like big cities. If I were you, between Mexico City and Amsterdam I would visit ->",Amsterdam,Mexico City,"{'Netherlands': 0.00232751198389323, 'small': 0.004052399922132128, 'Holland': 0.00453069196272066, 'Amsterdam': 0.985319290051025, 'Ant': 0.0007036555479655638}",Amsterdam,True
42,"You don't like big cities. If I were you, between Mexico City and Mexicali I would visit ->",Mexicali,Mexico City,"{'small': 0.0013252458361987403, 'Med': 0.0005728931690960712, 'ex': 0.0027780464892466477, 'M': 0.0005432170468176666, 'Mex': 0.9915630614274298}",Mex,False
43,"You don't like big cities. If I were you, between Jakarta and Mombasa I would visit ->",Mombasa,Jakarta,"{'small': 4.4249264239172366e-07, 'Mog': 2.3785587664733298e-08, 'M': 0.9999992145956385, 'N': 1.7218265085489056e-07, 'K': 1.9393457054533953e-07}",M,True
44,"You don't like big cities. If I were you, between Sydney and Brussels I would visit ->",Brussels,Sydney,"{'small': 0.026535842836690283, 'Brussels': 0.6482771198229693, 'Br': 0.24032230958395615, 'Edinburgh': 0.013329531389308062, 'B': 0.023560318538035918}",Brussels,True
45,"You don't like big cities. If I were you, between Jakarta and Port-Gentil I would visit ->",Port-Gentil,Jakarta,"{'ort': 0.00738484981277328, 'small': 0.0040784861544281145, 'G': 0.03814918822438807, 'Port': 0.9370236143314208, 'Libre': 0.003658988631303662}",Port,True
46,"You don't like big cities. If I were you, between Mexico City and Tripoli I would visit ->",Tripoli,Mexico City,"{'Libya': 0.004796268784085209, 'small': 0.0005928437407584288, 'Tunis': 0.007637256783747479, 'T': 0.02063753445920321, 'Tripoli': 0.9621052469372201}",Tripoli,True
47,"You don't like big cities. If I were you, between Baghdad and Almaty I would visit ->",Almaty,Baghdad,"{'small': 0.0016716735978061304, 'l': 0.003240333572506607, 'K': 0.0001243310241103566, 'Ash': 0.00016939047587917247, 'Al': 0.9944373558205565}",Al,True
48,"You don't like big cities. If I were you, between Buenos Aires and Almaty I would visit ->",Almaty,Buenos Aires,"{'small': 0.0012294959381174283, 'l': 0.0015538772808608137, 'K': 0.00010193522453401842, 'Ash': 6.718893377251449e-05, 'Al': 0.9968436104046704}",Al,True
49,"You don't like big cities. If I were you, between Luanda and Minneapolis I would visit ->",Minneapolis,Luanda,"{'small': 0.0016813554422513476, 'Minneapolis': 0.9428462981982763, 'M': 0.040922432271099096, 'Lu': 0.0028070139833927437, 'Minnesota': 0.0055193438141909815}",Minneapolis,True
50,"You don't like big cities. If I were you, between Rome and Oslo I would visit ->",Oslo,Rome,"{'small': 0.00714336017920739, 'Norway': 0.0033924690139124454, 'Olsen': 0.008337257113323478, 'Oslo': 0.8450172057482618, 'O': 0.12851418392488032}",Oslo,True
51,"You don't like big cities. If I were you, between Guangzhou and Dodoma I would visit ->",Dodoma,Guangzhou,"{'small': 0.00020747825893495836, 'Dod': 0.9982746106984826, 'dod': 0.000116119119675304, 'D': 0.0001502917729843339, 'Lod': 0.0010366401713178639}",Dod,True
52,"You don't like big cities. If I were you, between Phoenix and Bergen I would visit ->",Bergen,Phoenix,"{'small': 0.0008248425816148392, 'Berg': 0.00032408620913083365, 'er': 7.736222079141177e-05, 'B': 0.002003443157280135, 'Ber': 0.9962404065349866}",Ber,True
