,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for a city with warm weather. Between Garoua and Belgrade, you should visit ->",Garoua,Belgrade,"{'ar': 0.0002394758455147539, 'Bel': 0.9635752292858217, 'Ou': 3.402217952677422e-06, 'Kh': 6.116399203720711e-06, 'Gar': 0.0361612129517903}",Bel,False
1,"You are looking for a city with warm weather. Between Port Moresby and Wellington, you should visit ->",Port Moresby,Wellington,"{'ort': 0.0061929018852405525, 'M': 0.005411041991262777, 'PNG': 0.00013171869603853325, 'Port': 0.9870410260491521, 'Hon': 0.0007901953220195612}",Port,True
2,"You are looking for a city with warm weather. Between Panama City and Kuopio, you should visit ->",Panama City,Kuopio,"{'an': 0.005584321723174929, 'Gu': 0.00020079139994962807, 'Panama': 0.9822851755362434, 'PAN': 0.0007574204822638541, 'Pan': 0.010267623335322091}",Panama,True
3,"You are looking for a city with warm weather. Between Rabat and Saint Petersburg, you should visit ->",Rabat,Saint Petersburg,"{'Barcelona': 0.00114253842885761, 'Mar': 0.0038735611548836404, 'Rab': 0.9905423931617006, 'R': 0.0009586454111450415, 'Saint': 0.0013311371527325129}",Rab,True
4,"You are looking for a city with warm weather. Between Dar es Salaam and Murmansk, you should visit ->",Dar es Salaam,Murmansk,"{'Tam': 0.0004678081415751277, 'Dh': 0.0005355692810862337, 'ar': 0.011815996854026557, 'Kh': 0.0017830890454237718, 'Dar': 0.9845227371945167}",Dar,True
5,"You are looking for a city with warm weather. Between Bangkok and Milwaukee, you should visit ->",Bangkok,Milwaukee,"{'Thailand': 0.000818027993552715, 'B': 7.30293604303252e-05, 'Bangkok': 0.99881600128024, 'Kuala': 4.97641605843093e-05, 'Kh': 0.00011437020028161969}",Bangkok,True
6,"You are looking for a city with warm weather. Between Baghdad and Zürich, you should visit ->",Baghdad,Zürich,"{'Iraqi': 0.00011584702351413765, 'Baghd': 0.0002816985585678723, 'Baghdad': 0.9939878179342595, 'raq': 0.0001073912339282996, 'Iraq': 0.005351716116877229}",Baghdad,True
7,"You are looking for a city with warm weather. Between Caracas and Fairbanks, you should visit ->",Caracas,Fairbanks,"{'Venezuel': 0.000221043509557109, 'Venezuela': 0.0011016234759518332, 'Car': 0.9973913819727248, 'Fair': 0.0004225923310553927, 'ar': 0.000289371421357321}",Car,True
8,"You are looking for a city with warm weather. Between Bahía Blanca and Fairbanks, you should visit ->",Bahía Blanca,Fairbanks,"{'Bah': 0.6518144261744245, 'Salvador': 0.13351777018502442, 'B': 0.016659132740349712, 'ah': 0.004946061874267906, 'Fair': 0.1883512703956681}",Bah,True
9,"You are looking for a city with warm weather. Between Mombasa and Addis Ababa, you should visit ->",Mombasa,Addis Ababa,"{'Add': 0.0001279068875210779, 'Mog': 3.5554781608450717e-06, 'M': 0.999849724102554, '': 6.84205111957039e-06, 'K': 8.9186943090129e-06}",M,True
10,"You are looking for a city with warm weather. Between San Juan and Albuquerque, you should visit ->",San Juan,Albuquerque,"{'Puerto': 4.533523981645105e-06, 'Juan': 3.8929084740608e-06, 'San': 0.9992297162709456, 'Albuquerque': 0.0006565362163102773, 'New': 9.71424597176153e-05}",San,True
11,"You are looking for a city with warm weather. Between Benghazi and Toronto, you should visit ->",Benghazi,Toronto,"{'Libya': 8.775348335964225e-05, 'Benghazi': 0.9997939359341167, 'Alexandria': 4.038750916043765e-05, 'Celsius': 7.963205007597154e-06, 'Tripoli': 2.4620109244302492e-05}",Benghazi,True
12,"You are looking for a city with warm weather. Between Djibouti and Fukuoka, you should visit ->",Djibouti,Fukuoka,"{'Dak': 3.733325774600196e-05, 'Dj': 0.9944518389116723, 'Dh': 0.004594190538793012, 'Mog': 4.2294182961891574e-05, 'D': 0.0007453288705570715}",Dj,True
