,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for an affordable restaurant. If I were you, between Piper's Pub And Grill and Branca I would go to ->",Piper's Pub And Grill,Branca,"{'Fl': 0.0086930710645676, 'Br': 0.0393197752358511, 'Starbucks': 0.015520694756354031, 'Cafe': 0.05591517325300691, 'Piper': 0.8216383617017291}",Piper,True
1,"You are looking for an affordable restaurant. If I were you, between The Duke of Devon and Sweet Jesus I would go to ->",Sweet Jesus,The Duke of Devon,"{'Sweet': 0.9974119467992011, 'Starbucks': 2.224202797070425e-06, 'Cafe': 1.054695983355504e-06, 'Yes': 3.2643271144179103e-07, 'The': 0.002582317570820016}",Sweet,True
2,"You are looking for an affordable restaurant. If I were you, between The Empire and Verona Restaurant I would go to ->",The Empire,Verona Restaurant,"{'er': 6.825137346994043e-05, 'Starbucks': 0.0002156687267528622, 'Yes': 6.199926672532558e-05, 'The': 0.9987537142599321, 'Ver': 0.0005812784244376857}",The,True
3,"You are looking for an affordable restaurant. If I were you, between Hawthorne Food and Drink and Eastern legend I would go to ->",Eastern legend,Hawthorne Food and Drink,"{'affordable': 0.011024716194235657, 'H': 0.008815577076399664, 'Hawth': 0.44868632652463325, 'Th': 0.009098450087685476, 'Eastern': 0.4470329828295437}",Hawth,False
4,"You are looking for an affordable restaurant. If I were you, between Eggspectation and Solero Mediterranean Bakery I would go to ->",Solero Mediterranean Bakery,Eggspectation,"{'Dim': 0.008740271724834265, 'Egg': 0.7720584804099697, 'Starbucks': 0.05101970746585608, 'Cafe': 0.0779119450193316, 'Sun': 0.007702517927539168}",Egg,False
5,"You are looking for an affordable restaurant. If I were you, between New Bilan Restaurant and Sichuan Landscape Chinese Restaurant I would go to ->",New Bilan Restaurant,Sichuan Landscape Chinese Restaurant,"{'Starbucks': 1.4519194867524985e-05, 'Cafe': 1.1893976053594503e-05, 'S': 0.9998226615963139, 'Yes': 2.474267679013803e-05, 'New': 7.93568332014064e-05}",S,False
6,"You are looking for an affordable restaurant. If I were you, between St. Clair Shawarma and Falafel and Watson's I would go to ->",St. Clair Shawarma and Falafel,Watson's,"{'Watson': 0.27972312620916034, 'Fl': 0.05903253183502917, 'Starbucks': 0.09353857134496867, 'St': 0.07306498707155282, 'Fal': 0.30388865837778983}",Fal,False
7,"You are looking for an affordable restaurant. If I were you, between It's All Grk and Supermodel Pizza I would go to ->",Supermodel Pizza,It's All Grk,"{'uper': 0.07286812342491061, 'Pizza': 0.07161783097902194, 'Starbucks': 0.12355100651004561, 'Super': 0.5048345132225738, 'It': 0.09791499252060022}",Super,True
8,"You are looking for an affordable restaurant. If I were you, between Roncy's Bean and Milo's Pita I would go to ->",Milo's Pita,Roncy's Bean,"{'on': 0.01671761374686114, 'Starbucks': 0.022349657107199553, 'Cafe': 0.010624527879813451, 'Milo': 0.7606500898122321, 'Ron': 0.14155326523155964}",Milo,True
9,"You are looking for an affordable restaurant. If I were you, between Paradise Farms Prime Beef Bistro and Helena's Magic Kitchen I would go to ->",Helena's Magic Kitchen,Paradise Farms Prime Beef Bistro,"{'Paradise': 0.013720605843085857, 'Cafe': 0.006342634884152386, 'H': 0.02250279399332582, 'Helena': 0.5189782521842984, 'Magic': 0.3960928601060756}",Helena,True
