,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like cheap restaurants. Between Mt Everest Restaurant and Sizzlers, this person should go to ->",Mt Everest Restaurant,Sizzlers,"{'Mt': 0.7440683500663019, 'S': 0.25541569107898526, '': 2.0320283166334126e-05, 'Mount': 0.00019282567800169936}",Mt,True
1,"Someone doesn't like cheap restaurants. Between Oxygen Restaurant & Lounge and Falafel Hut Village, this person should go to ->",Oxygen Restaurant & Lounge,Falafel Hut Village,"{'Fl': 4.514906441596639e-05, 'fal': 3.674427965747233e-05, 'al': 0.00026230227443714733, 'Fal': 0.9046150399488977}",Fal,False
2,"Someone doesn't like cheap restaurants. Between Grappa Ristorante and Buk Chang Dong Soon Tofu, this person should go to ->",Grappa Ristorante,Buk Chang Dong Soon Tofu,"{'Gor': 0.06983330737545396, 'Buk': 0.10257342452717162, 'ra': 0.026623686220526105, 'Gra': 0.8003530149156692}",Gra,True
3,"Someone doesn't like cheap restaurants. Between Ardor Bistro and Mirage Grill & Lounge, this person should go to ->",Mirage Grill & Lounge,Ardor Bistro,"{'ir': 0.0007018134008692221, 'r': 0.04054178939231857, 'Ard': 0.6009981395754841, 'Mirage': 0.35667709582177304, 'Ar': 0.00035434076317547293}",Ard,False
4,"Someone doesn't like cheap restaurants. Between Lebanese Bakery and Druxy's Famous Deli, this person should go to ->",Lebanese Bakery,Druxy's Famous Deli,"{'Lebanon': 0.0007124947601670639, 'Dru': 0.634342931093891, 'Lebanese': 0.36454776266497685, '': 0.0001648810917370902, 'Beirut': 9.764803731737536e-05}",Dru,False
5,"Someone doesn't like cheap restaurants. Between 9 Restaurant and Fitness Avenue, this person should go to ->",9 Restaurant,Fitness Avenue,"{'fitness': 0.000526683057110361, '': 0.0049749169598416534, 'Fitness': 0.2084173123200991, 'F': 0.0012656991775052107, '9': 0.7845824292419125}",9,True
6,"Someone doesn't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Mamma's Pizza, this person should go to ->",Mysteriously Yours Dinner Theatre,Mamma's Pizza,"{'Myster': 0.9266138027360218, 'My': 0.02400871955080718, 'y': 0.01146252454581867, '': 0.034168715671390466, 'myster': 0.0019786238523154653}",Myster,True
7,"Someone doesn't like cheap restaurants. Between Farmacia Health Bar and Shawarma Twist, this person should go to ->",Farmacia Health Bar,Shawarma Twist,"{'Farm': 0.000330791926863229, 'Shaw': 0.9984826906795108, 'h': 8.390293189403095e-05, 'haw': 0.0009716955720887056, 'arm': 0.00010075870085728653}",Shaw,False
8,"Someone doesn't like cheap restaurants. Between Madras Pantry and Nutella Cafe by Pusateri's, this person should go to ->",Nutella Cafe by Pusateri's,Madras Pantry,"{'Nut': 0.4388050903644955, 'ad': 0.02744797731220591, 'Mad': 0.520490053822594, 'ut': 0.010924405018857358, 'nut': 0.0013677352626009665}",Mad,False
9,"Someone doesn't like cheap restaurants. Between Taste of Greek Cuisine and Pho 88, this person should go to ->",Taste of Greek Cuisine,Pho 88,"{'Ph': 0.9997930988369984, 'Fl': 4.874446945602553e-07, 'Gor': 4.4458703361517406e-07, 'h': 5.7861466851195056e-06, 'Taste': 0.00019880641413534122}",Ph,False
