,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for a small city to visit. If I were you, between Moscow and Dublin I would visit ->",Dublin,Moscow,"{'Tokyo': 0.014883389299649743, 'Madrid': 0.025537148066010592, 'Dublin': 0.6283353237507978, 'D': 0.03256640641449572, 'Moscow': 0.1498667069914108}",Dublin,True
1,"You are looking for a small city to visit. If I were you, between Riyadh and Palmerston North I would visit ->",Palmerston North,Riyadh,"{'Man': 0.0017862936363344402, 'Palmer': 0.985969513725503, 'R': 0.0021405259695153707, 'Dun': 0.001059185566148544, 'New': 0.005149297404109105}",Palmer,True
2,"You are looking for a small city to visit. If I were you, between Lahore and La Paz I would visit ->",La Paz,Lahore,"{'a': 0.004250739122458071, 'Gu': 0.005571934379302231, 'Lah': 0.3191833743923389, 'La': 0.6238451989469219, 'Kh': 0.003300073955510706}",La,False
3,"You are looking for a small city to visit. If I were you, between Lahore and Tashkent I would visit ->",Tashkent,Lahore,"{'Tehran': 0.0001072515015272577, 'Lah': 0.002326394580948483, 'T': 0.9964970682308478, 'Lod': 4.7554696696600305e-05, 'Kh': 0.00041375522622221113}",T,True
4,"You are looking for a small city to visit. If I were you, between Beijing and Hobart I would visit ->",Hobart,Beijing,"{'Beijing': 0.04433535672750277, 'Tokyo': 0.005919708921266654, 'Hob': 0.8564910249702086, 'T': 0.009945093152031088, 'Dun': 0.004618489848232293}",Hob,True
5,"You are looking for a small city to visit. If I were you, between Alexandria and Tampa I would visit ->",Tampa,Alexandria,"{'Tampa': 0.7171747602046629, 'Tall': 0.01488815125752124, 'Alexandria': 0.008569944692590351, 'T': 0.22708097660042625, 'St': 0.010052529345228909}",Tampa,True
6,"You are looking for a small city to visit. If I were you, between Luanda and Tripoli I would visit ->",Tripoli,Luanda,"{'Tunis': 0.008525957034517383, 'N': 0.004412874446175923, 'Tripoli': 0.7710157944196777, 'Kh': 0.01133207589081526, 'Lu': 0.13322182272812338}",Tripoli,True
7,"You are looking for a small city to visit. If I were you, between Mexico City and Cayenne I would visit ->",Cayenne,Mexico City,"{'city': 0.02116406463369018, 'Gu': 0.07730149371238294, 'C': 0.018851243482923788, 'M': 0.033023891322258074, 'Mexico': 0.7453211572018169}",Mexico,False
8,"You are looking for a small city to visit. If I were you, between Lahore and Conakry I would visit ->",Conakry,Lahore,"{'Con': 0.028175738731595543, 'Gu': 0.009514750503167874, 'Lah': 0.8222753617985668, 'Lod': 0.01398151051122508, 'Kh': 0.031641576852947884}",Lah,False
9,"You are looking for a small city to visit. If I were you, between Sydney and La Ceiba I would visit ->",La Ceiba,Sydney,"{'Sydney': 0.9805964568681642, 'city': 0.0006977455941049178, 'Adelaide': 0.0012055733693761652, 'S': 0.007871646706523858, 'New': 0.003929362814347035}",Sydney,False
10,"You are looking for a small city to visit. If I were you, between Mexico City and Conakry I would visit ->",Conakry,Mexico City,"{'Madrid': 0.021730408195664755, 'Gu': 0.07413159161142652, 'Mon': 0.033703385052720025, 'M': 0.01680242597036696, 'Mexico': 0.7267304067521082}",Mexico,False
11,"You are looking for a small city to visit. If I were you, between Riyadh and Ouahigouya I would visit ->",Ouahigouya,Riyadh,"{'Dh': 0.013384593129085515, 'R': 0.04440420530288975, 'Riyadh': 0.7203632358142397, 'Ou': 0.17088957351434428, 'Kh': 0.011655909201153763}",Riyadh,False
12,"You are looking for a small city to visit. If I were you, between Kuwait City and Murmansk I would visit ->",Murmansk,Kuwait City,"{'Kuwait': 0.01188532063987533, 'M': 0.061904555963805015, 'Kh': 0.00887379080701534, 'Mur': 0.8200133568623302, 'Ark': 0.008170405814878896}",Mur,True
13,"You are looking for a small city to visit. If I were you, between Cairo and Toluca I would visit ->",Toluca,Cairo,"{'Tol': 0.028391323246074143, 'Tehran': 0.0074429224860569085, 'Cairo': 0.7790700220906264, 'T': 0.009052620546829954, 'C': 0.11056668012232566}",Cairo,False
14,"You are looking for a small city to visit. If I were you, between Baghdad and Conakry I would visit ->",Conakry,Baghdad,"{'Madrid': 0.0035506734118694308, 'Baghdad': 0.8703501300158683, 'Tehran': 0.016793042756195625, 'B': 0.04320352024064475, 'Kh': 0.00463773397263984}",Baghdad,False
15,"You are looking for a small city to visit. If I were you, between Surabaya and Thiès I would visit ->",Thiès,Surabaya,"{'Singapore': 0.009978385253460146, 'ur': 0.012297688021539905, 'city': 0.007645163907507549, 'Sur': 0.8635241622729766, 'Th': 0.04106178070370078}",Sur,False
16,"You are looking for a small city to visit. If I were you, between Paris and Nairobi I would visit ->",Nairobi,Paris,"{'Tokyo': 0.0012836611633651627, 'N': 0.9760452509163537, 'aris': 0.00038061069619100413, 'Marse': 0.00032720620155748487, 'Paris': 0.01912790720697097}",N,True
17,"You are looking for a small city to visit. If I were you, between Kunming and Djibouti I would visit ->",Djibouti,Kunming,"{'Kum': 0.03581746340158067, 'Dj': 0.07338740148408675, 'Kun': 0.6862610941158741, 'K': 0.13100409457129827, 'Dun': 0.010084823590446499}",Kun,False
18,"You are looking for a small city to visit. If I were you, between Medellín and Sucre I would visit ->",Sucre,Medellín,"{'Gu': 7.326563344228159e-06, 'Med': 0.9998752359336835, 'San': 1.3718928999148897e-05, 'M': 1.057841451044141e-05, 'Suc': 3.8407300471312626e-05}",Med,False
19,"You are looking for a small city to visit. If I were you, between Melbourne and Mexicali I would visit ->",Mexicali,Melbourne,"{'Melbourne': 0.9042218856316401, 'Med': 0.004395744786378201, 'Adelaide': 0.004117473219506723, 'M': 0.005090402372359541, 'Mex': 0.055154827671824704}",Melbourne,False
20,"You are looking for a small city to visit. If I were you, between Sydney and Tirana I would visit ->",Tirana,Sydney,"{'Tokyo': 0.0012894412422317146, 'Sydney': 0.9413787057870489, 'Adelaide': 0.009439823462556167, 'S': 0.024772378913089324, 'New': 0.0073027667192073755}",Sydney,False
21,"You are looking for a small city to visit. If I were you, between Manila and Nouakchott I would visit ->",Nouakchott,Manila,"{'Man': 0.30124529878258655, 'Manila': 0.32168167801371494, 'N': 0.10668027519937169, 'Ou': 0.04767597865839999, 'New': 0.03568209345233748}",Manila,False
22,"You are looking for a small city to visit. If I were you, between Monterrey and Erbil I would visit ->",Erbil,Monterrey,"{'Monte': 2.755496006261311e-05, 'Mon': 0.9988342405261248, 'San': 2.1692955097778418e-05, 'M': 3.181502167491525e-05, 'Er': 0.0009898031232658615}",Mon,False
23,"You are looking for a small city to visit. If I were you, between Chicago and Honolulu I would visit ->",Honolulu,Chicago,"{'Tokyo': 0.009724570062173877, 'Honolulu': 0.039178921250978736, 'O': 0.020663469421181004, 'Chicago': 0.8217628904313712, 'Ch': 0.015145865326766745}",Chicago,False
24,"You are looking for a small city to visit. If I were you, between Santiago and Djibouti I would visit ->",Djibouti,Santiago,"{'Sant': 0.06437308937824027, 'San': 0.04422522284751881, 'S': 0.03695018591764161, 'Santiago': 0.7252126404197267, 'Conce': 0.0319470255346333}",Santiago,False
25,"You are looking for a small city to visit. If I were you, between Lagos and Oslo I would visit ->",Oslo,Lagos,"{'Ni': 0.014661855817250975, 'Edmonton': 0.01930145108782397, 'Stockholm': 0.053481124522326624, 'Oslo': 0.7160664564913208, 'O': 0.0825530468624782}",Oslo,True
26,"You are looking for a small city to visit. If I were you, between Dar es Salaam and Kabul I would visit ->",Kabul,Dar es Salaam,"{'Tehran': 0.12801799999350802, 'Kabul': 0.3648845050474441, 'D': 0.03851141069162883, 'Kh': 0.19814771323254451, 'Dar': 0.08094277948963866}",Kabul,True
27,"You are looking for a small city to visit. If I were you, between Manila and Caracas I would visit ->",Caracas,Manila,"{'Tokyo': 0.02273881506447602, 'Man': 0.32662655315173955, 'Car': 0.010461964785320021, 'Manila': 0.5566759977248295, 'C': 0.014407065975607213}",Manila,False
28,"You are looking for a small city to visit. If I were you, between Phoenix and Honolulu I would visit ->",Honolulu,Phoenix,"{'Salt': 0.01389177556405449, 'Honolulu': 0.2379851505272066, 'O': 0.04056256021579911, 'Hon': 0.03414643468589147, 'Phoenix': 0.5860955195755309}",Phoenix,False
29,"You are looking for a small city to visit. If I were you, between Karachi and Bangui I would visit ->",Bangui,Karachi,"{'Singapore': 0.0006507994680489171, 'B': 0.920327761394592, 'Karachi': 0.06610447063460677, 'K': 0.0021148846647582858, 'Kh': 0.005854214205949593}",B,True
30,"You are looking for a small city to visit. If I were you, between Manila and Oslo I would visit ->",Oslo,Manila,"{'Tokyo': 0.09017182158497819, 'Singapore': 0.0726669867539491, 'Madrid': 0.07738466845376381, 'Oslo': 0.29920371994136374, 'O': 0.14528580610470065}",Oslo,True
31,"You are looking for a small city to visit. If I were you, between Manila and Rabat I would visit ->",Rabat,Manila,"{'Tokyo': 0.029702656284030633, 'Madrid': 0.031700462763112926, 'Man': 0.21682456687333157, 'Manila': 0.6125848717746286, 'M': 0.01068737115996368}",Manila,False
32,"You are looking for a small city to visit. If I were you, between Jakarta and Milwaukee I would visit ->",Milwaukee,Jakarta,"{'Milwaukee': 0.7650788106533111, 'Warsaw': 0.12631323057066143, 'W': 0.018212334402882925, 'Jakarta': 0.012926575118214195, 'Seattle': 0.009746575367812904}",Milwaukee,True
33,"You are looking for a small city to visit. If I were you, between Chicago and Curitiba I would visit ->",Curitiba,Chicago,"{'city': 0.010367410485771394, 'C': 0.00878732795865018, 'Chicago': 0.8898112619230208, 'Ch': 0.020848001221685494, 'Detroit': 0.009328636651885972}",Chicago,False
34,"You are looking for a small city to visit. If I were you, between Toronto and Lusaka I would visit ->",Lusaka,Toronto,"{'Hamilton': 0.010306556838700935, 'Tokyo': 0.008764077625273281, 'city': 0.008854548475114934, 'T': 0.016884453359415418, 'Toronto': 0.8994195573468228}",Toronto,False
35,"You are looking for a small city to visit. If I were you, between Chicago and Malabo I would visit ->",Malabo,Chicago,"{'city': 0.009919656354191108, 'Mal': 0.012549736620988248, 'Chicago': 0.8374765798769118, 'Ch': 0.034486718502747905, 'Detroit': 0.020062164519523737}",Chicago,False
