,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like the cold weather. If I were you, between Bamako and Dublin I would visit ->",Bamako,Dublin,"{'Barcelona': 0.0025048510682629532, 'Dublin': 0.9185445578160581, 'B': 0.006612899947982083, 'Budapest': 0.001157496263600527, 'Bam': 0.0670334051174674}",Dublin,False
1,"You don't like the cold weather. If I were you, between Willemstad and Baltimore I would visit ->",Willemstad,Baltimore,"{'Baltimore': 0.9978125509613149, 'Maryland': 9.260337221190567e-05, 'altimore': 0.001522691783712017, 'Wil': 0.00016511291248692258, 'Seattle': 0.00019847567687098514}",Baltimore,False
2,"You don't like the cold weather. If I were you, between Willemstad and Tirana I would visit ->",Willemstad,Tirana,"{'Pir': 0.00031913351513533964, 'Tall': 0.0002701392476156712, 'T': 0.08607474777975062, 'Vil': 0.0011762298475574717, 'Tir': 0.9094762041750898}",Tir,False
3,"You don't like the cold weather. If I were you, between Toamasina and Indianapolis I would visit ->",Toamasina,Indianapolis,"{'Indiana': 0.008589366450614153, 'To': 0.012226966471412143, 'Indianapolis': 0.9724962952581301, 'Colts': 0.0003486879018132455, 'Indy': 0.005158303668254169}",Indianapolis,False
4,"You don't like the cold weather. If I were you, between Pontianak and Zagreb I would visit ->",Pontianak,Zagreb,"{'Z': 0.032105747982531414, 'Singapore': 0.0004498750861803482, 'Pont': 0.9582704001344967, 'ont': 0.0037299248238250996, 'Kuala': 0.001991732332665899}",Pont,True
5,"You don't like the cold weather. If I were you, between Hat Yai and Skopje I would visit ->",Hat Yai,Skopje,"{'Hat': 0.026836070022769568, 'k': 0.0012048195190248966, 'Med': 0.0006762342623602984, 'Sk': 0.965582779835127, 'Sof': 0.0008669866319893552}",Sk,False
6,"You don't like the cold weather. If I were you, between Lomé and Lhasa I would visit ->",Lomé,Lhasa,"{'Tibet': 0.0007778389969470872, 'T': 0.00036708930560088945, 'S': 0.00010309146026534517, 'Tibetan': 8.010534315978857e-05, 'L': 0.9983714068993523}",L,False
7,"You don't like the cold weather. If I were you, between Muscat and Punta Arenas I would visit ->",Muscat,Punta Arenas,"{'Vancouver': 0.03666988254247087, 'Monte': 0.026489946376298496, 'Mus': 0.36329089572706263, 'P': 0.47171376850692054, 'Seattle': 0.02210231775866138}",P,False
8,"You don't like the cold weather. If I were you, between Garissa and Podgorica I would visit ->",Garissa,Podgorica,"{'Barcelona': 0.003003372064659841, 'Pod': 0.9689500368296726, 'Split': 0.0035202080007351593, 'od': 0.005266185460769381, 'Gar': 0.010836068860390447}",Pod,False
9,"You don't like the cold weather. If I were you, between Kathmandu and Suwałki I would visit ->",Kathmandu,Suwałki,"{'Barcelona': 0.00032761087846141807, 'Kath': 0.9905034705630981, 'K': 0.0007725101578178917, 'Kh': 0.005425040034236921, 'Seattle': 0.00032904961930981945}",Kath,True
10,"You don't like the cold weather. If I were you, between Ouahigouya and Saint Petersburg I would visit ->",Ouahigouya,Saint Petersburg,"{'Petersburg': 0.0007064211278036344, 'Ou': 0.012836174002587745, 'aint': 0.0013500630282892029, 'St': 0.6120612253818588, 'Saint': 0.3712586832177607}",St,False
11,"You don't like the cold weather. If I were you, between Hamilton and Erzurum I would visit ->",Hamilton,Erzurum,"{'Hamilton': 0.9999443763870506, 'Edmonton': 7.488164077228922e-07, 'warmer': 4.7182296305198485e-07, 'amilton': 1.0155492081850283e-06, 'Er': 5.268340750997827e-05}",Hamilton,True
12,"You don't like the cold weather. If I were you, between Douala and Skopje I would visit ->",Douala,Skopje,"{'Dak': 0.013409189814918706, 'D': 0.06362809251174481, 'Sk': 0.16156161371569472, 'Bel': 0.008943001570552741, 'Dou': 0.6751728816095024}",Dou,True
13,"You don't like the cold weather. If I were you, between Antofagasta and Minsk I would visit ->",Antofagasta,Minsk,"{'nt': 7.60966120337658e-07, 'San': 4.7323038270666743e-07, 'T': 2.0728151329307702e-07, 'M': 0.0746398598592807, 'Ant': 0.9253575181831729}",Ant,True
14,"You don't like the cold weather. If I were you, between Malabo and Sacramento I would visit ->",Malabo,Sacramento,"{'Madrid': 0.0007487857226174229, 'Sacramento': 0.9567992343553309, 'San': 0.0068523336903858955, 'California': 0.00034068304490631135, 'Mal': 0.03379371299025287}",Sacramento,False
15,"You don't like the cold weather. If I were you, between Lusaka and Murmansk I would visit ->",Lusaka,Murmansk,"{'Vancouver': 0.0008590529469385374, 'warmer': 0.0053563473540396336, 'ur': 0.001132051959088128, 'L': 0.8481355069708982, 'Mur': 0.13728544233220347}",L,True
16,"You don't like the cold weather. If I were you, between Sydney and Fairbanks I would visit ->",Sydney,Fairbanks,"{'Sydney': 0.9988779915227414, 'warmer': 3.653108558387839e-05, 'Adelaide': 9.198481949677235e-05, 'S': 0.0006948052274150852, 'New': 5.270801640701566e-05}",Sydney,True
17,"You don't like the cold weather. If I were you, between Tampa and Anchorage I would visit ->",Tampa,Anchorage,"{'Tampa': 0.9681089881300653, 'warmer': 0.0023242025221662664, 'T': 0.0060875936908367225, 'Anchorage': 0.015571655072090951, 'Seattle': 0.0020840286658068276}",Tampa,True
18,"You don't like the cold weather. If I were you, between Port Sudan and Ulaanbaatar I would visit ->",Port Sudan,Ulaanbaatar,"{'Barcelona': 0.017637931450331025, 'O': 0.012744850134389599, 'U': 0.8778674103670876, 'Kh': 0.011121186457866434, 'Detroit': 0.014746433825070255}",U,False
19,"You don't like the cold weather. If I were you, between Toamasina and Chicago I would visit ->",Toamasina,Chicago,"{'To': 0.0008847333126564384, 'hicago': 0.0029533495856696045, 'Chicago': 0.9948869543466817, 'Chic': 0.00017553817804474048, 'Illinois': 0.00028033030200991796}",Chicago,False
20,"You don't like the cold weather. If I were you, between Florianópolis and Fairbanks I would visit ->",Florianópolis,Fairbanks,"{'Salvador': 0.0013249109888856729, 'lor': 0.0024202041085357867, 'Flor': 0.9216014460288687, 'Fort': 0.006324154052207498, 'Fair': 0.06327799124136256}",Flor,True
21,"You don't like the cold weather. If I were you, between Djibouti and Pittsburgh I would visit ->",Djibouti,Pittsburgh,"{'Pittsburgh': 0.9918304446877628, 'Dj': 0.0025241018058343224, 'Dh': 0.003335183762277094, 'itt': 0.0015120644144239483, 'Seattle': 0.0002046566215631624}",Pittsburgh,False
22,"You don't like the cold weather. If I were you, between Abéché and Kabul I would visit ->",Abéché,Kabul,"{'Tehran': 0.019013546123084563, 'Ab': 0.0006440117414248224, 'Kabul': 0.9738297054756869, 'K': 0.0014723058525409258, 'Kh': 0.0017792141516494136}",Kabul,False
