,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for a city with warm weather. If I were you, between Bamako and Dublin I would visit ->",Bamako,Dublin,"{'Tam': 5.9184551767557264e-05, 'Mali': 2.5570610149803655e-06, 'B': 0.0002925657881003245, 'Bam': 0.9996364582373265, 'Ou': 1.8884559886311293e-06}",Bam,True
1,"You are looking for a city with warm weather. If I were you, between Willemstad and Baltimore I would visit ->",Willemstad,Baltimore,"{'Gu': 8.878223360491046e-05, 'il': 0.011666446240625407, 'Georgetown': 0.00036712043609391887, 'W': 0.0010794366438554275, 'Wil': 0.9865053591950111}",Wil,True
2,"You are looking for a city with warm weather. If I were you, between Willemstad and Tirana I would visit ->",Willemstad,Tirana,"{'Tam': 0.0008045691831619027, 'il': 0.006671003370555344, 'W': 0.0034349125917245084, 'Tir': 0.007382706302018267, 'Wil': 0.9808685522732195}",Wil,True
3,"You are looking for a city with warm weather. If I were you, between Toamasina and Indianapolis I would visit ->",Toamasina,Indianapolis,"{'Tam': 0.19850966298788572, 'To': 0.7962354622764666, 'o': 0.00024617374274573615, 'T': 0.004895288828204134, 'Hon': 2.754148898109036e-05}",To,True
4,"You are looking for a city with warm weather. If I were you, between Pontianak and Zagreb I would visit ->",Pontianak,Zagreb,"{'Pont': 0.9937856365274698, 'Georgetown': 1.9427266285919495e-05, 'pont': 3.28207047285285e-05, 'ont': 0.006035143782163755, 'Kuala': 3.11952100179725e-05}",Pont,True
5,"You are looking for a city with warm weather. If I were you, between Hat Yai and Skopje I would visit ->",Hat Yai,Skopje,"{'Hat': 0.7190639012761754, 'Singapore': 0.00034283269482034265, 'Sk': 0.278293963863777, 'at': 0.0006351151099425001, 'Kh': 0.0007201705492831614}",Hat,True
6,"You are looking for a city with warm weather. If I were you, between Lomé and Lhasa I would visit ->",Lomé,Lhasa,"{'Tam': 0.00020385104548797464, 'Kum': 1.0094770908683163e-05, 'T': 0.00023670261352430282, 'L': 0.9995039007479481, '': 1.3293491545396538e-05}",L,False
7,"You are looking for a city with warm weather. If I were you, between Muscat and Punta Arenas I would visit ->",Muscat,Punta Arenas,"{'us': 0.0017704580155908079, 'Tam': 0.00012814962902604684, 'Mus': 0.9976818965611984, 'MUS': 7.12711457778368e-05, 'Oman': 0.0001703221353797859}",Mus,True
8,"You are looking for a city with warm weather. If I were you, between Garissa and Podgorica I would visit ->",Garissa,Podgorica,"{'Pod': 0.0002148273232944512, 'ar': 0.009819388788988907, 'G': 0.00012930921582212165, 'gar': 3.5979903913447404e-05, 'Gar': 0.9895453250256988}",Gar,True
9,"You are looking for a city with warm weather. If I were you, between Kathmandu and Suwałki I would visit ->",Kathmandu,Suwałki,"{'Kath': 0.9999188665274982, 'Kum': 4.622444376309162e-07, 'K': 3.5498720406993675e-06, 'Kh': 7.573167931914203e-05, 'Kat': 1.8565142140186612e-07}",Kath,True
10,"You are looking for a city with warm weather. If I were you, between Ouahigouya and Saint Petersburg I would visit ->",Ouahigouya,Saint Petersburg,"{'Gu': 1.8634836218098769e-07, 'Ou': 0.9999901538444738, 'O': 3.7561276934687356e-06, 'St': 3.206870857503383e-07, 'Saint': 4.533247445116672e-06}",Ou,True
11,"You are looking for a city with warm weather. If I were you, between Hamilton and Erzurum I would visit ->",Hamilton,Erzurum,"{'Hamilton': 0.9997516762074582, 'Col': 8.217431937984536e-08, 'amilton': 9.67613119013452e-07, 'Er': 0.0002465797715496212, 'r': 1.5386003675956197e-07}",Hamilton,True
12,"You are looking for a city with warm weather. If I were you, between Douala and Skopje I would visit ->",Douala,Skopje,"{'Gu': 2.809803255253008e-05, 'D': 0.0001770753871438496, 'ou': 0.00016588927669796715, 'Dou': 0.9995036615167181, 'Acc': 2.3573697032668248e-05}",Dou,True
13,"You are looking for a city with warm weather. If I were you, between Antofagasta and Minsk I would visit ->",Antofagasta,Minsk,"{'nt': 1.765051116151624e-07, 'Gu': 4.4955847297782185e-08, 'M': 0.030533656865336354, 'Ant': 0.9694660266970595, '': 5.271029760567975e-08}",Ant,True
14,"You are looking for a city with warm weather. If I were you, between Malabo and Sacramento I would visit ->",Malabo,Sacramento,"{'Tam': 0.0011331159083572248, 'al': 0.0022992000980367722, 'Man': 0.0016104365301460664, 'Georgetown': 0.0005078849563045754, 'Mal': 0.9932215381212882}",Mal,True
15,"You are looking for a city with warm weather. If I were you, between Lusaka and Murmansk I would visit ->",Lusaka,Murmansk,"{'Tam': 0.00015815072879050437, 'Living': 0.00045622675605418904, 'L': 0.9842583161191791, '': 0.00010727000400706412, 'Mur': 0.014735799583940817}",L,True
16,"You are looking for a city with warm weather. If I were you, between Sydney and Fairbanks I would visit ->",Sydney,Fairbanks,"{'Syd': 0.00014278336591968223, 'Sydney': 0.9992611298690667, 'NSW': 8.850539919129925e-05, 'Adelaide': 0.00012366874230850406, 'Fair': 0.00011328486299035558}",Sydney,True
