,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like restaurants further away. If I were you, between Juice & Java Cafe and Smoke's Weinerie I would go to ->",Juice & Java Cafe,Smoke's Weinerie,"{'Ju': 9.692501622537502e-06, 'juice': 6.707897462317916e-06, 'Smoke': 0.00012181062175057247, 'u': 2.0238719122682523e-05, 'Juice': 0.9998211130821731}",Juice,True
1,"You don't like restaurants further away. If I were you, between Green Grotto and Nutella Cafe by Pusateri's I would go to ->",Green Grotto,Nutella Cafe by Pusateri's,"{'reen': 0.005901533774942678, 'nearest': 7.327493195447177e-05, 'Green': 0.9937919536453246, 'P': 3.3896052357158446e-05, 'nearer': 3.061078990145452e-05}",Green,True
2,"You don't like restaurants further away. If I were you, between Bonne Journee and McDonald's I would go to ->",McDonald's,Bonne Journee,"{'McDonald': 0.9980057321997936, 'nearest': 0.0004436309211013307, 'Starbucks': 0.0002583733308931612, 'MacDonald': 0.00015057579188120063, 'c': 0.0006729187255669781}",McDonald,True
3,"You don't like restaurants further away. If I were you, between Dangerous Dan's Diner and Green Room I would go to ->",Dangerous Dan's Diner,Green Room,"{'reen': 0.0051617557279934655, 'nearest': 4.484367522626079e-05, 'Dangerous': 0.0004857594575021086, 'Green': 0.994107383967653, 'nearer': 5.502483110386915e-05}",Green,False
4,"You don't like restaurants further away. If I were you, between Ciao Europa wine bar and To-ne Sushi I would go to ->",Ciao Europa wine bar,To-ne Sushi,"{'restaurants': 1.3235672557308887e-06, 'nearest': 1.6496044929947754e-06, 'Cafe': 9.213756610287138e-07, 'C': 0.9999883657376786, 'restaurant': 4.1973675625471635e-06}",C,True
5,"You don't like restaurants further away. If I were you, between Green Room and Basil Express Restaurant I would go to ->",Basil Express Restaurant,Green Room,"{'reen': 0.007740448092255292, 'as': 0.008038368011817584, 'Basil': 0.4409836407625002, 'Green': 0.534209374387465, 'basil': 0.004255992028275996}",Green,False
6,"You don't like restaurants further away. If I were you, between Breakfast Room and Harvey's I would go to ->",Breakfast Room,Harvey's,"{'Harvey': 0.958081753470929, 'nearest': 0.0010755157123701273, 'Starbucks': 0.0015332563069727278, 'Cafe': 0.00041021895673413686, 'Breakfast': 0.03667499101290573}",Harvey,False
7,"You don't like restaurants further away. If I were you, between St. Louis Bar & Grill and Verona Restaurant I would go to ->",St. Louis Bar & Grill,Verona Restaurant,"{'t': 0.0006214450910446163, 'Bar': 0.000812489554372456, 'Restaurant': 0.0008441769744347397, 'St': 0.9964586238166097, 'restaurant': 0.0005601704755145055}",St,True
8,"You don't like restaurants further away. If I were you, between JJ Bean and Basil Express Restaurant I would go to ->",Basil Express Restaurant,JJ Bean,"{'as': 0.010623486727098551, 'Basil': 0.5452217425514353, 'basil': 0.003749041768697805, 'JJ': 0.42988345582315896, 'Bib': 0.005014337349487802}",Basil,True
9,"You don't like restaurants further away. If I were you, between Daily Press Juicery and Ardor Bistro I would go to ->",Daily Press Juicery,Ardor Bistro,"{'aily': 9.430795626865828e-05, 'Ard': 0.0019901087370596967, 'nearer': 6.800182601411204e-05, 'Daily': 0.9900822445510228}",Daily,True
10,"You don't like restaurants further away. If I were you, between Eggspectation and Evoo Ristorante I would go to ->",Evoo Ristorante,Eggspectation,"{'Egg': 0.9993529206462022, 'v': 9.774476583221617e-06, 'nearest': 5.543047639698706e-05, 'Eggs': 3.7937328869807613e-05, 'Ev': 0.00045620805114064396}",Egg,False
11,"You don't like restaurants further away. If I were you, between Basha Middle Eastern Grill and St. Clair Shawarma and Falafel I would go to ->",Basha Middle Eastern Grill,St. Clair Shawarma and Falafel,"{'restaurants': 1.34290953913506e-06, 'nearest': 2.561127414832238e-06, 'B': 0.9996380083547914, 'St': 0.0003482054078074239, 'restaurant': 2.337887065437541e-06}",B,True
12,"You don't like restaurants further away. If I were you, between La Cocina De Dona Luz and Phil's Original BBQ I would go to ->",La Cocina De Dona Luz,Phil's Original BBQ,"{'Ph': 0.00016195759763279634, 'nearest': 0.00029182040391662864, 'hil': 0.022761597118952436, 'Phil': 0.9668790006032676, 'La': 0.009303005118472152}",Phil,False
