,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for an expensive restaurant. Between Thompson Rooftop and Nook, you should go to ->",Thompson Rooftop,Nook,"{'Thompson': 0.9888365628203635, 'Thomson': 0.00010521907003414459, 'R': 0.002375135002388722, 'hompson': 0.008315832924809016, 'Th': 0.00013623884490902136}",Thompson,True
1,"You are looking for an expensive restaurant. Between Sheriff Broaster Chicken and Mirage Grill & Lounge, you should go to ->",Mirage Grill & Lounge,Sheriff Broaster Chicken,"{'Sheriff': 7.722719415973783e-06, 'Masquerade': 4.046157065607506e-06, 'Mirage': 0.9999211303763723, 'Spectre': 9.250555076223347e-06, 'Magic': 9.62266793130028e-06}",Mirage,True
2,"You are looking for an expensive restaurant. Between LCBO and Buk Chang Dong Soon Tofu, you should go to ->",LCBO,Buk Chang Dong Soon Tofu,"{'Shell': 0.00024934003267537225, 'LC': 0.9911231222060205, 'Buk': 0.000580485927008271, 'L': 0.0020584788320475956, 'C': 0.005792644244648432}",LC,True
3,"You are looking for an expensive restaurant. Between Cake Opera and Juice & Java Cafe, you should go to ->",Cake Opera,Juice & Java Cafe,"{'cake': 0.003731835780674131, 'ake': 0.003775938567618713, 'Cake': 0.9482133967517256, 'C': 0.022740804797843725, 'Sauce': 0.0042585140248951915}",Cake,True
4,"You are looking for an expensive restaurant. Between Mysteriously Yours Dinner Theatre and Hina Sushi, you should go to ->",Mysteriously Yours Dinner Theatre,Hina Sushi,"{'Myster': 0.9991426943966161, 'My': 0.00028668227820872956, 'Mysteries': 3.391008822805909e-05, 'Myst': 7.359849358750359e-05, 'myster': 0.00019006812451282556}",Myster,True
5,"You are looking for an expensive restaurant. Between Sichuan Landscape Chinese Restaurant and The Coffee Pocket, you should go to ->",Sichuan Landscape Chinese Restaurant,The Coffee Pocket,"{'s': 7.18708489673778e-07, 'S': 0.9995880022743813, 'The': 0.0004067167340365394, 'Chinese': 2.5511533676806263e-06, 'L': 5.684173027705712e-07}",S,True
6,"You are looking for an expensive restaurant. Between Queen Pita and LCBO, you should go to ->",LCBO,Queen Pita,"{'Shell': 6.782124934182033e-05, 'LC': 0.997061709151198, 'L': 0.000882246025833448, 'C': 0.0018126534731115293, 'Queen': 6.620583214729859e-05}",LC,True
7,"You are looking for an expensive restaurant. Between Supermodel Pizza and Lebanese Bakery, you should go to ->",Lebanese Bakery,Supermodel Pizza,"{'Lebanon': 0.0021816343090557836, 'Lebanese': 0.9964283430948819, 'Lah': 5.035878375965703e-05, 'L': 2.636207852392096e-05, 'Beirut': 0.0012139453546525267}",Lebanese,True
8,"You are looking for an expensive restaurant. Between New Bilan Restaurant and Joe Badali's Ristorante Italiano & Bar, you should go to ->",Joe Badali's Ristorante Italiano & Bar,New Bilan Restaurant,"{'Andrea': 0.001229651479191366, 'R': 0.0202193502486218, 'Joe': 0.5612666188168237, 'Joseph': 0.0029538791687260175, 'New': 0.40570653538052004}",Joe,True
9,"You are looking for an expensive restaurant. Between Chipotle Mexican Grill and Madras Pantry, you should go to ->",Chipotle Mexican Grill,Madras Pantry,"{'chip': 0.00012072926483138832, 'Chip': 0.9874633863580551, 'hip': 0.011478724506144023, 'Mad': 0.00039461695410688316}",Chip,True
10,"You are looking for an expensive restaurant. Between Helena's Magic Kitchen and FreshCo, you should go to ->",FreshCo,Helena's Magic Kitchen,"{'Fl': 0.00010242241221706328, 'The': 2.0461653182424194e-05, 'Helena': 0.9995698827069754, 'expensive': 5.8524914822033716e-05, 'Magic': 6.0801080364321354e-05}",Helena,False
