,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for a big city to visit. Between Moscow and Dublin, you should visit ->",Moscow,Dublin,"{'Tokyo': 0.0893133773470805, 'Madrid': 0.10540209145976204, 'Dublin': 0.17881788379851918, 'M': 0.027144799443293992, 'Moscow': 0.435109058552365}",Moscow,True
1,"You are looking for a big city to visit. Between Riyadh and Palmerston North, you should visit ->",Riyadh,Palmerston North,"{'Man': 0.004370907611590701, 'Palmer': 0.8575575744330515, 'R': 0.043882560190760346, 'Riyadh': 0.020706266397618574, 'New': 0.04408193136949037}",Palmer,False
2,"You are looking for a big city to visit. Between Lahore and La Paz, you should visit ->",Lahore,La Paz,"{'Gu': 0.019966052951257984, 'Lah': 0.35785013412132144, 'La': 0.43879344024400235, 'Kuala': 0.01872941493125268, 'Kh': 0.013077443540886241}",La,False
3,"You are looking for a big city to visit. Between Lahore and Tashkent, you should visit ->",Lahore,Tashkent,"{'Tehran': 0.00332886458033024, 'Lah': 0.015433666798148529, 'T': 0.9688120584799093, 'Kuala': 0.0016178669417109732, 'Kh': 0.004216111589481561}",T,False
4,"You are looking for a big city to visit. Between Beijing and Hobart, you should visit ->",Beijing,Hobart,"{'Beijing': 0.16803943415666048, 'Tokyo': 0.038826836852157626, 'Hob': 0.4994356090570182, 'Har': 0.01425957026705802, 'New': 0.020070235144987476}",Hob,False
5,"You are looking for a big city to visit. Between Alexandria and Tampa, you should visit ->",Alexandria,Tampa,"{'Tampa': 0.6744231406084064, 'Tall': 0.01809536049157341, 'Alexandria': 0.013481903153086944, 'T': 0.2171007385967085, 'Fort': 0.0158906784925937}",Tampa,False
6,"You are looking for a big city to visit. Between Luanda and Tripoli, you should visit ->",Luanda,Tripoli,"{'Mog': 0.016652581991732092, 'Tripoli': 0.6155329137316166, 'Kh': 0.06499726414820016, 'Lu': 0.13937967426538514, 'New': 0.01218986634334313}",Tripoli,False
7,"You are looking for a big city to visit. Between Mexico City and Cayenne, you should visit ->",Mexico City,Cayenne,"{'city': 0.019804125587126752, 'Gu': 0.04663115495369272, 'C': 0.011987936817744814, 'M': 0.019559034041036545, 'Mexico': 0.8231609026018464}",Mexico,True
8,"You are looking for a big city to visit. Between Lahore and Conakry, you should visit ->",Lahore,Conakry,"{'Delhi': 0.01587417665183067, 'Dh': 0.01905039581376156, 'Lah': 0.7617198056787943, 'Kuala': 0.025697368122752168, 'Kh': 0.035204850766709976}",Lah,True
9,"You are looking for a big city to visit. Between Sydney and La Ceiba, you should visit ->",Sydney,La Ceiba,"{'Tokyo': 0.0012728973486639309, 'Sydney': 0.9628751071766662, 'city': 0.0010367251792971913, 'S': 0.01675581025441033, 'New': 0.008746018593940624}",Sydney,True
10,"You are looking for a big city to visit. Between Mexico City and Conakry, you should visit ->",Mexico City,Conakry,"{'city': 0.011211726942684694, 'Gu': 0.03937390467504091, 'Mon': 0.012715723251143014, 'M': 0.01358571236314709, 'Mexico': 0.840465831119732}",Mexico,True
11,"You are looking for a big city to visit. Between Riyadh and Ouahigouya, you should visit ->",Riyadh,Ouahigouya,"{'Dh': 0.03452713646228724, 'R': 0.04504842304909774, 'Riyadh': 0.7765803613425525, 'Ou': 0.04343935289462436, 'Kh': 0.02049985635367766}",Riyadh,True
12,"You are looking for a big city to visit. Between Kuwait City and Murmansk, you should visit ->",Kuwait City,Murmansk,"{'Istanbul': 0.058072700294447055, 'Kuwait': 0.1835395689735678, 'Kuala': 0.05081310424928335, 'Kh': 0.10030690930459658, 'Mur': 0.2404549560281728}",Mur,False
