,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for a small city to visit. Between Monterrey and Florianópolis, this person should visit ->",Florianópolis,Monterrey,"{'Pir': 4.23328575166979e-05, 'Monte': 6.197930617526102e-05, 'lor': 0.0016105131887493621, 'Mon': 0.6904955988587178, 'Flor': 0.30768110677053884}",Mon,False
1,"Someone is looking for a small city to visit. Between Saint Petersburg and Kathmandu, this person should visit ->",Kathmandu,Saint Petersburg,"{'Nep': 0.0002937773178187661, 'Kath': 0.9963366126366958, 'N': 0.00034571009840287737, 'K': 0.0004309379266182751, 'St': 0.0008503538508406773}",Kath,True
2,"Someone is looking for a small city to visit. Between Phoenix and Mandalay, this person should visit ->",Mandalay,Phoenix,"{'Pir': 0.0004262306185831368, 'Tam': 2.3430241457810422e-05, 'Mand': 3.001741033910826e-05, 'M': 0.0007464816669204465, 'Mandal': 0.9984487757939532}",Mandal,True
3,"Someone is looking for a small city to visit. Between Sydney and Antofagasta, this person should visit ->",Antofagasta,Sydney,"{'Pir': 1.211395076145826e-07, 'nt': 2.718071580095955e-07, 'Antar': 5.281223233789825e-08, 'Ant': 0.9999994539509491, 'Conce': 2.38389509379047e-08}",Ant,True
4,"Someone is looking for a small city to visit. Between Buenos Aires and Port-Gentil, this person should visit ->",Port-Gentil,Buenos Aires,"{'ort': 0.006219390297161515, 'Gent': 0.0024400859863270004, 'G': 0.0033653375798865562, 'Port': 0.9846884374530218, 'Fort': 0.001117710368473408}",Port,True
5,"Someone is looking for a small city to visit. Between Ürümqi and Cotonou, this person should visit ->",Cotonou,Ürümqi,"{'T': 1.4410076862293856e-07, 'C': 0.99999909445401, 'ytes: \\xc4': 7.1989180503994e-08, 'O': 7.796210200979517e-08, 'Ü': 5.680644252053747e-07}",C,True
6,"Someone is looking for a small city to visit. Between Tampa and Makurdi, this person should visit ->",Makurdi,Tampa,"{'Pir': 0.00020617174972722797, 'Mar': 3.964915189094809e-05, 'Tampa': 4.918858370044387e-05, 'Mak': 0.9978636359809857, 'M': 0.0014697392130768217}",Mak,True
7,"Someone is looking for a small city to visit. Between Phoenix and Podgorica, this person should visit ->",Podgorica,Phoenix,"{'Pir': 0.0018707766752215516, 'Pod': 0.9924565745301741, 'pod': 1.9371454364760363e-05, 'od': 0.0054494859274196025}",Pod,True
8,"Someone is looking for a small city to visit. Between Guangzhou and Mahajanga, this person should visit ->",Mahajanga,Guangzhou,"{'Pir': 6.353901063417201e-05, 'M': 0.002325722582628878, 'ah': 0.008814466383663152, 'mah': 4.223053586064773e-05, 'Mah': 0.9885765072967725}",Mah,True
9,"Someone is looking for a small city to visit. Between Medellín and Neuquén, this person should visit ->",Neuquén,Medellín,"{'Ni': 0.0021115837935634712, 'Med': 0.42036125771258737, 'Ne': 0.5613405200446682, 'N': 0.01463266383807711, 'e': 0.001237952591350799}",Ne,True
