,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like hot weather. Between Muscat and Nur-Sultan, this person should visit ->",Nur-Sultan,Muscat,"{'Tehran': 0.039617382698592246, 'Mus': 0.22288066172070128, 'Sochi': 0.042546937529828736, 'Nur': 0.05475114485010212, 'Ash': 0.5129353321215336}",Ash,False
1,"Someone doesn't like hot weather. Between Djibouti and Perth, this person should visit ->",Perth,Djibouti,"{'WA': 2.033268232042311e-05, 'PER': 5.164258165067875e-05, 'Edinburgh': 1.3325287662037276e-05, 'Perth': 0.9997509611353275, 'er': 0.0001218861068098298}",Perth,True
2,"Someone doesn't like hot weather. Between Jakarta and Sapporo, this person should visit ->",Sapporo,Jakarta,"{'Tokyo': 3.4116002576010955e-05, 'Hok': 0.00016793190300317442, 'Sapp': 0.9996794356517339, 'S': 1.959257284543034e-05, 'cold': 1.9936586433226683e-05}",Sapp,True
3,"Someone doesn't like hot weather. Between Surabaya and Berlin, this person should visit ->",Berlin,Surabaya,"{'Berlin': 0.9988818066446279, 'er': 0.0007303826376368034, 'German': 8.716280144428664e-06, 'Germany': 0.00033686392248603923, 'Dresden': 1.4699346807952552e-05}",Berlin,True
4,"Someone doesn't like hot weather. Between Kathmandu and Kuopio, this person should visit ->",Kuopio,Kathmandu,"{'Ni': 0.00016040511083153204, 'Ku': 0.992995817033016, 'u': 0.005958068068698088, 'Helsinki': 0.0001418758753329465, 'K': 0.00048634174605339625}",Ku,True
5,"Someone doesn't like hot weather. Between Muscat and Fianarantsoa, this person should visit ->",Fianarantsoa,Muscat,"{'Fi': 0.0013959187197664792, 'T': 0.0004706348641257587, '': 0.0003694858918636816, 'F': 0.9967536687650823, 'cold': 0.0002502547897730159}",F,True
6,"Someone doesn't like hot weather. Between Port Moresby and Antofagasta, this person should visit ->",Antofagasta,Port Moresby,"{'San': 3.8083307317020343e-05, 'A': 1.655593351252537e-05, 'M': 3.0116631417964353e-05, 'Ant': 0.9997237802357055, 'Conce': 0.0001152661218465903}",Ant,True
7,"Someone doesn't like hot weather. Between Quito and Ulaanbaatar, this person should visit ->",Ulaanbaatar,Quito,"{'Har': 0.0003678045040306305, 'Mongolia': 0.002128760273345417, 'cold': 0.0008648002522096825, 'U': 0.9929016417045035, '': 0.0013087274841701408}",U,True
8,"Someone doesn't like hot weather. Between Monterrey and Dublin, this person should visit ->",Dublin,Monterrey,"{'Dub': 7.16115631878432e-05, 'Dublin': 0.997458319752896, 'D': 7.830806178895004e-05, 'ub': 0.001977714487963967, 'Ireland': 0.0003686817692401378}",Dublin,True
9,"Someone doesn't like hot weather. Between Manaus and Kunming, this person should visit ->",Kunming,Manaus,"{'Har': 5.608450425942157e-05, 'Kun': 0.9989445097221337, 'un': 0.00010317252200620474, 'Chong': 0.0003185366560294312, 'K': 0.0003979854942309248}",Kun,True
10,"Someone doesn't like hot weather. Between Kuwait City and Novosibirsk, this person should visit ->",Novosibirsk,Kuwait City,"{'ov': 0.005439921219112164, 'Siberia': 0.0025438787393248985, 'Siberian': 0.0045462125466150345, 'Nov': 0.9809858535098558, 'Ark': 0.0049030618581730485}",Nov,True
11,"Someone doesn't like hot weather. Between Willemstad and Murmansk, this person should visit ->",Murmansk,Willemstad,"{'ur': 0.006464310006415798, 'Vil': 6.520515680878553e-05, 'cold': 8.747364587215915e-05, 'Mur': 0.9922625637694052, 'Ark': 0.0008641337481855463}",Mur,True
12,"Someone doesn't like hot weather. Between Barranquilla and Beijing, this person should visit ->",Beijing,Barranquilla,"{'Beijing': 0.9921836636757783, 'China': 0.0006801412913368239, 'colder': 0.0002250301870708065, 'e': 0.003182347967754363, 'Chong': 0.0021861250192267913}",Beijing,True
13,"Someone doesn't like hot weather. Between Djibouti and Lusaka, this person should visit ->",Lusaka,Djibouti,"{'L': 0.9958728227025504, '': 0.0007691268096791255, 'Zamb': 0.0012782171800796679, 'Wichita': 0.0001964104413029617, 'cold': 0.0002494093588403464}",L,True
14,"Someone doesn't like hot weather. Between Surabaya and Bergen, this person should visit ->",Bergen,Surabaya,"{'ber': 0.0003638040352484151, 'Har': 0.0003669420956053513, 'er': 0.000770490448327967, 'Ber': 0.9981286366878988, 'Ark': 0.00010205966139900324}",Ber,True
15,"Someone doesn't like hot weather. Between Melbourne and Ulaanbaatar, this person should visit ->",Ulaanbaatar,Melbourne,"{'Tall': 0.00573606066244889, 'Mongolia': 0.018760561596585908, 'cold': 0.009053838206179256, 'U': 0.9197080511566245, 'Detroit': 0.0231126868021947}",U,True
16,"Someone doesn't like hot weather. Between Córdoba and Oslo, this person should visit ->",Oslo,Córdoba,"{'Norway': 0.0005117467930892046, 's': 0.001966855902022852, 'or': 0.00014309068040109702, 'Oslo': 0.9924718339650535, 'O': 0.004582533352703897}",Oslo,True
17,"Someone doesn't like hot weather. Between Parakou and Ushuaia, this person should visit ->",Ushuaia,Parakou,"{'San': 0.00032233570287210235, 'Conce': 5.668301223331596e-05, 'U': 0.9988512280442748, '': 0.00020409550743054878, 'Dun': 6.925563807260807e-05}",U,True
18,"Someone doesn't like hot weather. Between Juba and Ottawa, this person should visit ->",Ottawa,Juba,"{'Ottawa': 0.9991359006490487, 'O': 5.445651852262359e-05, 'cold': 1.1446323170667087e-05, 'tt': 0.0005161196187839109, 'Ott': 0.00023736702168303532}",Ottawa,True
19,"Someone doesn't like hot weather. Between Phnom Penh and Antofagasta, this person should visit ->",Antofagasta,Phnom Penh,"{'nt': 8.69906508128018e-06, 'San': 1.380913815229385e-05, 'A': 5.609269841110792e-06, 'Ant': 0.9999102832947844, 'Conce': 4.400791737026586e-05}",Ant,True
20,"Someone doesn't like hot weather. Between Baghdad and Vienna, this person should visit ->",Vienna,Baghdad,"{'Austria': 0.0013470692127312309, 'Vienna': 0.9952567439380762, 'Austrian': 0.00022436295109921206, 'W': 0.0022439429836502234, 'i': 0.0007120510141727096}",Vienna,True
21,"Someone doesn't like hot weather. Between La Paz and Minneapolis, this person should visit ->",Minneapolis,La Paz,"{'Min': 3.201253541988627e-05, 'Minneapolis': 0.9980618786873751, 'M': 2.726681944287373e-05, 'Minnesota': 0.0016645341241797226, 'in': 5.0823790300610765e-05}",Minneapolis,True
22,"Someone doesn't like hot weather. Between Bogotá and Fairbanks, this person should visit ->",Fairbanks,Bogotá,"{'air': 0.0015447617309118581, 'cold': 0.00022511481433007307, 'Fort': 6.486249437450263e-05, 'Fair': 0.9971938499203274, 'Ark': 0.0002868029968573477}",Fair,True
