{'statement': 'Between Managua and Amsterdam, the city with lower average temperature is Amsterdam.', 'answer': 'Amsterdam', 'candidate': 'Managua'}
{'statement': 'Between Bujumbura and London, the city with lower average temperature is London.', 'answer': 'London', 'candidate': 'Bujumbura'}
{'statement': 'Between Nairobi and Minneapolis, the city with lower average temperature is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Nairobi'}
{'statement': 'Between Karachi and Viedma, the city with lower average temperature is Viedma.', 'answer': 'Viedma', 'candidate': 'Karachi'}
{'statement': 'Between Managua and Suwałki, the city with lower average temperature is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Managua'}
{'statement': 'Between Bangui and Viedma, the city with lower average temperature is Viedma.', 'answer': 'Viedma', 'candidate': 'Bangui'}
{'statement': 'Between Bujumbura and Ulaanbaatar, the city with lower average temperature is Ulaanbaatar.', 'answer': 'Ulaanbaatar', 'candidate': 'Bujumbura'}
{'statement': 'Between Lisbon and Ushuaia, the city with lower average temperature is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Lisbon'}
{'statement': 'Between Abéché and Milan, the city with lower average temperature is Milan.', 'answer': 'Milan', 'candidate': 'Abéché'}
{'statement': 'Between Piura and Reykjavík, the city with lower average temperature is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'Piura'}
{'statement': 'Between Douala and Shanghai, the city with lower average temperature is Shanghai.', 'answer': 'Shanghai', 'candidate': 'Douala'}
{'statement': 'Between Mumbai and Lviv, the city with lower average temperature is Lviv.', 'answer': 'Lviv', 'candidate': 'Mumbai'}
{'statement': 'Between Djibouti and Toronto, the city with lower average temperature is Toronto.', 'answer': 'Toronto', 'candidate': 'Djibouti'}
{'statement': 'Between Kano and Minneapolis, the city with lower average temperature is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Kano'}
{'statement': 'Between Pontianak and Frankfurt, the city with lower average temperature is Frankfurt.', 'answer': 'Frankfurt', 'candidate': 'Pontianak'}
{'statement': 'Between Tampa and Zagreb, the city with lower average temperature is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Tampa'}
{'statement': 'Between Aden and Dublin, the city with lower average temperature is Dublin.', 'answer': 'Dublin', 'candidate': 'Aden'}
{'statement': 'Between Malabo and Beijing, the city with lower average temperature is Beijing.', 'answer': 'Beijing', 'candidate': 'Malabo'}
{'statement': 'Between Brasília and Anchorage, the city with lower average temperature is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Brasília'}
{'statement': 'Between Manila and Dublin, the city with lower average temperature is Dublin.', 'answer': 'Dublin', 'candidate': 'Manila'}
