,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like the restaurants nearby. If I were you, between Juice & Java Cafe and Smoke's Weinerie I would go to ->",Smoke's Weinerie,Juice & Java Cafe,"{'Sm': 7.441916910874675e-05, 'Smoke': 0.9969211583837545, 'Juice': 0.002299407035357636, 'Sauce': 7.014023239189727e-05, 'm': 0.0002859618922223462}",Smoke,True
1,"You don't like the restaurants nearby. If I were you, between Nutella Cafe by Pusateri's and Green Grotto I would go to ->",Nutella Cafe by Pusateri's,Green Grotto,"{'Nut': 0.0005939974093350174, 'fart': 1.0538450890380987e-05, 'Green': 0.0008047276184315075, 'P': 0.9985463481768347, 'ut': 2.063714397973921e-05}",P,False
2,"You don't like the restaurants nearby. If I were you, between McDonald's and Bonne Journee I would go to ->",Bonne Journee,McDonald's,"{'McDonald': 0.09301653555193579, 'on': 0.027642882451773484, 'B': 0.06854032642497242, 'Bulk': 0.0012940686911001819, 'Bon': 0.8014739892884883}",Bon,True
3,"You don't like the restaurants nearby. If I were you, between Dangerous Dan's Diner and Green Room I would go to ->",Green Room,Dangerous Dan's Diner,"{'Danger': 0.0009038302425461064, 'Dangerous': 0.9857080298512069, 'Green': 0.011010327312870705, '': 0.00032438580317920577, 'D': 0.0012479812914157871}",Dangerous,False
4,"You don't like the restaurants nearby. If I were you, between Ciao Europa wine bar and To-ne Sushi I would go to ->",To-ne Sushi,Ciao Europa wine bar,"{'fart': 3.596642066832599e-07, 'To': 0.0019184768789092623, 'o': 4.991675629835752e-07, 'A': 8.967147768306594e-07, 'C': 0.9980775548693813}",C,False
5,"You don't like the restaurants nearby. If I were you, between Green Room and Basil Express Restaurant I would go to ->",Green Room,Basil Express Restaurant,"{'reen': 0.0037530321214236492, 'as': 0.004279810697169008, 'Basil': 0.7140867824362988, 'Green': 0.2683454864873759, 'basil': 0.0017775817602802462}",Basil,False
6,"You don't like the restaurants nearby. If I were you, between Breakfast Room and Harvey's I would go to ->",Harvey's,Breakfast Room,"{'ar': 0.00016178941107690165, 'Harvey': 0.9997863063057508, 'fart': 1.1575207865623543e-05, 'Fl': 3.0873791452968083e-06, 'distance': 4.329268360882376e-06}",Harvey,True
7,"You don't like the restaurants nearby. If I were you, between St. Louis Bar & Grill and Verona Restaurant I would go to ->",Verona Restaurant,St. Louis Bar & Grill,"{'er': 0.0013559113062138798, 'The': 5.457315296921119e-05, 'Ver': 0.6864359208067494, 'St': 0.31189836420368716, 'V': 5.2175057653459536e-05}",Ver,True
8,"You don't like the restaurants nearby. If I were you, between Basil Express Restaurant and JJ Bean I would go to ->",JJ Bean,Basil Express Restaurant,"{'fart': 0.0019484151119111327, 'as': 0.0015306579551056737, 'J': 0.0043450761262173515, 'Basil': 0.2952092653681198, 'JJ': 0.6945762997300293}",JJ,True
9,"You don't like the restaurants nearby. If I were you, between Daily Press Juicery and Ardor Bistro I would go to ->",Ardor Bistro,Daily Press Juicery,"{'r': 5.167021782387907e-05, 'A': 7.59556454914724e-05, 'ard': 0.00016868896205228274, 'Ard': 0.9993369459175749, 'Ar': 0.0001353610371466904}",Ard,True
10,"You don't like the restaurants nearby. If I were you, between Evoo Ristorante and Eggspectation I would go to ->",Eggspectation,Evoo Ristorante,"{'v': 0.006757055910433867, 'Conv': 0.0004594699571116108, 'R': 0.00019143159871822307, 'The': 4.195568985672672e-05, 'Ev': 0.9923761689557795}",Ev,False
11,"You don't like the restaurants nearby. If I were you, between St. Clair Shawarma and Falafel and Basha Middle Eastern Grill I would go to ->",St. Clair Shawarma and Falafel,Basha Middle Eastern Grill,"{'Fl': 5.841563934336036e-06, 'B': 0.9986645450147061, 'The': 4.527032094327587e-06, 'St': 0.001236540892971148, 'Fal': 6.587865953053802e-05}",B,False
