,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for restaurants nearby. Between Sizzlers and Tortería San Cosme, this person should go to ->",Tortería San Cosme,Sizzlers,"{'or': 0.09488033622995637, 'Tor': 0.8997463128527464, 'TOR': 0.0010311482415960656, 'nearby': 0.0024406287218003077, 'tor': 0.0005138274753102174}",Tor,True
1,"Someone is looking for restaurants nearby. Between Dinah's Cupboard and Helena's Magic Kitchen, this person should go to ->",Dinah's Cupboard,Helena's Magic Kitchen,"{'Nik': 9.71126415598033e-05, 'din': 4.9958095196749347e-05, 'Din': 0.9994337447830334, '': 0.00013020023803053028, 'Helena': 8.031493213020289e-05}",Din,True
2,"Someone is looking for restaurants nearby. Between Bagel Nash and Tik Talk Cafe, this person should go to ->",Tik Talk Cafe,Bagel Nash,"{'Nik': 5.5784026109459924e-05, 'Bag': 0.9990042348035256, 'ag': 0.00045065746866714885, 'Tik': 0.000210053562551494, 'bag': 0.000207884899336993}",Bag,False
3,"Someone is looking for restaurants nearby. Between Villa Madina and Freshii, this person should go to ->",Villa Madina,Freshii,"{'Fresh': 0.9989215006988659, 'Villa': 0.00028247401327953384, 'resh': 3.8340184812540795e-05, 'Friendly': 6.726066262538761e-05}",Fresh,False
4,"Someone is looking for restaurants nearby. Between Amaya Express and Eggspectation, this person should go to ->",Amaya Express,Eggspectation,"{'Egg': 0.9185815759076477, 'Am': 0.06713207039036936, 'gg': 0.0008898616115222115, 'm': 0.009208877633857922, 'egg': 0.0032984596243026128}",Egg,False
5,"Someone is looking for restaurants nearby. Between Dangerous Dan's Diner and Druxy's Famous Deli, this person should go to ->",Dangerous Dan's Diner,Druxy's Famous Deli,"{'Dru': 0.9998912099180702, 'Dangerous': 9.833634073583781e-06, '': 4.606017302774484e-06, 'dru': 8.572937719726884e-05, 'nearby': 3.971224788054092e-06}",Dru,False
6,"Someone is looking for restaurants nearby. Between Eggspectation and Mamma's Pizza, this person should go to ->",Mamma's Pizza,Eggspectation,"{'Egg': 0.015509254014760549, 'nearest': 6.120559200435733e-05, 'Mam': 0.983860400898335, '': 0.00020355364012030977, 'nearby': 8.452890593727137e-05}",Mam,True
7,"Someone is looking for restaurants nearby. Between Tortería San Cosme and New Bilan Restaurant, this person should go to ->",Tortería San Cosme,New Bilan Restaurant,"{'or': 0.05770658426115137, 'Tor': 0.9407042707916751, 'TOR': 0.0002702035484080944, 'nearby': 0.0004639412639803407}",Tor,True
8,"Someone is looking for restaurants nearby. Between Falafel House and Warung Indonesia D'Eglinton, this person should go to ->",Warung Indonesia D'Eglinton,Falafel House,"{'war': 0.001044503109447343, 'WAR': 0.0014015268913422291, 'ar': 0.00010871530210606023, 'War': 0.9898093125418232}",War,True
9,"Someone is looking for restaurants nearby. Between Solero Mediterranean Bakery and Roncy's Bean, this person should go to ->",Solero Mediterranean Bakery,Roncy's Bean,"{'': 0.0003149961945516583, 'on': 0.011570338286020047, 'ol': 0.0045360962211776715, 'Sol': 0.024143540712009758, 'Ron': 0.9580079045014129}",Ron,False
10,"Someone is looking for restaurants nearby. Between To-ne Sushi and Supermodel Pizza, this person should go to ->",Supermodel Pizza,To-ne Sushi,"{'uper': 0.017512108903291322, '': 0.004363109446532539, 'To': 0.004968307699384051, 'Super': 0.9604630923185874, 'Model': 0.0026162716736386573}",Super,True
11,"Someone is looking for restaurants nearby. Between Topham Corner and FreshCo, this person should go to ->",FreshCo,Topham Corner,"{'Fresh': 0.26192069811184143, 'T': 0.7369197942908954, 'B': 6.21898969418321e-05, 'resh': 0.00030466979718705176, 'nearby': 0.00036323287516909156}",T,False
12,"Someone is looking for restaurants nearby. Between Marcello’s pizzeria and El Fogón, this person should go to ->",El Fogón,Marcello’s pizzeria,"{'el': 0.00021026939837295774, '': 1.7038944175746872e-05, 'EL': 6.547979082194271e-05, 'El': 0.9803325256333582, 'l': 0.019329309656105104}",El,True
13,"Someone is looking for restaurants nearby. Between Grappa Ristorante and McDonald's, this person should go to ->",McDonald's,Grappa Ristorante,"{'McDonald': 0.8702687560830025, 'MacDonald': 0.0003004284306228066, 'ra': 0.015006222958682487, 'Gra': 0.11257663378969643, 'c': 0.0012096950208831975}",McDonald,True
14,"Someone is looking for restaurants nearby. Between Falafel House and Basha Middle Eastern Grill, this person should go to ->",Basha Middle Eastern Grill,Falafel House,"{'': 2.7273890072658276e-08, 'B': 1.0, 'Bib': 3.645334106803761e-11, 'nearby': 3.8334072262735856e-11}",B,True
15,"Someone is looking for restaurants nearby. Between Pho 88 and Mamma's Pizza, this person should go to ->",Mamma's Pizza,Pho 88,"{'mom': 1.3692257922690704e-05, 'm': 1.2705570990676634e-05, 'Mam': 0.99947600333423, 'Mama': 1.1901061025675495e-05, '': 0.0004360284781022524}",Mam,True
