,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Dar es Salaam and Indianapolis, the city with warmer weather is ->",Dar es Salaam,Indianapolis,"{'Tam': 0.006749433523930805, 'Dh': 0.013097151698647438, 'ar': 0.014330007697247732, 'Kh': 0.0025193836265886773, 'Dar': 0.9501371655695323}",Dar,True
1,"Between Caracas and Omaha, the city with warmer weather is ->",Caracas,Omaha,"{'Car': 0.9666173956422073, 'Gu': 0.0033062826075808214, 'Havana': 0.0035521579035927473, 'Ch': 0.0058668524411640095, 'ar': 0.0029864006879588307}",Car,True
2,"Between Phnom Penh and Irkutsk, the city with warmer weather is ->",Phnom Penh,Irkutsk,"{'Ph': 0.5699324123549316, 'Col': 0.0003881283011244919, 'h': 0.0009491459288459498, 'Cambodia': 0.0006407523020395355, 'Kh': 0.4257197129836292}",Ph,True
3,"Between Parakou and Skopje, the city with warmer weather is ->",Parakou,Skopje,"{'ar': 0.0009457647485671594, 'Kum': 0.0010021555989522066, 'Par': 0.983690946522733, 'Sk': 0.005995974209711215, 'K': 0.0033019089766194365}",Par,True
4,"Between Mandalay and Podgorica, the city with warmer weather is ->",Mandalay,Podgorica,"{'Pod': 0.007761818728643659, 'Med': 0.0009060385528609366, 'Mog': 0.004983703448347845, 'M': 0.01190945924605019, 'Mandal': 0.9699624069086606}",Mandal,True
5,"Between Rosario and Novosibirsk, the city with warmer weather is ->",Rosario,Novosibirsk,"{'Ros': 0.9775108504300778, 'Mar': 0.002544453720890457, 'Rio': 0.003066887730992899, 'os': 0.007108905394304837, 'ROS': 0.0017086904851477075}",Ros,True
6,"Between Bata and Lviv, the city with warmer weather is ->",Bata,Lviv,"{'Lv': 0.04675455475868396, 'v': 7.337010456981377e-05, 'B': 0.9522390431159423, 'Kh': 0.00012847117472487024, 'Bat': 0.00048823793461638416}",B,True
7,"Between Tampa and Ushuaia, the city with warmer weather is ->",Tampa,Ushuaia,"{'Tampa': 0.29612346504098463, 'T': 0.04974694123406689, 'Havana': 0.020478131875253373, 'U': 0.4638916532265083, 'St': 0.024652997092050516}",U,False
8,"Between Bangui and Baku, the city with warmer weather is ->",Bangui,Baku,"{'Gu': 1.5742099981507053e-06, 'C': 1.6555140386318308e-06, 'B': 0.9999931331039772, 'Libre': 9.889876428423375e-07, 'K': 6.627009528653583e-07}",B,False
9,"Between San Juan and Indianapolis, the city with warmer weather is ->",San Juan,Indianapolis,"{'Sant': 1.5042936687885734e-05, 'Juan': 1.2412965832401373e-05, 'Indianapolis': 2.1558335889295767e-05, 'Gu': 2.541017415123971e-06, 'San': 0.99992685289538}",San,True
