,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like expensive restaurants. If I were you, between Watson's and Top Sushi I would go to -> Top Sushi. You don't like expensive restaurants. If I were you, between Druxy's Famous Deli and LCBO I would go to -> Druxy's Famous Deli. You don't like expensive restaurants. If I were you, between Joe Badali's Ristorante Italiano & Bar and Grappa Ristorante I would go to -> Joe Badali's Ristorante Italiano & Bar. You don't like expensive restaurants. If I were you, between EJ Sushi and Mysteriously Yours Dinner Theatre I would go to -> EJ Sushi. You don't like expensive restaurants. If I were you, between Bagel Nash and Branca I would go to -> Bagel Nash. You don't like expensive restaurants. If I were you, between Galata Cafe and Basil Express Restaurant I would go to -> Basil Express Restaurant. You don't like expensive restaurants. If I were you, between Sweet Jesus and Sheriff Broaster Chicken I would go to -> Sweet Jesus. You don't like expensive restaurants. If I were you, between Le Papillon Park and Goldstone Noodle Restaurant I would go to -> Goldstone Noodle Restaurant. You don't like expensive restaurants. If I were you, between Domino's Pizza and Big Al's Diner I would go to ->",Big Al's Diner,Domino's Pizza,"{'ig': 0.0016229529181827499, '': 0.0018950046246541247, 'om': 0.0032023479623383973, 'Big': 0.5517483303216658, 'Dom': 0.4382916160837827}",Big,True
1,"You don't like expensive restaurants. If I were you, between Big Al's Diner and Domino's Pizza I would go to -> Big Al's Diner. You don't like expensive restaurants. If I were you, between LCBO and Druxy's Famous Deli I would go to -> Druxy's Famous Deli. You don't like expensive restaurants. If I were you, between Grappa Ristorante and Joe Badali's Ristorante Italiano & Bar I would go to -> Joe Badali's Ristorante Italiano & Bar. You don't like expensive restaurants. If I were you, between Mysteriously Yours Dinner Theatre and EJ Sushi I would go to -> EJ Sushi. You don't like expensive restaurants. If I were you, between Bagel Nash and Branca I would go to -> Bagel Nash. You don't like expensive restaurants. If I were you, between Galata Cafe and Basil Express Restaurant I would go to -> Basil Express Restaurant. You don't like expensive restaurants. If I were you, between Sheriff Broaster Chicken and Sweet Jesus I would go to -> Sweet Jesus. You don't like expensive restaurants. If I were you, between Goldstone Noodle Restaurant and Le Papillon Park I would go to -> Goldstone Noodle Restaurant. You don't like expensive restaurants. If I were you, between Top Sushi and Watson's I would go to ->",Top Sushi,Watson's,"{'Watson': 0.5769296751834656, '': 0.0018929884655222641, 'W': 0.0006562882894053206, 'Top': 0.4122064759295958, 'op': 0.005701887606087156}",Watson,False
2,"You don't like expensive restaurants. If I were you, between Domino's Pizza and Big Al's Diner I would go to -> Big Al's Diner. You don't like expensive restaurants. If I were you, between Watson's and Top Sushi I would go to -> Top Sushi. You don't like expensive restaurants. If I were you, between Grappa Ristorante and Joe Badali's Ristorante Italiano & Bar I would go to -> Joe Badali's Ristorante Italiano & Bar. You don't like expensive restaurants. If I were you, between Mysteriously Yours Dinner Theatre and EJ Sushi I would go to -> EJ Sushi. You don't like expensive restaurants. If I were you, between Bagel Nash and Branca I would go to -> Bagel Nash. You don't like expensive restaurants. If I were you, between Galata Cafe and Basil Express Restaurant I would go to -> Basil Express Restaurant. You don't like expensive restaurants. If I were you, between Sweet Jesus and Sheriff Broaster Chicken I would go to -> Sweet Jesus. You don't like expensive restaurants. If I were you, between Le Papillon Park and Goldstone Noodle Restaurant I would go to -> Goldstone Noodle Restaurant. You don't like expensive restaurants. If I were you, between Druxy's Famous Deli and LCBO I would go to ->",Druxy's Famous Deli,LCBO,"{'': 0.00031491619567852914, 'Dru': 0.45776469191771635, 'LC': 0.5369162584122987, 'dru': 0.0005778180102674781, 'C': 0.0027769446567672863}",LC,False
3,"You don't like expensive restaurants. If I were you, between Domino's Pizza and Big Al's Diner I would go to -> Big Al's Diner. You don't like expensive restaurants. If I were you, between Top Sushi and Watson's I would go to -> Top Sushi. You don't like expensive restaurants. If I were you, between LCBO and Druxy's Famous Deli I would go to -> Druxy's Famous Deli. You don't like expensive restaurants. If I were you, between Mysteriously Yours Dinner Theatre and EJ Sushi I would go to -> EJ Sushi. You don't like expensive restaurants. If I were you, between Bagel Nash and Branca I would go to -> Bagel Nash. You don't like expensive restaurants. If I were you, between Basil Express Restaurant and Galata Cafe I would go to -> Basil Express Restaurant. You don't like expensive restaurants. If I were you, between Sweet Jesus and Sheriff Broaster Chicken I would go to -> Sweet Jesus. You don't like expensive restaurants. If I were you, between Le Papillon Park and Goldstone Noodle Restaurant I would go to -> Goldstone Noodle Restaurant. You don't like expensive restaurants. If I were you, between Grappa Ristorante and Joe Badali's Ristorante Italiano & Bar I would go to ->",Joe Badali's Ristorante Italiano & Bar,Grappa Ristorante,"{'oe': 0.004831378250270126, '': 0.00037586429397538896, 'ra': 0.00093077870962333, 'Joe': 0.8710975593182352, 'Gra': 0.12108909282325696}",Joe,True
4,"You don't like expensive restaurants. If I were you, between Big Al's Diner and Domino's Pizza I would go to -> Big Al's Diner. You don't like expensive restaurants. If I were you, between Top Sushi and Watson's I would go to -> Top Sushi. You don't like expensive restaurants. If I were you, between Druxy's Famous Deli and LCBO I would go to -> Druxy's Famous Deli. You don't like expensive restaurants. If I were you, between Joe Badali's Ristorante Italiano & Bar and Grappa Ristorante I would go to -> Joe Badali's Ristorante Italiano & Bar. You don't like expensive restaurants. If I were you, between Branca and Bagel Nash I would go to -> Bagel Nash. You don't like expensive restaurants. If I were you, between Galata Cafe and Basil Express Restaurant I would go to -> Basil Express Restaurant. You don't like expensive restaurants. If I were you, between Sheriff Broaster Chicken and Sweet Jesus I would go to -> Sweet Jesus. You don't like expensive restaurants. If I were you, between Le Papillon Park and Goldstone Noodle Restaurant I would go to -> Goldstone Noodle Restaurant. You don't like expensive restaurants. If I were you, between EJ Sushi and Mysteriously Yours Dinner Theatre I would go to ->",EJ Sushi,Mysteriously Yours Dinner Theatre,"{'Myster': 0.7726366443212064, 'Myst': 0.0002279701177726314, '': 0.0005438857780360237, 'E': 0.2247626100941794, 'myster': 0.00039681157980621466}",Myster,False
5,"You don't like expensive restaurants. If I were you, between Domino's Pizza and Big Al's Diner I would go to -> Big Al's Diner. You don't like expensive restaurants. If I were you, between Top Sushi and Watson's I would go to -> Top Sushi. You don't like expensive restaurants. If I were you, between Druxy's Famous Deli and LCBO I would go to -> Druxy's Famous Deli. You don't like expensive restaurants. If I were you, between Joe Badali's Ristorante Italiano & Bar and Grappa Ristorante I would go to -> Joe Badali's Ristorante Italiano & Bar. You don't like expensive restaurants. If I were you, between Mysteriously Yours Dinner Theatre and EJ Sushi I would go to -> EJ Sushi. You don't like expensive restaurants. If I were you, between Basil Express Restaurant and Galata Cafe I would go to -> Basil Express Restaurant. You don't like expensive restaurants. If I were you, between Sweet Jesus and Sheriff Broaster Chicken I would go to -> Sweet Jesus. You don't like expensive restaurants. If I were you, between Goldstone Noodle Restaurant and Le Papillon Park I would go to -> Goldstone Noodle Restaurant. You don't like expensive restaurants. If I were you, between Branca and Bagel Nash I would go to ->",Bagel Nash,Branca,"{'Br': 0.90440589089942, '': 0.0019751320936595815, 'Bag': 0.09049750479339998, 'bag': 0.0002635619798487168, 'r': 0.0016062344344218663}",Br,False
6,"You don't like expensive restaurants. If I were you, between Big Al's Diner and Domino's Pizza I would go to -> Big Al's Diner. You don't like expensive restaurants. If I were you, between Watson's and Top Sushi I would go to -> Top Sushi. You don't like expensive restaurants. If I were you, between LCBO and Druxy's Famous Deli I would go to -> Druxy's Famous Deli. You don't like expensive restaurants. If I were you, between Grappa Ristorante and Joe Badali's Ristorante Italiano & Bar I would go to -> Joe Badali's Ristorante Italiano & Bar. You don't like expensive restaurants. If I were you, between EJ Sushi and Mysteriously Yours Dinner Theatre I would go to -> EJ Sushi. You don't like expensive restaurants. If I were you, between Bagel Nash and Branca I would go to -> Bagel Nash. You don't like expensive restaurants. If I were you, between Sheriff Broaster Chicken and Sweet Jesus I would go to -> Sweet Jesus. You don't like expensive restaurants. If I were you, between Goldstone Noodle Restaurant and Le Papillon Park I would go to -> Goldstone Noodle Restaurant. You don't like expensive restaurants. If I were you, between Galata Cafe and Basil Express Restaurant I would go to ->",Basil Express Restaurant,Galata Cafe,"{'as': 0.000851333171613983, '': 0.0008597159620122789, 'al': 0.00585443198676875, 'Basil': 0.3486931046304725, 'Gal': 0.6414707321829933}",Gal,False
7,"You don't like expensive restaurants. If I were you, between Domino's Pizza and Big Al's Diner I would go to -> Big Al's Diner. You don't like expensive restaurants. If I were you, between Watson's and Top Sushi I would go to -> Top Sushi. You don't like expensive restaurants. If I were you, between Druxy's Famous Deli and LCBO I would go to -> Druxy's Famous Deli. You don't like expensive restaurants. If I were you, between Grappa Ristorante and Joe Badali's Ristorante Italiano & Bar I would go to -> Joe Badali's Ristorante Italiano & Bar. You don't like expensive restaurants. If I were you, between EJ Sushi and Mysteriously Yours Dinner Theatre I would go to -> EJ Sushi. You don't like expensive restaurants. If I were you, between Branca and Bagel Nash I would go to -> Bagel Nash. You don't like expensive restaurants. If I were you, between Basil Express Restaurant and Galata Cafe I would go to -> Basil Express Restaurant. You don't like expensive restaurants. If I were you, between Le Papillon Park and Goldstone Noodle Restaurant I would go to -> Goldstone Noodle Restaurant. You don't like expensive restaurants. If I were you, between Sheriff Broaster Chicken and Sweet Jesus I would go to ->",Sweet Jesus,Sheriff Broaster Chicken,"{'Sheriff': 0.41837001695358966, 'Sweet': 0.574883711217039, 'sheriff': 0.0009647071250957706, '': 0.00040717560648950745, 'weet': 0.003903022601494062}",Sweet,True
8,"You don't like expensive restaurants. If I were you, between Domino's Pizza and Big Al's Diner I would go to -> Big Al's Diner. You don't like expensive restaurants. If I were you, between Top Sushi and Watson's I would go to -> Top Sushi. You don't like expensive restaurants. If I were you, between LCBO and Druxy's Famous Deli I would go to -> Druxy's Famous Deli. You don't like expensive restaurants. If I were you, between Joe Badali's Ristorante Italiano & Bar and Grappa Ristorante I would go to -> Joe Badali's Ristorante Italiano & Bar. You don't like expensive restaurants. If I were you, between EJ Sushi and Mysteriously Yours Dinner Theatre I would go to -> EJ Sushi. You don't like expensive restaurants. If I were you, between Bagel Nash and Branca I would go to -> Bagel Nash. You don't like expensive restaurants. If I were you, between Basil Express Restaurant and Galata Cafe I would go to -> Basil Express Restaurant. You don't like expensive restaurants. If I were you, between Sweet Jesus and Sheriff Broaster Chicken I would go to -> Sweet Jesus. You don't like expensive restaurants. If I were you, between Le Papillon Park and Goldstone Noodle Restaurant I would go to ->",Goldstone Noodle Restaurant,Le Papillon Park,"{'Le': 0.2944000860023238, 'old': 0.007735887989960637, '': 0.0038159165274244734, 'e': 0.003322543748897693, 'Gold': 0.6861131178670405}",Gold,True
9,"You don't like expensive restaurants. If I were you, between Domino's Pizza and Big Al's Diner I would go to -> Big Al's Diner. You don't like expensive restaurants. If I were you, between Watson's and Top Sushi I would go to -> Top Sushi. You don't like expensive restaurants. If I were you, between Druxy's Famous Deli and LCBO I would go to -> Druxy's Famous Deli. You don't like expensive restaurants. If I were you, between Joe Badali's Ristorante Italiano & Bar and Grappa Ristorante I would go to -> Joe Badali's Ristorante Italiano & Bar. You don't like expensive restaurants. If I were you, between Mysteriously Yours Dinner Theatre and EJ Sushi I would go to -> EJ Sushi. You don't like expensive restaurants. If I were you, between Branca and Bagel Nash I would go to -> Bagel Nash. You don't like expensive restaurants. If I were you, between Galata Cafe and Basil Express Restaurant I would go to -> Basil Express Restaurant. You don't like expensive restaurants. If I were you, between Sheriff Broaster Chicken and Sweet Jesus I would go to -> Sweet Jesus. You don't like expensive restaurants. If I were you, between Freshii and Nutella Cafe by Pusateri's I would go to ->",Freshii,Nutella Cafe by Pusateri's,"{'Nut': 0.14589434261153833, '': 0.0015327205275263522, 'Fresh': 0.8280861451271735, 'P': 0.01678687916159683, 'resh': 0.00332663066343556}",Fresh,True
