,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like expensive restaurants. Between Hina Sushi and Sweet Jesus, you should go to ->",Sweet Jesus,Hina Sushi,"{'Sweet': 0.9611575881008909, 'S': 9.09691693680342e-06, 'weet': 1.7271964726221697e-06, 'H': 0.03881234938017481, 'The': 2.0097223093293962e-06}",Sweet,True
1,"You don't like expensive restaurants. Between Supermodel Pizza and Domino's Pizza, you should go to ->",Supermodel Pizza,Domino's Pizza,"{'uper': 0.0018594188245540043, 'Pizza': 0.07814579737126526, 'Super': 0.43575990670672143, 'P': 0.3926376274641017, 'Dom': 0.0849018666034637}",Super,True
2,"You don't like expensive restaurants. Between Verona Restaurant and Mi Mi Restaurant, you should go to ->",Mi Mi Restaurant,Verona Restaurant,"{'er': 0.022627441129271442, 'Mi': 0.12447274533676808, 'i': 0.0021026527860624703, 'Ver': 0.8366063497963784, 'V': 0.004532230846998961}",Ver,False
3,"You don't like expensive restaurants. Between Branca and Watson's, you should go to ->",Watson's,Branca,"{'Watson': 0.13003903556795443, 'Br': 0.8529734136756908, 'B': 0.004655598989252837, 'The': 0.0003261640768471597, 'r': 0.010406647441022973}",Br,False
4,"You don't like expensive restaurants. Between Harvey's and Dinah's Cupboard, you should go to ->",Harvey's,Dinah's Cupboard,"{'Harvey': 0.003263040988010854, 'din': 0.00017057678682730852, 'Din': 0.9950814463951694, 'in': 0.0003642569619363347, '': 0.0003672431849720367}",Din,False
5,"You don't like expensive restaurants. Between Adega Restaurante and McDonald's, you should go to ->",McDonald's,Adega Restaurante,"{'Ad': 0.9787631365546424, 'd': 0.019864679971777773, 'A': 0.0005132475374658874, '1': 0.00011058335251070411, 'restaurant': 0.0001347984308678546}",Ad,False
6,"You don't like expensive restaurants. Between Queen Slice and Lebanese Bakery, you should go to ->",Queen Slice,Lebanese Bakery,"{'Lebanon': 0.0005893186611402169, 'King': 0.0009813945378455342, 'Lebanese': 0.9838224315065642, 'L': 0.0007285611472677673, 'Queen': 0.012147522979255745}",Lebanese,False
7,"You don't like expensive restaurants. Between Modo Mio Italian Bistro and Nutella Cafe by Pusateri's, you should go to ->",Modo Mio Italian Bistro,Nutella Cafe by Pusateri's,"{'Nut': 0.010484907885781866, 'Mod': 0.6719598884816107, 'B': 0.001794418437120968, 'P': 0.3129221942544455, 'od': 0.0016920531597494715}",Mod,True
8,"You don't like expensive restaurants. Between Buk Chang Dong Soon Tofu and Milestones Restaurants, you should go to ->",Buk Chang Dong Soon Tofu,Milestones Restaurants,"{'Soon': 0.0020972305297202514, 'Yes': 0.012428090568775215, 'B': 0.011707384294255522, 'Buk': 0.8191059241298846, 'Mil': 0.14452619609581457}",Buk,True
9,"You don't like expensive restaurants. Between Kim PO Vietnamese and Pho 88, you should go to ->",Pho 88,Kim PO Vietnamese,"{'Nik': 0.00019821227610891708, 'Ph': 0.7761346933162275, 'im': 0.0014673752769899305, 'K': 0.0005239677087840585, 'Kim': 0.22145583497720478}",Ph,True
10,"You don't like expensive restaurants. Between Paradise Farms Prime Beef Bistro and Fitness Avenue, you should go to ->",Fitness Avenue,Paradise Farms Prime Beef Bistro,"{'fitness': 8.546659159157186e-05, 'Athlet': 4.432414480187757e-05, 'Paradise': 0.0016603082517954069, 'Fitness': 0.9967139093532621, 'F': 0.0012891605614264957}",Fitness,True
