,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for restaurants further away. Between JJ Bean and Sushi Shop, this person should go to ->",JJ Bean,Sushi Shop,"{'Se': 1.1618771499899662e-10, 'No': 1.2162117804579867e-10, 'S': 1.0, 'Sauce': 1.254647842900133e-10, 'JJ': 4.2337195373918477e-10}",S,False
1,"Someone is looking for restaurants further away. Between Carole's Cheesecake Cafe and Anatolia Restaurant, this person should go to ->",Carole's Cheesecake Cafe,Anatolia Restaurant,"{'An': 7.037468130784517e-05, 'Car': 0.3208347454806064, 'anat': 0.0005513512359955333, 'Anat': 0.67775905520942, 'ar': 0.0005530255804040173}",Anat,False
2,"Someone is looking for restaurants further away. Between Harry's Char Broil & Dining Lounge and EJ Sushi, this person should go to ->",EJ Sushi,Harry's Char Broil & Dining Lounge,"{'Epic': 0.0006692703960818708, 'S': 0.0005644169536937074, '': 0.00025863235071797686, 'E': 0.9952607379114035, 'Harry': 0.0021049419277406594}",E,True
3,"Someone is looking for restaurants further away. Between Juice & Java Cafe and Hawthorne Food and Drink, this person should go to ->",Hawthorne Food and Drink,Juice & Java Cafe,"{'juice': 0.00011859621332856892, 'u': 0.00012562440694473585, 'Juice': 0.9968658445515676, 'Sauce': 0.00012761725103406925, 'Hawth': 0.0027034730979898273}",Juice,False
4,"Someone is looking for restaurants further away. Between St. Clair Shawarma and Falafel and Kairali - Taste of Kerala, this person should go to ->",St. Clair Shawarma and Falafel,Kairali - Taste of Kerala,"{'al': 0.0022579736114832364, 'K': 0.003170323962317395, 'St': 0.011347668212429642, 'Fal': 0.9475365827579217}",Fal,True
5,"Someone is looking for restaurants further away. Between Eastern legend and Juice & Java Cafe, this person should go to ->",Eastern legend,Juice & Java Cafe,"{'eastern': 5.785694845243873e-05, 'juice': 0.00013196167743391112, 'Juice': 0.4932210441546182, 'astern': 0.0005173573101622989, 'Eastern': 0.5059779184873293}",Eastern,True
6,"Someone is looking for restaurants further away. Between Banjara Indian Cuisine and Kim PO Vietnamese, this person should go to ->",Banjara Indian Cuisine,Kim PO Vietnamese,"{'Ban': 0.9768915052303073, 'Gor': 8.751039251968128e-05, 'an': 0.021087821188479208, 'Kim': 0.00166149845508755, 'Ken': 0.00012190457395386247}",Ban,True
7,"Someone is looking for restaurants further away. Between Branca and Mirage Grill & Lounge, this person should go to ->",Mirage Grill & Lounge,Branca,"{'Barcelona': 0.00014439571593295245, 'Brussels': 0.0005069064946907451, 'Br': 0.0542127206356011, 'Mirage': 0.9406027056126921, 'r': 0.004140714174932598}",Mirage,True
8,"Someone is looking for restaurants further away. Between Helena's Magic Kitchen and La Cocina De Dona Luz, this person should go to ->",Helena's Magic Kitchen,La Cocina De Dona Luz,"{'Le': 0.004882777798782259, 'a': 0.01402186334502131, 'Lah': 0.10772057210661218, 'Helena': 0.14461034928497143, 'La': 0.7218501212031826}",La,False
9,"Someone is looking for restaurants further away. Between Freshii and Popeyes Louisiana Kitchen, this person should go to ->",Freshii,Popeyes Louisiana Kitchen,"{'Dim': 6.080116378201276e-09, 'Epic': 1.2218360066402998e-07, 'op': 4.051943534038707e-07, 'Fresh': 1.380624110554824e-07, 'Pop': 0.9999994539509491}",Pop,False
