,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Branca and Piper's Pub And Grill, the more expensive restaurant is ->",Branca,Piper's Pub And Grill,"{'Br': 0.12568697355263217, 'Piper': 0.8685404672246424, 'Conv': 0.0004999520320721105, 'P': 0.0001523545785721333, 'r': 0.004480086162676051}",Piper,False
1,"Between The Duke of Devon and Sweet Jesus, the more expensive restaurant is ->",The Duke of Devon,Sweet Jesus,"{'the': 8.971247525641874e-08, 'Conv': 1.686643980007502e-08, 'The': 0.9999999317236823, 'he': 1.2151053051624045e-08, 'Th': 7.481706666566749e-10}",The,True
2,"Between The Empire and Verona Restaurant, the more expensive restaurant is ->",Verona Restaurant,The Empire,"{'the': 2.8534869679746675e-08, 'Conv': 1.8000917772408216e-07, 'The': 0.9999998115819777, 'he': 2.3589833538385217e-08, 'Ver': 9.459927734281985e-08}",The,False
3,"Between Eastern legend and Hawthorne Food and Drink, the more expensive restaurant is ->",Hawthorne Food and Drink,Eastern legend,"{'eastern': 2.3806914363611084e-05, 'Conv': 1.80127629238723e-05, 'The': 2.9330139844862977e-06, 'astern': 0.0010173266741231165, 'Eastern': 0.9989115467953817}",Eastern,False
4,"Between Eggspectation and Solero Mediterranean Bakery, the more expensive restaurant is ->",Eggspectation,Solero Mediterranean Bakery,"{'Shell': 0.00553707996117678, 'ol': 0.013774654581647892, 'Conv': 0.003434423151553628, 'Sol': 0.9757667224701122}",Sol,False
5,"Between New Bilan Restaurant and Sichuan Landscape Chinese Restaurant, the more expensive restaurant is ->",Sichuan Landscape Chinese Restaurant,New Bilan Restaurant,"{'Shell': 2.2795695948514955e-07, 'S': 0.9999976639519286, 'B': 1.6027495946214452e-07, 'Conv': 9.649679003950546e-07, 'New': 9.819259811871896e-08}",S,True
6,"Between Watson's and St. Clair Shawarma and Falafel, the more expensive restaurant is ->",Watson's,St. Clair Shawarma and Falafel,"{'Watson': 0.42773871448263456, 'Fl': 0.0062896427901603415, 'S': 0.001215139978723168, 'Conv': 0.015894543575578138, 'St': 0.5392406407033874}",St,False
7,"Between Supermodel Pizza and It's All Grk, the more expensive restaurant is ->",It's All Grk,Supermodel Pizza,"{'uper': 0.0011278873476478915, 'Super': 0.9720747151865272, 'Conv': 0.0031009632188348556, 'The': 0.0034840338646162936}",Super,False
8,"Between Milo's Pita and Roncy's Bean, the more expensive restaurant is ->",Roncy's Bean,Milo's Pita,"{'Ronald': 0.00011461246384987701, 'Gor': 8.300588907282999e-05, 'on': 0.019594036877112204, 'Conv': 4.3448336168544676e-05, 'Ron': 0.980049701291442}",Ron,True
9,"Between Paradise Farms Prime Beef Bistro and Helena's Magic Kitchen, the more expensive restaurant is ->",Paradise Farms Prime Beef Bistro,Helena's Magic Kitchen,"{'Noah': 0.0006882045177731641, 'Paradise': 0.4066586269148043, 'paradise': 0.001355611005119127, 'Conv': 0.006264910352464074, 'Helena': 0.5819674445584707}",Helena,False
