{'statement': 'You are looking for an expensive restaurant. Between Thompson Rooftop and Nook, you should go to Thompson Rooftop.', 'answer': 'Thompson Rooftop', 'candidate': 'Nook'}
{'statement': 'You are looking for an expensive restaurant. Between Sheriff Broaster Chicken and Mirage Grill & Lounge, you should go to Mirage Grill & Lounge.', 'answer': 'Mirage Grill & Lounge', 'candidate': 'Sheriff Broaster Chicken'}
{'statement': 'You are looking for an expensive restaurant. Between LCBO and Buk Chang Dong Soon Tofu, you should go to LCBO.', 'answer': 'LCBO', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': 'You are looking for an expensive restaurant. Between Cake Opera and Juice & Java Cafe, you should go to Cake Opera.', 'answer': 'Cake Opera', 'candidate': 'Juice & Java Cafe'}
{'statement': 'You are looking for an expensive restaurant. Between Mysteriously Yours Dinner Theatre and Hina Sushi, you should go to Mysteriously Yours Dinner Theatre.', 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Hina Sushi'}
{'statement': 'You are looking for an expensive restaurant. Between Sichuan Landscape Chinese Restaurant and The Coffee Pocket, you should go to Sichuan Landscape Chinese Restaurant.', 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'The Coffee Pocket'}
{'statement': 'You are looking for an expensive restaurant. Between Queen Pita and LCBO, you should go to LCBO.', 'answer': 'LCBO', 'candidate': 'Queen Pita'}
{'statement': 'You are looking for an expensive restaurant. Between Supermodel Pizza and Lebanese Bakery, you should go to Lebanese Bakery.', 'answer': 'Lebanese Bakery', 'candidate': 'Supermodel Pizza'}
{'statement': "You are looking for an expensive restaurant. Between New Bilan Restaurant and Joe Badali's Ristorante Italiano & Bar, you should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'New Bilan Restaurant'}
{'statement': 'You are looking for an expensive restaurant. Between Chipotle Mexican Grill and Madras Pantry, you should go to Chipotle Mexican Grill.', 'answer': 'Chipotle Mexican Grill', 'candidate': 'Madras Pantry'}
{'statement': "You are looking for an expensive restaurant. Between Helena's Magic Kitchen and FreshCo, you should go to FreshCo.", 'answer': 'FreshCo', 'candidate': "Helena's Magic Kitchen"}
{'statement': "You are looking for an expensive restaurant. Between Dinah's Cupboard and Piper's Pub And Grill, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': "Piper's Pub And Grill"}
{'statement': 'You are looking for an expensive restaurant. Between Maurya East Indian Roti and Top Sushi, you should go to Maurya East Indian Roti.', 'answer': 'Maurya East Indian Roti', 'candidate': 'Top Sushi'}
{'statement': 'You are looking for an expensive restaurant. Between KFC and La Pupusa Loka, you should go to La Pupusa Loka.', 'answer': 'La Pupusa Loka', 'candidate': 'KFC'}
{'statement': 'You are looking for an expensive restaurant. Between Buk Chang Dong Soon Tofu and Hapa Toronto, you should go to Hapa Toronto.', 'answer': 'Hapa Toronto', 'candidate': 'Buk Chang Dong Soon Tofu'}
{'statement': "You are looking for an expensive restaurant. Between Topham Corner and Milo's Pita, you should go to Topham Corner.", 'answer': 'Topham Corner', 'candidate': "Milo's Pita"}
{'statement': 'You are looking for an expensive restaurant. Between Itamae Ayce Sushi and Just Soups Take Out & Catering, you should go to Itamae Ayce Sushi.', 'answer': 'Itamae Ayce Sushi', 'candidate': 'Just Soups Take Out & Catering'}
{'statement': 'You are looking for an expensive restaurant. Between Falafel Hut Village and Oxygen Restaurant & Lounge, you should go to Oxygen Restaurant & Lounge.', 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Falafel Hut Village'}
{'statement': "You are looking for an expensive restaurant. Between Solero Mediterranean Bakery and Carole's Cheesecake Cafe, you should go to Carole's Cheesecake Cafe.", 'answer': "Carole's Cheesecake Cafe", 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "You are looking for an expensive restaurant. Between Domino's Pizza and Sushi World, you should go to Domino's Pizza.", 'answer': "Domino's Pizza", 'candidate': 'Sushi World'}
{'statement': "You are looking for an expensive restaurant. Between LCBO and Dinah's Cupboard, you should go to Dinah's Cupboard.", 'answer': "Dinah's Cupboard", 'candidate': 'LCBO'}
{'statement': 'You are looking for an expensive restaurant. Between Kim PO Vietnamese and St. Clair Shawarma and Falafel, you should go to Kim PO Vietnamese.', 'answer': 'Kim PO Vietnamese', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': 'You are looking for an expensive restaurant. Between Thai 4 You Restaurant and Lahore Grill & Fast Food, you should go to Thai 4 You Restaurant.', 'answer': 'Thai 4 You Restaurant', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': 'You are looking for an expensive restaurant. Between The Coffee Pocket and Scaddabush Italian Kitchen & Bar, you should go to Scaddabush Italian Kitchen & Bar.', 'answer': 'Scaddabush Italian Kitchen & Bar', 'candidate': 'The Coffee Pocket'}
{'statement': 'You are looking for an expensive restaurant. Between Nook and Falafel House, you should go to Nook.', 'answer': 'Nook', 'candidate': 'Falafel House'}
{'statement': 'You are looking for an expensive restaurant. Between Grappa Ristorante and z-teca Gourmet Burritos, you should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'z-teca Gourmet Burritos'}
{'statement': 'You are looking for an expensive restaurant. Between Falafel Hut Village and Hapa Toronto, you should go to Hapa Toronto.', 'answer': 'Hapa Toronto', 'candidate': 'Falafel Hut Village'}
{'statement': "You are looking for an expensive restaurant. Between Edible Arrangements and Carole's Cheesecake Cafe, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Carole's Cheesecake Cafe"}
{'statement': 'You are looking for an expensive restaurant. Between Aris Place and Marcello’s pizzeria, you should go to Marcello’s pizzeria.', 'answer': 'Marcello’s pizzeria', 'candidate': 'Aris Place'}
{'statement': 'You are looking for an expensive restaurant. Between Fit For Life and 9 Restaurant, you should go to 9 Restaurant.', 'answer': '9 Restaurant', 'candidate': 'Fit For Life'}
{'statement': "You are looking for an expensive restaurant. Between Popeyes Louisiana Kitchen and Big Al's Diner, you should go to Popeyes Louisiana Kitchen.", 'answer': 'Popeyes Louisiana Kitchen', 'candidate': "Big Al's Diner"}
{'statement': 'You are looking for an expensive restaurant. Between Mirage Grill & Lounge and Farmacia Health Bar, you should go to Mirage Grill & Lounge.', 'answer': 'Mirage Grill & Lounge', 'candidate': 'Farmacia Health Bar'}
{'statement': "You are looking for an expensive restaurant. Between Beryl's Pepper Pot and Nutella Cafe by Pusateri's, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': "Beryl's Pepper Pot"}
{'statement': 'You are looking for an expensive restaurant. Between Bao Bao Plus Dim Sum and Edible Arrangements, you should go to Edible Arrangements.', 'answer': 'Edible Arrangements', 'candidate': 'Bao Bao Plus Dim Sum'}
{'statement': "You are looking for an expensive restaurant. Between Phil's Original BBQ and Queen Slice, you should go to Phil's Original BBQ.", 'answer': "Phil's Original BBQ", 'candidate': 'Queen Slice'}
{'statement': 'You are looking for an expensive restaurant. Between Top Sushi and Ciao Europa wine bar, you should go to Ciao Europa wine bar.', 'answer': 'Ciao Europa wine bar', 'candidate': 'Top Sushi'}
{'statement': 'You are looking for an expensive restaurant. Between Tortería San Cosme and Tim Hortons, you should go to Tortería San Cosme.', 'answer': 'Tortería San Cosme', 'candidate': 'Tim Hortons'}
{'statement': 'You are looking for an expensive restaurant. Between Supermodel Pizza and Grappa Ristorante, you should go to Grappa Ristorante.', 'answer': 'Grappa Ristorante', 'candidate': 'Supermodel Pizza'}
{'statement': 'You are looking for an expensive restaurant. Between Ardor Bistro and Mi Mi Restaurant, you should go to Ardor Bistro.', 'answer': 'Ardor Bistro', 'candidate': 'Mi Mi Restaurant'}
{'statement': 'You are looking for an expensive restaurant. Between Bake Island and Cantine Bar & Grill, you should go to Cantine Bar & Grill.', 'answer': 'Cantine Bar & Grill', 'candidate': 'Bake Island'}
{'statement': "You are looking for an expensive restaurant. Between Watson's and Edible Arrangements, you should go to Edible Arrangements.", 'answer': 'Edible Arrangements', 'candidate': "Watson's"}
{'statement': 'You are looking for an expensive restaurant. Between Pizza Pizza and Hina Sushi, you should go to Hina Sushi.', 'answer': 'Hina Sushi', 'candidate': 'Pizza Pizza'}
{'statement': 'You are looking for an expensive restaurant. Between Lahore Grill & Fast Food and 9 Restaurant, you should go to 9 Restaurant.', 'answer': '9 Restaurant', 'candidate': 'Lahore Grill & Fast Food'}
{'statement': "You are looking for an expensive restaurant. Between Maurya East Indian Roti and Milo's Pita, you should go to Maurya East Indian Roti.", 'answer': 'Maurya East Indian Roti', 'candidate': "Milo's Pita"}
{'statement': "You are looking for an expensive restaurant. Between The Coffee Pocket and Nutella Cafe by Pusateri's, you should go to Nutella Cafe by Pusateri's.", 'answer': "Nutella Cafe by Pusateri's", 'candidate': 'The Coffee Pocket'}
{'statement': 'You are looking for an expensive restaurant. Between Top Sushi and Edible Arrangements, you should go to Edible Arrangements.', 'answer': 'Edible Arrangements', 'candidate': 'Top Sushi'}
{'statement': 'You are looking for an expensive restaurant. Between Sichuan Landscape Chinese Restaurant and Tian An Cuisine, you should go to Sichuan Landscape Chinese Restaurant.', 'answer': 'Sichuan Landscape Chinese Restaurant', 'candidate': 'Tian An Cuisine'}
{'statement': 'You are looking for an expensive restaurant. Between Taste of Greek Cuisine and Falafel Hut Village, you should go to Taste of Greek Cuisine.', 'answer': 'Taste of Greek Cuisine', 'candidate': 'Falafel Hut Village'}
{'statement': 'You are looking for an expensive restaurant. Between Pizzeria Via Mercanti and Solero Mediterranean Bakery, you should go to Pizzeria Via Mercanti.', 'answer': 'Pizzeria Via Mercanti', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "You are looking for an expensive restaurant. Between Nook and Druxy's Famous Deli, you should go to Nook.", 'answer': 'Nook', 'candidate': "Druxy's Famous Deli"}
{'statement': 'You are looking for an expensive restaurant. Between Goldstone Noodle Restaurant and Hina Sushi, you should go to Hina Sushi.', 'answer': 'Hina Sushi', 'candidate': 'Goldstone Noodle Restaurant'}
{'statement': "You are looking for an expensive restaurant. Between Smoke's Weinerie and Eggspectation, you should go to Eggspectation.", 'answer': 'Eggspectation', 'candidate': "Smoke's Weinerie"}
{'statement': 'You are looking for an expensive restaurant. Between Pisco 1641 and Oxygen Restaurant & Lounge, you should go to Oxygen Restaurant & Lounge.', 'answer': 'Oxygen Restaurant & Lounge', 'candidate': 'Pisco 1641'}
{'statement': 'You are looking for an expensive restaurant. Between Tim Hortons and Kibo Sushi House, you should go to Kibo Sushi House.', 'answer': 'Kibo Sushi House', 'candidate': 'Tim Hortons'}
{'statement': "You are looking for an expensive restaurant. Between Helena's Magic Kitchen and Aroma Espresso Bar, you should go to Aroma Espresso Bar.", 'answer': 'Aroma Espresso Bar', 'candidate': "Helena's Magic Kitchen"}
{'statement': 'You are looking for an expensive restaurant. Between Freshii and St. Clair Shawarma and Falafel, you should go to Freshii.', 'answer': 'Freshii', 'candidate': 'St. Clair Shawarma and Falafel'}
{'statement': 'You are looking for an expensive restaurant. Between Mysteriously Yours Dinner Theatre and Pasta Pantry, you should go to Mysteriously Yours Dinner Theatre.', 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Pasta Pantry'}
{'statement': 'You are looking for an expensive restaurant. Between La Cocina De Dona Luz and KFC, you should go to La Cocina De Dona Luz.', 'answer': 'La Cocina De Dona Luz', 'candidate': 'KFC'}
{'statement': "You are looking for an expensive restaurant. Between Smoke's Weinerie and Hawthorne Food and Drink, you should go to Hawthorne Food and Drink.", 'answer': 'Hawthorne Food and Drink', 'candidate': "Smoke's Weinerie"}
{'statement': "You are looking for an expensive restaurant. Between Warung Indonesia D'Eglinton and Branca, you should go to Branca.", 'answer': 'Branca', 'candidate': "Warung Indonesia D'Eglinton"}
{'statement': 'You are looking for an expensive restaurant. Between Mysteriously Yours Dinner Theatre and Hapa Toronto, you should go to Mysteriously Yours Dinner Theatre.', 'answer': 'Mysteriously Yours Dinner Theatre', 'candidate': 'Hapa Toronto'}
{'statement': "You are looking for an expensive restaurant. Between Queen Slice and Joe Badali's Ristorante Italiano & Bar, you should go to Joe Badali's Ristorante Italiano & Bar.", 'answer': "Joe Badali's Ristorante Italiano & Bar", 'candidate': 'Queen Slice'}
{'statement': "You are looking for an expensive restaurant. Between Milo's Pita and Bao Bao Plus Dim Sum, you should go to Bao Bao Plus Dim Sum.", 'answer': 'Bao Bao Plus Dim Sum', 'candidate': "Milo's Pita"}
{'statement': 'You are looking for an expensive restaurant. Between Solero Mediterranean Bakery and Milestones Restaurants, you should go to Milestones Restaurants.', 'answer': 'Milestones Restaurants', 'candidate': 'Solero Mediterranean Bakery'}
{'statement': "You are looking for an expensive restaurant. Between Anatolia Restaurant and Druxy's Famous Deli, you should go to Anatolia Restaurant.", 'answer': 'Anatolia Restaurant', 'candidate': "Druxy's Famous Deli"}
