,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Fitness Avenue and Paradise Farms Prime Beef Bistro, the farthest restaurant is ->",Fitness Avenue,Paradise Farms Prime Beef Bistro,"{'1': 0.21803370893599097, '2': 0.22669343066212916, '3': 0.24229560257588906, '4': 0.11953378833534807, '0': 0.06195580318447828}",3,False
1,"Between Capitol Trattoria Pizzeria and Sky Dragon Chinese Restaurant, the farthest restaurant is ->",Capitol Trattoria Pizzeria,Sky Dragon Chinese Restaurant,"{'1': 0.1941236018223018, '2': 0.17899965509263965, '3': 0.1792352482428533, '4': 0.10037765060903611, '6': 0.1019673107404767}",1,False
2,"Between Freshii and Lebanese Bakery, the farthest restaurant is ->",Freshii,Lebanese Bakery,"{'1': 0.18244821493611915, '3': 0.20924352791651912, '4': 0.1398616163302991, '5': 0.116915269365079, '6': 0.11427338356462617}",3,False
3,"Between Thompson Rooftop and Basha Middle Eastern Grill, the farthest restaurant is ->",Thompson Rooftop,Basha Middle Eastern Grill,"{'1': 0.16041533233412333, '2': 0.1493314271406318, '3': 0.18543185924970385, '4': 0.10396431122834278, '0': 0.132310294380527}",3,False
4,"Between Magic Oven and Breakfast Room, the farthest restaurant is ->",Magic Oven,Breakfast Room,"{'1': 0.19722481658102933, '2': 0.2834938922891557, '3': 0.18715607211132565, '4': 0.10322952209830003, '5': 0.0865738908682576}",2,False
5,"Between Viccino Pizzeria and Kim PO Vietnamese, the farthest restaurant is ->",Viccino Pizzeria,Kim PO Vietnamese,"{'1': 0.21919763789342142, '2': 0.1275360511797696, '3': 0.15244399443406706, '5': 0.11080745760828316, '6': 0.1281534634507508}",1,False
6,"Between Thai 4 You Restaurant and Eggspectation, the farthest restaurant is ->",Eggspectation,Thai 4 You Restaurant,"{'1': 0.007382086180734355, '2': 0.12441377167766518, '3': 0.7947992356447645, '4': 0.06557107566543531, '5': 0.004628515910297109}",3,False
7,"Between The Empire and Thompson Rooftop, the farthest restaurant is ->",Thompson Rooftop,The Empire,"{'3': 0.12183855868948, '4': 0.2303156545194408, '5': 0.1472050597465376, '6': 0.20871934006047607, '7': 0.15909650678121812}",4,False
8,"Between Freshii and Verona Restaurant, the farthest restaurant is ->",Freshii,Verona Restaurant,"{'3': 0.16874184100472622, '4': 0.16521820899975723, '5': 0.1470032034888053, '6': 0.163421863819908, '7': 0.11320755218763033}",3,False
9,"Between EJ Sushi and Tortería San Cosme, the farthest restaurant is ->",EJ Sushi,Tortería San Cosme,"{'1': 0.14464426438826924, '3': 0.18887223458601157, '4': 0.12453926889478746, '5': 0.13944424988506382, '7': 0.11782666207147895}",3,False
10,"Between Kairali - Taste of Kerala and Aris Place, the farthest restaurant is ->",Aris Place,Kairali - Taste of Kerala,"{'2': 0.131224628875724, '3': 0.19630676808912875, '4': 0.13248308527589578, '5': 0.14914889152450783, '6': 0.14118924858327123}",3,False
11,"Between To-ne Sushi and Thompson Rooftop, the farthest restaurant is ->",To-ne Sushi,Thompson Rooftop,"{'3': 0.1847490243662454, '4': 0.22432948335894146, '5': 0.13424611292715632, '6': 0.1774094750285453, '7': 0.09101756218879606}",4,False
12,"Between Mt Everest Restaurant and Warung Indonesia D'Eglinton, the farthest restaurant is ->",Mt Everest Restaurant,Warung Indonesia D'Eglinton,"{'1': 0.1811693771375631, '2': 0.10010029956581054, '3': 0.15013625958434232, '0': 0.25990697511688293, '6': 0.09396040583210272}",0,False
13,"Between Ici Bistro and Milo's Pita, the farthest restaurant is ->",Ici Bistro,Milo's Pita,"{'1': 0.4450336418546666, '2': 0.0821794835436213, '3': 0.17507013743653335, '4': 0.07748635675430204, '7': 0.06781097662607267}",1,False
14,"Between St. Louis Bar & Grill and Cake Opera, the farthest restaurant is ->",Cake Opera,St. Louis Bar & Grill,"{'1': 0.17082486988525986, '2': 0.24947776150688786, '3': 0.229799589478174, '4': 0.11931252117751376, '6': 0.06873880445410202}",2,False
15,"Between Cantine Bar & Grill and Pizzeria Via Mercanti, the farthest restaurant is ->",Pizzeria Via Mercanti,Cantine Bar & Grill,"{'3': 0.258083681435577, '4': 0.2567144246619294, '5': 0.10775563008439931, '6': 0.21376594018090744, '7': 0.061590674985950056}",3,False
16,"Between Hawthorne Food and Drink and Tian An Cuisine, the farthest restaurant is ->",Hawthorne Food and Drink,Tian An Cuisine,"{'1': 0.23894525783531367, '2': 0.14757369512627724, '3': 0.14597170170477283, '4': 0.08568966120821184, '6': 0.140757250495441}",1,False
17,"Between Mysteriously Yours Dinner Theatre and Ici Bistro, the farthest restaurant is ->",Ici Bistro,Mysteriously Yours Dinner Theatre,"{'2': 0.1636476562272029, '3': 0.16934520741511971, '4': 0.1493930091823074, '5': 0.12330479261764074, '6': 0.14539002792052422}",3,False
18,"Between Mysteriously Yours Dinner Theatre and Bagel Nash, the farthest restaurant is ->",Bagel Nash,Mysteriously Yours Dinner Theatre,"{'1': 0.35468251982248794, '2': 0.10679228424103103, '3': 0.15377768860833546, '4': 0.12578536209893554, '5': 0.10971571144859928}",1,False
19,"Between Mamma's Pizza and Tierra Azteca, the farthest restaurant is ->",Tierra Azteca,Mamma's Pizza,"{'1': 0.4009208190104246, '2': 0.06518747041929766, '3': 0.08426716429461709, '5': 0.25820939879812915, '7': 0.06617770203791712}",1,False
20,"Between Sushi Time Japanese Restaurant and Eggspectation, the farthest restaurant is ->",Eggspectation,Sushi Time Japanese Restaurant,"{'1': 0.009795841696863244, '2': 0.3646636708213534, '3': 0.5784509350693683, '4': 0.04464995408462604, '0': 0.0009686521391993593}",3,False
21,"Between The Coffee Pocket and Joe Badali's Ristorante Italiano & Bar, the farthest restaurant is ->",The Coffee Pocket,Joe Badali's Ristorante Italiano & Bar,"{'2': 0.22972425054527715, '3': 0.2745948885465873, '4': 0.2068982815434559, '5': 0.1896887704795953, '6': 0.03776676862231269}",3,False
22,"Between Joe Badali's Ristorante Italiano & Bar and Falafel Hut Village, the farthest restaurant is ->",Joe Badali's Ristorante Italiano & Bar,Falafel Hut Village,"{'1': 0.38716640162786, '3': 0.12087037362313639, '4': 0.09578371481003907, '5': 0.10594455370266313, '0': 0.09435468055235449}",1,False
23,"Between Tik Talk Cafe and Domino's Pizza, the farthest restaurant is ->",Domino's Pizza,Tik Talk Cafe,"{'1': 0.2833760683695295, '2': 0.09746099814820937, '3': 0.20774867980417164, '4': 0.09609423061805594, '6': 0.09983302885158944}",1,False
24,"Between Sweet Jesus and Breakfast Room, the farthest restaurant is ->",Sweet Jesus,Breakfast Room,"{'1': 0.3109229645182199, '2': 0.16817514716504026, '3': 0.17651533897693958, '4': 0.0898144503124467, '5': 0.07279383583213025}",1,False
25,"Between Tierra Azteca and Pisco 1641, the farthest restaurant is ->",Tierra Azteca,Pisco 1641,"{'2': 0.1423692278379664, '3': 0.1845071062468864, '4': 0.13275626845167018, '5': 0.1808281764444753, '6': 0.12348154095952815}",3,False
26,"Between Bagel Nash and The Empire, the farthest restaurant is ->",Bagel Nash,The Empire,"{'1': 0.5311417044345416, '2': 0.047256569389896974, '3': 0.12028961326540344, '4': 0.11171922219747217, '5': 0.07810478159522863}",1,False
27,"Between Chipotle Mexican Grill and Daily Press Juicery, the farthest restaurant is ->",Chipotle Mexican Grill,Daily Press Juicery,"{'1': 0.2968974458433548, '2': 0.38503547734182514, '3': 0.2115558392447741, '4': 0.031203990241139946, '0': 0.027269162336404616}",2,False
28,"Between LCBO and Pisco 1641, the farthest restaurant is ->",LCBO,Pisco 1641,"{'1': 0.17122703722973318, '2': 0.1332521874414508, '3': 0.2117145656391653, '4': 0.14994914135683687, '5': 0.1200825327128737}",3,False
29,"Between FreshCo and Piper's Pub And Grill, the farthest restaurant is ->",FreshCo,Piper's Pub And Grill,"{'1': 0.2212900930467912, '2': 0.15887055942200498, '3': 0.20916566196718067, '4': 0.10728949899264907, '0': 0.08409476174261399}",1,False
30,"Between La Pupusa Loka and Tierra Azteca, the farthest restaurant is ->",Tierra Azteca,La Pupusa Loka,"{'1': 0.05628849029464971, '3': 0.06502533602714183, '5': 0.5673003486908341, '6': 0.07777245183707739, '7': 0.08814941557962473}",5,False
31,"Between Falafel House and Just Soups Take Out & Catering, the farthest restaurant is ->",Falafel House,Just Soups Take Out & Catering,"{'1': 0.44735894395282766, '3': 0.09537081211632754, '0': 0.11988964311948125, '6': 0.09646567822148362, '7': 0.06670006843827439}",1,False
32,"Between Sushi Time Japanese Restaurant and Magic Oven, the farthest restaurant is ->",Magic Oven,Sushi Time Japanese Restaurant,"{'1': 0.11788510680337379, '2': 0.20867280083695888, '3': 0.19386869092264572, '4': 0.13014015420496836, '6': 0.11972577016388562}",2,False
33,"Between Thompson Rooftop and Juice & Java Cafe, the farthest restaurant is ->",Thompson Rooftop,Juice & Java Cafe,"{'2': 0.13639611723459105, '3': 0.22430453930730693, '4': 0.169903202696878, '5': 0.12316487180417987, '6': 0.12650925644668887}",3,False
34,"Between Hina Sushi and Pisco 1641, the farthest restaurant is ->",Hina Sushi,Pisco 1641,"{'1': 0.20471907612746185, '2': 0.15441563246215437, '3': 0.19043232440493896, '4': 0.10654501575419811, '5': 0.09905120899559042}",1,False
35,"Between KFC and Thompson Rooftop, the farthest restaurant is ->",Thompson Rooftop,KFC,"{'3': 0.20874038003035084, '4': 0.3065620491150904, '5': 0.1289743540756548, '6': 0.17746950280707366, '8': 0.0510614841912094}",4,False
36,"Between Queen Pita and JJ Bean, the farthest restaurant is ->",Queen Pita,JJ Bean,"{'1': 0.4288526037902808, '2': 0.09274242982157611, '3': 0.18067123148638278, '4': 0.09805450318102213, '5': 0.07636666500117055}",1,False
