,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Managua and Amsterdam, the city with colder weather is ->",Amsterdam,Managua,"{'Netherlands': 4.655700882751887e-05, 'Holland': 0.00015885638546130187, 'terdam': 1.2712649965029761e-05, 'Amsterdam': 0.999698507797911, 'm': 1.8041588371591257e-05}",Amsterdam,True
1,"Between Bujumbura and London, the city with colder weather is ->",London,Bujumbura,"{'City': 2.095326660258287e-05, 'ondon': 0.00023780037422795983, 'London': 0.9996276381938719, 'England': 4.690445020093451e-05, 'Britain': 1.5791685351848205e-05}",London,True
2,"Between Nairobi and Minneapolis, the city with colder weather is ->",Minneapolis,Nairobi,"{'Min': 2.7587604456995164e-05, 'Minneapolis': 0.9971046227132782, 'Winnipeg': 0.0005994165455155303, 'M': 6.149873207690619e-05, 'Minnesota': 0.002112487744858895}",Minneapolis,True
3,"Between Karachi and Viedma, the city with colder weather is ->",Viedma,Karachi,"{'Edmonton': 0.01252296274914263, 'Winnipeg': 0.0013683311778622759, 'Adelaide': 0.0013666162293153735, 'Helsinki': 0.0010629296100691827, 'V': 0.975988808827549}",V,True
4,"Between Managua and Suwałki, the city with colder weather is ->",Suwałki,Managua,"{'SU': 0.0006451530387065067, 'Su': 0.9928303534294758, 'Man': 0.00017037068410623402, 'Warsaw': 0.005557563423251709, 'u': 0.00038298466835100394}",Su,True
5,"Between Bangui and Viedma, the city with colder weather is ->",Viedma,Bangui,"{'Vancouver': 0.013036423911629272, 'Monte': 0.033961844673722735, 'San': 0.04483732227005026, 'Conce': 0.05730167062083427, 'V': 0.766005920621905}",V,True
6,"Between Bujumbura and Ulaanbaatar, the city with colder weather is ->",Ulaanbaatar,Bujumbura,"{'Winnipeg': 0.00011957844003066243, 'O': 0.0008227877405239385, 'U': 0.9980599712931413, '': 0.0002201426087556954, 'Ark': 0.00033241911188175617}",U,True
7,"Between Lisbon and Ushuaia, the city with colder weather is ->",Ushuaia,Lisbon,"{'Edmonton': 0.0001622654473214664, 'Winnipeg': 2.9021227876924763e-05, 'O': 0.0001996725067059538, 'U': 0.9991749408985884, '': 0.00023121003919154612}",U,True
8,"Between Abéché and Milan, the city with colder weather is ->",Milan,Abéché,"{'Milan': 0.9999500990390944, 'il': 2.7622359124478935e-05, 'Stockholm': 2.544177863582768e-06, 'Mil': 1.0332048382086673e-05, 'Italy': 3.4748056797759738e-06}",Milan,True
9,"Between Piura and Reykjavík, the city with colder weather is ->",Reykjavík,Piura,"{'Iceland': 0.00030040619974149333, 'Rey': 0.9996744267504766, 'R': 1.9004991419569569e-06, 'Icelandic': 1.3879591974049768e-05, 'Ark': 3.584403447966302e-06}",Rey,True
10,"Between Douala and Shanghai, the city with colder weather is ->",Shanghai,Douala,"{'Tokyo': 0.0026556044112719963, 'Har': 0.015079962547393596, 'Shanghai': 0.9759016071473281, 'Chong': 0.0012044382539855001, 'Detroit': 0.001051041606852318}",Shanghai,True
11,"Between Mumbai and Lviv, the city with colder weather is ->",Lviv,Mumbai,"{'Lv': 0.9869864274108445, 'v': 0.01276472591654766, 'Warsaw': 7.691351109049996e-05, 'Vil': 6.443072128588552e-05, 'Ark': 1.234188248084266e-05}",Lv,True
12,"Between Djibouti and Toronto, the city with colder weather is ->",Toronto,Djibouti,"{'Ontario': 0.00019750789494835572, 'Winnipeg': 0.00013716664287034518, 'oronto': 0.0007628612432751558, 'Canada': 5.6394382809300944e-05, 'Toronto': 0.9987911447548821}",Toronto,True
13,"Between Kano and Minneapolis, the city with colder weather is ->",Minneapolis,Kano,"{'Minneapolis': 0.998524294925138, 'Winnipeg': 0.0003171648143858137, 'M': 2.1712422408284594e-05, 'Minnesota': 0.0010721667264735498, 'in': 1.602512107185693e-05}",Minneapolis,True
14,"Between Pontianak and Frankfurt, the city with colder weather is ->",Frankfurt,Pontianak,"{'Berlin': 0.00024256411276343717, 'urt': 8.090985639608927e-06, 'Frankfurt': 0.9993604297123238, 'Germany': 0.0003174361062628641, 'Frank': 1.19928490296445e-05}",Frankfurt,True
15,"Between Tampa and Zagreb, the city with colder weather is ->",Zagreb,Tampa,"{'Tampa': 0.06826708135276159, 'Winnipeg': 0.7195606439256468, 'Sochi': 0.06228036944707341, 'Budapest': 0.02041493373731689, 'Detroit': 0.036577096980789384}",Winnipeg,False
16,"Between Aden and Dublin, the city with colder weather is ->",Dublin,Aden,"{'Dublin': 0.9998960950834898, 'Edinburgh': 5.116371814961647e-06, 'Warsaw': 1.2027354027602192e-05, 'ub': 3.0048824977314494e-05, 'Ireland': 4.837129493686156e-05}",Dublin,True
17,"Between Malabo and Beijing, the city with colder weather is ->",Beijing,Malabo,"{'Beijing': 0.9995803723683128, 'Tokyo': 4.5861480409207e-05, 'China': 3.8272344435623e-05, 'Warsaw': 3.5673159024906574e-05, 'Moscow': 0.00010547580160818074}",Beijing,True
18,"Between Brasília and Anchorage, the city with colder weather is ->",Anchorage,Brasília,"{'Alaska': 0.003052098170867747, 'Anchorage': 0.9968035565378565, 'Seattle': 1.87857115693334e-05, 'Ash': 1.0178427788270166e-05, 'Ark': 7.985580397268813e-05}",Anchorage,True
19,"Between Manila and Dublin, the city with colder weather is ->",Dublin,Manila,"{'Dublin': 0.9993429079795791, 'Edinburgh': 0.0001882506948855466, 'Warsaw': 6.604765704963787e-05, 'ub': 0.0001145274529446467, 'Ireland': 0.0001915411289153399}",Dublin,True
20,"Between Lagos and Murmansk, the city with colder weather is ->",Murmansk,Lagos,"{'ur': 0.0008856960720609465, 'Sochi': 9.003789623275516e-06, 'Mur': 0.9990445236584907, 'Moscow': 8.214061953752891e-06, 'Ark': 3.8583995184624636e-05}",Mur,True
21,"Between Tripoli and Minneapolis, the city with colder weather is ->",Minneapolis,Tripoli,"{'Min': 1.0149135789429462e-05, 'Minneapolis': 0.9984951474278692, 'Winnipeg': 0.0002962840308632476, 'Minnesota': 0.001147616954603609, 'in': 1.7622518737985687e-05}",Minneapolis,True
22,"Between Alexandria and Nur-Sultan, the city with colder weather is ->",Nur-Sultan,Alexandria,"{'Edinburgh': 0.005600751465364937, 'Alexandria': 0.9728151181787579, 'Sochi': 0.005670155140367249, 'St': 0.0033238650549504895, 'Ark': 0.0025510493363641792}",Alexandria,False
23,"Between Aden and Vienna, the city with colder weather is ->",Vienna,Aden,"{'Wi': 2.1373355110442093e-05, 'Austria': 0.0008568389328746992, 'Vienna': 0.9988306646060613, 'W': 5.60426808213261e-05, 'i': 0.0001527107421722788}",Vienna,True
24,"Between Hat Yai and Toronto, the city with colder weather is ->",Toronto,Hat Yai,"{'Ontario': 3.2495822998872536e-05, 'Winnipeg': 5.7935571561445315e-05, 'oronto': 0.0010831270552255758, 'Canada': 1.4249852531070074e-05, 'Toronto': 0.9987659342861338}",Toronto,True
25,"Between Port Sudan and Ulaanbaatar, the city with colder weather is ->",Ulaanbaatar,Port Sudan,"{'Winnipeg': 0.00031583140981179835, 'O': 0.003552450613463485, 'U': 0.9922993993232261, '': 0.0006784332922701735, 'Ark': 0.001126244649245955}",U,True
26,"Between Douala and Denver, the city with colder weather is ->",Denver,Douala,"{'Denver': 0.9982402765321445, 'Edmonton': 0.0004442360911631739, 'Boulder': 4.93895349168956e-05, 'enver': 0.00035025643511380703, 'Colorado': 0.0007798507521395157}",Denver,True
27,"Between Hat Yai and Vladivostok, the city with colder weather is ->",Vladivostok,Hat Yai,"{'Vlad': 0.9997469071733945, 'Vladimir': 0.00012033813332110459, 'Vit': 1.085302733331922e-05, 'Sochi': 3.9742794648465445e-05, 'Ark': 4.9893491229346186e-05}",Vlad,True
28,"Between Chicago and Ulaanbaatar, the city with colder weather is ->",Ulaanbaatar,Chicago,"{'hicago': 0.00014309268368464562, 'Chicago': 0.9998317236500536, 'Chic': 1.235705997907389e-05, 'Detroit': 5.2078784105454706e-06, 'Illinois': 3.021935614297583e-06}",Chicago,False
29,"Between Nakhon Ratchasima and Kunming, the city with colder weather is ->",Kunming,Nakhon Ratchasima,"{'Kum': 0.00018576390843424585, 'Har': 0.00019870306167395972, 'Kun': 0.9972034471595607, 'K': 0.0020903662272642744, 'Dun': 5.73573822452935e-05}",Kun,True
30,"Between Port-Gentil and Melbourne, the city with colder weather is ->",Melbourne,Port-Gentil,"{'Victoria': 3.038838788473193e-05, 'Melbourne': 0.9998882281619373, 'city': 7.561484686130093e-06, 'el': 1.8409145109511625e-05, 'Victorian': 2.9629620631132502e-05}",Melbourne,True
