,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Monterrey and Florianópolis, the bigger city is ->",Monterrey,Florianópolis,"{'Rio': 0.0002469168296758467, 'Gu': 0.002058921452576487, 'Mon': 0.9945012527606146, 'T': 0.00030965059780473715, 'Bel': 0.001641029976214319}",Mon,True
1,"Between Saint Petersburg and Kathmandu, the bigger city is ->",Saint Petersburg,Kathmandu,"{'Tokyo': 0.028272505038691245, 'Istanbul': 0.10403098411798246, 'S': 0.24793099933940937, 'St': 0.5826625946768856, 'Saint': 0.014879790931177363}",St,True
2,"Between Phoenix and Mandalay, the bigger city is ->",Phoenix,Mandalay,"{'S': 0.0017214722413559777, 'hoenix': 0.030910523089352115, 'Seattle': 0.006267327194445033, 'Detroit': 0.020089395303220545, 'Phoenix': 0.9337456977895701}",Phoenix,True
3,"Between Sydney and Antofagasta, the bigger city is ->",Sydney,Antofagasta,"{'Tokyo': 0.05230888693871811, 'Sydney': 0.8719686827461751, 'Istanbul': 0.002899863824967435, 'S': 0.05195431522085874, 'Kuala': 0.009668517407894936}",Sydney,True
4,"Between Buenos Aires and Port-Gentil, the bigger city is ->",Buenos Aires,Port-Gentil,"{'Madrid': 0.007413756633910525, 'Rio': 0.010904679172297283, 'S': 0.017570006620080864, 'Bel': 0.012387203686195229, 'Buenos': 0.9331222889853148}",Buenos,True
5,"Between Ürümqi and Cotonou, the bigger city is ->",Ürümqi,Cotonou,"{'Tehran': 0.13797151888728057, 'Istanbul': 0.2590417068338636, 'ytes: \\xc4': 0.4759974413882179, 'Chong': 0.0612109551355857, 'Ü': 0.05859301426501092}",ytes: \xc4,True
6,"Between Tampa and Makurdi, the bigger city is ->",Tampa,Makurdi,"{'Tampa': 0.9022264294409849, 'T': 0.012960331625474593, 'Kuala': 0.008967990074333201, 'Fort': 0.015812514428824257, 'Detroit': 0.043104891346236254}",Tampa,True
7,"Between Phoenix and Podgorica, the bigger city is ->",Phoenix,Podgorica,"{'Barcelona': 0.004777279675618154, 'S': 0.0036272771811481103, 'hoenix': 0.021869633555768007, 'Detroit': 0.009283106834617536, 'Phoenix': 0.9488712013243225}",Phoenix,True
8,"Between Guangzhou and Mahajanga, the bigger city is ->",Guangzhou,Mahajanga,"{'Singapore': 0.0017135887901294914, 'Gu': 0.4650601811226107, 'Guang': 0.20209528194418747, 'Chong': 0.3249715626562294, 'Kuala': 0.00225243595891561}",Gu,True
9,"Between Medellín and Neuquén, the bigger city is ->",Medellín,Neuquén,"{'Sant': 4.437690386868725e-06, 'Barcelona': 9.976292795772002e-06, 'Med': 0.9999596353046762, 'Ant': 4.675852775439159e-06, 'Bel': 7.4112903315751585e-06}",Med,True
10,"Between Surabaya and Erbil, the bigger city is ->",Surabaya,Erbil,"{'Tokyo': 0.15781287236099908, 'Tehran': 0.13994250770030275, 'Istanbul': 0.2228750897738079, 'Sur': 0.08165617783723966, 'Kuala': 0.18565339712143805}",Istanbul,True
11,"Between Denver and Juba, the bigger city is ->",Denver,Juba,"{'Denver': 0.36774680776019714, 'enver': 0.017184336133594744, 'Fort': 0.00632683353133763, 'Seattle': 0.10572640568914823, 'Detroit': 0.4824821083647231}",Detroit,True
12,"Between Lagos and Yakutsk, the bigger city is ->",Lagos,Yakutsk,"{'Tokyo': 0.007880641261976339, 'Tehran': 0.006559704649380452, 'Lag': 0.8406206339664319, 'Istanbul': 0.0925018347060927, 'Acc': 0.012473265313991138}",Lag,True
13,"Between Jakarta and Palermo, the bigger city is ->",Jakarta,Palermo,"{'Tokyo': 0.021672294182044798, 'Dh': 0.006134755836884955, 'Istanbul': 0.017633608923079906, 'Kuala': 0.012452797282290642, 'Jakarta': 0.9341150672510421}",Jakarta,True
14,"Between Karachi and Minneapolis, the bigger city is ->",Karachi,Minneapolis,"{'city': 0.0015673913532196029, 'Dh': 0.008323894872295897, 'Tehran': 0.05319616349449845, 'Karachi': 0.9329063390912374, 'Kh': 0.0015960496043782612}",Karachi,True
15,"Between Surabaya and Fukuoka, the bigger city is ->",Surabaya,Fukuoka,"{'Tai': 0.0006538578401085047, 'Tokyo': 0.9936415132793863, 'Fuk': 0.004633699508615122, 'Hiroshima': 0.00021271953436270686, 'Kuala': 0.00027176794477839117}",Tokyo,False
16,"Between Kabul and Pretoria, the bigger city is ->",Kabul,Pretoria,"{'Tokyo': 0.0015944012580868308, 'Dh': 0.0011827528899975863, 'Tehran': 0.9335023860293852, 'Istanbul': 0.006263062476485203, 'Kabul': 0.054667674719784766}",Tehran,True
17,"Between Lagos and Surabaya, the bigger city is ->",Lagos,Surabaya,"{'Tokyo': 0.2508777274941176, 'Dh': 0.03497340721987909, 'Lag': 0.2055640119245027, 'Istanbul': 0.2556034394991121, 'Kuala': 0.07343617627482406}",Istanbul,True
18,"Between Bangkok and Curitiba, the bigger city is ->",Bangkok,Curitiba,"{'Tokyo': 0.04252062613322679, 'Dh': 0.01329311562430195, 'Istanbul': 0.001757417283942701, 'Bangkok': 0.9359272405323602, 'Kuala': 0.003326027932568411}",Bangkok,True
19,"Between Lima and Pretoria, the bigger city is ->",Lima,Pretoria,"{'Madrid': 0.0032262309875436125, 'Rio': 0.005871420976947661, 'Tehran': 0.0028038696445368103, 'Lima': 0.9753096789292915, 'Chong': 0.002617375188063095}",Lima,True
20,"Between Denver and Podgorica, the bigger city is ->",Denver,Podgorica,"{'Denver': 0.1641871571007372, 'Barcelona': 0.007549295736543956, 'enver': 0.010157397715530044, 'Seattle': 0.18275014260942918, 'Detroit': 0.6069027772659193}",Detroit,True
21,"Between Mexico City and Ouahigouya, the bigger city is ->",Mexico City,Ouahigouya,"{'Tokyo': 0.027234647803247195, 'Madrid': 0.014168212217000075, 'Istanbul': 0.010790897762239753, 'exico': 0.008545816619851071, 'Mexico': 0.9031632460595205}",Mexico,True
22,"Between Mumbai and Pontianak, the bigger city is ->",Mumbai,Pontianak,"{'Tokyo': 0.002753232783759172, 'Dh': 0.004080345552141847, 'Mumbai': 0.9868856355817796, 'M': 0.000750240302063939, 'Bombay': 0.0023447746025948343}",Mumbai,True
23,"Between Melbourne and Nouakchott, the bigger city is ->",Melbourne,Nouakchott,"{'Melbourne': 0.39085399619425865, 'Adelaide': 0.10639374408465592, 'Kuala': 0.02834443682462522, 'Acc': 0.02787340139234283, 'Detroit': 0.37493402568355866}",Melbourne,True
24,"Between Douala and Ségou, the bigger city is ->",Douala,Ségou,"{'Gu': 0.12488218576566547, 'S': 0.3915461071451431, 'Libre': 0.0322063062285461, 'Dou': 0.09105459566519285, 'Acc': 0.2584390490180587}",S,False
25,"Between Brisbane and Kuopio, the bigger city is ->",Brisbane,Kuopio,"{'Singapore': 0.05653580074450998, 'Adelaide': 0.02530789187679927, 'Chong': 0.01645464122874759, 'Kuala': 0.8124046626011272, 'Detroit': 0.03853736842433092}",Kuala,False
26,"Between Buenos Aires and Panama City, the bigger city is ->",Buenos Aires,Panama City,"{'Tokyo': 0.018920130839033416, 'Rio': 0.018972312489755658, 'S': 0.02676486390398226, 'Bel': 0.014460874310588082, 'Buenos': 0.9004478754953412}",Buenos,True
27,"Between Guangzhou and Boise, the bigger city is ->",Guangzhou,Boise,"{'city': 0.0006029022985418898, 'Gu': 0.22192209103232466, 'Guang': 0.5070070855727253, 'Chong': 0.26769377028011365, 'Kuala': 0.0007080527226665057}",Guang,True
28,"Between Guangzhou and Ouahigouya, the bigger city is ->",Guangzhou,Ouahigouya,"{'Singapore': 0.0011123196159908923, 'Gu': 0.5566648364829668, 'Guang': 0.17578053891517237, 'Chong': 0.2610529287691606, 'Kuala': 0.001962498250054662}",Gu,True
29,"Between Shanghai and Cape Town, the bigger city is ->",Shanghai,Cape Town,"{'Tokyo': 0.00320316786836025, 'city': 0.0006147802937009694, 'Shanghai': 0.8816783429711517, 'S': 0.03358935760941582, 'Chong': 0.07901968344642654}",Shanghai,True
30,"Between Rome and La Paz, the bigger city is ->",Rome,La Paz,"{'Rome': 0.9801410765645809, 'Tokyo': 0.0017393334741075176, 'Madrid': 0.000835645147251928, 'Istanbul': 0.014469903606082702, 'R': 0.0007425796650843579}",Rome,True
31,"Between Chicago and Novosibirsk, the bigger city is ->",Chicago,Novosibirsk,"{'Tokyo': 0.0032819986422836095, 'hicago': 0.017832001478247345, 'Chicago': 0.865199450514452, 'Seattle': 0.0023516501635403356, 'Detroit': 0.1072330259392653}",Chicago,True
32,"Between Ankara and Wellington, the bigger city is ->",Ankara,Wellington,"{'Tokyo': 6.645629795132609e-05, 'Tehran': 0.0014480615196137729, 'Istanbul': 0.9851474495880302, 'Ankara': 0.012198723059195319, 'ytes: \\xc4': 0.0010973632743012031}",Istanbul,True
33,"Between Ürümqi and Ndola, the bigger city is ->",Ürümqi,Ndola,"{'Tehran': 0.1270676445590029, 'Istanbul': 0.13172511366381112, 'ytes: \\xc4': 0.618203566581732, 'Chong': 0.05346615725034027, 'Ü': 0.06174054701315079}",ytes: \xc4,True
34,"Between Toronto and Podgorica, the bigger city is ->",Toronto,Podgorica,"{'Tokyo': 0.06351685342692572, 'T': 0.005534229099156754, 'oronto': 0.014690679998156424, 'Toronto': 0.8971252899794662, 'Detroit': 0.006697680543896962}",Toronto,True
35,"Between Lahore and Aden, the bigger city is ->",Lahore,Aden,"{'Dh': 0.4611224283431562, 'Tehran': 0.07490495018914974, 'Lah': 0.4319740335792466, 'Kuala': 0.005880367611871908, 'Kh': 0.009208346296947664}",Dh,True
36,"Between Kuwait City and Lomé, the bigger city is ->",Kuwait City,Lomé,"{'Tehran': 0.2821542702503898, 'Istanbul': 0.08959044547597325, 'Kuwait': 0.4899079562059997, 'Kuala': 0.026517939838406127, 'Kh': 0.05598114731596958}",Kuwait,True
37,"Between Kunming and San Diego, the bigger city is ->",Kunming,San Diego,"{'Tokyo': 3.149089819739824e-05, 'Singapore': 2.871959257477359e-05, 'San': 0.9990318284308207, 'S': 0.0006707171801056833, 'Chong': 0.00014846415638514895}",San,False
38,"Between Paris and Lomé, the bigger city is ->",Paris,Lomé,"{'Tokyo': 0.10510743094821423, 'Tehran': 0.0066739752972555366, 'Istanbul': 0.01932808035110329, 'aris': 0.026694914496852455, 'Paris': 0.8299317587044394}",Paris,True
39,"Between Karachi and Barranquilla, the bigger city is ->",Karachi,Barranquilla,"{'Dh': 0.011205793025287765, 'Tehran': 0.21356458205373297, 'Istanbul': 0.003584960941388809, 'Karachi': 0.7637823596245831, 'Kh': 0.004013317792811969}",Karachi,True
