,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for a small city to visit. Between Addis Ababa and Cotonou, I should visit ->",Cotonou,Addis Ababa,"{'T': 2.8489364350649764e-08, 'C': 0.9999998115819777, 'B': 2.9543266118314946e-08, 'Ou': 1.0599424889646108e-07, 'O': 5.4587058832962323e-08}",C,True
1,"I'm looking for a small city to visit. Between Chicago and Baku, I should visit ->",Baku,Chicago,"{'C': 1.7901146193486861e-07, 'Azerbaijan': 7.841536081647623e-08, 'B': 0.9999976639519286, 'Chicago': 1.6938144523405618e-06, 'Bat': 2.8011909077652103e-07}",B,True
2,"I'm looking for a small city to visit. Between Medellín and Garoua, I should visit ->",Garoua,Medellín,"{'ar': 0.00047025013627053865, 'G': 0.0022109278719597155, 'Ou': 0.00017274897996893583, 'O': 0.00014124225800838273, 'Gar': 0.9964248859927428}",Gar,True
3,"I'm looking for a small city to visit. Between Perth and Suwałki, I should visit ->",Suwałki,Perth,"{'SU': 1.9652224892051295e-05, 'Su': 0.9997963186758579, 'Warsaw': 3.4872015204970447e-06, 'W': 2.2171166778610244e-06, 'u': 0.0001691545100621829}",Su,True
4,"I'm looking for a small city to visit. Between Los Angeles and Lomé, I should visit ->",Lomé,Los Angeles,"{'Tam': 0.000258022956066226, 'T': 0.0016962393930684385, 'L': 0.9977652256347941, 'O': 6.528416808535294e-05, 'Libre': 7.88650022101788e-05}",L,False
5,"I'm looking for a small city to visit. Between Houston and Bishkek, I should visit ->",Bishkek,Houston,"{'': 5.206723358249822e-08, 'B': 0.9999996923682474, 'Wichita': 6.108252611311784e-08, 'K': 3.9912471219326524e-08, 'Ash': 7.841104809023241e-08}",B,True
6,"I'm looking for a small city to visit. Between Paris and Cape Town, I should visit ->",Cape Town,Paris,"{'Cape': 0.9981956334301949, 'C': 0.0008643349419401682, 'cape': 0.00011187672080391953, 'Cap': 0.0001577298182107422, 'Town': 0.00015662940823319606}",Cape,True
7,"I'm looking for a small city to visit. Between Melbourne and Ouahigouya, I should visit ->",Ouahigouya,Melbourne,"{'Ni': 3.1439335660496095e-08, 'Ou': 0.999949383821042, 'O': 5.043828743307317e-05, 'Oo': 5.541708445851495e-09, 'OU': 1.630263488201663e-07}",Ou,True
8,"I'm looking for a small city to visit. Between Guadalajara and Kuopio, I should visit ->",Kuopio,Guadalajara,"{'Ni': 0.00019507586963876794, 'Ku': 0.987072257508352, 'Gu': 0.005174585705208373, 'u': 0.0013951058338882117, 'K': 0.005984161799434188}",Ku,True
9,"I'm looking for a small city to visit. Between Nairobi and Pretoria, I should visit ->",Pretoria,Nairobi,"{'pret': 9.56356492792956e-06, 'T': 0.00010787396532844564, 'P': 1.9598147725393957e-05, 'Pret': 0.9997103078388797, 'N': 5.101769625669892e-05}",Pret,True
10,"I'm looking for a small city to visit. Between London and Bujumbura, I should visit ->",Bujumbura,London,"{'B': 0.25951732904820135, 'u': 0.0003347260907971909, 'Ou': 0.0005319995045074698, 'Bul': 0.004020700249913572, 'Bu': 0.7334616986562703}",Bu,True
11,"I'm looking for a small city to visit. Between Saint Petersburg and Novosibirsk, I should visit ->",Novosibirsk,Saint Petersburg,"{'Ni': 0.0013748728841886074, 'ov': 0.0012862558792255355, 'Sochi': 0.0007029920323511396, 'N': 0.00021364495703804894, 'Nov': 0.995832710051882}",Nov,True
12,"I'm looking for a small city to visit. Between Luanda and Podgorica, I should visit ->",Podgorica,Luanda,"{'Pir': 5.708863487956246e-05, 'Pod': 0.9987803558712073, 'pod': 4.015815599878113e-05, 'P': 3.721714558669982e-05, 'od': 0.0009951271898302333}",Pod,True
13,"I'm looking for a small city to visit. Between Shanghai and Belgrade, I should visit ->",Belgrade,Shanghai,"{'Bl': 8.575270673394593e-06, 'el': 1.3978188507228572e-06, 'Br': 4.5006806952969093e-07, 'Serbia': 9.650943194702762e-07, 'Bel': 0.9999871717882822}",Bel,True
14,"I'm looking for a small city to visit. Between Houston and Ouahigouya, I should visit ->",Ouahigouya,Houston,"{'Ni': 2.7000512220294898e-08, 'Ou': 0.9999715548285716, 'O': 2.8318280720599515e-05, 'Oo': 4.70345261020229e-09, 'OU': 1.1345302072821186e-07}",Ou,True
15,"I'm looking for a small city to visit. Between Fukuoka and Nouadhibou, I should visit ->",Nouadhibou,Fukuoka,"{'Ni': 0.014166564549732944, 'N': 0.03229337106506075, 'Ou': 0.10789111013111516, 'O': 0.000261786047606886, 'Nou': 0.844200038524003}",Nou,True
16,"I'm looking for a small city to visit. Between Sydney and Garoua, I should visit ->",Garoua,Sydney,"{'ar': 0.00041018704294076537, 'G': 0.0017209575980988133, 'Ou': 0.0006057854363620949, 'O': 0.00010527306126463863, 'Gar': 0.9966608615642023}",Gar,True
17,"I'm looking for a small city to visit. Between Kabul and Garissa, I should visit ->",Garissa,Kabul,"{'ar': 0.0025596109620197537, 'G': 0.0001937265363062217, '0': 4.902442081627965e-05, 'Bat': 2.7552287361115148e-05, 'Gar': 0.9968399155109918}",Gar,True
18,"I'm looking for a small city to visit. Between Mexico City and Changsha, I should visit ->",Changsha,Mexico City,"{'city': 0.0018488094270628203, 'Chang': 0.8026719090776051, 'Chong': 0.008488262093713221, 'smaller': 0.003277197967142376, 'Ch': 0.17573705618887975}",Chang,True
19,"I'm looking for a small city to visit. Between Kunming and Nur-Sultan, I should visit ->",Nur-Sultan,Kunming,"{'Ni': 0.01557017116407191, 'Kun': 0.03489946777116238, 'N': 0.06669581977923612, 'Nur': 0.8809067361503555, 'K': 0.000512362846168391}",Nur,True
20,"I'm looking for a small city to visit. Between Mumbai and Ouahigouya, I should visit ->",Ouahigouya,Mumbai,"{'Ni': 3.000793470766911e-08, 'Ou': 0.9999641650620867, 'O': 3.574904508822067e-05, 'Libre': 5.002850434750725e-09, 'OU': 1.2865286869781354e-07}",Ou,True
21,"I'm looking for a small city to visit. Between Sydney and Kuopio, I should visit ->",Kuopio,Sydney,"{'Ni': 0.00012201885207059371, 'Ku': 0.9964021755362679, 'W': 3.7319297718292896e-05, 'u': 0.0014542387662143106, 'K': 0.0018627645081415703}",Ku,True
22,"I'm looking for a small city to visit. Between Ankara and Cotonou, I should visit ->",Cotonou,Ankara,"{'C': 0.9999975456765119, 'B': 1.1694068459202172e-07, 'Ou': 1.0285165876309825e-06, 'O': 5.741690338037967e-07, 'Acc': 2.3416917797868293e-07}",C,True
23,"I'm looking for a small city to visit. Between Riyadh and Erbil, I should visit ->",Erbil,Riyadh,"{'ER': 0.00012978958444742858, 'Kurdistan': 3.148677315993024e-05, 'smaller': 1.3069255427598058e-05, 'Er': 0.9996185761405826, 'r': 0.00015635116857371428}",Er,True
