{'statement': 'Between San Diego and Yakutsk, the city with a smaller population is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'San Diego'}
{'statement': 'Between Piura and Luanda, the city with a smaller population is Piura.', 'answer': 'Piura', 'candidate': 'Luanda'}
{'statement': 'Between Makurdi and Buenos Aires, the city with a smaller population is Makurdi.', 'answer': 'Makurdi', 'candidate': 'Buenos Aires'}
{'statement': 'Between Gabès and Minneapolis, the city with a smaller population is Gabès.', 'answer': 'Gabès', 'candidate': 'Minneapolis'}
{'statement': 'Between Denver and Chihuahua, the city with a smaller population is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Denver'}
{'statement': 'Between Jakarta and Los Angeles, the city with a smaller population is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Jakarta'}
{'statement': 'Between Bratislava and Surabaya, the city with a smaller population is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Surabaya'}
{'statement': 'Between Ushuaia and Johannesburg, the city with a smaller population is Ushuaia.', 'answer': 'Ushuaia', 'candidate': 'Johannesburg'}
{'statement': 'Between Nairobi and Goiânia, the city with a smaller population is Goiânia.', 'answer': 'Goiânia', 'candidate': 'Nairobi'}
{'statement': 'Between Saint Petersburg and Hanoi, the city with a smaller population is Saint Petersburg.', 'answer': 'Saint Petersburg', 'candidate': 'Hanoi'}
{'statement': 'Between Darwin and Tampa, the city with a smaller population is Darwin.', 'answer': 'Darwin', 'candidate': 'Tampa'}
{'statement': 'Between Alexandria and Auckland, the city with a smaller population is Auckland.', 'answer': 'Auckland', 'candidate': 'Alexandria'}
{'statement': 'Between Malabo and Chicago, the city with a smaller population is Malabo.', 'answer': 'Malabo', 'candidate': 'Chicago'}
{'statement': 'Between Lake Havasu City and Alexandria, the city with a smaller population is Lake Havasu City.', 'answer': 'Lake Havasu City', 'candidate': 'Alexandria'}
{'statement': 'Between Tauranga and Mumbai, the city with a smaller population is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Mumbai'}
{'statement': 'Between Melbourne and Kathmandu, the city with a smaller population is Kathmandu.', 'answer': 'Kathmandu', 'candidate': 'Melbourne'}
{'statement': 'Between Bratislava and Hanoi, the city with a smaller population is Bratislava.', 'answer': 'Bratislava', 'candidate': 'Hanoi'}
{'statement': 'Between Tirana and Guangzhou, the city with a smaller population is Tirana.', 'answer': 'Tirana', 'candidate': 'Guangzhou'}
{'statement': 'Between Irkutsk and Nairobi, the city with a smaller population is Irkutsk.', 'answer': 'Irkutsk', 'candidate': 'Nairobi'}
{'statement': 'Between Karachi and Hat Yai, the city with a smaller population is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Karachi'}
{'statement': 'Between Mahajanga and Buenos Aires, the city with a smaller population is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Buenos Aires'}
{'statement': 'Between Hanoi and Tauranga, the city with a smaller population is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Hanoi'}
{'statement': 'Between Lagos and Tripoli, the city with a smaller population is Tripoli.', 'answer': 'Tripoli', 'candidate': 'Lagos'}
{'statement': 'Between Vladivostok and Paris, the city with a smaller population is Vladivostok.', 'answer': 'Vladivostok', 'candidate': 'Paris'}
{'statement': 'Between Nairobi and Sucre, the city with a smaller population is Sucre.', 'answer': 'Sucre', 'candidate': 'Nairobi'}
{'statement': 'Between Brasília and Chihuahua, the city with a smaller population is Chihuahua.', 'answer': 'Chihuahua', 'candidate': 'Brasília'}
