,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for a small city to visit. If I were you, between Manila and Mexicali I would visit ->",Mexicali,Manila,"{'Man': 0.013399036199801151, 'Med': 0.006287615964929506, 'San': 0.0036015949138665914, 'M': 0.008292158249426189, 'Mex': 0.9466734509729051}",Mex,True
1,"You are looking for a small city to visit. If I were you, between Buenos Aires and Zürich I would visit ->",Zürich,Buenos Aires,"{'Z': 0.9990956063107163, 'Zur': 1.0920323101890756e-05, 'R': 1.576583974457298e-05, 'Zurich': 0.0007580884427793136, '': 6.518188272247632e-05}",Z,True
2,"You are looking for a small city to visit. If I were you, between Saint Petersburg and Barranquilla I would visit ->",Barranquilla,Saint Petersburg,"{'Bar': 0.9934454722457479, 'B': 0.000779781738401854, 'St': 0.000849286476855203, '0': 0.0007852644640813285, 'Saint': 0.0010080918423914103}",Bar,True
3,"You are looking for a small city to visit. If I were you, between Luanda and Bratislava I would visit ->",Bratislava,Luanda,"{'Bl': 2.422092051863253e-07, 'Br': 0.9999976639519286, 'Slov': 2.4279071981774306e-07, 'B': 4.4484407919962166e-07, 'Lu': 7.081754239520582e-07}",Br,True
4,"You are looking for a small city to visit. If I were you, between Los Angeles and Nairobi I would visit ->",Nairobi,Los Angeles,"{'os': 9.420226670252956e-07, 'San': 1.5836313899780798e-06, 'N': 0.9991417406154552, 'Los': 0.0008527782577597028, 'LA': 3.9603905770001954e-07}",N,True
5,"You are looking for a small city to visit. If I were you, between Ürümqi and Garissa I would visit ->",Garissa,Ürümqi,"{'ar': 0.0008158497090901286, 'G': 4.919217459812011e-05, 'gar': 5.5337320701589534e-05, '0': 0.000265692216485252, 'Gar': 0.9986119716037458}",Gar,True
6,"You are looking for a small city to visit. If I were you, between Ho Chi Minh City and Santiago I would visit ->",Santiago,Ho Chi Minh City,"{'Sant': 0.0003840647499230333, 'Chile': 0.000184287595790518, 'San': 0.0017301139596705845, 'Santiago': 0.9583381158299461, 'Conce': 0.03801446628461714}",Santiago,True
7,"You are looking for a small city to visit. If I were you, between San Diego and Gabès I would visit ->",Gabès,San Diego,"{'Gab': 0.9442093956581549, 'Gabriel': 6.919105269604945e-05, 'San': 0.054590593024679696, 'G': 0.0004387575391868404, 'ab': 0.000566891687398769}",Gab,True
8,"You are looking for a small city to visit. If I were you, between Lahore and Mandalay I would visit ->",Mandalay,Lahore,"{'Pir': 0.0014941012850867728, 'Lah': 0.0026545644147207234, 'M': 0.012052809411948947, 'Mandal': 0.9775857140101385, 'Hon': 0.0006963006656741011}",Mandal,True
9,"You are looking for a small city to visit. If I were you, between Baghdad and Fairbanks I would visit ->",Fairbanks,Baghdad,"{'air': 0.0009612394620128372, 'N': 3.590532301726658e-05, '0': 0.00024647721569775246, 'Fair': 0.9983844020856704, 'Ash': 3.99187667513685e-05}",Fair,True
10,"You are looking for a small city to visit. If I were you, between Mexico City and Bangkok I would visit ->",Bangkok,Mexico City,"{'Gu': 0.039801917080500786, 'Mon': 0.030536322569937, 'exico': 0.03408353690439796, 'Bangkok': 0.03089960124049669, 'Mexico': 0.6063772511208892}",Mexico,False
11,"You are looking for a small city to visit. If I were you, between Mumbai and Mexicali I would visit ->",Mexicali,Mumbai,"{'Gu': 0.0008201965100616043, 'ex': 0.0012797430031479952, 'Mon': 0.0005646563172235558, 'M': 0.003976111290544244, 'Mex': 0.9887507928792133}",Mex,True
12,"You are looking for a small city to visit. If I were you, between Ankara and Kuopio I would visit ->",Kuopio,Ankara,"{'Ku': 0.9886308073412408, 'u': 0.004624905225553149, 'smaller': 0.00019482847536506274, 'K': 0.0034392574102957165, '0': 0.0016189611514061696}",Ku,True
13,"You are looking for a small city to visit. If I were you, between Brasília and Garoua I would visit ->",Garoua,Brasília,"{'ar': 0.000788545538420936, 'Bras': 0.0005173918707849301, 'G': 0.0001647699993236083, '0': 8.63335737662039e-05, 'Gar': 0.9977737492801945}",Gar,True
14,"You are looking for a small city to visit. If I were you, between Lima and Ankara I would visit ->",Ankara,Lima,"{'Salt': 0.0007206518559897395, 'C': 0.0006007317875472, 'Ant': 0.000988010729952074, 'Lima': 0.9847062594903314, 'Conce': 0.009086717019496014}",Lima,False
15,"You are looking for a small city to visit. If I were you, between Johannesburg and Paramaribo I would visit ->",Paramaribo,Johannesburg,"{'Gu': 0.00022825765528853157, 'Jos': 0.0002936702554997142, 'aram': 0.0035210501352042, 'Param': 0.9926656084908103, 'Johannes': 0.0004582463208375432}",Param,True
16,"You are looking for a small city to visit. If I were you, between Douala and Ljubljana I would visit ->",Ljubljana,Douala,"{'Jos': 2.1549326388010995e-05, 'L': 0.9972260972975673, '': 1.86326619206792e-05, 'Dun': 9.994935932374385e-06, 'Dou': 0.0026382844568598037}",L,True
17,"You are looking for a small city to visit. If I were you, between Alexandria and Malabo I would visit ->",Malabo,Alexandria,"{'Man': 0.002030513220299437, 'Alexandria': 0.018804097138334936, 'M': 0.005691848587724677, 'Ant': 0.004192475114512877, 'Mal': 0.9612084289149311}",Mal,True
18,"You are looking for a small city to visit. If I were you, between Ho Chi Minh City and Anchorage I would visit ->",Anchorage,Ho Chi Minh City,"{'Alaska': 0.0006010800726145248, 'N': 5.8137887395525486e-05, 'Anchorage': 0.9989045137836129, '0': 5.684177654692133e-05, 'Ash': 4.0325279612624196e-05}",Anchorage,True
19,"You are looking for a small city to visit. If I were you, between San Diego and Tucson I would visit ->",Tucson,San Diego,"{'an': 1.0354100770573898e-06, 'San': 0.9999528397720785, 'T': 1.2895259251668817e-07, 'Tucson': 4.541720772268296e-05, 'SAN': 1.9988632639614125e-07}",San,False
20,"You are looking for a small city to visit. If I were you, between Paris and Berlin I would visit ->",Berlin,Paris,"{'Berlin': 0.9614294419051219, 'Warsaw': 1.7424086976881512e-05, 'aris': 3.0380974022616005e-05, 'smaller': 6.058616447190225e-05, 'Paris': 0.03833802712668137}",Berlin,True
21,"You are looking for a small city to visit. If I were you, between Toronto and Panama City I would visit ->",Panama City,Toronto,"{'Panama': 0.975536177009263, 'T': 0.0013121857772114792, 'PAN': 0.0028307290094158576, 'smaller': 0.001644758029686086, 'Pan': 0.0038555716308095495}",Panama,True
22,"You are looking for a small city to visit. If I were you, between Paris and Milwaukee I would visit ->",Milwaukee,Paris,"{'Milwaukee': 0.9973016171973753, 'Warsaw': 0.0023266612010444995, 'M': 4.672201925607308e-05, 'W': 6.510429731143733e-05, 'Paris': 3.295706184330819e-05}",Milwaukee,True
23,"You are looking for a small city to visit. If I were you, between Jakarta and Ushuaia I would visit ->",Ushuaia,Jakarta,"{'San': 2.7766313961701304e-05, 'Conce': 3.834424908753372e-05, 'U': 0.9997796292452027, '': 5.752695139861219e-05, '0': 2.5303900605094486e-05}",U,True
24,"You are looking for a small city to visit. If I were you, between London and Tirana I would visit ->",Tirana,London,"{'Pir': 2.9600035420395266e-05, 'Tall': 2.171268295891679e-05, 'T': 0.0019897674626764067, 'Tir': 0.9977758959927254, 'smaller': 3.0631704212381326e-05}",Tir,True
25,"You are looking for a small city to visit. If I were you, between Brasília and Kathmandu I would visit ->",Kathmandu,Brasília,"{'Br': 0.0002530675775404383, 'Kath': 0.9793073861585558, 'Bras': 0.01842291516166806, 'smaller': 0.00029914055841505886, 'K': 0.0005985676540537957}",Kath,True
26,"You are looking for a small city to visit. If I were you, between Lahore and Hobart I would visit ->",Hobart,Lahore,"{'Hamilton': 9.97758887028239e-05, 'Hob': 0.9995540255361882, 'Lah': 2.373058109588375e-05, 'hob': 8.591449504170442e-05, 'Tasmania': 3.918929246043671e-05}",Hob,True
27,"You are looking for a small city to visit. If I were you, between Jakarta and Kano I would visit ->",Kano,Jakarta,"{'Jos': 6.929729255390257e-08, 'B': 9.336007925969644e-08, 'Jakarta': 5.8735883126749676e-08, 'K': 0.9999992145956385, 'Jay': 3.541355809866109e-07}",K,True
28,"You are looking for a small city to visit. If I were you, between Algiers and Dublin I would visit ->",Dublin,Algiers,"{'Dublin': 0.0018575417596185632, 'l': 0.0007686095151989494, 'Alger': 9.426618709658609e-05, 'Acc': 0.0003063519357682321, 'Al': 0.9958829577518392}",Al,False
29,"You are looking for a small city to visit. If I were you, between Houston and Punta Arenas I would visit ->",Punta Arenas,Houston,"{'C': 5.081986106137676e-07, 'P': 0.9999915843354119, 'O': 1.2850306342731145e-06, '': 3.4890711615310673e-06, '0': 3.961725453538708e-07}",P,True
30,"You are looking for a small city to visit. If I were you, between Jakarta and Monterrey I would visit ->",Monterrey,Jakarta,"{'Monte': 4.1046831680483e-06, 'Mon': 0.9999872919297482, 'San': 9.063702046133738e-07, 'M': 2.4616271095988843e-06, 'smaller': 6.930983005364595e-07}",Mon,True
31,"You are looking for a small city to visit. If I were you, between Los Angeles and Nouakchott I would visit ->",Nouakchott,Los Angeles,"{'N': 0.014471341985987441, 'Ou': 0.024127657074951212, 'Nou': 0.9383921283986855, 'Los': 0.013295931404371769, 'New': 0.005428513171144092}",Nou,True
32,"You are looking for a small city to visit. If I were you, between Cairo and Pittsburgh I would visit ->",Pittsburgh,Cairo,"{'Pitt': 0.011063919062928184, 'Pittsburgh': 0.9834081809428553, 'Steelers': 7.73125701852137e-05, 'Cairo': 8.933135606207223e-05, 'itt': 0.00510831589263433}",Pittsburgh,True
33,"You are looking for a small city to visit. If I were you, between Ankara and Neuquén I would visit ->",Neuquén,Ankara,"{'Ni': 0.006570252598266235, 'Ne': 0.978152610172124, 'N': 0.013181387266788053, 'e': 0.0010909995331952423, 'Nic': 0.00021401573876840915}",Ne,True
34,"You are looking for a small city to visit. If I were you, between Kuwait City and La Ceiba I would visit ->",La Ceiba,Kuwait City,"{'a': 0.00021936380420706984, 'Ce': 0.014520082322614638, 'C': 0.0001443459080033173, 'Conce': 0.00010850698599563217, 'La': 0.9848765476498296}",La,True
35,"You are looking for a small city to visit. If I were you, between Bogotá and Harare I would visit ->",Harare,Bogotá,"{'Med': 7.550014357918824e-05, 'Har': 0.8919879191925069, 'Bog': 0.10696462571233802, 'B': 0.00020665083011606737, 'smaller': 0.00016507130927520078}",Har,True
36,"You are looking for a small city to visit. If I were you, between Lahore and Cabo San Lucas I would visit ->",Cabo San Lucas,Lahore,"{'Sant': 0.00015633819196525937, 'Cab': 0.9489926190599297, 'cab': 0.00010227318915010109, 'San': 0.04966418645993361, 'C': 0.0006911325010319369}",Cab,True
37,"You are looking for a small city to visit. If I were you, between Hanoi and Surabaya I would visit ->",Surabaya,Hanoi,"{'ur': 0.004316739098802973, 'H': 0.200924010423375, 'SUR': 0.0005952367692855868, 'Sur': 0.7891281267517214, 'Hon': 0.0011821964174358172}",Sur,True
38,"You are looking for a small city to visit. If I were you, between Ankara and Tauranga I would visit ->",Tauranga,Ankara,"{'Tam': 8.336743320475714e-07, 'T': 0.999997425535114, 'N': 5.735498395317072e-07, '': 9.932088159866883e-08, 'New': 1.7810581446341737e-07}",T,True
39,"You are looking for a small city to visit. If I were you, between Manila and Willemstad I would visit ->",Willemstad,Manila,"{'Man': 0.0002040617324190284, 'il': 0.0019301927704325284, 'Vil': 0.0001836124998727088, 'W': 0.0876739025750264, 'Wil': 0.9090222478696893}",Wil,True
40,"You are looking for a small city to visit. If I were you, between Santiago and Zürich I would visit ->",Zürich,Santiago,"{'Z': 0.8836857376019868, 'San': 6.424722665649691e-05, 'Santiago': 0.11585664165119446, 'Conce': 5.818482360686769e-05, '': 7.23899558174447e-05}",Z,True
41,"You are looking for a small city to visit. If I were you, between Kunming and El Paso I would visit ->",El Paso,Kunming,"{'Kum': 0.0010415498861943684, 'Kun': 0.44574871723982973, 'El': 0.5508862136264657, 'K': 0.00016950129348380414, 'l': 0.0007237818667460556}",El,True
42,"You are looking for a small city to visit. If I were you, between Buenos Aires and San Salvador I would visit ->",San Salvador,Buenos Aires,"{'an': 9.490731121975078e-07, 'Salvador': 9.099118657099537e-06, 'San': 0.9999889608319321, 'Ant': 1.1087748321941796e-07, 'Conce': 1.823835408401015e-07}",San,True
43,"You are looking for a small city to visit. If I were you, between Guangzhou and Tripoli I would visit ->",Tripoli,Guangzhou,"{'Pir': 0.00038656404446618745, 'Gu': 0.00527679327524506, 'Guang': 0.00045459674805136633, 'Gaddafi': 0.00044412597868518023, 'Tripoli': 0.9896175070733163}",Tripoli,True
44,"You are looking for a small city to visit. If I were you, between Baghdad and San Antonio I would visit ->",San Antonio,Baghdad,"{'an': 2.589978697977003e-07, 'San': 0.9999989771165232, 'S': 1.8325760433269517e-07, 'SAN': 1.0355996707445727e-07, 'Ant': 9.273647205045787e-08}",San,True
45,"You are looking for a small city to visit. If I were you, between Berlin and Kingston I would visit ->",Kingston,Berlin,"{'Berlin': 0.3142569549045379, 'Hamilton': 0.004317935864745258, 'Stockholm': 0.011227325447441124, 'Kingston': 0.630630731066749, 'Acc': 0.004973546061645969}",Kingston,True
46,"You are looking for a small city to visit. If I were you, between Ürümqi and Toluca I would visit ->",Toluca,Ürümqi,"{'Tol': 0.9936399045750786, 'T': 0.0011129501461611228, 'Ü': 0.0040930179334036565, 'Teg': 0.0001283843575582646, '0': 0.0004158817886432178}",Tol,True
47,"You are looking for a small city to visit. If I were you, between Jakarta and Phoenix I would visit ->",Phoenix,Jakarta,"{'Mar': 9.96702819653248e-05, 'City': 0.00011947947006153857, 'hoenix': 0.0023900260823048547, 'Jay': 0.00015555798530519823, 'Phoenix': 0.9968191745783317}",Phoenix,True
48,"You are looking for a small city to visit. If I were you, between Shanghai and Wau I would visit ->",Wau,Shanghai,"{'M': 2.0956392769549058e-07, 'W': 0.9999993338092819, 'N': 4.466011569341607e-08, 'Wichita': 5.743373433889792e-08, '': 1.3602216317031763e-07}",W,True
49,"You are looking for a small city to visit. If I were you, between Toronto and Bata I would visit ->",Bata,Toronto,"{'': 2.73809040227417e-08, 'B': 0.999997306321628, 'smaller': 2.7040205120043308e-08, 'Bat': 2.5595553652681382e-06, 'Toronto': 8.43284958495516e-08}",B,True
50,"You are looking for a small city to visit. If I were you, between Ankara and Kuwait City I would visit ->",Kuwait City,Ankara,"{'Kuwait': 0.20683800016763715, 'Ankara': 0.26332522863454033, 'Ant': 0.25510697805858606, 'Wichita': 0.0730677782073693, 'Acc': 0.03100524175251756}",Ankara,False
51,"You are looking for a small city to visit. If I were you, between Guadalajara and Dublin I would visit ->",Dublin,Guadalajara,"{'Dublin': 0.0500524761959586, 'Gu': 0.9498333545860372, 'Edinburgh': 1.2938347265011354e-05, 'G': 1.6051985642449175e-05, 'Dun': 2.2950817527015335e-05}",Gu,False
52,"You are looking for a small city to visit. If I were you, between Los Angeles and Cape Town I would visit ->",Cape Town,Los Angeles,"{'Cape': 0.9956041262615004, 'San': 0.00036309647051957456, 'C': 0.0027286562693205315, 'cape': 0.0003914107648231313, 'Cap': 0.00012097156983697073}",Cape,True
53,"You are looking for a small city to visit. If I were you, between Yaoundé and Saskatoon I would visit ->",Saskatoon,Yaoundé,"{'Winnipeg': 0.00028605713338923026, 'Sask': 0.9867363863375225, 'Ya': 0.00939223964835636, 'Saskatchewan': 0.0026485385014705623, 'Y': 0.0002275776634561936}",Sask,True
54,"You are looking for a small city to visit. If I were you, between Kano and Mahajanga I would visit ->",Mahajanga,Kano,"{'M': 0.00015729587059887959, 'ah': 0.00029188081699277693, 'K': 0.4830741101192189, 'Hon': 7.871175885834986e-05, 'Mah': 0.5161754251793007}",Mah,True
55,"You are looking for a small city to visit. If I were you, between Saint Petersburg and Cabo San Lucas I would visit ->",Cabo San Lucas,Saint Petersburg,"{'Sant': 0.0006945493777674329, 'Cab': 0.5115517119853493, 'Gu': 9.659312394237739e-05, 'San': 0.4865208116288617, 'C': 0.000601632057307797}",Cab,True
56,"You are looking for a small city to visit. If I were you, between Shanghai and Tirana I would visit ->",Tirana,Shanghai,"{'Pir': 0.0002252049908698589, 'Tall': 2.4472292469450373e-05, 'T': 0.0014422527183946998, 'Tir': 0.9980814886002003, 'smaller': 5.65771140461043e-05}",Tir,True
