,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like restaurants further away. Between Bagel Nash and Basil Express Restaurant, this person should go to -> Basil Express Restaurant. Someone doesn't like restaurants further away. Between Domino's Pizza and Pho 88, this person should go to -> Pho 88. Someone doesn't like restaurants further away. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, this person should go to -> Mysteriously Yours Dinner Theatre. Someone doesn't like restaurants further away. Between The Empire and Top Sushi, this person should go to -> The Empire. Someone doesn't like restaurants further away. Between Popeyes Louisiana Kitchen and To-ne Sushi, this person should go to -> Popeyes Louisiana Kitchen. Someone doesn't like restaurants further away. Between Roncy's Bean and Tian An Cuisine, this person should go to -> Tian An Cuisine. Someone doesn't like restaurants further away. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, this person should go to -> Scaddabush Italian Kitchen & Bar. Someone doesn't like restaurants further away. Between Mirage Grill & Lounge and Farmacia Health Bar, this person should go to -> Farmacia Health Bar. Someone doesn't like restaurants further away. Between Queen Pita and La Cocina De Dona Luz, this person should go to ->",La Cocina De Dona Luz,Queen Pita,"{'a': 0.0018746037035606885, '': 0.0007643887982573079, 'ueen': 0.005292996750661571, 'La': 0.4610249573648499, 'Queen': 0.5274760064865284}",Queen,False
1,"Someone doesn't like restaurants further away. Between Queen Pita and La Cocina De Dona Luz, this person should go to -> La Cocina De Dona Luz. Someone doesn't like restaurants further away. Between Pho 88 and Domino's Pizza, this person should go to -> Pho 88. Someone doesn't like restaurants further away. Between Smoke's Weinerie and Mysteriously Yours Dinner Theatre, this person should go to -> Mysteriously Yours Dinner Theatre. Someone doesn't like restaurants further away. Between Top Sushi and The Empire, this person should go to -> The Empire. Someone doesn't like restaurants further away. Between To-ne Sushi and Popeyes Louisiana Kitchen, this person should go to -> Popeyes Louisiana Kitchen. Someone doesn't like restaurants further away. Between Roncy's Bean and Tian An Cuisine, this person should go to -> Tian An Cuisine. Someone doesn't like restaurants further away. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, this person should go to -> Scaddabush Italian Kitchen & Bar. Someone doesn't like restaurants further away. Between Mirage Grill & Lounge and Farmacia Health Bar, this person should go to -> Farmacia Health Bar. Someone doesn't like restaurants further away. Between Bagel Nash and Basil Express Restaurant, this person should go to ->",Basil Express Restaurant,Bagel Nash,"{'as': 0.0009133996868987506, '': 0.0006561166268432543, 'Bag': 0.06344212538062943, 'Basil': 0.9300355758168305, 'basil': 0.0014491681164194433}",Basil,True
2,"Someone doesn't like restaurants further away. Between La Cocina De Dona Luz and Queen Pita, this person should go to -> La Cocina De Dona Luz. Someone doesn't like restaurants further away. Between Bagel Nash and Basil Express Restaurant, this person should go to -> Basil Express Restaurant. Someone doesn't like restaurants further away. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, this person should go to -> Mysteriously Yours Dinner Theatre. Someone doesn't like restaurants further away. Between Top Sushi and The Empire, this person should go to -> The Empire. Someone doesn't like restaurants further away. Between Popeyes Louisiana Kitchen and To-ne Sushi, this person should go to -> Popeyes Louisiana Kitchen. Someone doesn't like restaurants further away. Between Roncy's Bean and Tian An Cuisine, this person should go to -> Tian An Cuisine. Someone doesn't like restaurants further away. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, this person should go to -> Scaddabush Italian Kitchen & Bar. Someone doesn't like restaurants further away. Between Mirage Grill & Lounge and Farmacia Health Bar, this person should go to -> Farmacia Health Bar. Someone doesn't like restaurants further away. Between Domino's Pizza and Pho 88, this person should go to ->",Pho 88,Domino's Pizza,"{'Domin': 0.00035919469161503875, 'Ph': 0.5366018625367955, 'om': 0.0027357818926448947, 'h': 0.0014444003879095196, 'Dom': 0.4549366047310399}",Ph,True
3,"Someone doesn't like restaurants further away. Between Queen Pita and La Cocina De Dona Luz, this person should go to -> La Cocina De Dona Luz. Someone doesn't like restaurants further away. Between Bagel Nash and Basil Express Restaurant, this person should go to -> Basil Express Restaurant. Someone doesn't like restaurants further away. Between Domino's Pizza and Pho 88, this person should go to -> Pho 88. Someone doesn't like restaurants further away. Between The Empire and Top Sushi, this person should go to -> The Empire. Someone doesn't like restaurants further away. Between Popeyes Louisiana Kitchen and To-ne Sushi, this person should go to -> Popeyes Louisiana Kitchen. Someone doesn't like restaurants further away. Between Roncy's Bean and Tian An Cuisine, this person should go to -> Tian An Cuisine. Someone doesn't like restaurants further away. Between Mirage Grill & Lounge and Farmacia Health Bar, this person should go to -> Farmacia Health Bar. Someone doesn't like restaurants further away. Between Beryl's Pepper Pot and Fit For Life, this person should go to -> Fit For Life. Someone doesn't like restaurants further away. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, this person should go to ->",Mysteriously Yours Dinner Theatre,Smoke's Weinerie,"{'Myster': 0.604353631354656, '': 0.0003734026238374926, 'Smoke': 0.39033217953020927, 'Myst': 0.0005333314871522682, 'myster': 0.0022175211634343356}",Myster,True
4,"Someone doesn't like restaurants further away. Between Queen Pita and La Cocina De Dona Luz, this person should go to -> La Cocina De Dona Luz. Someone doesn't like restaurants further away. Between Bagel Nash and Basil Express Restaurant, this person should go to -> Basil Express Restaurant. Someone doesn't like restaurants further away. Between Domino's Pizza and Pho 88, this person should go to -> Pho 88. Someone doesn't like restaurants further away. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, this person should go to -> Mysteriously Yours Dinner Theatre. Someone doesn't like restaurants further away. Between Popeyes Louisiana Kitchen and To-ne Sushi, this person should go to -> Popeyes Louisiana Kitchen. Someone doesn't like restaurants further away. Between Roncy's Bean and Tian An Cuisine, this person should go to -> Tian An Cuisine. Someone doesn't like restaurants further away. Between Scaddabush Italian Kitchen & Bar and Smoke's Weinerie, this person should go to -> Scaddabush Italian Kitchen & Bar. Someone doesn't like restaurants further away. Between Mirage Grill & Lounge and Farmacia Health Bar, this person should go to -> Farmacia Health Bar. Someone doesn't like restaurants further away. Between Top Sushi and The Empire, this person should go to ->",The Empire,Top Sushi,"{'': 0.0005019936940524243, 'The': 0.31023773137450833, 'he': 0.0007358008942135742, 'Top': 0.6844449576347782, 'op': 0.0017748630747787396}",Top,False
5,"Someone doesn't like restaurants further away. Between La Cocina De Dona Luz and Queen Pita, this person should go to -> La Cocina De Dona Luz. Someone doesn't like restaurants further away. Between Basil Express Restaurant and Bagel Nash, this person should go to -> Basil Express Restaurant. Someone doesn't like restaurants further away. Between Pho 88 and Domino's Pizza, this person should go to -> Pho 88. Someone doesn't like restaurants further away. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, this person should go to -> Mysteriously Yours Dinner Theatre. Someone doesn't like restaurants further away. Between Top Sushi and The Empire, this person should go to -> The Empire. Someone doesn't like restaurants further away. Between Tian An Cuisine and Roncy's Bean, this person should go to -> Tian An Cuisine. Someone doesn't like restaurants further away. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, this person should go to -> Scaddabush Italian Kitchen & Bar. Someone doesn't like restaurants further away. Between Mirage Grill & Lounge and Farmacia Health Bar, this person should go to -> Farmacia Health Bar. Someone doesn't like restaurants further away. Between To-ne Sushi and Popeyes Louisiana Kitchen, this person should go to ->",Popeyes Louisiana Kitchen,To-ne Sushi,"{'pop': 0.0009083736093038964, 'To': 0.7229162213176619, 'op': 0.000824383272226419, 'o': 0.0007525068186901791, 'Pop': 0.27198180725906856}",To,False
6,"Someone doesn't like restaurants further away. Between La Cocina De Dona Luz and Queen Pita, this person should go to -> La Cocina De Dona Luz. Someone doesn't like restaurants further away. Between Bagel Nash and Basil Express Restaurant, this person should go to -> Basil Express Restaurant. Someone doesn't like restaurants further away. Between Domino's Pizza and Pho 88, this person should go to -> Pho 88. Someone doesn't like restaurants further away. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, this person should go to -> Mysteriously Yours Dinner Theatre. Someone doesn't like restaurants further away. Between The Empire and Top Sushi, this person should go to -> The Empire. Someone doesn't like restaurants further away. Between Popeyes Louisiana Kitchen and To-ne Sushi, this person should go to -> Popeyes Louisiana Kitchen. Someone doesn't like restaurants further away. Between Scaddabush Italian Kitchen & Bar and Smoke's Weinerie, this person should go to -> Scaddabush Italian Kitchen & Bar. Someone doesn't like restaurants further away. Between Farmacia Health Bar and Mirage Grill & Lounge, this person should go to -> Farmacia Health Bar. Someone doesn't like restaurants further away. Between Roncy's Bean and Tian An Cuisine, this person should go to ->",Tian An Cuisine,Roncy's Bean,"{'Ronald': 0.0004816990579537665, 'Tian': 0.4902675776923729, 'on': 0.0050489776587563815, 'Ronnie': 0.0009039604034723945, 'Ron': 0.49843863323327336}",Ron,False
7,"Someone doesn't like restaurants further away. Between La Cocina De Dona Luz and Queen Pita, this person should go to -> La Cocina De Dona Luz. Someone doesn't like restaurants further away. Between Bagel Nash and Basil Express Restaurant, this person should go to -> Basil Express Restaurant. Someone doesn't like restaurants further away. Between Domino's Pizza and Pho 88, this person should go to -> Pho 88. Someone doesn't like restaurants further away. Between The Empire and Top Sushi, this person should go to -> The Empire. Someone doesn't like restaurants further away. Between To-ne Sushi and Popeyes Louisiana Kitchen, this person should go to -> Popeyes Louisiana Kitchen. Someone doesn't like restaurants further away. Between Roncy's Bean and Tian An Cuisine, this person should go to -> Tian An Cuisine. Someone doesn't like restaurants further away. Between Mirage Grill & Lounge and Farmacia Health Bar, this person should go to -> Farmacia Health Bar. Someone doesn't like restaurants further away. Between Beryl's Pepper Pot and Fit For Life, this person should go to -> Fit For Life. Someone doesn't like restaurants further away. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, this person should go to ->",Scaddabush Italian Kitchen & Bar,Smoke's Weinerie,"{'Sc': 0.8859447989377579, 'Sm': 0.004110352449559257, 'Smoke': 0.1059525846042011, 'c': 0.0014137154067156046, 'm': 0.0005671124212957388}",Sc,True
8,"Someone doesn't like restaurants further away. Between La Cocina De Dona Luz and Queen Pita, this person should go to -> La Cocina De Dona Luz. Someone doesn't like restaurants further away. Between Bagel Nash and Basil Express Restaurant, this person should go to -> Basil Express Restaurant. Someone doesn't like restaurants further away. Between Domino's Pizza and Pho 88, this person should go to -> Pho 88. Someone doesn't like restaurants further away. Between Smoke's Weinerie and Mysteriously Yours Dinner Theatre, this person should go to -> Mysteriously Yours Dinner Theatre. Someone doesn't like restaurants further away. Between The Empire and Top Sushi, this person should go to -> The Empire. Someone doesn't like restaurants further away. Between To-ne Sushi and Popeyes Louisiana Kitchen, this person should go to -> Popeyes Louisiana Kitchen. Someone doesn't like restaurants further away. Between Tian An Cuisine and Roncy's Bean, this person should go to -> Tian An Cuisine. Someone doesn't like restaurants further away. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, this person should go to -> Scaddabush Italian Kitchen & Bar. Someone doesn't like restaurants further away. Between Farmacia Health Bar and Mirage Grill & Lounge, this person should go to ->",Farmacia Health Bar,Mirage Grill & Lounge,"{'Farm': 0.6336228027124602, '': 0.0005388918265790603, 'Mirage': 0.35791154647336576, 'arm': 0.004011628541633521, 'Mir': 0.0005626772851176263}",Farm,True
9,"Someone doesn't like restaurants further away. Between Queen Pita and La Cocina De Dona Luz, this person should go to -> La Cocina De Dona Luz. Someone doesn't like restaurants further away. Between Basil Express Restaurant and Bagel Nash, this person should go to -> Basil Express Restaurant. Someone doesn't like restaurants further away. Between Pho 88 and Domino's Pizza, this person should go to -> Pho 88. Someone doesn't like restaurants further away. Between Smoke's Weinerie and Mysteriously Yours Dinner Theatre, this person should go to -> Mysteriously Yours Dinner Theatre. Someone doesn't like restaurants further away. Between The Empire and Top Sushi, this person should go to -> The Empire. Someone doesn't like restaurants further away. Between To-ne Sushi and Popeyes Louisiana Kitchen, this person should go to -> Popeyes Louisiana Kitchen. Someone doesn't like restaurants further away. Between Roncy's Bean and Tian An Cuisine, this person should go to -> Tian An Cuisine. Someone doesn't like restaurants further away. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, this person should go to -> Scaddabush Italian Kitchen & Bar. Someone doesn't like restaurants further away. Between Fit For Life and Beryl's Pepper Pot, this person should go to ->",Fit For Life,Beryl's Pepper Pot,"{'': 0.0005396890055269119, 'Fit': 0.5220852762387322, 'it': 0.005054638208954025, 'B': 0.4678853320842659, 'fit': 0.001071096916515}",Fit,True
