,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like the cold weather. If I were you, between Chicago and Jakarta I would visit -> Jakarta. You don't like the cold weather. If I were you, between Jakarta and Oslo I would visit -> Jakarta. You don't like the cold weather. If I were you, between Zürich and Mexicali I would visit -> Mexicali. You don't like the cold weather. If I were you, between Hamilton and Omaha I would visit -> Hamilton. You don't like the cold weather. If I were you, between Monterrey and London I would visit -> Monterrey. You don't like the cold weather. If I were you, between Irkutsk and Ankara I would visit -> Ankara. You don't like the cold weather. If I were you, between London and Piura I would visit -> Piura. You don't like the cold weather. If I were you, between Río Gallegos and Piura I would visit -> Piura. You don't like the cold weather. If I were you, between Copenhagen and Florianópolis I would visit ->",Florianópolis,Copenhagen,"{'': 0.0001475684384946708, 'lor': 0.0031113797551544967, 'Copenhagen': 0.08316603064857835, 'Flor': 0.912663081538199, 'Cop': 8.822360503287784e-05}",Flor,True
1,"You don't like the cold weather. If I were you, between Copenhagen and Florianópolis I would visit -> Florianópolis. You don't like the cold weather. If I were you, between Mexicali and Zürich I would visit -> Mexicali. You don't like the cold weather. If I were you, between Omaha and Hamilton I would visit -> Hamilton. You don't like the cold weather. If I were you, between Monterrey and London I would visit -> Monterrey. You don't like the cold weather. If I were you, between Ankara and Irkutsk I would visit -> Ankara. You don't like the cold weather. If I were you, between Piura and London I would visit -> Piura. You don't like the cold weather. If I were you, between Río Gallegos and Piura I would visit -> Piura. You don't like the cold weather. If I were you, between Baltimore and Garissa I would visit -> Garissa. You don't like the cold weather. If I were you, between Jakarta and Chicago I would visit ->",Jakarta,Chicago,"{'': 0.00012154815940685621, 'hicago': 0.002737233883696293, 'Jak': 0.00022008780007007974, 'Chicago': 0.28000951338922014, 'Jakarta': 0.7155797898433188}",Jakarta,True
2,"You don't like the cold weather. If I were you, between Copenhagen and Florianópolis I would visit -> Florianópolis. You don't like the cold weather. If I were you, between Mexicali and Zürich I would visit -> Mexicali. You don't like the cold weather. If I were you, between Hamilton and Omaha I would visit -> Hamilton. You don't like the cold weather. If I were you, between Monterrey and London I would visit -> Monterrey. You don't like the cold weather. If I were you, between Irkutsk and Ankara I would visit -> Ankara. You don't like the cold weather. If I were you, between London and Piura I would visit -> Piura. You don't like the cold weather. If I were you, between Piura and Río Gallegos I would visit -> Piura. You don't like the cold weather. If I were you, between Goiânia and Chicago I would visit -> Goiânia. You don't like the cold weather. If I were you, between Jakarta and Oslo I would visit ->",Jakarta,Oslo,"{'s': 0.0009866166432582083, 'Jak': 0.0009363174340865037, 'os': 0.00024106402400093642, 'Oslo': 0.145446013857875, 'Jakarta': 0.8505895003967137}",Jakarta,True
3,"You don't like the cold weather. If I were you, between Copenhagen and Florianópolis I would visit -> Florianópolis. You don't like the cold weather. If I were you, between Chicago and Jakarta I would visit -> Jakarta. You don't like the cold weather. If I were you, between Oslo and Jakarta I would visit -> Jakarta. You don't like the cold weather. If I were you, between Omaha and Hamilton I would visit -> Hamilton. You don't like the cold weather. If I were you, between Monterrey and London I would visit -> Monterrey. You don't like the cold weather. If I were you, between Irkutsk and Ankara I would visit -> Ankara. You don't like the cold weather. If I were you, between Piura and London I would visit -> Piura. You don't like the cold weather. If I were you, between Río Gallegos and Piura I would visit -> Piura. You don't like the cold weather. If I were you, between Mexicali and Zürich I would visit ->",Mexicali,Zürich,"{'Z': 0.5844341528112285, 'ex': 0.004057768853077018, 'Zurich': 0.0003556765882443098, 'Mex': 0.4063326174432909, '': 0.0007984669350465111}",Z,False
4,"You don't like the cold weather. If I were you, between Copenhagen and Florianópolis I would visit -> Florianópolis. You don't like the cold weather. If I were you, between Chicago and Jakarta I would visit -> Jakarta. You don't like the cold weather. If I were you, between Oslo and Jakarta I would visit -> Jakarta. You don't like the cold weather. If I were you, between Zürich and Mexicali I would visit -> Mexicali. You don't like the cold weather. If I were you, between Monterrey and London I would visit -> Monterrey. You don't like the cold weather. If I were you, between Ankara and Irkutsk I would visit -> Ankara. You don't like the cold weather. If I were you, between London and Piura I would visit -> Piura. You don't like the cold weather. If I were you, between Piura and Río Gallegos I would visit -> Piura. You don't like the cold weather. If I were you, between Omaha and Hamilton I would visit ->",Hamilton,Omaha,"{'Hamilton': 0.622413049448613, 'Nebraska': 5.555900215570163e-05, 'Omaha': 0.3732140736406964, 'Ham': 4.525289101612919e-05, 'amilton': 0.0038138885252892232}",Hamilton,True
5,"You don't like the cold weather. If I were you, between Florianópolis and Copenhagen I would visit -> Florianópolis. You don't like the cold weather. If I were you, between Chicago and Jakarta I would visit -> Jakarta. You don't like the cold weather. If I were you, between Oslo and Jakarta I would visit -> Jakarta. You don't like the cold weather. If I were you, between Zürich and Mexicali I would visit -> Mexicali. You don't like the cold weather. If I were you, between Omaha and Hamilton I would visit -> Hamilton. You don't like the cold weather. If I were you, between Irkutsk and Ankara I would visit -> Ankara. You don't like the cold weather. If I were you, between Piura and Río Gallegos I would visit -> Piura. You don't like the cold weather. If I were you, between Chicago and Goiânia I would visit -> Goiânia. You don't like the cold weather. If I were you, between Monterrey and London I would visit ->",Monterrey,London,"{'ondon': 0.00048678875351693433, 'Mon': 0.8032715201479121, 'London': 0.1942077532256235, 'Flor': 0.00036918647103777874, 'on': 0.0009433322541559957}",Mon,True
6,"You don't like the cold weather. If I were you, between Florianópolis and Copenhagen I would visit -> Florianópolis. You don't like the cold weather. If I were you, between Jakarta and Chicago I would visit -> Jakarta. You don't like the cold weather. If I were you, between Jakarta and Oslo I would visit -> Jakarta. You don't like the cold weather. If I were you, between Mexicali and Zürich I would visit -> Mexicali. You don't like the cold weather. If I were you, between Omaha and Hamilton I would visit -> Hamilton. You don't like the cold weather. If I were you, between Monterrey and London I would visit -> Monterrey. You don't like the cold weather. If I were you, between London and Piura I would visit -> Piura. You don't like the cold weather. If I were you, between Piura and Río Gallegos I would visit -> Piura. You don't like the cold weather. If I were you, between Irkutsk and Ankara I would visit ->",Ankara,Irkutsk,"{'r': 0.0003486149290722598, 'Istanbul': 0.0002247557052640822, 'Ankara': 0.4073426971865136, 'Flor': 0.0002776821343707378, 'Ir': 0.5912090213954535}",Ir,False
7,"You don't like the cold weather. If I were you, between Copenhagen and Florianópolis I would visit -> Florianópolis. You don't like the cold weather. If I were you, between Jakarta and Chicago I would visit -> Jakarta. You don't like the cold weather. If I were you, between Oslo and Jakarta I would visit -> Jakarta. You don't like the cold weather. If I were you, between Zürich and Mexicali I would visit -> Mexicali. You don't like the cold weather. If I were you, between Hamilton and Omaha I would visit -> Hamilton. You don't like the cold weather. If I were you, between Ankara and Irkutsk I would visit -> Ankara. You don't like the cold weather. If I were you, between Chicago and Goiânia I would visit -> Goiânia. You don't like the cold weather. If I were you, between Baltimore and Garissa I would visit -> Garissa. You don't like the cold weather. If I were you, between Piura and London I would visit ->",Piura,London,"{'Pi': 0.6349015064961471, '': 0.0002594563701336539, 'ondon': 0.0012818773447279424, 'London': 0.356925108257815, 'i': 0.005213134357403029}",Pi,True
8,"You don't like the cold weather. If I were you, between Florianópolis and Copenhagen I would visit -> Florianópolis. You don't like the cold weather. If I were you, between Jakarta and Chicago I would visit -> Jakarta. You don't like the cold weather. If I were you, between Jakarta and Oslo I would visit -> Jakarta. You don't like the cold weather. If I were you, between Mexicali and Zürich I would visit -> Mexicali. You don't like the cold weather. If I were you, between Omaha and Hamilton I would visit -> Hamilton. You don't like the cold weather. If I were you, between London and Monterrey I would visit -> Monterrey. You don't like the cold weather. If I were you, between Irkutsk and Ankara I would visit -> Ankara. You don't like the cold weather. If I were you, between Chicago and Goiânia I would visit -> Goiânia. You don't like the cold weather. If I were you, between Piura and Río Gallegos I would visit ->",Piura,Río Gallegos,"{'Pi': 0.5955905765939598, 'Rio': 0.0028029047186784255, 'Ri': 0.002170363313213142, 'R': 0.3941357680823004, 'i': 0.003353472174195946}",Pi,True
9,"You don't like the cold weather. If I were you, between Florianópolis and Copenhagen I would visit -> Florianópolis. You don't like the cold weather. If I were you, between Oslo and Jakarta I would visit -> Jakarta. You don't like the cold weather. If I were you, between Zürich and Mexicali I would visit -> Mexicali. You don't like the cold weather. If I were you, between Omaha and Hamilton I would visit -> Hamilton. You don't like the cold weather. If I were you, between London and Monterrey I would visit -> Monterrey. You don't like the cold weather. If I were you, between Ankara and Irkutsk I would visit -> Ankara. You don't like the cold weather. If I were you, between London and Piura I would visit -> Piura. You don't like the cold weather. If I were you, between Piura and Río Gallegos I would visit -> Piura. You don't like the cold weather. If I were you, between Chicago and Goiânia I would visit ->",Goiânia,Chicago,"{'Go': 0.9720605298037124, '': 0.000795117226073292, 'Flor': 0.0007933802048249478, 'Chicago': 0.022962587910742287, 'o': 0.0018921483544188725}",Go,True
