,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for restaurants further away. Between Pho 88 and Lahore Grill & Fast Food, this person should go to ->",Pho 88,Lahore Grill & Fast Food,"{'Ph': 0.18559722690245184, 'h': 2.2499334791528374e-07, 'Lah': 0.8144010287392294, 'distance': 1.0252193174683923e-06, 'ph': 8.304061595387866e-08}",Lah,False
1,"Someone is looking for restaurants further away. Between El Fogón and The Duke of Devon, this person should go to ->",The Duke of Devon,El Fogón,"{'El': 0.1236285220076477, 'the': 5.579853184191183e-05, 'Devon': 0.00016817877625269263, 'The': 0.8759776518131474, 'distance': 0.00011267995661326198}",The,True
2,"Someone is looking for restaurants further away. Between Just Soups Take Out & Catering and Nook, this person should go to ->",Nook,Just Soups Take Out & Catering,"{'No': 1.0494891877768615e-06, 'Just': 0.0008053094052847052, 'N': 0.9991865049666442, 'distance': 4.2697255790088884e-06, 'ust': 5.457319040575715e-07}",N,True
3,"Someone is looking for restaurants further away. Between Banjara Indian Cuisine and Branca, this person should go to ->",Banjara Indian Cuisine,Branca,"{'Ban': 0.08699776937709347, 'Bl': 1.3102650761771198e-05, 'Br': 0.9127646538135723, 'an': 0.00011763993462493859, 'distance': 7.827799726598089e-05}",Br,False
4,"Someone is looking for restaurants further away. Between Watson's and Phil's Original BBQ, this person should go to ->",Phil's Original BBQ,Watson's,"{'Ph': 0.010321563793813581, 'Watson': 0.042724754331122425, 'hil': 0.006570322900345156, 'Phil': 0.9196411126422104, 'distance': 0.017947522425659997}",Phil,True
5,"Someone is looking for restaurants further away. Between 9 Restaurant and Mirage Grill & Lounge, this person should go to ->",Mirage Grill & Lounge,9 Restaurant,"{'': 3.9591702281738535e-05, 'Mirage': 0.9686471467964024, 'distance': 0.00041090138969693046, '8': 3.9596374378256076e-05, '9': 0.03078616125115621}",Mirage,True
6,"Someone is looking for restaurants further away. Between Top Sushi and z-teca Gourmet Burritos, this person should go to ->",z-teca Gourmet Burritos,Top Sushi,"{'Z': 0.0004373122881038474, 'z': 0.8674858747522739, 'distance': 0.0006458191803123988, 'Top': 0.13001256231538133, 'op': 0.0011204413598569361}",z,True
7,"Someone is looking for restaurants further away. Between Milo's Pita and Ardor Bistro, this person should go to ->",Ardor Bistro,Milo's Pita,"{'Milo': 0.7900941684936709, 'Ard': 0.2019049776359876, 'ilo': 0.0012197467789717951, 'distance': 0.0038550839318458605, 'Ark': 0.0007548219230842355}",Milo,False
8,"Someone is looking for restaurants further away. Between Basha Middle Eastern Grill and Green Room, this person should go to ->",Green Room,Basha Middle Eastern Grill,"{'reen': 0.00015853645358789747, 'Red': 3.2805610676251546e-05, 'Green': 0.997005322518945, 'B': 0.002746979045604066, 'distance': 3.7483302155723876e-05}",Green,True
9,"Someone is looking for restaurants further away. Between Fit For Life and Banjara Indian Cuisine, this person should go to ->",Banjara Indian Cuisine,Fit For Life,"{'Ban': 0.9603509177409345, 'Fit': 0.036406053981343424, 'an': 0.0006504762962195056, 'it': 0.00019936504833064115, 'distance': 0.0016621610265964467}",Ban,True
10,"Someone is looking for restaurants further away. Between Carole's Cheesecake Cafe and Watson's, this person should go to ->",Carole's Cheesecake Cafe,Watson's,"{'car': 0.00029700844061092445, 'Watson': 0.046766918297349934, 'Car': 0.9489466623581784, 'distance': 0.0031245406456198773, 'ar': 0.0002525925100279421}",Car,True
11,"Someone is looking for restaurants further away. Between Villa Madina and Green Grotto, this person should go to ->",Villa Madina,Green Grotto,"{'fart': 6.204957429550334e-06, 'Red': 1.4423452937814956e-05, 'Villa': 0.9970753545325902, 'Green': 0.0023640618890022136, 'distance': 0.0004719917742344333}",Villa,True
