,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for restaurants nearby. Between JJ Bean and Sushi Shop, you should go to ->",Sushi Shop,JJ Bean,"{'S': 1.1759748520895898e-05, 'J': 1.773828961086784e-05, 'JJ': 0.9982094020368029, 'nearby': 1.547976299995995e-05}",JJ,False
1,"You are looking for restaurants nearby. Between Anatolia Restaurant and Carole's Cheesecake Cafe, you should go to ->",Anatolia Restaurant,Carole's Cheesecake Cafe,"{'restaurants': 4.0083451084170703e-05, 'Car': 0.9989617365688466, 'Che': 0.0006298448744060869, 'nearby': 3.641113221484153e-05, 'ar': 0.00018391368751585}",Car,False
2,"You are looking for restaurants nearby. Between Harry's Char Broil & Dining Lounge and EJ Sushi, you should go to ->",Harry's Char Broil & Dining Lounge,EJ Sushi,"{'arry': 0.006773349216411989, '': 0.00014085338940474104, 'E': 0.11870181343725754, 'Harry': 0.8743199454544285, 'nearby': 2.165411613234974e-05}",Harry,True
3,"You are looking for restaurants nearby. Between Juice & Java Cafe and Hawthorne Food and Drink, you should go to ->",Juice & Java Cafe,Hawthorne Food and Drink,"{'restaurants': 0.0010975824396300114, 'Juice': 0.9894440551917281, 'Hawth': 0.0032932775312053755, 'nearby': 0.0016256255230633922, 'Beach': 0.001540832537294515}",Juice,True
4,"You are looking for restaurants nearby. Between St. Clair Shawarma and Falafel and Kairali - Taste of Kerala, you should go to ->",Kairali - Taste of Kerala,St. Clair Shawarma and Falafel,"{'F': 2.0643692750614076e-08, '': 3.028645987877204e-07, 'K': 0.9999994539509491, 'St': 1.2901863314901598e-07, 'Fal': 7.247406958197399e-08}",K,True
5,"You are looking for restaurants nearby. Between Eastern legend and Juice & Java Cafe, you should go to ->",Juice & Java Cafe,Eastern legend,"{'juice': 0.00046353438044123546, 'u': 0.00024903577428302397, 'Juice': 0.998977054565764, 'nearby': 8.568609479151148e-05, 'Eastern': 0.00012129244834140892}",Juice,True
6,"You are looking for restaurants nearby. Between Kim PO Vietnamese and Banjara Indian Cuisine, you should go to ->",Kim PO Vietnamese,Banjara Indian Cuisine,"{'Ban': 0.9424204202243622, 'im': 0.0005694888806649251, 'an': 0.00933918490333313, 'Kim': 0.046434711813868955, 'nearby': 0.00040488640972968207}",Ban,False
7,"You are looking for restaurants nearby. Between Branca and Mirage Grill & Lounge, you should go to ->",Branca,Mirage Grill & Lounge,"{'Br': 0.8244151773155393, 'ir': 0.002531940434641575, 'Mirage': 0.1358206518420137, 'nearby': 0.0032925728452177882, 'r': 0.02698169785632515}",Br,True
8,"You are looking for restaurants nearby. Between Helena's Magic Kitchen and La Cocina De Dona Luz, you should go to ->",La Cocina De Dona Luz,Helena's Magic Kitchen,"{'restaurants': 0.00028842340534611274, 'el': 0.00010187917557540119, 'Helena': 0.9527977865920002, 'Magic': 0.04613758815159221, 'nearby': 0.00019832469433702678}",Helena,False
9,"You are looking for restaurants nearby. Between Popeyes Louisiana Kitchen and Freshii, you should go to ->",Popeyes Louisiana Kitchen,Freshii,"{'Fresh': 0.9910545170557754, 'resh': 0.00014105001699882074, 'nearby': 0.0001963059787376947, 'Pop': 0.008220779867685884, 'Beach': 0.00020989545175507815}",Fresh,False
10,"You are looking for restaurants nearby. Between Breakfast Room and Shawarma Twist, you should go to ->",Breakfast Room,Shawarma Twist,"{'restaurants': 0.00032267885058216743, 'breakfast': 0.0031831738942113192, 'Shaw': 0.6073810472111343, 'Breakfast': 0.3859136033840031, 'Beach': 0.0024700776292252333}",Shaw,False
11,"You are looking for restaurants nearby. Between Mamma's Pizza and Mt Everest Restaurant, you should go to ->",Mamma's Pizza,Mt Everest Restaurant,"{'restaurants': 0.022631279068735032, 'Mt': 0.030046319641321102, 'Mam': 0.9275068528595733, 'Mama': 0.0021077391475635672, 'nearby': 0.009555264689491107}",Mam,True
12,"You are looking for restaurants nearby. Between Delicious Paradise Kitchen and Buk Chang Dong Soon Tofu, you should go to ->",Delicious Paradise Kitchen,Buk Chang Dong Soon Tofu,"{'restaurants': 0.011167743507066412, 'B': 0.11048770844536951, 'Buk': 0.858787489932204, 'Delicious': 0.004271211364731383, 'Beach': 0.004182487975761817}",Buk,False
13,"You are looking for restaurants nearby. Between Mi Mi Restaurant and La Pupusa Loka, you should go to ->",La Pupusa Loka,Mi Mi Restaurant,"{'Mi': 0.14841507052531014, 'P': 0.5358830671572654, 'L': 0.07170609700891438, 'i': 0.021102497090100487, 'La': 0.16192862941356237}",P,True
14,"You are looking for restaurants nearby. Between Helena's Magic Kitchen and Warung Indonesia D'Eglinton, you should go to ->",Warung Indonesia D'Eglinton,Helena's Magic Kitchen,"{'ar': 0.000591242206287363, 'War': 0.053636691617333504, 'Helena': 0.9051319271953697, 'Magic': 0.03880697424202257, 'nearby': 0.00055718791783886}",Helena,False
15,"You are looking for restaurants nearby. Between Dangerous Dan's Diner and Tierra Azteca, you should go to ->",Dangerous Dan's Diner,Tierra Azteca,"{'Tier': 0.05787983661765786, 'Danger': 0.007147801872229957, 'Dangerous': 0.9009208338459546, '': 0.0035751776920551577, 'D': 0.022597025418880395}",Dangerous,True
16,"You are looking for restaurants nearby. Between Eastern legend and The Empire, you should go to ->",The Empire,Eastern legend,"{'restaurants': 1.298898327718148e-05, 'the': 1.4109053040448575e-06, 'The': 0.9987137791919609, 'Empire': 0.00023776185368758302, 'Eastern': 0.0010301112220473998}",The,True
17,"You are looking for restaurants nearby. Between Grappa Ristorante and Basil Express Restaurant, you should go to ->",Basil Express Restaurant,Grappa Ristorante,"{'as': 0.003623832904116646, 'Basil': 0.6411017232720161, 'R': 0.26388913690487603, 'basil': 0.06082807723359934, 'Gra': 0.028545190954297733}",Basil,True
18,"You are looking for restaurants nearby. Between Chick Fiesta and Mirage Grill & Lounge, you should go to ->",Chick Fiesta,Mirage Grill & Lounge,"{'restaurants': 0.00545752657558021, 'Chick': 0.05685523946838872, 'Mirage': 0.9074256813734252, 'nearby': 0.011693965961489472, 'Beach': 0.0076341803527779405}",Mirage,False
19,"You are looking for restaurants nearby. Between Helena's Magic Kitchen and Amaya Express, you should go to ->",Amaya Express,Helena's Magic Kitchen,"{'restaurants': 0.0001635736844056663, 'Nik': 8.370481962399909e-05, 'Helena': 0.9489039910840936, 'Magic': 0.05013101502781407, 'nearby': 0.00023890191207545848}",Helena,False
20,"You are looking for restaurants nearby. Between Domino's Pizza and Buk Chang Dong Soon Tofu, you should go to ->",Buk Chang Dong Soon Tofu,Domino's Pizza,"{'restaurants': 0.0013300935511654757, 'B': 0.002629905670935849, 'Buk': 0.9812987191783318, 'nearby': 0.001056223466586386, 'Dom': 0.01073082326228406}",Buk,True
21,"You are looking for restaurants nearby. Between Magic Oven and Sushi World, you should go to ->",Sushi World,Magic Oven,"{'restaurants': 2.3750337572352283e-07, 'agic': 1.1372482833182098e-06, 'S': 0.0001233714296051498, 'magic': 1.0272996401556092e-07, 'Magic': 0.9998749984933395}",Magic,False
22,"You are looking for restaurants nearby. Between La Pupusa Loka and Ici Bistro, you should go to ->",La Pupusa Loka,Ici Bistro,"{'I': 4.609274908435455e-06, 'B': 0.9999897952890684, 'P': 1.3079114578444488e-06, 'L': 4.037475247840952e-06, 'Beach': 1.1624968525110343e-07}",B,False
23,"You are looking for restaurants nearby. Between Chick Fiesta and Nutella Cafe by Pusateri's, you should go to ->",Chick Fiesta,Nutella Cafe by Pusateri's,"{'Nut': 2.6858425160275573e-05, 'Chick': 1.6856503689455432e-05, 'P': 0.9999512910663186, '': 2.2941870586819855e-06, 'ut': 8.303687148830317e-07}",P,False
24,"You are looking for restaurants nearby. Between Cake Opera and St. Louis Bar & Grill, you should go to ->",St. Louis Bar & Grill,Cake Opera,"{'cake': 0.002852019326444093, 'Cake': 0.9586567050302813, 'St': 0.013577915044113988, 'nearby': 0.0016437528963528425, 'Beach': 0.01907315557123448}",Cake,False
25,"You are looking for restaurants nearby. Between Oxygen Restaurant & Lounge and Freshii, you should go to ->",Oxygen Restaurant & Lounge,Freshii,"{'Fresh': 0.9988710750158107, 'xy': 1.2662635342454996e-05, 'Oxy': 0.0009922073999517609, 'resh': 6.88310917594204e-05, 'nearby': 1.8849691693245627e-05}",Fresh,False
26,"You are looking for restaurants nearby. Between Freshii and Kim PO Vietnamese, you should go to ->",Kim PO Vietnamese,Freshii,"{'Nik': 0.002369508806397302, 'Fresh': 0.8901473750683662, 'im': 0.003239306549555861, 'Kom': 0.0005434310621599624, 'Kim': 0.10222903926877126}",Fresh,False
