,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for a big city to visit. If I were you, between Guadalajara and Kansas City I would visit ->",Guadalajara,Kansas City,"{'Tokyo': 2.9048811143384906e-05, 'Gu': 0.9998159880522757, 'S': 9.341673996889614e-05, 'Mexico': 1.4929685673257566e-05, 'Detroit': 2.3716418167024402e-05}",Gu,True
1,"You are looking for a big city to visit. If I were you, between Guadalajara and Dodoma I would visit ->",Guadalajara,Dodoma,"{'Tokyo': 9.91365055114126e-07, 'Madrid': 3.6006470231452872e-06, 'Gu': 0.9999738197357091, 'S': 1.5184764018833399e-05, 'Mexico': 9.718979769310118e-07}",Gu,True
2,"You are looking for a big city to visit. If I were you, between Toronto and Minneapolis I would visit ->",Toronto,Minneapolis,"{'Tokyo': 0.08835512270062794, 'S': 0.0017492345267946512, 'oronto': 0.007284909224620812, 'Toronto': 0.8879932476647632, 'Detroit': 0.011294623081546317}",Toronto,True
3,"You are looking for a big city to visit. If I were you, between Bangkok and Garissa I would visit ->",Bangkok,Garissa,"{'Tokyo': 0.017830437680291248, 'Dh': 0.000835699883801676, 'S': 0.0005585692244753612, 'Bangkok': 0.977813042802385, 'Kuala': 0.0017742308037109757}",Bangkok,True
4,"You are looking for a big city to visit. If I were you, between Mumbai and Mahajanga I would visit ->",Mumbai,Mahajanga,"{'Tokyo': 0.0004972649377288287, 'Dh': 8.753682464927286e-05, 'mbai': 0.00014741246735523798, 'Mumbai': 0.9929734643529642, 'Bombay': 0.005987016925505952}",Mumbai,True
5,"You are looking for a big city to visit. If I were you, between Shanghai and Cape Town I would visit ->",Shanghai,Cape Town,"{'Tokyo': 0.0007160399474729422, 'Shanghai': 0.9449426416473335, 'S': 0.005699071569228123, 'Chong': 0.04772275265261372, 'Detroit': 0.0004081719607206916}",Shanghai,True
6,"You are looking for a big city to visit. If I were you, between Bogotá and Douala I would visit ->",Bogotá,Douala,"{'Rio': 0.04651341097062407, 'Med': 0.025578587583823417, 'Bog': 0.8547856185701314, 'S': 0.020285762371762557, 'Bel': 0.01931911033830535}",Bog,True
7,"You are looking for a big city to visit. If I were you, between Brasília and Campos do Jordão I would visit ->",Brasília,Campos do Jordão,"{'Rio': 0.34450940102631156, 'S': 0.4459737433979951, 'Bel': 0.07875792274902874, 'Bras': 0.10673096036686572, 'Fort': 0.010986087273808585}",S,True
8,"You are looking for a big city to visit. If I were you, between Hanoi and Asmara I would visit ->",Hanoi,Asmara,"{'As': 0.1025225504716166, 'Tokyo': 0.2173731102168487, 'Singapore': 0.2991883412653941, 'S': 0.07156522552642877, 'ytes: \\xc4': 0.13130741835407356}",Singapore,False
9,"You are looking for a big city to visit. If I were you, between Moscow and Napier I would visit ->",Moscow,Napier,"{'Tokyo': 0.005322080397009832, 'Tehran': 0.001160228860255413, 'S': 0.00024654574588897155, 'oscow': 0.006137642304874667, 'Moscow': 0.9866377393384362}",Moscow,True
10,"You are looking for a big city to visit. If I were you, between Denver and Upington I would visit ->",Denver,Upington,"{'Denver': 0.34982218375929247, 'enver': 0.036106296881638265, 'Fort': 0.04391398696347198, 'Seattle': 0.12819358176299922, 'Detroit': 0.3056083801832931}",Denver,True
11,"You are looking for a big city to visit. If I were you, between Chicago and Murmansk I would visit ->",Chicago,Murmansk,"{'Tokyo': 0.0007406769445492103, 'hicago': 0.007929811611887315, 'S': 0.0007501838110961046, 'Chicago': 0.9877876978925363, 'Detroit': 0.002590150232828045}",Chicago,True
12,"You are looking for a big city to visit. If I were you, between Alexandria and Garoua I would visit ->",Alexandria,Garoua,"{'Tokyo': 0.07497849049341933, 'Tehran': 0.07383689795723271, 'Alexandria': 0.45032990166682674, 'S': 0.07489538543773296, 'Kh': 0.07420241367686994}",Alexandria,True
13,"You are looking for a big city to visit. If I were you, between Guangzhou and San José I would visit ->",Guangzhou,San José,"{'Singapore': 0.00043206824830955187, 'Gu': 0.025859974285822467, 'S': 0.00044935263493316765, 'Guang': 0.6249389775077743, 'Chong': 0.34677303182608626}",Guang,True
14,"You are looking for a big city to visit. If I were you, between Los Angeles and Palermo I would visit ->",Los Angeles,Palermo,"{'Tokyo': 0.000309480646282504, 'os': 0.0075818958383502616, 'S': 0.00010309790368296648, 'Los': 0.9894290949107135, 'LA': 0.0025327692743780553}",Los,True
15,"You are looking for a big city to visit. If I were you, between Denver and Bergen I would visit ->",Denver,Bergen,"{'Denver': 0.4776649660913716, 'Tokyo': 0.02123952810784452, 'enver': 0.035296145981418135, 'Seattle': 0.11196622675408044, 'Detroit': 0.3071638378406759}",Denver,True
16,"You are looking for a big city to visit. If I were you, between Lahore and Asmara I would visit ->",Lahore,Asmara,"{'Dh': 0.037755983973315345, 'Tehran': 0.014776644780862642, 'Lah': 0.8787084939773278, 'Karachi': 0.00889482172698978, 'Kh': 0.02354374261959876}",Lah,True
17,"You are looking for a big city to visit. If I were you, between Monterrey and Kathmandu I would visit ->",Monterrey,Kathmandu,"{'Tokyo': 0.0032390296006856068, 'Gu': 0.007783073246195687, 'Mon': 0.9580286455970669, 'S': 0.011217105376571761, 'Kh': 0.004834744477373945}",Mon,True
18,"You are looking for a big city to visit. If I were you, between Guangzhou and Tampa I would visit ->",Guangzhou,Tampa,"{'Tokyo': 0.00046243451510436174, 'Gu': 0.031348787151627096, 'S': 0.0003949838815888189, 'Guang': 0.6054914721913865, 'Chong': 0.360589891879254}",Guang,True
19,"You are looking for a big city to visit. If I were you, between Buenos Aires and Yakutsk I would visit ->",Buenos Aires,Yakutsk,"{'Tokyo': 0.001559758932672305, 'Barcelona': 0.0009167540804751007, 'S': 0.004996215265884671, 'Bel': 0.0008377888149849953, 'Buenos': 0.9888023486783786}",Buenos,True
20,"You are looking for a big city to visit. If I were you, between Lima and Baltimore I would visit ->",Lima,Baltimore,"{'Tokyo': 0.06697874156586694, 'Tehran': 0.11846751393496778, 'S': 0.2103540322263551, 'Lima': 0.28500387565969554, 'Detroit': 0.15803347520658526}",Lima,True
21,"You are looking for a big city to visit. If I were you, between Lima and Irkutsk I would visit ->",Lima,Irkutsk,"{'Madrid': 0.0022077890369314344, 'Tehran': 0.004488204705767056, 'S': 0.006293590779563298, 'Lima': 0.9765077794797546, 'Chong': 0.003322188920173501}",Lima,True
22,"You are looking for a big city to visit. If I were you, between Beijing and Pretoria I would visit ->",Beijing,Pretoria,"{'Beijing': 0.9562743558459991, 'Tokyo': 0.004312178716162356, 'Tehran': 0.0015016616760208609, 'e': 0.001088901379214962, 'Chong': 0.03408789987634597}",Beijing,True
23,"You are looking for a big city to visit. If I were you, between Guadalajara and Honolulu I would visit ->",Guadalajara,Honolulu,"{'Tokyo': 0.0021901170261132896, 'Gu': 0.9976646130692671, 'S': 6.413469992666314e-05, 'Seattle': 6.616877341373478e-06, 'Detroit': 5.0614219670185024e-05}",Gu,True
24,"You are looking for a big city to visit. If I were you, between Moscow and Gabès I would visit ->",Moscow,Gabès,"{'Tokyo': 0.004707686408606319, 'Tehran': 0.0009357361614637657, 'S': 0.0002358732437462859, 'oscow': 0.003966841868415711, 'Moscow': 0.9896041552439825}",Moscow,True
25,"You are looking for a big city to visit. If I were you, between Beijing and Tabora I would visit ->",Beijing,Tabora,"{'Beijing': 0.9148056139925219, 'Tokyo': 0.0027748821532022666, 'Tehran': 0.002641439091304424, 'S': 0.0019522221326530003, 'Chong': 0.07192478203482026}",Beijing,True
26,"You are looking for a big city to visit. If I were you, between Minneapolis and Tabora I would visit ->",Minneapolis,Tabora,"{'Tokyo': 0.02726794070529669, 'Minneapolis': 0.24228477220451455, 'T': 0.1680531803445859, 'Seattle': 0.24316715292447383, 'Detroit': 0.28868995119572344}",Detroit,True
27,"You are looking for a big city to visit. If I were you, between Mexico City and Palembang I would visit ->",Mexico City,Palembang,"{'Tokyo': 0.026481320005644456, 'Madrid': 0.0035200890197155227, 'S': 0.022384997476969065, 'exico': 0.003455645529487051, 'Mexico': 0.9369395764521864}",Mexico,True
28,"You are looking for a big city to visit. If I were you, between Paris and Palermo I would visit ->",Paris,Palermo,"{'Tokyo': 0.04013666593401674, 'Madrid': 0.0009499710951409441, 'S': 0.005075614894073206, 'aris': 0.024143791806138848, 'Paris': 0.9278206592413226}",Paris,True
