,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like the restaurants nearby. Between Madras Pantry and Falafel House, you should go to ->",Falafel House,Madras Pantry,"{'Fl': 0.047177641294985265, 'ad': 0.07061856561515885, 'F': 0.020844790876700256, 'Mad': 0.6099046167651389, 'Fal': 0.1547265675821081}",Mad,False
1,"You don't like the restaurants nearby. Between Tortería San Cosme and Aroma Espresso Bar, you should go to ->",Aroma Espresso Bar,Tortería San Cosme,"{'or': 1.7988893828942543e-05, 'T': 3.273443421548087e-05, 'A': 0.9998038282741898, 'Yes': 1.690648976474323e-05, 'Tor': 6.285412453635647e-05}",A,True
2,"You don't like the restaurants nearby. Between Eggspectation and Bake Island, you should go to ->",Eggspectation,Bake Island,"{'Egg': 0.13343509488535535, 'Cafe': 0.04649821752124506, 'B': 0.4269524629230513, 'Bake': 0.3008486393535282, 'Bib': 0.010934066462623007}",B,False
3,"You don't like the restaurants nearby. Between El Fogón and Ciao Europa wine bar, you should go to ->",Ciao Europa wine bar,El Fogón,"{'El': 8.772865263756442e-05, 'C': 0.9997516762074582, 'B': 2.0392487188857904e-05, 'F': 1.9765451857091797e-05, 'l': 2.628928805599917e-05}",C,True
4,"You don't like the restaurants nearby. Between Anatolia Restaurant and Nutella Cafe by Pusateri's, you should go to ->",Nutella Cafe by Pusateri's,Anatolia Restaurant,"{'Nut': 0.0014033023480136053, 'Anat': 0.0011985776702183144, 'P': 0.9967587940856243, 'The': 3.7805215071519304e-05, 'ut': 0.00024088160758809106}",P,True
5,"You don't like the restaurants nearby. Between El Fogón and Beryl's Pepper Pot, you should go to ->",Beryl's Pepper Pot,El Fogón,"{'El': 4.020388573218578e-06, 'B': 0.9999896760762921, 'The': 8.746823894228518e-07, 'Bib': 8.375817215813768e-07, 'l': 7.5963407490735e-07}",B,True
6,"You don't like the restaurants nearby. Between Queen Pita and Sweet Jesus, you should go to ->",Queen Pita,Sweet Jesus,"{'Sweet': 0.9966348751670135, 'King': 0.0009664728990587728, 'P': 0.001141881429724396, 'The': 8.955102351377293e-05, 'Queen': 0.0005360920374359459}",Sweet,False
7,"You don't like the restaurants nearby. Between Tortería San Cosme and Queen Slice, you should go to ->",Queen Slice,Tortería San Cosme,"{'Q': 0.22080981799736163, 'King': 0.25612384037698477, 'T': 0.06590143910522837, 'Tor': 0.052063455827078886, 'Queen': 0.21800144233485583}",King,True
8,"You don't like the restaurants nearby. Between Tim Hortons and Madras Pantry, you should go to ->",Tim Hortons,Madras Pantry,"{'im': 0.07699452219374665, 'ad': 0.017463567941347846, 'Yes': 0.010629017691248549, 'Mad': 0.14926046677837784, 'Tim': 0.7118998981074044}",Tim,True
9,"You don't like the restaurants nearby. Between Galata Cafe and Just Soups Take Out & Catering, you should go to ->",Galata Cafe,Just Soups Take Out & Catering,"{'Just': 0.5565459344409767, 'al': 0.03714603659688822, 'Yes': 0.06848207135606574, 'Gal': 0.25770955088013087, 'ust': 0.028539168554391904}",Just,False
10,"You don't like the restaurants nearby. Between Sweet Jesus and El Fogón, you should go to ->",Sweet Jesus,El Fogón,"{'Sweet': 0.9991782778986696, 'Fl': 5.817190800971134e-05, 'El': 0.0003246324300959792, 'The': 0.00011097861864791907, 'l': 8.812026753538137e-05}",Sweet,True
11,"You don't like the restaurants nearby. Between Queen Pita and FreshCo, you should go to ->",Queen Pita,FreshCo,"{'Q': 0.044727936274175956, 'Fresh': 0.5762644264099039, 'King': 0.0772131113679161, 'P': 0.1124343256273872, 'Queen': 0.06088640280797078}",Fresh,False
12,"You don't like the restaurants nearby. Between Branca and Carole's Cheesecake Cafe, you should go to ->",Carole's Cheesecake Cafe,Branca,"{'Br': 0.00667470680503401, 'Car': 0.9639233210639917, 'Cafe': 0.002369549562299272, 'C': 0.007987998909067479, 'ar': 0.0021537538124039215}",Car,True
13,"You don't like the restaurants nearby. Between Sichuan Landscape Chinese Restaurant and Hina Sushi, you should go to ->",Hina Sushi,Sichuan Landscape Chinese Restaurant,"{'S': 0.4842493107650596, 'Yes': 2.745926291825991e-05, 'H': 0.5153971553935499, 'Chinese': 0.00016304325895595724, 'L': 2.5274388176939586e-05}",H,True
14,"You don't like the restaurants nearby. Between Scaddabush Italian Kitchen & Bar and Mirage Grill & Lounge, you should go to ->",Mirage Grill & Lounge,Scaddabush Italian Kitchen & Bar,"{'Sc': 0.6623909555932508, 'Fl': 0.010901065960361877, 'S': 0.00309428103097831, 'c': 0.010799483176767625, 'Mirage': 0.2919239079165609}",Sc,False
15,"You don't like the restaurants nearby. Between Eggspectation and Cake Opera, you should go to ->",Eggspectation,Cake Opera,"{'Egg': 0.36510496185974783, 'Cafe': 0.1045623222684831, 'Cake': 0.29693242242255524, 'C': 0.15627596940250157, 'Yes': 0.010990824397045873}",Egg,True
16,"You don't like the restaurants nearby. Between Mamma's Pizza and To-ne Sushi, you should go to ->",To-ne Sushi,Mamma's Pizza,"{'To': 0.11050248163955464, 'Mam': 0.8298021334877227, 'Yes': 0.019509007441261012, 'The': 0.00536928245732104, '': 0.00496292298663376}",Mam,False
17,"You don't like the restaurants nearby. Between Paradise Farms Prime Beef Bistro and Mt Everest Restaurant, you should go to ->",Mt Everest Restaurant,Paradise Farms Prime Beef Bistro,"{'Mt': 0.6089927598078326, 'Paradise': 0.31043553993937895, 'Cafe': 0.006048024434603825, 'Everest': 0.004812331466160724, 'Mountain': 0.011834018161980764}",Mt,True
18,"You don't like the restaurants nearby. Between The Empire and Adega Restaurante, you should go to ->",Adega Restaurante,The Empire,"{'Ad': 0.0016223421536574398, 'd': 0.00011150936272072178, 'A': 4.517336114785696e-05, 'Yes': 0.0001293061124381825, 'The': 0.9977806638762361}",The,False
19,"You don't like the restaurants nearby. Between Galata Cafe and McDonald's, you should go to ->",Galata Cafe,McDonald's,"{'McDonald': 0.2185258204570585, 'Fl': 0.012862296488845073, 'Starbucks': 0.0263827207543561, 'al': 0.08134157626271156, 'Gal': 0.5671761802352389}",Gal,True
20,"You don't like the restaurants nearby. Between Sheriff Broaster Chicken and Popeyes Louisiana Kitchen, you should go to ->",Popeyes Louisiana Kitchen,Sheriff Broaster Chicken,"{'Sheriff': 0.0012219113082991393, 'her': 3.203757901335341e-05, 'P': 3.396299528594246e-05, 'The': 3.810591646851507e-05, 'Pop': 0.9984564055692702}",Pop,True
21,"You don't like the restaurants nearby. Between Pizzeria Via Mercanti and Cantine Bar & Grill, you should go to ->",Pizzeria Via Mercanti,Cantine Bar & Grill,"{'Cant': 2.0505077901108728e-05, 'Pizza': 7.590697352374456e-05, 'Cafe': 6.4001892354289554e-06, 'C': 1.8276965624503937e-05, 'P': 0.9998507968318999}",P,True
22,"You don't like the restaurants nearby. Between Sushi Shop and Sizzlers, you should go to ->",Sizzlers,Sushi Shop,"{'Sakura': 2.3670121532468502e-05, 'Pizza': 2.1731972384621772e-05, 'S': 0.9995820405893798, 'Yes': 0.00013569267119336437, 'The': 2.972975981094066e-05}",S,False
23,"You don't like the restaurants nearby. Between Dinah's Cupboard and Carole's Cheesecake Cafe, you should go to ->",Carole's Cheesecake Cafe,Dinah's Cupboard,"{'Dim': 0.001048814290537263, 'Car': 0.8014407288080926, 'Din': 0.1763129037948624, 'C': 0.011296556886546858, 'ar': 0.0018479421691542574}",Car,True
24,"You don't like the restaurants nearby. Between Amaya Express and Oxygen Restaurant & Lounge, you should go to ->",Oxygen Restaurant & Lounge,Amaya Express,"{'Am': 0.028974591158573856, 'Yes': 0.013363279091617707, 'Oxy': 0.8976053301564476, 'O': 0.013265875404704907, 'm': 0.010222548104391865}",Oxy,True
25,"You don't like the restaurants nearby. Between LCBO and Mamma's Pizza, you should go to ->",LCBO,Mamma's Pizza,"{'LC': 0.8304431043348433, 'Mam': 0.09456417258272805, 'Yes': 0.0021455239300378483, 'L': 0.034562033399016485, 'C': 0.027802292434851997}",LC,True
26,"You don't like the restaurants nearby. Between Druxy's Famous Deli and Branca, you should go to ->",Druxy's Famous Deli,Branca,"{'Fl': 0.006632817518324209, 'Br': 0.0671427049525543, 'Dru': 0.8816223581739091, 'dru': 0.0036656613856231317, 'r': 0.005284009999039214}",Dru,True
27,"You don't like the restaurants nearby. Between Eggspectation and Juice & Java Cafe, you should go to ->",Eggspectation,Juice & Java Cafe,"{'Egg': 0.5652590258846104, 'Cafe': 0.006548671986789706, 'Juice': 0.39219333862581246, 'The': 0.002659278589305005, 'L': 0.0045293945583397156}",Egg,True
28,"You don't like the restaurants nearby. Between Tortería San Cosme and Bagel Nash, you should go to ->",Bagel Nash,Tortería San Cosme,"{'or': 0.01303449466365822, 'Gor': 0.016605085086785657, 'Bag': 0.5979802812939539, 'T': 0.2565819941888043, 'Tor': 0.04063830436030698}",Bag,True
29,"You don't like the restaurants nearby. Between Watson's and Bagel Nash, you should go to ->",Bagel Nash,Watson's,"{'Watson': 0.7605466104068594, 'Bag': 0.20549421423837105, 'Yes': 0.00334443335616973, 'B': 0.009679671637643982, 'Water': 0.0042748442927725535}",Watson,False
30,"You don't like the restaurants nearby. Between Joe Badali's Ristorante Italiano & Bar and Hina Sushi, you should go to ->",Hina Sushi,Joe Badali's Ristorante Italiano & Bar,"{'oe': 0.0018258044400466262, 'S': 0.0001360071636116982, 'H': 0.9607831729040354, 'R': 0.004225985884288811, 'Joe': 0.032319128836782125}",H,True
31,"You don't like the restaurants nearby. Between Queen Slice and Watson's, you should go to ->",Queen Slice,Watson's,"{'Q': 0.05918560058734938, 'Watson': 0.3639236449392171, 'King': 0.1875592469032385, 'ueen': 0.020820566640569194, 'Queen': 0.303722142641939}",Watson,False
32,"You don't like the restaurants nearby. Between z-teca Gourmet Burritos and Tik Talk Cafe, you should go to ->",z-teca Gourmet Burritos,Tik Talk Cafe,"{'Nik': 0.0005241576815089691, 'Z': 0.9564492973762823, 'z': 0.041091347613305476, 'Tik': 0.0013985737662785768, '': 0.00011363795460958016}",Z,True
