,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Managua and Amsterdam, the city with lower average temperature is ->",Amsterdam,Managua,"{'Netherlands': 2.7048473142865655e-05, 'Holland': 0.0002838059011823906, 'Amsterdam': 0.9996246581583802, 'The': 1.1617418398818791e-05, 'm': 8.48640573540789e-06}",Amsterdam,True
1,"Between Bujumbura and London, the city with lower average temperature is ->",London,Bujumbura,"{'ondon': 0.0003806866355995983, 'London': 0.9994641422230885, 'L': 1.2709052794113356e-05, 'England': 6.202559100098265e-05, 'Britain': 1.5710661494422098e-05}",London,True
2,"Between Nairobi and Minneapolis, the city with lower average temperature is ->",Minneapolis,Nairobi,"{'Min': 3.591081695196348e-05, 'Minneapolis': 0.995879678115483, 'Winnipeg': 0.00044261838171342295, 'M': 8.189636102676559e-05, 'Minnesota': 0.0034784064734384593}",Minneapolis,True
3,"Between Karachi and Viedma, the city with lower average temperature is ->",Viedma,Karachi,"{'Edmonton': 0.08105813221932587, 'San': 0.047821832351747494, 'Conce': 0.08227615055421089, 'Buenos': 0.038075699832581224, 'V': 0.5725514377451578}",V,True
4,"Between Managua and Suwałki, the city with lower average temperature is ->",Suwałki,Managua,"{'SU': 0.0008902851974474111, 'Su': 0.8582633430112203, 'Warsaw': 0.1256115588653175, 'Vil': 0.0024743785633596018, 'W': 0.010351046016306284}",Su,True
5,"Between Bangui and Viedma, the city with lower average temperature is ->",Viedma,Bangui,"{'Salt': 0.015924125383586535, 'San': 0.1143153981822381, 'Ant': 0.02245813207210869, 'Conce': 0.18233141250340484, 'V': 0.5569436840506805}",V,True
6,"Between Bujumbura and Ulaanbaatar, the city with lower average temperature is ->",Ulaanbaatar,Bujumbura,"{'Har': 0.000589455104202946, 'Winnipeg': 0.0016813050023446827, 'O': 0.011357265587375208, 'U': 0.9631690764090579, 'Ark': 0.01929242205136779}",U,True
7,"Between Lisbon and Ushuaia, the city with lower average temperature is ->",Ushuaia,Lisbon,"{'Madrid': 0.012697400392171177, 'Edmonton': 0.23942705034259276, 'O': 0.028101374197853156, 'U': 0.6552064972858502, 'Ark': 0.009354460412202727}",U,True
8,"Between Abéché and Milan, the city with lower average temperature is ->",Milan,Abéché,"{'Milan': 0.9998794058660572, 'il': 2.9823854443162856e-05, 'San': 1.0697745923968273e-05, 'Mil': 3.156716688993045e-05, 'Italy': 7.665651902554754e-06}",Milan,True
9,"Between Piura and Reykjavík, the city with lower average temperature is ->",Reykjavík,Piura,"{'Iceland': 0.001300445215088744, 'Rey': 0.9984643925535404, 'R': 1.8150562608869076e-05, 'Icelandic': 7.839385608041101e-05, 'Ark': 8.037277970396426e-05}",Rey,True
10,"Between Douala and Shanghai, the city with lower average temperature is ->",Shanghai,Douala,"{'Tokyo': 0.007293532371819441, 'Har': 0.03221530914923654, 'Shanghai': 0.951617116158083, 'Chong': 0.0030708791202136, 'Detroit': 0.0022429760526128774}",Shanghai,True
11,"Between Mumbai and Lviv, the city with lower average temperature is ->",Lviv,Mumbai,"{'Edmonton': 0.00010621056202559711, 'Lv': 0.9788023554004858, 'v': 0.02008205397094742, 'Warsaw': 0.00031648332607350907, 'Vil': 0.00031051510823897977}",Lv,True
