,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Hapa Toronto and Queen Slice, the nearest restaurant is ->",Hapa Toronto,Queen Slice,"{'Q': 0.02289223978202825, 'King': 0.00019650297241018038, 'ueen': 0.008452612616638542, 'H': 0.2976960736488054, 'Queen': 0.6703581212955813}",Queen,False
1,"Between Sushi Shop and Pho 88, the nearest restaurant is ->",Sushi Shop,Pho 88,"{'Ph': 0.0004374859355489616, 'S': 0.9994757650192002, 'B': 7.427954796849042e-06, 'P': 1.215707807725346e-05, 'F': 1.7688497294659212e-05}",S,True
2,"Between KFC and Mt Everest Restaurant, the nearest restaurant is ->",KFC,Mt Everest Restaurant,"{'Mt': 9.559806296352575e-05, '': 6.20884410371288e-08, 'K': 0.9998984799535087, 'Mount': 8.457416459592631e-08}",K,True
3,"Between Ardor Bistro and Freshii, the nearest restaurant is ->",Ardor Bistro,Freshii,"{'Fresh': 0.6079235652306141, 'r': 0.0038338667108481516, 'ard': 0.0012234971554655803, 'Ard': 0.38615891397668917, 'resh': 0.00027041357815119624}",Fresh,False
4,"Between Cantine Bar & Grill and Ciao Europa wine bar, the nearest restaurant is ->",Cantine Bar & Grill,Ciao Europa wine bar,"{'Cant': 0.09428139544051826, 'Cafe': 0.00010615343611147607, 'C': 0.9047539198725051, '': 0.0005099892045596681, 'restaurant': 6.402275441876397e-05}",C,False
5,"Between Mi Mi Restaurant and Harry's Char Broil & Dining Lounge, the nearest restaurant is ->",Harry's Char Broil & Dining Lounge,Mi Mi Restaurant,"{'Mi': 0.03640607946559014, 'arry': 0.014187159273410075, 'mi': 3.3140018093313446e-05, 'i': 0.0008383239139555304, 'Harry': 0.9484534863278379}",Harry,True
6,"Between z-teca Gourmet Burritos and Daily Press Juicery, the nearest restaurant is ->",Daily Press Juicery,z-teca Gourmet Burritos,"{'Z': 0.04706579323939232, 'z': 0.8789813050088376, 'aily': 0.001350624771343426, 'Daily': 0.07154478941643383, '': 0.000879964493149326}",z,False
7,"Between Verona Restaurant and Topham Corner, the nearest restaurant is ->",Verona Restaurant,Topham Corner,"{'er': 6.354896708683351e-07, 'T': 0.9998871553974312, 'P': 4.289677910390623e-07, 'Ver': 0.00010825846451551185, '': 2.332623402368832e-06}",T,False
8,"Between Supermodel Pizza and Pasta Pantry, the nearest restaurant is ->",Supermodel Pizza,Pasta Pantry,"{'Past': 0.9890678911070984, 'Pizza': 0.00044349501340922677, 'Super': 0.005311744322637454, 'ast': 0.001878612136553893, 'P': 0.002839087446780549}",Past,False
9,"Between Breakfast Room and Pho 88, the nearest restaurant is ->",Breakfast Room,Pho 88,"{'breakfast': 0.0003210052756251488, 'Cafe': 7.620960906551767e-05, 'reak': 0.0002576377575847765, 'Breakfast': 0.9991695752936038, 'The': 2.284667421031559e-05}",Breakfast,True
10,"Between Mirage Grill & Lounge and LCBO, the nearest restaurant is ->",LCBO,Mirage Grill & Lounge,"{'LC': 0.9824913464126526, 'LCS': 4.9848761469727055e-06, 'L': 0.00025516861398735424, 'Mirage': 3.393821134662216e-05, 'C': 0.01719706756680307}",LC,True
11,"Between Aris Place and Tik Talk Cafe, the nearest restaurant is ->",Tik Talk Cafe,Aris Place,"{'r': 0.027445666289811634, 'A': 0.0010724126024925385, 'Tik': 0.006896269263857411, 'ar': 0.00030570621465909913, 'Ar': 0.9640004476543181}",Ar,False
12,"Between Thai 4 You Restaurant and Freshii, the nearest restaurant is ->",Thai 4 You Restaurant,Freshii,"{'Thai': 0.9343276166187356, 'Fresh': 0.06561824478357013, 'Sakura': 8.276470074267695e-06, 'resh': 1.6907216759433383e-05, 'F': 6.886159709180196e-06}",Thai,True
13,"Between Bonne Journee and Itamae Ayce Sushi, the nearest restaurant is ->",Itamae Ayce Sushi,Bonne Journee,"{'t': 0.00041285397456771204, 'on': 0.011552689638383825, 'bon': 0.007296299333369154, 'It': 0.48387800007510307, 'Bon': 0.4957904605928954}",Bon,False
14,"Between Phil's Original BBQ and Bake Island, the nearest restaurant is ->",Bake Island,Phil's Original BBQ,"{'hil': 0.00042422439891830763, 'bake': 0.006610298944793418, 'B': 0.004472751999294389, 'Bake': 0.9752119295142271, 'Phil': 0.013177604751459397}",Bake,True
15,"Between Milo's Pita and Hina Sushi, the nearest restaurant is ->",Milo's Pita,Hina Sushi,"{'S': 0.0007231571508640195, 'Milo': 0.16350877832907573, 'P': 0.00018880647675403208, 'H': 0.834244269848962, '': 0.0011918872544564281}",H,False
16,"Between Goldstone Noodle Restaurant and New Bilan Restaurant, the nearest restaurant is ->",Goldstone Noodle Restaurant,New Bilan Restaurant,"{'old': 7.666019149782881e-05, 'Gold': 0.9930319971968136, 'Golden': 0.0012528904964296697, 'New': 0.0029449512956351786}",Gold,True
17,"Between The Duke of Devon and Basha Middle Eastern Grill, the nearest restaurant is ->",Basha Middle Eastern Grill,The Duke of Devon,"{'Duke': 5.718581264541018e-08, '': 1.4858285428319676e-06, 'B': 0.979238484514854, 'The': 0.020759859261886216, 'he': 1.2712971331943052e-08}",B,True
18,"Between Mi Mi Restaurant and Green Grotto, the nearest restaurant is ->",Green Grotto,Mi Mi Restaurant,"{'reen': 0.005491356326314544, 'Mi': 0.007902695303806594, 'Gor': 2.912009710475608e-05, 'Green': 0.986340372079735, 'i': 0.00010898361588662489}",Green,True
19,"Between Thai 4 You Restaurant and Galata Cafe, the nearest restaurant is ->",Thai 4 You Restaurant,Galata Cafe,"{'Thai': 0.9994797005327365, 'Sakura': 2.1424468376811415e-06, 'al': 4.771179542932188e-06, 'Gal': 0.0005031169046789494, 'Th': 3.773181549741246e-06}",Thai,True
20,"Between Falafel House and Hina Sushi, the nearest restaurant is ->",Falafel House,Hina Sushi,"{'H': 0.8614015560017414, 'F': 2.3435818518921358e-05, '': 8.425749763425187e-05, 'al': 0.00016457947067646762, 'Fal': 0.13827462985234085}",H,False
21,"Between Watson's and Roncy's Bean, the nearest restaurant is ->",Watson's,Roncy's Bean,"{'Ronald': 6.81646810789452e-05, 'Watson': 0.9218143513354387, 'on': 0.0007638749959890406, '': 4.6441829824738436e-05, 'Ron': 0.07713790384170696}",Watson,True
22,"Between It's All Grk and Druxy's Famous Deli, the nearest restaurant is ->",It's All Grk,Druxy's Famous Deli,"{'Dru': 0.999287650941147, '': 0.00018355246840093126, 'D': 1.658274269572913e-05, 'dru': 0.0004977614558580173, 'It': 1.723824825886306e-06}",Dru,False
23,"Between St. Clair Shawarma and Falafel and McDonald's, the nearest restaurant is ->",McDonald's,St. Clair Shawarma and Falafel,"{'t': 0.0011826637137916656, 'McDonald': 0.8194755881127752, 'al': 0.001029890698842611, 'St': 0.10039518811645419, 'Fal': 0.07485324617390972}",McDonald,True
24,"Between Viccino Pizzeria and KFC, the nearest restaurant is ->",KFC,Viccino Pizzeria,"{'vic': 8.521253589793506e-05, 'Vic': 0.04791922490865178, '': 0.0001425759097628098, 'K': 0.9451839134655934, 'V': 0.0066485964948187065}",K,True
25,"Between Ici Bistro and Chipotle Mexican Grill, the nearest restaurant is ->",Chipotle Mexican Grill,Ici Bistro,"{'chip': 0.00036756477365459776, 'Chip': 0.07091356059864355, 'I': 0.9250040658184191, '': 0.002470583305870173, 'hip': 0.00031103938933334154}",I,False
