,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Manila and Mexicali, the city with a smaller population is ->",Mexicali,Manila,"{'Mexican': 0.00015355296524457215, 'Med': 0.0003317605779350985, 'ex': 0.0012337556348163265, 'M': 0.0006216686028843758, 'Mex': 0.99623319487641}",Mex,True
1,"Between Buenos Aires and Zürich, the city with a smaller population is ->",Zürich,Buenos Aires,"{'Z': 0.9999329330540881, 'W': 6.4010981268301505e-06, 'R': 8.625350139386002e-06, 'Zurich': 3.0665969608478094e-05, '': 4.49712164628541e-06}",Z,True
2,"Between Saint Petersburg and Barranquilla, the city with a smaller population is ->",Barranquilla,Saint Petersburg,"{'Mar': 0.0001894987745911819, 'Br': 0.00016120108453979777, 'Bar': 0.9961165472819269, 'B': 0.0017013827094784833, 'Bat': 0.0009444132715131049}",Bar,True
3,"Between Luanda and Bratislava, the city with a smaller population is ->",Bratislava,Luanda,"{'Bl': 4.268120860881527e-07, 'Br': 0.9999980234482534, 'Slov': 2.37924604804049e-07, 'B': 5.241263792134208e-07, 'Slovakia': 3.1509016531000084e-07}",Br,True
4,"Between Los Angeles and Nairobi, the city with a smaller population is ->",Nairobi,Los Angeles,"{'Ni': 1.016519520929436e-06, 'W': 2.272338894298302e-07, 'N': 0.9999967093467143, 'K': 3.810580923816319e-07, 'Los': 1.87267829773129e-07}",N,True
5,"Between Ürümqi and Garissa, the city with a smaller population is ->",Garissa,Ürümqi,"{'ar': 0.00024425397325717407, 'G': 1.1892388313775334e-05, 'gar': 1.695781107337283e-05, 'Bat': 4.713885703150534e-06, 'Gar': 0.9996826532451372}",Gar,True
6,"Between Ho Chi Minh City and Santiago, the city with a smaller population is ->",Santiago,Ho Chi Minh City,"{'Chile': 0.0040617624442235555, 'San': 0.0037377872015258583, 'Santiago': 0.9687761762833937, 'Conce': 0.0050351513181802225, 'Ho': 0.004595647587615746}",Santiago,True
7,"Between San Diego and Gabès, the city with a smaller population is ->",Gabès,San Diego,"{'Gab': 0.9992463477386356, 'Gabriel': 6.654814368798956e-06, 'G': 0.0006439675637346729, 'Libre': 6.401667849915734e-06, 'ab': 8.133932142267633e-05}",Gab,True
8,"Between Lahore and Mandalay, the city with a smaller population is ->",Mandalay,Lahore,"{'Pir': 0.0011766227739416087, 'Mand': 0.00033031939762451787, 'Mon': 0.00037806602813243766, 'M': 0.0009557926134343048, 'Mandal': 0.9944510044674844}",Mandal,True
9,"Between Baghdad and Fairbanks, the city with a smaller population is ->",Fairbanks,Baghdad,"{'air': 0.0007806380186575909, 'fair': 7.5626038686811156e-06, 'Acc': 1.1364216985973152e-05, '0': 1.5562490409446567e-05, 'Fair': 0.9990980502514227}",Fair,True
10,"Between Mexico City and Bangkok, the city with a smaller population is ->",Bangkok,Mexico City,"{'Gu': 0.018807164336701425, 'Mon': 0.0718798718428743, 'exico': 0.029108693608163115, 'M': 0.11475311321449073, 'Mexico': 0.6212854877897187}",Mexico,False
11,"Between Mumbai and Mexicali, the city with a smaller population is ->",Mexicali,Mumbai,"{'Mexican': 0.00015643468239393812, 'Med': 0.0003831392721601005, 'ex': 0.0012222127910052592, 'M': 0.0005691855947255769, 'Mex': 0.996213646382717}",Mex,True
12,"Between Ankara and Kuopio, the city with a smaller population is ->",Kuopio,Ankara,"{'Ni': 2.5367670743970456e-05, 'Ku': 0.9954302549038833, 'u': 0.001822535528309757, 'K': 0.002436747794125641}",Ku,True
13,"Between Brasília and Garoua, the city with a smaller population is ->",Garoua,Brasília,"{'ar': 0.0003566085059155079, 'G': 4.006385506820693e-05, 'Libre': 5.076091410000241e-06, 'gar': 8.373513404074056e-06, 'Gar': 0.9995702392436205}",Gar,True
14,"Between Lima and Ankara, the city with a smaller population is ->",Ankara,Lima,"{'Salt': 0.00013323261133254568, 'Peru': 0.0014267445049506655, 'Vil': 0.0001633837221738181, 'Lima': 0.9966934068600045, 'Conce': 0.0004543492874993015}",Lima,False
15,"Between Johannesburg and Paramaribo, the city with a smaller population is ->",Paramaribo,Johannesburg,"{'Pir': 9.345149746065726e-05, 'aram': 0.00036441865505309085, 'Param': 0.9991223695730589, 'Paras': 2.6753426483080628e-05, 'param': 8.646680283016065e-05}",Param,True
16,"Between Douala and Ljubljana, the city with a smaller population is ->",Ljubljana,Douala,"{'Sloven': 5.1110837453619564e-05, 'Slovenia': 3.424120183429868e-06, 'L': 0.9999133815115979, '': 1.0337835949548283e-05, 'St': 3.508189379069439e-06}",L,True
