,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like big cities. Between Kabul and Changsha, you should visit ->",Changsha,Kabul,"{'small': 0.00020897216430770273, 'Chand': 0.0009694525764013924, 'Casey': 0.00013341913419812239, 'Chang': 0.9907520814803469, 'Ch': 0.007547612431290218}",Chang,True
1,"You don't like big cities. Between Berlin and Managua, you should visit ->",Managua,Berlin,"{'Berlin': 1.2736686856510097e-05, 'Man': 0.999984312696047, 'Mann': 5.326235220349647e-07, 'Mon': 3.886156608967582e-07, 'M': 9.840747276932217e-07}",Man,True
2,"You don't like big cities. Between Kuwait City and Gabès, you should visit ->",Gabès,Kuwait City,"{'Gab': 0.9965965479179532, 'Bab': 0.0002911328109185948, 'G': 0.0011826684444559818, 'Bib': 0.0001333461738881801, 'ab': 0.0013972727192104678}",Gab,True
3,"You don't like big cities. Between Buenos Aires and Cayenne, you should visit ->",Cayenne,Buenos Aires,"{'small': 0.00014670716981721334, 'Casey': 0.0007323558706875696, 'Cay': 0.9980220058139413, 'C': 0.00022732678367903364, 'Ash': 0.0001987668555951339}",Cay,True
4,"You don't like big cities. Between Canberra and Ürümqi, you should visit ->",Canberra,Ürümqi,"{'ACT': 0.0007581325648106225, 'Can': 0.0009156251517729524, 'Canberra': 0.9841932883204502, 'Ü': 0.00625133023675372, 'Cy': 0.002917663950028339}",Canberra,True
5,"You don't like big cities. Between Dublin and Paris, you should visit ->",Dublin,Paris,"{'Dublin': 0.9963564586640694, 'Edinburgh': 0.0001833283042767202, 'D': 0.0010282547822514797, 'Dun': 0.0017103555604402747, 'Ireland': 0.0002807738547534488}",Dublin,True
6,"You don't like big cities. Between Algiers and Niamey, you should visit ->",Niamey,Algiers,"{'Ni': 0.9998916857664102, 'Ali': 2.5281493628984492e-06, 'i': 1.0050924807903137e-06, 'N': 9.68836290687087e-05, 'Al': 6.8380018240173534e-06}",Ni,True
7,"You don't like big cities. Between Guadalajara and Lima, you should visit ->",Guadalajara,Lima,"{'small': 3.3141548733141236e-07, 'Gu': 0.9999965910714104, 'Guer': 2.580085791650333e-07, 'G': 4.595661245791215e-07, 'u': 9.325556583229999e-07}",Gu,True
8,"You don't like big cities. Between Cairo and Shanghai, you should visit ->",Cairo,Shanghai,"{'Cairo': 0.9459611201330129, 'C': 0.010181150077772051, 'Chong': 0.0038150710140083437, 'Egypt': 0.007553602327810281, 'Detroit': 0.005525397988803928}",Cairo,True
9,"You don't like big cities. Between Honolulu and Guangzhou, you should visit ->",Honolulu,Guangzhou,"{'Hawai': 0.012650945797534164, 'H': 0.01278696866105917, 'Hiroshima': 0.0815766100211001, 'Honolulu': 0.3606048927307718, 'Hon': 0.5209823838440165}",Hon,True
10,"You don't like big cities. Between Johannesburg and Santiago, you should visit ->",Johannesburg,Santiago,"{'Jos': 0.037966788053777664, 'Johann': 0.0009895614428535393, 'Johannes': 0.953642826823977, 'N': 0.0018144933431762905, 'J': 0.0003951274053025041}",Johannes,True
11,"You don't like big cities. Between Damascus and Chicago, you should visit ->",Damascus,Chicago,"{'Damascus': 0.9797242014670389, 'Syria': 0.00029163515678233115, 'Chicago': 0.016962718034342534, 'Seattle': 0.000248004417365565, 'Detroit': 0.00166076257428158}",Damascus,True
12,"You don't like big cities. Between Ürümqi and Saint Petersburg, you should visit ->",Ürümqi,Saint Petersburg,"{'small': 0.0007037653267935727, 'ytes: \\xc4': 0.0019267866727716667, 'Ü': 0.9909955064714674, 'St': 0.0021174128273645, 'Hon': 0.0007205332464560762}",Ü,True
13,"You don't like big cities. Between Denpasar and Kuwait City, you should visit ->",Denpasar,Kuwait City,"{'en': 0.0011222567114142488, 'D': 0.0007556962864521683, 'DEN': 0.00016369837505428712, 'Den': 0.9971342443397117, 'Dun': 0.00031692702995533194}",Den,True
14,"You don't like big cities. Between Brussels and Houston, you should visit ->",Brussels,Houston,"{'Hamilton': 9.329342660327186e-06, 'Brussels': 0.9993136399129192, 'Budapest': 4.568210523920088e-06, 'Helsinki': 4.600373785744112e-06, 'Houston': 0.000655168305745336}",Brussels,True
15,"You don't like big cities. Between Mendoza and Hanoi, you should visit ->",Mendoza,Hanoi,"{'Mend': 0.0006615047458887525, 'h': 7.297090769179873e-08, 'H': 0.9993376616029784, '': 2.0155672127715927e-07, 'Hon': 7.895206032540713e-08}",H,False
16,"You don't like big cities. Between Viedma and Tampa, you should visit ->",Viedma,Tampa,"{'small': 1.0633983218117847e-08, 'Vit': 8.666966430990376e-09, 'P': 8.396525001350915e-10, '': 8.10054014442801e-08, 'V': 0.9999999317236823}",V,True
17,"You don't like big cities. Between Berlin and Port Sudan, you should visit ->",Port Sudan,Berlin,"{'Salt': 1.2214413037529825e-06, 'ort': 0.00010822620829950104, 'small': 1.6826073055785094e-06, 'Ports': 8.217882380741824e-06, 'Port': 0.9998744006582578}",Port,True
18,"You don't like big cities. Between Chicago and Djibouti, you should visit ->",Djibouti,Chicago,"{'Dak': 0.00021026582382356924, 'Dj': 0.9993112564927715, 'D': 0.00013048503657973418, 'dj': 4.7778299829912236e-05, 'Chicago': 0.00013102269571975617}",Dj,True
19,"You don't like big cities. Between Shanghai and Douala, you should visit ->",Douala,Shanghai,"{'Dak': 0.000864701670600189, 'D': 0.002726559829876816, 'ou': 0.004329039872534631, 'Dun': 0.0019176975600827004, 'Dou': 0.987675458990204}",Dou,True
20,"You don't like big cities. Between Berlin and Luanda, you should visit ->",Berlin,Luanda,"{'Berlin': 0.001611386968050465, 'u': 0.0008030307105333057, 'L': 0.0001269610768470543, 'LU': 0.0006371601634556688, 'Lu': 0.9959699814083252}",Lu,False
21,"You don't like big cities. Between Melbourne and La Paz, you should visit ->",La Paz,Melbourne,"{'Le': 0.00014813626475315613, 'a': 0.00017330812124364644, 'Melbourne': 0.022710139050682344, 'Man': 0.0001309341543078186, 'La': 0.9758989839273338}",La,True
22,"You don't like big cities. Between Manila and Lviv, you should visit ->",Lviv,Manila,"{'Lv': 0.9883959632518603, 'LV': 5.273058026635929e-05, 'v': 0.011407339670570392, 'Vil': 3.597540670653949e-05, 'Ark': 1.4486128812853557e-05}",Lv,True
23,"You don't like big cities. Between Luanda and Barranquilla, you should visit ->",Barranquilla,Luanda,"{'ar': 3.3736949159318394e-06, 'bar': 9.42094646906672e-06, 'Bar': 0.9999723892701832, 'BAR': 7.422252317597377e-06, 'Bars': 1.6989476975564014e-06}",Bar,True
24,"You don't like big cities. Between Mexicali and Jakarta, you should visit ->",Mexicali,Jakarta,"{'small': 0.0005050923369285644, 'Med': 0.0003478563328737367, 'ex': 0.002466425604798957, 'Mex': 0.9943640419385836, 'smaller': 0.00028247881537857777}",Mex,True
25,"You don't like big cities. Between Hamilton and Tampa, you should visit ->",Hamilton,Tampa,"{'Hamilton': 0.9999995722265915, 'small': 1.9548057677095346e-09, 'H': 1.1039546144899512e-09, 'amilton': 4.939621214129818e-07, 'HAM': 1.3046552595470195e-09}",Hamilton,True
