,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like hot weather. Between Managua and Amsterdam, this person should visit ->",Amsterdam,Managua,"{'Man': 0.8198981366809834, 'Amsterdam': 0.15517092929833884, 'N': 0.0027727601801132585, 'O': 0.0016919886937521696, 'New': 0.0019006316513108714}",Man,False
1,"Someone doesn't like hot weather. Between Bujumbura and London, this person should visit ->",London,Bujumbura,"{'Tokyo': 0.008390979661031119, 'city': 0.0093781158969918, 'S': 0.006239116457346795, 'London': 0.8819937051667182, 'colder': 0.011717806160801349}",London,True
2,"Someone doesn't like hot weather. Between Nairobi and Minneapolis, this person should visit ->",Minneapolis,Nairobi,"{'Ni': 0.00035426037237698955, 'Minneapolis': 0.01999039841406214, 'Winnipeg': 0.0004648745377838685, 'M': 0.001931301791640263, 'N': 0.9747353312140394}",N,False
3,"Someone doesn't like hot weather. Between Karachi and Viedma, this person should visit ->",Viedma,Karachi,"{'Barcelona': 0.06902750711400793, 'Adelaide': 0.142026303872029, 'Karachi': 0.1195146883621006, 'Kh': 0.08288905102921285, 'V': 0.05983109319863037}",Adelaide,False
4,"Someone doesn't like hot weather. Between Managua and Suwałki, this person should visit ->",Suwałki,Managua,"{'Su': 0.006441281937869729, 'Man': 0.9908183025902023, 'S': 0.0003023603620885011, 'Warsaw': 0.0005975348198243069, 'W': 0.00029165936350490916}",Man,False
5,"Someone doesn't like hot weather. Between Bangui and Viedma, this person should visit ->",Viedma,Bangui,"{'San': 0.00034488449296222426, 'T': 0.00011881368073070481, 'C': 0.00021253008566951597, 'B': 0.9964127854824018, 'V': 0.0013757599632511536}",B,False
6,"Someone doesn't like hot weather. Between Bujumbura and Ulaanbaatar, this person should visit ->",Ulaanbaatar,Bujumbura,"{'T': 0.05432941967278767, 'B': 0.08113473590524517, 'U': 0.4971044569596789, 'Bul': 0.03527593061063126, 'Bu': 0.047924759898768245}",U,True
7,"Someone doesn't like hot weather. Between Lisbon and Ushuaia, this person should visit ->",Ushuaia,Lisbon,"{'Madrid': 0.1068011270082517, 'colder': 0.014730516273564179, 'Lisbon': 0.0703923068139765, 'O': 0.04395807237194175, 'U': 0.6343712043883954}",U,True
8,"Someone doesn't like hot weather. Between Abéché and Milan, this person should visit ->",Milan,Abéché,"{'Madrid': 0.025149934168361338, 'Med': 0.023948226690901884, 'Milan': 0.7866880718672774, 'Ab': 0.0582144891943252, 'San': 0.014925404767062866}",Milan,True
9,"Someone doesn't like hot weather. Between Piura and Reykjavík, this person should visit ->",Reykjavík,Piura,"{'Ni': 0.006379439743371074, 'Pi': 0.00334850065166561, 'Iceland': 0.007346475533611778, 'Rey': 0.9466157529844323, 'R': 0.00410882573722862}",Rey,True
10,"Someone doesn't like hot weather. Between Douala and Shanghai, this person should visit ->",Shanghai,Douala,"{'Tokyo': 0.04725745782175273, 'Shanghai': 0.5425520790099659, 'S': 0.04776196822527338, 'Chong': 0.21499592597231176, 'Detroit': 0.020180457365846543}",Shanghai,True
11,"Someone doesn't like hot weather. Between Mumbai and Lviv, this person should visit ->",Lviv,Mumbai,"{'Mumbai': 0.32418446136282686, 'Lv': 0.19404833528464005, 'M': 0.10683408023870819, 'Kh': 0.04521030189872291, 'New': 0.020259021063725218}",Mumbai,False
12,"Someone doesn't like hot weather. Between Djibouti and Toronto, this person should visit ->",Toronto,Djibouti,"{'Vancouver': 0.02286785194345216, 'Tokyo': 0.04226299493684353, 'T': 0.027251620275204672, 'colder': 0.02344293755062141, 'Toronto': 0.6681813368061866}",Toronto,True
13,"Someone doesn't like hot weather. Between Kano and Minneapolis, this person should visit ->",Minneapolis,Kano,"{'Minneapolis': 0.2246476509519112, 'Winnipeg': 0.002843511064698261, 'M': 0.010827353665978255, 'K': 0.7446657641469265, 'St': 0.0030868979252851874}",K,False
14,"Someone doesn't like hot weather. Between Pontianak and Frankfurt, this person should visit ->",Frankfurt,Pontianak,"{'Pont': 0.1336447525225051, 'Mon': 0.009528049040067035, 'T': 0.007623268989740806, 'Frankfurt': 0.6197080493442988, 'Marse': 0.11263278975829429}",Frankfurt,True
15,"Someone doesn't like hot weather. Between Tampa and Zagreb, this person should visit ->",Zagreb,Tampa,"{'Z': 0.30506549125460364, 'Tampa': 0.5816990856063742, 'Tall': 0.015408884813261947, 'T': 0.0243009945861993, 'St': 0.015602693802291293}",Tampa,False
16,"Someone doesn't like hot weather. Between Aden and Dublin, this person should visit ->",Dublin,Aden,"{'Dublin': 0.841090192842737, 'warmer': 0.0108882037559423, 'D': 0.028760711707484385, 'colder': 0.00719404556484472, 'Dun': 0.023596504318952854}",Dublin,True
17,"Someone doesn't like hot weather. Between Malabo and Beijing, this person should visit ->",Beijing,Malabo,"{'Beijing': 0.6478263998421743, 'Tokyo': 0.02870478056152039, 'Tehran': 0.019612954248862457, 'B': 0.029544407752317096, 'Chong': 0.04323865033683339}",Beijing,True
18,"Someone doesn't like hot weather. Between Brasília and Anchorage, this person should visit ->",Anchorage,Brasília,"{'Br': 0.01066232797436499, 'Bras': 0.09521969293654019, 'N': 0.01709703880102156, 'Anchorage': 0.7611413316749824, 'Ark': 0.01244718233698167}",Anchorage,True
19,"Someone doesn't like hot weather. Between Manila and Dublin, this person should visit ->",Dublin,Manila,"{'Tokyo': 0.07577241278546906, 'Singapore': 0.09175178841278407, 'Madrid': 0.13962381620740918, 'Dublin': 0.44837636446535106, 'D': 0.04078751701094834}",Dublin,True
20,"Someone doesn't like hot weather. Between Lagos and Murmansk, this person should visit ->",Murmansk,Lagos,"{'ur': 0.005385753782444455, 'M': 0.009445744087789233, 'Sochi': 0.034359882553119316, 'Mur': 0.8519457056042546, 'Ark': 0.012693092895026325}",Mur,True
21,"Someone doesn't like hot weather. Between Tripoli and Minneapolis, this person should visit ->",Minneapolis,Tripoli,"{'Minneapolis': 0.7259429634388216, 'Winnipeg': 0.012383447217014558, 'M': 0.05364458751946373, 'St': 0.04447775955611787, 'Detroit': 0.011515607382863044}",Minneapolis,True
22,"Someone doesn't like hot weather. Between Alexandria and Nur-Sultan, this person should visit ->",Nur-Sultan,Alexandria,"{'Ni': 0.031046909765999383, 'Alexandria': 0.49649910406502407, 'N': 0.14866559859419054, 'Nur': 0.16407582671404491, 'Kh': 0.02613367673526971}",Alexandria,False
23,"Someone doesn't like hot weather. Between Aden and Vienna, this person should visit ->",Vienna,Aden,"{'Austria': 0.00541543266782006, 'Vienna': 0.8901027352968581, 'W': 0.03215729335693565, 'colder': 0.00398431052211176, 'Budapest': 0.012469614923494443}",Vienna,True
24,"Someone doesn't like hot weather. Between Hat Yai and Toronto, this person should visit ->",Toronto,Hat Yai,"{'Vancouver': 0.017965015421461828, 'Hamilton': 0.02384250420846882, 'Tokyo': 0.012211741158528484, 'T': 0.013985704195038851, 'Toronto': 0.7914120056534484}",Toronto,True
25,"Someone doesn't like hot weather. Between Port Sudan and Ulaanbaatar, this person should visit ->",Ulaanbaatar,Port Sudan,"{'T': 0.03857727139114204, 'Port': 0.15826411937167137, 'O': 0.04250859449858768, 'U': 0.28964396996672087, 'Kh': 0.1095972824434089}",U,True
26,"Someone doesn't like hot weather. Between Douala and Denver, this person should visit ->",Denver,Douala,"{'Denver': 0.7548315026035313, 'Ni': 0.019447777165476413, 'Edmonton': 0.048478009317349635, 'colder': 0.021466815528640163, 'Fort': 0.016739451170031366}",Denver,True
27,"Someone doesn't like hot weather. Between Hat Yai and Vladivostok, this person should visit ->",Vladivostok,Hat Yai,"{'Hat': 0.08722916002598763, 'Vlad': 0.828531187079678, 'Vladimir': 0.004301982138720729, 'Vit': 0.012439178883489091, 'Bat': 0.019446725069191224}",Vlad,True
28,"Someone doesn't like hot weather. Between Chicago and Ulaanbaatar, this person should visit ->",Ulaanbaatar,Chicago,"{'O': 0.030728522009809175, 'U': 0.08284374796973483, 'Chicago': 0.3579111169797677, 'Detroit': 0.17754998572374486, 'New': 0.03143161642903136}",Chicago,False
29,"Someone doesn't like hot weather. Between Nakhon Ratchasima and Kunming, this person should visit ->",Kunming,Nakhon Ratchasima,"{'Kum': 0.0024220582106872055, 'Kun': 0.06738825731875109, 'N': 0.9205549171115534, 'K': 0.005535946636908422, 'Kh': 0.0011266447624012571}",N,False
30,"Someone doesn't like hot weather. Between Port-Gentil and Melbourne, this person should visit ->",Melbourne,Port-Gentil,"{'Melbourne': 0.9221385127137405, 'Mar': 0.004497214832188825, 'city': 0.003588922359344829, 'Adelaide': 0.01281100771360587, 'Port': 0.017815703348736056}",Melbourne,True
31,"Someone doesn't like hot weather. Between Durban and Nur-Sultan, this person should visit ->",Nur-Sultan,Durban,"{'Dur': 0.047970914483284444, 'D': 0.06902959177620101, 'N': 0.09808341390979192, 'Nur': 0.4903530191647608, 'Kh': 0.09419017520744763}",Nur,True
32,"Someone doesn't like hot weather. Between Hat Yai and Saskatoon, this person should visit ->",Saskatoon,Hat Yai,"{'Hat': 0.012169778167051268, 'Edmonton': 0.03636512747320832, 'Winnipeg': 0.03356183233819787, 'Sask': 0.8575613305434534, 'S': 0.015579100102435897}",Sask,True
33,"Someone doesn't like hot weather. Between Kano and Erzurum, this person should visit ->",Erzurum,Kano,"{'T': 0.0009702259261793943, 'colder': 0.0010370242139576256, 'K': 0.7808689507163081, 'Er': 0.20903188057788408, 'Kh': 0.0005189808880722643}",K,False
34,"Someone doesn't like hot weather. Between Aden and Kabul, this person should visit ->",Kabul,Aden,"{'Tehran': 0.07392727790412748, 'Kabul': 0.5375065892423102, 'K': 0.13546132550905127, 'Kh': 0.14621557575927738, 'Ash': 0.0071648912196606105}",Kabul,True
35,"Someone doesn't like hot weather. Between Villahermosa and Irkutsk, this person should visit ->",Irkutsk,Villahermosa,"{'city': 0.009336302341899722, 'Villa': 0.2194903963095862, 'T': 0.008151155358479429, 'Vil': 0.014861141881701269, 'Ir': 0.6182670964443423}",Ir,True
36,"Someone doesn't like hot weather. Between Ndola and Suwałki, this person should visit ->",Suwałki,Ndola,"{'Ni': 0.0004930005836736865, 'Su': 0.0048164819659335684, 'Warsaw': 0.00038245418104136664, 'W': 0.00025317819223937487, 'N': 0.9922630401547765}",N,False
37,"Someone doesn't like hot weather. Between Lomé and Toluca, this person should visit ->",Toluca,Lomé,"{'Madrid': 0.01094002715298572, 'Tol': 0.7028510059227058, 'San': 0.004945364034171221, 'T': 0.028367776734797876, 'L': 0.2150119867678451}",Tol,True
38,"Someone doesn't like hot weather. Between Tabora and Milwaukee, this person should visit ->",Milwaukee,Tabora,"{'Milwaukee': 0.03668922000145356, 'T': 0.960123527806221, 'Warsaw': 0.000275276915910928, 'M': 0.0003778705051524639, 'W': 0.0007512641778100685}",T,False
39,"Someone doesn't like hot weather. Between San Juan and Tashkent, this person should visit ->",Tashkent,San Juan,"{'Sant': 3.605189967716161e-05, 'San': 0.34302896133556754, 'T': 0.6563754640731166, 'S': 8.883507475258793e-05, 'Kh': 5.816457881105134e-05}",T,True
40,"Someone doesn't like hot weather. Between Phnom Penh and Mexico City, this person should visit ->",Mexico City,Phnom Penh,"{'Ph': 0.1410338001437524, 'Gu': 0.09599276067434409, 'Mon': 0.18832942291548055, 'M': 0.03620248196252579, 'Mexico': 0.30051530335422433}",Mexico,True
41,"Someone doesn't like hot weather. Between Mumbai and Rome, this person should visit ->",Rome,Mumbai,"{'Rome': 0.12991970151807736, 'Tokyo': 0.10132019796413988, 'Mumbai': 0.12627532965748364, 'M': 0.10675952539369, 'New': 0.05060389648606711}",Rome,True
42,"Someone doesn't like hot weather. Between Nakhon Ratchasima and Ljubljana, this person should visit ->",Ljubljana,Nakhon Ratchasima,"{'Ni': 0.0009095711802607927, 'city': 0.0003446822775125791, 'R': 0.0017487932505928737, 'N': 0.5552401256370721, 'L': 0.4372584106211171}",N,False
