,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for an affordable restaurant. Between Adega Restaurante and St. Louis Bar & Grill, this person should go to ->",St. Louis Bar & Grill,Adega Restaurante,"{'Ad': 0.9262313199227843, 't': 0.000271574786445578, 'Starbucks': 0.00019871081124448085, 'd': 0.007185066529464516, 'St': 0.06561425531556835}",Ad,False
1,"Someone is looking for an affordable restaurant. Between Aris Place and Beryl's Pepper Pot, this person should go to ->",Aris Place,Beryl's Pepper Pot,"{'r': 0.00010607947294566393, 'A': 4.117028058177291e-06, 'B': 0.9785271617228448, 'Bib': 0.0003217756481934906, 'Ar': 0.02102188165868634}",B,False
2,"Someone is looking for an affordable restaurant. Between Daily Press Juicery and New Bilan Restaurant, this person should go to ->",New Bilan Restaurant,Daily Press Juicery,"{'Poor': 0.0013214169118723434, 'aily': 0.03907095605128242, 'ew': 0.0006684590632642581, 'Daily': 0.9159013835350345, 'New': 0.04112437777920486}",Daily,False
3,"Someone is looking for an affordable restaurant. Between McDonald's and Nook, this person should go to ->",McDonald's,Nook,"{'McDonald': 0.9830066881925287, 'McD': 7.160418757668541e-05, 'MacDonald': 8.136519144000349e-05, 'N': 0.016260565449095456, 'c': 0.00023817044146259028}",McDonald,True
4,"Someone is looking for an affordable restaurant. Between KFC and Mysteriously Yours Dinner Theatre, this person should go to ->",KFC,Mysteriously Yours Dinner Theatre,"{'Hue': 3.825168650591023e-06, 'Kom': 0.0001397346906572027, '': 3.0477769773001905e-05, 'k': 0.00015652810178223993, 'K': 0.9996583933908291}",K,True
5,"Someone is looking for an affordable restaurant. Between Mamma's Pizza and Sichuan Landscape Chinese Restaurant, this person should go to ->",Mamma's Pizza,Sichuan Landscape Chinese Restaurant,"{'Pizza': 0.017114828970659357, 'Mam': 0.9779459600955354, 'S': 0.004008222911918478, 'Mama': 0.00022704234863935694, '808': 0.0002316052833809372}",Mam,True
6,"Someone is looking for an affordable restaurant. Between Adega Restaurante and Sheriff Broaster Chicken, this person should go to ->",Sheriff Broaster Chicken,Adega Restaurante,"{'Ad': 0.20035870377371456, 'Sheriff': 0.7900103755497788, 'sheriff': 0.002645272220669483, 'Starbucks': 0.0014921718542799053, 'her': 0.0019226400718861704}",Sheriff,True
7,"Someone is looking for an affordable restaurant. Between Thompson Rooftop and Viccino Pizzeria, this person should go to ->",Viccino Pizzeria,Thompson Rooftop,"{'Thompson': 0.0041489677940577015, 'Pizza': 0.001163959178855055, 'Vic': 0.8856703172951508, 'hompson': 0.0006663689912046679, 'V': 0.10673928570645833}",Vic,True
8,"Someone is looking for an affordable restaurant. Between Druxy's Famous Deli and Green Grotto, this person should go to ->",Druxy's Famous Deli,Green Grotto,"{'Dru': 0.997382382451148, 'Hue': 0.00017111409529657078, 'Green': 0.0008631289995585105, 'dru': 0.0006917942314229131, 'Cy': 0.0002085685069894793}",Dru,True
9,"Someone is looking for an affordable restaurant. Between Paradise Farms Prime Beef Bistro and Ici Bistro, this person should go to ->",Paradise Farms Prime Beef Bistro,Ici Bistro,"{'Paradise': 0.8022543233306182, 'Cafe': 0.00021439809801621586, 'paradise': 0.0005872467903500005, 'I': 0.19600404151298484, '808': 0.0005344643647362679}",Paradise,True
