,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for an affordable restaurant. Between LCBO and Druxy's Famous Deli, I should go to ->",Druxy's Famous Deli,LCBO,"{'affordable': 0.0002811267282732002, 'Dru': 0.42360763980286226, 'LC': 0.5625371346089589, 'dru': 0.0001678613864134335, 'C': 0.013331864261421541}",LC,False
1,"I'm looking for an affordable restaurant. Between New Bilan Restaurant and Pizzeria Via Mercanti, I should go to ->",New Bilan Restaurant,Pizzeria Via Mercanti,"{'affordable': 8.700763182610961e-08, 'Pizza': 7.311829126540588e-05, 'Cafe': 8.806206385283657e-08, 'P': 0.9999217282433938, 'New': 4.649648186706842e-06}",P,False
2,"I'm looking for an affordable restaurant. Between Aroma Espresso Bar and Helena's Magic Kitchen, I should go to ->",Helena's Magic Kitchen,Aroma Espresso Bar,"{'affordable': 9.65815514259637e-07, 'Starbucks': 7.826447090003567e-07, 'A': 0.9995487808100116, 'Helena': 0.00044662408067729147, 'Magic': 1.0948502084382859e-06}",A,False
3,"I'm looking for an affordable restaurant. Between EJ Sushi and Bagel Nash, I should go to ->",Bagel Nash,EJ Sushi,"{'Bag': 0.9995579604582792, 'ag': 4.386788739389747e-05, 'Starbucks': 1.2091776070894561e-05, 'E': 0.0003639922433618683, 'Bib': 5.8510232352926135e-06}",Bag,True
4,"I'm looking for an affordable restaurant. Between Mamma's Pizza and La Pupusa Loka, I should go to ->",Mamma's Pizza,La Pupusa Loka,"{'affordable': 0.005076789019580583, 'Pizza': 0.005575406775959784, 'Poor': 0.0002635930819973298, 'Starbucks': 0.0007667797159489976, 'Mam': 0.9866278463714224}",Mam,True
5,"I'm looking for an affordable restaurant. Between Mi Mi Restaurant and Assembly Chef's Hall, I should go to ->",Mi Mi Restaurant,Assembly Chef's Hall,"{'Assembly': 0.034677431245919266, 'Mi': 0.9089548918166948, 'i': 0.05240665981631063, 'ssembly': 0.0021606229415484473}",Mi,True
6,"I'm looking for an affordable restaurant. Between Villa Madina and El Fogón, I should go to ->",Villa Madina,El Fogón,"{'Pizza': 0.0004872013844141823, 'Villa': 0.015061521989454724, 'El': 0.958343124118026, 'Cafe': 0.0017705164416693476, 'l': 0.02358800402986577}",El,False
7,"I'm looking for an affordable restaurant. Between Mysteriously Yours Dinner Theatre and New Bilan Restaurant, I should go to ->",New Bilan Restaurant,Mysteriously Yours Dinner Theatre,"{'affordable': 0.0004798827762662153, 'Myster': 0.1796455205590185, 'ew': 0.01021244708709139, 'Bib': 0.002230018717606098, 'New': 0.8060095241355308}",New,True
8,"I'm looking for an affordable restaurant. Between Pizzeria Via Mercanti and Mirage Grill & Lounge, I should go to ->",Pizzeria Via Mercanti,Mirage Grill & Lounge,"{'affordable': 3.1583402458522213e-07, 'Pizza': 7.080663074879293e-06, 'Cafe': 1.7221467980654963e-07, 'P': 0.9999638055780339, 'Mirage': 2.8474317992936086e-05}",P,True
9,"I'm looking for an affordable restaurant. Between Roncy's Bean and Smoke's Weinerie, I should go to ->",Smoke's Weinerie,Roncy's Bean,"{'affordable': 0.007964885588536023, 'on': 0.06412176660989516, 'Starbucks': 0.02086104781179765, 'ON': 0.003551229490865577, 'Ron': 0.8942882522214722}",Ron,False
10,"I'm looking for an affordable restaurant. Between McDonald's and Milestones Restaurants, I should go to ->",McDonald's,Milestones Restaurants,"{'McDonald': 0.9946885900843232, 'Starbucks': 0.0009563241818897113, 'MacDonald': 0.0001737962364248624, 'Mil': 0.0002771371632908752, 'c': 0.0038096231709402583}",McDonald,True
