{'statement': 'Between Moscow and Dublin, the smaller city is Dublin.', 'answer': 'Dublin', 'candidate': 'Moscow'}
{'statement': 'Between Riyadh and Palmerston North, the smaller city is Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Riyadh'}
{'statement': 'Between Lahore and La Paz, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Lahore'}
{'statement': 'Between Lahore and Tashkent, the smaller city is Tashkent.', 'answer': 'Tashkent', 'candidate': 'Lahore'}
{'statement': 'Between Beijing and Hobart, the smaller city is Hobart.', 'answer': 'Hobart', 'candidate': 'Beijing'}
{'statement': 'Between Alexandria and Tampa, the smaller city is Tampa.', 'answer': 'Tampa', 'candidate': 'Alexandria'}
{'statement': 'Between Luanda and Tripoli, the smaller city is Tripoli.', 'answer': 'Tripoli', 'candidate': 'Luanda'}
{'statement': 'Between Mexico City and Cayenne, the smaller city is Cayenne.', 'answer': 'Cayenne', 'candidate': 'Mexico City'}
{'statement': 'Between Lahore and Conakry, the smaller city is Conakry.', 'answer': 'Conakry', 'candidate': 'Lahore'}
{'statement': 'Between Sydney and La Ceiba, the smaller city is La Ceiba.', 'answer': 'La Ceiba', 'candidate': 'Sydney'}
{'statement': 'Between Mexico City and Conakry, the smaller city is Conakry.', 'answer': 'Conakry', 'candidate': 'Mexico City'}
{'statement': 'Between Riyadh and Ouahigouya, the smaller city is Ouahigouya.', 'answer': 'Ouahigouya', 'candidate': 'Riyadh'}
{'statement': 'Between Kuwait City and Murmansk, the smaller city is Murmansk.', 'answer': 'Murmansk', 'candidate': 'Kuwait City'}
{'statement': 'Between Cairo and Toluca, the smaller city is Toluca.', 'answer': 'Toluca', 'candidate': 'Cairo'}
{'statement': 'Between Baghdad and Conakry, the smaller city is Conakry.', 'answer': 'Conakry', 'candidate': 'Baghdad'}
{'statement': 'Between Surabaya and Thiès, the smaller city is Thiès.', 'answer': 'Thiès', 'candidate': 'Surabaya'}
{'statement': 'Between Paris and Nairobi, the smaller city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Paris'}
{'statement': 'Between Kunming and Djibouti, the smaller city is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Kunming'}
{'statement': 'Between Medellín and Sucre, the smaller city is Sucre.', 'answer': 'Sucre', 'candidate': 'Medellín'}
{'statement': 'Between Melbourne and Mexicali, the smaller city is Mexicali.', 'answer': 'Mexicali', 'candidate': 'Melbourne'}
{'statement': 'Between Sydney and Tirana, the smaller city is Tirana.', 'answer': 'Tirana', 'candidate': 'Sydney'}
{'statement': 'Between Manila and Nouakchott, the smaller city is Nouakchott.', 'answer': 'Nouakchott', 'candidate': 'Manila'}
{'statement': 'Between Monterrey and Erbil, the smaller city is Erbil.', 'answer': 'Erbil', 'candidate': 'Monterrey'}
{'statement': 'Between Chicago and Honolulu, the smaller city is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Chicago'}
{'statement': 'Between Santiago and Djibouti, the smaller city is Djibouti.', 'answer': 'Djibouti', 'candidate': 'Santiago'}
{'statement': 'Between Lagos and Oslo, the smaller city is Oslo.', 'answer': 'Oslo', 'candidate': 'Lagos'}
{'statement': 'Between Dar es Salaam and Kabul, the smaller city is Kabul.', 'answer': 'Kabul', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Manila and Caracas, the smaller city is Caracas.', 'answer': 'Caracas', 'candidate': 'Manila'}
{'statement': 'Between Phoenix and Honolulu, the smaller city is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Phoenix'}
{'statement': 'Between Karachi and Bangui, the smaller city is Bangui.', 'answer': 'Bangui', 'candidate': 'Karachi'}
{'statement': 'Between Manila and Oslo, the smaller city is Oslo.', 'answer': 'Oslo', 'candidate': 'Manila'}
{'statement': 'Between Manila and Rabat, the smaller city is Rabat.', 'answer': 'Rabat', 'candidate': 'Manila'}
{'statement': 'Between Jakarta and Milwaukee, the smaller city is Milwaukee.', 'answer': 'Milwaukee', 'candidate': 'Jakarta'}
{'statement': 'Between Chicago and Curitiba, the smaller city is Curitiba.', 'answer': 'Curitiba', 'candidate': 'Chicago'}
{'statement': 'Between Toronto and Lusaka, the smaller city is Lusaka.', 'answer': 'Lusaka', 'candidate': 'Toronto'}
{'statement': 'Between Chicago and Malabo, the smaller city is Malabo.', 'answer': 'Malabo', 'candidate': 'Chicago'}
{'statement': 'Between Buenos Aires and Chicago, the smaller city is Chicago.', 'answer': 'Chicago', 'candidate': 'Buenos Aires'}
{'statement': 'Between Manila and Denver, the smaller city is Denver.', 'answer': 'Denver', 'candidate': 'Manila'}
{'statement': 'Between Rome and El Paso, the smaller city is El Paso.', 'answer': 'El Paso', 'candidate': 'Rome'}
{'statement': 'Between Dar es Salaam and Oslo, the smaller city is Oslo.', 'answer': 'Oslo', 'candidate': 'Dar es Salaam'}
{'statement': 'Between San Diego and Reykjavík, the smaller city is Reykjavík.', 'answer': 'Reykjavík', 'candidate': 'San Diego'}
{'statement': 'Between Yaoundé and Gabès, the smaller city is Gabès.', 'answer': 'Gabès', 'candidate': 'Yaoundé'}
{'statement': 'Between Surabaya and Viedma, the smaller city is Viedma.', 'answer': 'Viedma', 'candidate': 'Surabaya'}
{'statement': 'Between Dar es Salaam and Santiago del Estero, the smaller city is Santiago del Estero.', 'answer': 'Santiago del Estero', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Berlin and Honolulu, the smaller city is Honolulu.', 'answer': 'Honolulu', 'candidate': 'Berlin'}
{'statement': 'Between Bangkok and Phoenix, the smaller city is Phoenix.', 'answer': 'Phoenix', 'candidate': 'Bangkok'}
{'statement': 'Between Lima and Kampala, the smaller city is Kampala.', 'answer': 'Kampala', 'candidate': 'Lima'}
{'statement': 'Between Lagos and Sapporo, the smaller city is Sapporo.', 'answer': 'Sapporo', 'candidate': 'Lagos'}
{'statement': 'Between Phoenix and Tauranga, the smaller city is Tauranga.', 'answer': 'Tauranga', 'candidate': 'Phoenix'}
{'statement': 'Between Douala and Gabès, the smaller city is Gabès.', 'answer': 'Gabès', 'candidate': 'Douala'}
{'statement': 'Between Karachi and Berlin, the smaller city is Berlin.', 'answer': 'Berlin', 'candidate': 'Karachi'}
{'statement': 'Between Ankara and Darwin, the smaller city is Darwin.', 'answer': 'Darwin', 'candidate': 'Ankara'}
{'statement': 'Between Brasília and Tamanrasset, the smaller city is Tamanrasset.', 'answer': 'Tamanrasset', 'candidate': 'Brasília'}
{'statement': 'Between Nairobi and Darwin, the smaller city is Darwin.', 'answer': 'Darwin', 'candidate': 'Nairobi'}
{'statement': 'Between Jakarta and San José, the smaller city is San José.', 'answer': 'San José', 'candidate': 'Jakarta'}
{'statement': 'Between Shanghai and Cabo San Lucas, the smaller city is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Shanghai'}
{'statement': 'Between Dar es Salaam and Almaty, the smaller city is Almaty.', 'answer': 'Almaty', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Rome and Skopje, the smaller city is Skopje.', 'answer': 'Skopje', 'candidate': 'Rome'}
{'statement': 'Between Minneapolis and Anchorage, the smaller city is Anchorage.', 'answer': 'Anchorage', 'candidate': 'Minneapolis'}
{'statement': 'Between Chicago and Rangpur, the smaller city is Rangpur.', 'answer': 'Rangpur', 'candidate': 'Chicago'}
{'statement': 'Between Ho Chi Minh City and La Paz, the smaller city is La Paz.', 'answer': 'La Paz', 'candidate': 'Ho Chi Minh City'}
{'statement': 'Between Phoenix and Toluca, the smaller city is Toluca.', 'answer': 'Toluca', 'candidate': 'Phoenix'}
{'statement': 'Between Manila and San Antonio, the smaller city is San Antonio.', 'answer': 'San Antonio', 'candidate': 'Manila'}
{'statement': 'Between Ankara and Addis Ababa, the smaller city is Addis Ababa.', 'answer': 'Addis Ababa', 'candidate': 'Ankara'}
{'statement': 'Between Ankara and Fairbanks, the smaller city is Fairbanks.', 'answer': 'Fairbanks', 'candidate': 'Ankara'}
{'statement': 'Between Sydney and Paramaribo, the smaller city is Paramaribo.', 'answer': 'Paramaribo', 'candidate': 'Sydney'}
{'statement': 'Between Baku and Suwałki, the smaller city is Suwałki.', 'answer': 'Suwałki', 'candidate': 'Baku'}
{'statement': 'Between Santiago and Mahajanga, the smaller city is Mahajanga.', 'answer': 'Mahajanga', 'candidate': 'Santiago'}
{'statement': 'Between Brasília and Wau, the smaller city is Wau.', 'answer': 'Wau', 'candidate': 'Brasília'}
{'statement': 'Between Cairo and Willemstad, the smaller city is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Cairo'}
{'statement': 'Between Tampa and Hamilton, the smaller city is Hamilton.', 'answer': 'Hamilton', 'candidate': 'Tampa'}
{'statement': 'Between London and San José, the smaller city is San José.', 'answer': 'San José', 'candidate': 'London'}
{'statement': 'Between Buenos Aires and Hobart, the smaller city is Hobart.', 'answer': 'Hobart', 'candidate': 'Buenos Aires'}
{'statement': 'Between Dar es Salaam and Port-Gentil, the smaller city is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Dar es Salaam'}
{'statement': 'Between Baghdad and Cape Town, the smaller city is Cape Town.', 'answer': 'Cape Town', 'candidate': 'Baghdad'}
{'statement': 'Between Melbourne and Fukuoka, the smaller city is Fukuoka.', 'answer': 'Fukuoka', 'candidate': 'Melbourne'}
{'statement': 'Between Monterrey and Cabo San Lucas, the smaller city is Cabo San Lucas.', 'answer': 'Cabo San Lucas', 'candidate': 'Monterrey'}
{'statement': 'Between Paris and Denver, the smaller city is Denver.', 'answer': 'Denver', 'candidate': 'Paris'}
{'statement': 'Between Mexico City and Dublin, the smaller city is Dublin.', 'answer': 'Dublin', 'candidate': 'Mexico City'}
{'statement': 'Between Monterrey and Palmerston North, the smaller city is Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Monterrey'}
{'statement': 'Between Buenos Aires and Port-Gentil, the smaller city is Port-Gentil.', 'answer': 'Port-Gentil', 'candidate': 'Buenos Aires'}
{'statement': 'Between Johannesburg and Panama City, the smaller city is Panama City.', 'answer': 'Panama City', 'candidate': 'Johannesburg'}
{'statement': 'Between Bangkok and Hat Yai, the smaller city is Hat Yai.', 'answer': 'Hat Yai', 'candidate': 'Bangkok'}
{'statement': 'Between Jakarta and Kunming, the smaller city is Kunming.', 'answer': 'Kunming', 'candidate': 'Jakarta'}
{'statement': 'Between Bangkok and Goiânia, the smaller city is Goiânia.', 'answer': 'Goiânia', 'candidate': 'Bangkok'}
{'statement': 'Between Lima and Zagreb, the smaller city is Zagreb.', 'answer': 'Zagreb', 'candidate': 'Lima'}
{'statement': 'Between Sydney and Willemstad, the smaller city is Willemstad.', 'answer': 'Willemstad', 'candidate': 'Sydney'}
{'statement': 'Between Alexandria and Yakutsk, the smaller city is Yakutsk.', 'answer': 'Yakutsk', 'candidate': 'Alexandria'}
{'statement': 'Between Paris and Alexandria, the smaller city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Paris'}
{'statement': 'Between Chicago and Denver, the smaller city is Denver.', 'answer': 'Denver', 'candidate': 'Chicago'}
{'statement': 'Between Alexandria and Baku, the smaller city is Baku.', 'answer': 'Baku', 'candidate': 'Alexandria'}
{'statement': 'Between Melbourne and Douala, the smaller city is Douala.', 'answer': 'Douala', 'candidate': 'Melbourne'}
{'statement': 'Between Ürümqi and Palmerston North, the smaller city is Palmerston North.', 'answer': 'Palmerston North', 'candidate': 'Ürümqi'}
{'statement': 'Between Karachi and Vientiane, the smaller city is Vientiane.', 'answer': 'Vientiane', 'candidate': 'Karachi'}
{'statement': 'Between Luanda and Suva, the smaller city is Suva.', 'answer': 'Suva', 'candidate': 'Luanda'}
{'statement': 'Between Bangkok and Los Angeles, the smaller city is Los Angeles.', 'answer': 'Los Angeles', 'candidate': 'Bangkok'}
{'statement': 'Between Guadalajara and Zürich, the smaller city is Zürich.', 'answer': 'Zürich', 'candidate': 'Guadalajara'}
{'statement': 'Between Lagos and Aden, the smaller city is Aden.', 'answer': 'Aden', 'candidate': 'Lagos'}
