,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You are looking for an expensive restaurant. Between Popeyes Louisiana Kitchen and Adega Restaurante, you should go to ->",Adega Restaurante,Popeyes Louisiana Kitchen,"{'Ad': 0.00015760053277408256, 'Barcelona': 3.437256592250056e-07, 'Epic': 5.73217850294777e-07, 'd': 8.470424715881228e-07, 'Pop': 0.9998388749820302}",Pop,False
1,"You are looking for an expensive restaurant. Between Pizza Pizza and La Pupusa Loka, you should go to ->",La Pupusa Loka,Pizza Pizza,"{'Le': 0.0004683845085073317, 'a': 0.010154895241050454, 'Barcelona': 0.0002003066731642467, 'Pizza': 0.013958627543274782, 'La': 0.9748363648427396}",La,True
2,"You are looking for an expensive restaurant. Between Harry's Char Broil & Dining Lounge and Tim Hortons, you should go to ->",Harry's Char Broil & Dining Lounge,Tim Hortons,"{'im': 0.009320229743484426, 'arry': 0.0011640690617879315, 'Tim': 0.8394680345175699, 'expensive': 8.752868410312176e-05, 'Harry': 0.14978607043095285}",Tim,False
3,"You are looking for an expensive restaurant. Between Verona Restaurant and Pizzeria Via Mercanti, you should go to ->",Verona Restaurant,Pizzeria Via Mercanti,"{'er': 0.0009269021069225521, 'Conv': 7.540651302748889e-06, 'P': 0.34565593713962156, 'Ver': 0.6533450120491608, 'V': 3.575111859296682e-05}",Ver,True
4,"You are looking for an expensive restaurant. Between Nutella Cafe by Pusateri's and La Cocina De Dona Luz, you should go to ->",Nutella Cafe by Pusateri's,La Cocina De Dona Luz,"{'Le': 3.4578446622072604e-05, 'Nut': 0.01339870390782383, 'P': 0.9862966840868592, 'La': 6.0666130348743035e-05, 'Ast': 3.028984651869099e-05}",P,True
5,"You are looking for an expensive restaurant. Between Edible Arrangements and Eggspectation, you should go to ->",Edible Arrangements,Eggspectation,"{'Egg': 0.1802870997752666, 'Ed': 0.8147751690464736, 'gg': 0.0013120460368675113, 'Eggs': 0.0002013407120729869, 'd': 0.0031458473419966214}",Ed,True
6,"You are looking for an expensive restaurant. Between Branca and Mysteriously Yours Dinner Theatre, you should go to ->",Mysteriously Yours Dinner Theatre,Branca,"{'Myster': 0.005288163277097088, 'Br': 0.990727823212615, 'My': 9.65348082884899e-06, 'B': 0.0004396502647306068, 'r': 0.003460765401743717}",Br,False
7,"You are looking for an expensive restaurant. Between El Fogón and Helena's Magic Kitchen, you should go to ->",El Fogón,Helena's Magic Kitchen,"{'el': 3.326475932095882e-05, 'Helen': 6.059119333224824e-05, 'El': 0.006735326447433163, 'Helena': 0.99307950240193, 'l': 5.184790650978547e-05}",Helena,False
8,"You are looking for an expensive restaurant. Between Villa Madina and Ardor Bistro, you should go to ->",Ardor Bistro,Villa Madina,"{'Villa': 0.0063199625277147965, 'Ard': 0.9936579031338629, 'Ast': 9.963302151501821e-06, 'Ar': 1.5153789776822423e-06, 'Vill': 1.0461832672213697e-06}",Ard,True
9,"You are looking for an expensive restaurant. Between Breakfast Room and Verona Restaurant, you should go to ->",Verona Restaurant,Breakfast Room,"{'er': 0.003768811421661344, 'Conv': 3.7008793921717636e-05, 'Ver': 0.9961237600883477, 'V': 1.5121439299159208e-05, 'Ast': 8.2882392982965e-06}",Ver,True
