,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for restaurants nearby. Between Sushi Shop and JJ Bean, I should go to ->",Sushi Shop,JJ Bean,"{'S': 2.759762057522853e-05, 'J': 1.6800431287660904e-05, 'JJ': 0.9969230657948315, 'j': 2.3305690494021665e-05}",JJ,False
1,"I'm looking for restaurants nearby. Between Carole's Cheesecake Cafe and Anatolia Restaurant, I should go to ->",Anatolia Restaurant,Carole's Cheesecake Cafe,"{'Car': 0.995936064825698, 'Che': 0.003754857289303443, 'he': 7.59084157699428e-05, 'ar': 0.00012594755094692508}",Car,False
2,"I'm looking for restaurants nearby. Between Harry's Char Broil & Dining Lounge and EJ Sushi, I should go to ->",Harry's Char Broil & Dining Lounge,EJ Sushi,"{'arry': 0.006472706128708671, '': 0.00021391025501307835, 'E': 0.17856492828636744, 'Harry': 0.8146877809485492, 'Beach': 1.3612603043001971e-05}",Harry,True
3,"I'm looking for restaurants nearby. Between Juice & Java Cafe and Hawthorne Food and Drink, I should go to ->",Juice & Java Cafe,Hawthorne Food and Drink,"{'u': 0.001058178442034003, 'Juice': 0.9707809464212854, 'Hawth': 0.021161061665984256, 'nearby': 0.001510623197079998, 'Beach': 0.0016229248413401312}",Juice,True
4,"I'm looking for restaurants nearby. Between Kairali - Taste of Kerala and St. Clair Shawarma and Falafel, I should go to ->",Kairali - Taste of Kerala,St. Clair Shawarma and Falafel,"{'Kom': 1.25400300300214e-09, 'F': 2.276125913355746e-09, '': 1.7242870331995902e-07, 'K': 0.9999998115819777, 'St': 1.7494802502277434e-08}",K,True
5,"I'm looking for restaurants nearby. Between Juice & Java Cafe and Eastern legend, I should go to ->",Juice & Java Cafe,Eastern legend,"{'restaurants': 6.455848505298161e-05, 'juice': 0.0004240534709298464, 'u': 0.00015382884034101238, 'Juice': 0.9990250335888986, 'Eastern': 0.00023111341359132142}",Juice,True
6,"I'm looking for restaurants nearby. Between Banjara Indian Cuisine and Kim PO Vietnamese, I should go to ->",Kim PO Vietnamese,Banjara Indian Cuisine,"{'Ban': 0.9215472666724744, 'Nik': 0.0002497460391052029, 'im': 0.0009530597114280681, 'an': 0.01435022008443056, 'Kim': 0.06224683427192256}",Ban,False
7,"I'm looking for restaurants nearby. Between Mirage Grill & Lounge and Branca, I should go to ->",Branca,Mirage Grill & Lounge,"{'restaurants': 0.001209957311194968, 'Br': 0.8202871722271078, 'ir': 0.0023513338878633563, 'Mirage': 0.14049127384526394, 'r': 0.03149382764905015}",Br,True
8,"I'm looking for restaurants nearby. Between Helena's Magic Kitchen and La Cocina De Dona Luz, I should go to ->",La Cocina De Dona Luz,Helena's Magic Kitchen,"{'restaurants': 5.568030857596906e-05, 'el': 9.63842260426146e-05, 'Helen': 8.297518257492544e-05, 'Helena': 0.9819046010045674, 'Magic': 0.017613465222398827}",Helena,False
9,"I'm looking for restaurants nearby. Between Freshii and Popeyes Louisiana Kitchen, I should go to ->",Popeyes Louisiana Kitchen,Freshii,"{'Fresh': 0.992618282102265, 'resh': 0.00016140045226416158, 'nearby': 0.00013740029928171183, 'Pop': 0.006753083929435389, 'Beach': 0.00021344635959013068}",Fresh,False
10,"I'm looking for restaurants nearby. Between Breakfast Room and Shawarma Twist, I should go to ->",Breakfast Room,Shawarma Twist,"{'breakfast': 0.0019584453681271378, 'Shaw': 0.7493723421217321, 'Breakfast': 0.24630740730202783, 'haw': 0.00017583772593031302, 'Beach': 0.0015980901803020983}",Shaw,False
11,"I'm looking for restaurants nearby. Between Mt Everest Restaurant and Mamma's Pizza, I should go to ->",Mamma's Pizza,Mt Everest Restaurant,"{'restaurants': 0.005557102164630076, 'Mt': 0.004603999024516099, 'Mam': 0.9790507883634911, 'Mama': 0.002065227271060928, 'nearby': 0.0032276714985545896}",Mam,True
12,"I'm looking for restaurants nearby. Between Buk Chang Dong Soon Tofu and Delicious Paradise Kitchen, I should go to ->",Delicious Paradise Kitchen,Buk Chang Dong Soon Tofu,"{'restaurants': 0.0033834966242566465, 'B': 0.03507637682577304, 'Buk': 0.9453895842291625, 'Delicious': 0.003083671643280253, 'Beach': 0.003702814769651522}",Buk,False
13,"I'm looking for restaurants nearby. Between La Pupusa Loka and Mi Mi Restaurant, I should go to ->",La Pupusa Loka,Mi Mi Restaurant,"{'Mi': 0.05223740342382256, 'a': 0.01937808288025772, 'P': 0.4470252224043224, 'L': 0.04164264152698282, 'La': 0.4188797596721099}",P,True
14,"I'm looking for restaurants nearby. Between Helena's Magic Kitchen and Warung Indonesia D'Eglinton, I should go to ->",Warung Indonesia D'Eglinton,Helena's Magic Kitchen,"{'ar': 0.0004198487628443972, 'War': 0.04138301284946338, 'Helena': 0.9506317133075857, 'Magic': 0.006886240422454172, 'nearby': 0.00014382316986942949}",Helena,False
15,"I'm looking for restaurants nearby. Between Dangerous Dan's Diner and Tierra Azteca, I should go to ->",Dangerous Dan's Diner,Tierra Azteca,"{'Tier': 0.10887443862120333, 'Danger': 0.014593457020464523, 'Dangerous': 0.8036785445210878, '': 0.009761687440574589, 'D': 0.05084299114046684}",Dangerous,True
16,"I'm looking for restaurants nearby. Between The Empire and Eastern legend, I should go to ->",The Empire,Eastern legend,"{'restaurants': 6.575565342149114e-06, 'the': 3.437080977005846e-06, 'The': 0.9993113765100606, 'Empire': 0.0005806287441120985, 'Eastern': 9.209038661590417e-05}",The,True
17,"I'm looking for restaurants nearby. Between Grappa Ristorante and Basil Express Restaurant, I should go to ->",Basil Express Restaurant,Grappa Ristorante,"{'as': 0.00219440574569475, 'Basil': 0.4536338065112406, 'R': 0.4548016768987893, 'basil': 0.03641421713370122, 'Gra': 0.05009557490709016}",R,True
18,"I'm looking for restaurants nearby. Between Mirage Grill & Lounge and Chick Fiesta, I should go to ->",Chick Fiesta,Mirage Grill & Lounge,"{'ir': 0.006982760173809084, 'Chick': 0.0691382262006998, 'Mirage': 0.8893458059781638, 'nearby': 0.008646663975495407, 'Beach': 0.010688442088206511}",Mirage,False
19,"I'm looking for restaurants nearby. Between Helena's Magic Kitchen and Amaya Express, I should go to ->",Amaya Express,Helena's Magic Kitchen,"{'el': 4.732972615159495e-05, 'Am': 3.915869757188423e-05, 'Helen': 6.097930583227706e-05, 'Helena': 0.9941695497324833, 'Magic': 0.005489684462867307}",Helena,False
20,"I'm looking for restaurants nearby. Between Buk Chang Dong Soon Tofu and Domino's Pizza, I should go to ->",Buk Chang Dong Soon Tofu,Domino's Pizza,"{'om': 0.0014130463122292265, 'B': 0.0014923255558963924, 'Buk': 0.9502995901973419, 'nearby': 0.0006086178447187608, 'Dom': 0.044722913608960295}",Buk,True
21,"I'm looking for restaurants nearby. Between Sushi World and Magic Oven, I should go to ->",Sushi World,Magic Oven,"{'restaurants': 2.424653556678879e-07, 'agic': 9.206858090404244e-07, 'S': 0.0001957343842934201, 'Magic': 0.9998023980458384, 'Beach': 1.2368930753083205e-07}",Magic,False
22,"I'm looking for restaurants nearby. Between La Pupusa Loka and Ici Bistro, I should go to ->",La Pupusa Loka,Ici Bistro,"{'I': 1.0448585923805186e-06, 'B': 0.9999964709302271, 'P': 8.657696126316518e-07, 'L': 1.4040845968629145e-06, 'La': 1.0837601892981805e-07}",B,True
23,"I'm looking for restaurants nearby. Between Chick Fiesta and Nutella Cafe by Pusateri's, I should go to ->",Chick Fiesta,Nutella Cafe by Pusateri's,"{'Nut': 2.9236840001702574e-05, 'Chick': 1.2122528220811646e-05, 'P': 0.9999524821590083, '': 3.807361988915602e-06, 'ut': 1.1759126364269249e-06}",P,False
24,"I'm looking for restaurants nearby. Between St. Louis Bar & Grill and Cake Opera, I should go to ->",St. Louis Bar & Grill,Cake Opera,"{'cake': 0.002705352664866762, 'Cafe': 0.000642443938663681, 'Cake': 0.9829008319363021, 'St': 0.003354728620190041, 'Beach': 0.008898082276611945}",Cake,False
25,"I'm looking for restaurants nearby. Between Oxygen Restaurant & Lounge and Freshii, I should go to ->",Oxygen Restaurant & Lounge,Freshii,"{'oxy': 2.672706060508225e-05, 'Fresh': 0.9936868704725464, 'xy': 7.568731355549947e-05, 'Oxy': 0.0060317234287444255, 'resh': 0.00010982075733380106}",Fresh,False
26,"I'm looking for restaurants nearby. Between Freshii and Kim PO Vietnamese, I should go to ->",Kim PO Vietnamese,Freshii,"{'Nik': 0.005571934379302231, 'Fresh': 0.5711865586550545, 'im': 0.015248776631985362, 'Kom': 0.00243396832027666, 'Kim': 0.4036483907076181}",Fresh,False
27,"I'm looking for restaurants nearby. Between Mysteriously Yours Dinner Theatre and Assembly Chef's Hall, I should go to ->",Mysteriously Yours Dinner Theatre,Assembly Chef's Hall,"{'Assembly': 0.7598939917272846, 'restaurants': 0.03614246460861908, 'Restaurant': 0.03698785734742544, 'Yes': 0.011733354277894055, 'Dinner': 0.07601872404701523}",Assembly,False
28,"I'm looking for restaurants nearby. Between Queen Pita and Paradise Farms Prime Beef Bistro, I should go to ->",Paradise Farms Prime Beef Bistro,Queen Pita,"{'King': 0.00015969065826134193, 'ueen': 9.941227112097799e-05, 'B': 0.9921354407529119, 'Queen': 0.007482071401487053, 'Beach': 4.115961503225548e-05}",B,False
29,"I'm looking for restaurants nearby. Between Big Al's Diner and Tik Talk Cafe, I should go to ->",Tik Talk Cafe,Big Al's Diner,"{'Nik': 1.098802068740499e-06, 'ig': 4.072233245611704e-06, 'D': 2.1875805270949153e-07, 'Big': 0.999988721478603, 'Tik': 4.89422803117921e-06}",Big,False
30,"I'm looking for restaurants nearby. Between Thai 4 You Restaurant and To-ne Sushi, I should go to ->",Thai 4 You Restaurant,To-ne Sushi,"{'To': 0.0005188408859158026, 'Thai': 0.9989142884117753, 'Chinese': 0.00014477011318098724, 'Th': 0.0002703251673670917, 'Beach': 3.221481880317233e-05}",Thai,True
31,"I'm looking for restaurants nearby. Between Mysteriously Yours Dinner Theatre and Beryl's Pepper Pot, I should go to ->",Mysteriously Yours Dinner Theatre,Beryl's Pepper Pot,"{'restaurants': 1.2570979333390572e-09, '': 1.8482342871644104e-08, 'B': 1.0, 'Bib': 1.1007136519623662e-08, 'Beach': 1.6331094521584095e-09}",B,False
32,"I'm looking for restaurants nearby. Between Grappa Ristorante and Cantine Bar & Grill, I should go to ->",Cantine Bar & Grill,Grappa Ristorante,"{'Cant': 0.12220037054085704, 'Gor': 0.005184684436506973, 'R': 0.8379774233271714, 'nearby': 0.0006970586530687254, 'Gra': 0.031981837993826694}",R,True
33,"I'm looking for restaurants nearby. Between Kairali - Taste of Kerala and Cake Opera, I should go to ->",Kairali - Taste of Kerala,Cake Opera,"{'cake': 3.316877220158795e-08, 'Cake': 1.8163871848501802e-05, '': 4.41113775695552e-07, 'K': 0.9999812114475071, 'Beach': 2.0676106204998365e-07}",K,True
34,"I'm looking for restaurants nearby. Between Nook and Itamae Ayce Sushi, I should go to ->",Itamae Ayce Sushi,Nook,"{'restaurants': 0.00024573152003363265, 'Yes': 0.0006030863324055441, 'N': 0.981248292514151, '': 0.0002589138958483361, 'It': 0.016612751763394554}",N,False
35,"I'm looking for restaurants nearby. Between To-ne Sushi and Harvey's, I should go to ->",Harvey's,To-ne Sushi,"{'ar': 2.3814807663964862e-05, 'Harvey': 0.9999466384187798, 'To': 2.0719609236357183e-05, 'nearby': 1.1197344488621047e-06, 'Beach': 1.1569075706760636e-06}",Harvey,True
36,"I'm looking for restaurants nearby. Between Eggspectation and Chipotle Mexican Grill, I should go to ->",Chipotle Mexican Grill,Eggspectation,"{'restaurants': 6.35051851178523e-05, 'Egg': 0.012988308140598351, 'Chip': 0.9824089758262923, 'hip': 0.004000083672324105, 'nearby': 0.0003762306017653945}",Chip,True
37,"I'm looking for restaurants nearby. Between Madras Pantry and Aris Place, I should go to ->",Madras Pantry,Aris Place,"{'ad': 0.005275338663866465, 'P': 0.0006387540985182611, 'Mad': 0.9801534744474686, 'nearby': 0.0009300880489575963, 'Ar': 0.01190399762981147}",Mad,True
38,"I'm looking for restaurants nearby. Between Sky Dragon Chinese Restaurant and Hina Sushi, I should go to ->",Sky Dragon Chinese Restaurant,Hina Sushi,"{'ky': 0.00027829718624326934, 'H': 0.9753657042769572, 'Chinese': 3.996398038141751e-05, 'Sky': 0.024263995355770323, 'nearby': 1.059879757077525e-05}",H,False
39,"I'm looking for restaurants nearby. Between Magic Oven and Mövenpick Café, I should go to ->",Mövenpick Café,Magic Oven,"{'agic': 5.568549744230193e-07, 'M': 0.0005502301019759087, '': 4.2219987398690966e-07, 'Magic': 0.9994484076830067, 'nearby': 1.3549284533180883e-07}",Magic,False
40,"I'm looking for restaurants nearby. Between Eggspectation and Cake Opera, I should go to ->",Cake Opera,Eggspectation,"{'Egg': 0.5829352280026385, 'Cafe': 0.0009186562991114313, 'Cake': 0.41220082873955893, 'nearby': 0.0007510667715244616, 'Beach': 0.0020512444935497855}",Egg,False
41,"I'm looking for restaurants nearby. Between Solero Mediterranean Bakery and Madras Pantry, I should go to ->",Madras Pantry,Solero Mediterranean Bakery,"{'Bak': 0.0008403943600890023, 'ad': 0.006452674390018691, 'B': 0.0015405225529734794, 'Sol': 0.0008043915538972529, 'Mad': 0.9880536530522119}",Mad,True
42,"I'm looking for restaurants nearby. Between Domino's Pizza and Harry's Char Broil & Dining Lounge, I should go to ->",Harry's Char Broil & Dining Lounge,Domino's Pizza,"{'restaurants': 6.483713809667752e-05, 'arry': 0.013898971977969646, 'om': 0.002228218258701098, 'Harry': 0.9149508783601445, 'Dom': 0.0685848098176091}",Harry,True
43,"I'm looking for restaurants nearby. Between FreshCo and Evoo Ristorante, I should go to ->",Evoo Ristorante,FreshCo,"{'v': 0.00011006802216212217, 'Fresh': 0.9957416924131273, 'resh': 0.000178685728837147, 'R': 0.0009774719130209225, 'Ev': 0.0027984040680368587}",Fresh,False
44,"I'm looking for restaurants nearby. Between Bao Bao Plus Dim Sum and Fit For Life, I should go to ->",Fit For Life,Bao Bao Plus Dim Sum,"{'Fit': 1.6908200551167574e-07, 'it': 1.2613855301914215e-08, '': 1.2540003783840707e-08, 'B': 0.9999999317236823, 'F': 5.32388203967223e-08}",B,False
45,"I'm looking for restaurants nearby. Between Queen Pita and Basil Express Restaurant, I should go to ->",Basil Express Restaurant,Queen Pita,"{'Q': 0.0005395074307282251, 'King': 0.01786849808623796, 'ueen': 0.013171838175966793, 'P': 0.1398836462696833, 'Queen': 0.8277314358903939}",Queen,False
46,"I'm looking for restaurants nearby. Between Anatolia Restaurant and Ici Bistro, I should go to ->",Anatolia Restaurant,Ici Bistro,"{'b': 1.4880278475071362e-07, 'I': 3.222351797858498e-05, '': 1.2198753128721547e-07, 'B': 0.9999665500934606, 'Bib': 8.058026302879208e-07}",B,False
47,"I'm looking for restaurants nearby. Between z-teca Gourmet Burritos and It's All Grk, I should go to ->",It's All Grk,z-teca Gourmet Burritos,"{'Z': 0.6094691418332444, 'z': 0.3904904874196509, 'G': 6.785537832151704e-06, 'It': 6.322094477754043e-06, '': 1.4444208783015583e-05}",Z,False
48,"I'm looking for restaurants nearby. Between Domino's Pizza and Basha Middle Eastern Grill, I should go to ->",Basha Middle Eastern Grill,Domino's Pizza,"{'om': 1.3187587192058485e-10, '': 4.028168624028353e-09, 'B': 1.0, 'Bib': 3.4137347615137694e-10, 'Dom': 7.96331871487101e-09}",B,True
49,"I'm looking for restaurants nearby. Between Tim Hortons and New Bilan Restaurant, I should go to ->",Tim Hortons,New Bilan Restaurant,"{'im': 8.076256534334914e-05, 'Timothy': 6.940983401401171e-05, 'TIM': 9.878705342551477e-05, 'Tim': 0.980764719100996}",Tim,True
50,"I'm looking for restaurants nearby. Between LCBO and Lahore Grill & Fast Food, I should go to ->",Lahore Grill & Fast Food,LCBO,"{'Casey': 2.070399446457578e-06, 'LC': 0.997674329072945, 'Lah': 8.461543112283853e-06, 'L': 1.881599974124345e-05, 'C': 0.002281911751157833}",LC,False
51,"I'm looking for restaurants nearby. Between z-teca Gourmet Burritos and JJ Bean, I should go to ->",JJ Bean,z-teca Gourmet Burritos,"{'Z': 0.5822698377221839, 'z': 0.15327801729917284, 'J': 0.00028758128708577076, 'JJ': 0.26407698724392126, 'nearby': 3.760212474460432e-05}",Z,True
52,"I'm looking for restaurants nearby. Between The Empire and Sushi Time Japanese Restaurant, I should go to ->",The Empire,Sushi Time Japanese Restaurant,"{'restaurants': 2.1138259626356063e-06, 'S': 0.000684467769868697, 'The': 0.9993041032485375, 'Second': 4.444265666620668e-07, 'Empire': 6.804237351001992e-06}",The,True
53,"I'm looking for restaurants nearby. Between Goldstone Noodle Restaurant and Topham Corner, I should go to ->",Goldstone Noodle Restaurant,Topham Corner,"{'old': 2.276705552592091e-05, 'T': 0.9968796128592599, 'Gold': 0.0030844084204403608, 'F': 1.8551129022692314e-06, 'Golden': 6.264392134136962e-06}",T,False
54,"I'm looking for restaurants nearby. Between Sushi Shop and Freshii, I should go to ->",Sushi Shop,Freshii,"{'restaurants': 9.301498888362624e-06, 'Fresh': 0.9980641430927342, 'S': 0.0018411748604658382, 'resh': 4.731756397488066e-05, 'Beach': 1.3092264478422747e-05}",Fresh,False
55,"I'm looking for restaurants nearby. Between Bao Bao Plus Dim Sum and Eggspectation, I should go to ->",Bao Bao Plus Dim Sum,Eggspectation,"{'Bab': 1.2794020712383416e-09, 'Egg': 2.2942973956597367e-07, '': 1.9373164532519023e-08, 'B': 0.9999998115819777, 'Bib': 2.4733236092822513e-09}",B,True
56,"I'm looking for restaurants nearby. Between Ardor Bistro and Pizzeria Via Mercanti, I should go to ->",Ardor Bistro,Pizzeria Via Mercanti,"{'A': 2.0274337625332813e-09, 'Ard': 2.4353873916152674e-09, 'B': 3.2519033301585764e-05, 'P': 0.9999675046679848, '': 3.311819525523322e-08}",P,False
57,"I'm looking for restaurants nearby. Between Roncy's Bean and Harry's Char Broil & Dining Lounge, I should go to ->",Harry's Char Broil & Dining Lounge,Roncy's Bean,"{'arry': 0.0022338522890841764, 'on': 0.015882436546737357, 'Harry': 0.16046158674168773, 'Ron': 0.8200380888381295, 'Beach': 0.0006905071019083794}",Ron,False
58,"I'm looking for restaurants nearby. Between Roncy's Bean and Le Papillon Park, I should go to ->",Le Papillon Park,Roncy's Bean,"{'Le': 0.4300774371985078, 'Gor': 0.00011181073300695943, 'on': 0.009653342987952796, 'Ron': 0.5588784898655903, 'Beach': 0.001039362951652587}",Ron,False
59,"I'm looking for restaurants nearby. Between Tierra Azteca and Kairali - Taste of Kerala, I should go to ->",Kairali - Taste of Kerala,Tierra Azteca,"{'restaurants': 2.1346607696282774e-08, 'Tier': 2.2927905373279523e-07, 'ier': 6.16801357384238e-09, '': 7.415998685104496e-07, 'K': 0.99999909445401}",K,True
60,"I'm looking for restaurants nearby. Between Tierra Azteca and Juice & Java Cafe, I should go to ->",Juice & Java Cafe,Tierra Azteca,"{'restaurants': 0.0009151655317815019, 'Tier': 0.01307664584116033, 'Juice': 0.9786542375965612, 'ier': 0.0008366351370645916, 'nearby': 0.0028388438635274836}",Juice,True
61,"I'm looking for restaurants nearby. Between Basha Middle Eastern Grill and The Duke of Devon, I should go to ->",Basha Middle Eastern Grill,The Duke of Devon,"{'': 6.749529757798905e-09, 'B': 0.999984312696047, 'The': 1.5705996120800536e-05, 'Bib': 1.302217955013428e-10, 'nearby': 9.218128395062539e-11}",B,True
62,"I'm looking for restaurants nearby. Between Sushi Shop and Verona Restaurant, I should go to ->",Sushi Shop,Verona Restaurant,"{'restaurants': 0.00030800824680753927, 'S': 0.9927888698726686, 'Ver': 0.0038330149203024337, 'V': 0.0016294007007851023, 'nearby': 0.0004269820427797229}",S,True
63,"I'm looking for restaurants nearby. Between Just Soups Take Out & Catering and Sizzlers, I should go to ->",Just Soups Take Out & Catering,Sizzlers,"{'Just': 0.6067786237274378, 'S': 0.3807101936049853, 'Yes': 0.0006978977192254679, 'ust': 0.010358249744546152, 'Take': 0.00043893039982419385}",Just,True
64,"I'm looking for restaurants nearby. Between Lebanese Bakery and Mirage Grill & Lounge, I should go to ->",Lebanese Bakery,Mirage Grill & Lounge,"{'Lebanon': 0.03359142677757428, 'Lebanese': 0.8830874375568214, 'Beirut': 0.07311894355789787, 'Mirage': 0.0018396223003154962, 'nearby': 0.002452777311328983}",Lebanese,True
65,"I'm looking for restaurants nearby. Between LCBO and z-teca Gourmet Burritos, I should go to ->",LCBO,z-teca Gourmet Burritos,"{'Z': 0.4415501391179996, 'z': 0.4916011018195252, 'LC': 0.06659471892501745, 'C': 0.0001719269294835606, 'nearby': 5.148639293808129e-05}",z,False
66,"I'm looking for restaurants nearby. Between Mirage Grill & Lounge and Kairali - Taste of Kerala, I should go to ->",Kairali - Taste of Kerala,Mirage Grill & Lounge,"{'restaurants': 8.36344009394009e-09, 'Mirage': 8.671837828656377e-08, '': 1.1148117515462294e-06, 'K': 0.9999987377612967, 'Beach': 5.295401682778869e-09}",K,True
67,"I'm looking for restaurants nearby. Between Mysteriously Yours Dinner Theatre and Queen Pita, I should go to ->",Mysteriously Yours Dinner Theatre,Queen Pita,"{'King': 0.002906442076423856, 'ueen': 0.007962752081482886, 'Dinner': 0.00046024546096834517, 'P': 0.0006102892700522823, 'Queen': 0.9866887636418125}",Queen,False
68,"I'm looking for restaurants nearby. Between Eggspectation and Evoo Ristorante, I should go to ->",Evoo Ristorante,Eggspectation,"{'restaurants': 0.0004450490754359918, 'Egg': 0.9846768142593064, 'v': 0.00041204351304691177, 'Ev': 0.011081585635553694, 'nearby': 0.0017728905239810914}",Egg,False
69,"I'm looking for restaurants nearby. Between Kairali - Taste of Kerala and Mt Everest Restaurant, I should go to ->",Kairali - Taste of Kerala,Mt Everest Restaurant,"{'Mt': 1.1345701275507957e-09, 'Kom': 1.7173627632047767e-09, '': 5.576105819544636e-07, 'KM': 7.577080218057106e-10, 'K': 0.9999994539509491}",K,True
70,"I'm looking for restaurants nearby. Between Big Al's Diner and Fit For Life, I should go to ->",Fit For Life,Big Al's Diner,"{'ig': 2.013463871398782e-06, 'Fit': 2.121964827671338e-05, 'it': 4.410458083899177e-06, 'F': 9.728304741518394e-07, 'Big': 0.9999702435747312}",Big,False
71,"I'm looking for restaurants nearby. Between Hina Sushi and Sichuan Landscape Chinese Restaurant, I should go to ->",Sichuan Landscape Chinese Restaurant,Hina Sushi,"{'restaurants': 3.3536877389019948e-06, 'S': 0.0068057829118229555, 'H': 0.9931567484207391, 'Chinese': 2.067494453017659e-05, 'nearby': 7.879863315450009e-06}",H,False
72,"I'm looking for restaurants nearby. Between Piper's Pub And Grill and Queen Slice, I should go to ->",Piper's Pub And Grill,Queen Slice,"{'King': 0.005034462053146031, 'ueen': 0.0012564394393916507, 'Piper': 0.9358340829713663, 'P': 0.005152917087021617, 'Queen': 0.05242335923820476}",Piper,True
