,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like small cities. If I were you, between Baghdad and Ségou I would visit ->",Baghdad,Ségou,"{'Baghdad': 0.9997449993781868, 'Tehran': 0.0001913515013557019, 'Saddam': 1.3377625304431463e-05, 'S': 3.949257387067992e-06, 'Iraq': 2.737618727477658e-05}",Baghdad,True
1,"You don't like small cities. If I were you, between Hanoi and Milwaukee I would visit ->",Hanoi,Milwaukee,"{'Vietnam': 0.0012220506141285667, 'Singapore': 0.0006474501861091567, 'ytes: \\xc4': 0.0005157460834160311, 'H': 0.9943750694969564, 'Chong': 0.0018149203436945806}",H,True
2,"You don't like small cities. If I were you, between Mumbai and Damascus I would visit ->",Mumbai,Damascus,"{'Tokyo': 0.00011287596465950876, 'Mumbai': 0.9950322140678958, 'M': 8.250249686923338e-05, '': 0.0001579847576753585, 'Bombay': 0.0043380991963471345}",Mumbai,True
3,"You don't like small cities. If I were you, between Los Angeles and Kathmandu I would visit ->",Los Angeles,Kathmandu,"{'Tokyo': 4.775523292422517e-06, 'os': 0.0005144840521312644, 'L': 8.178145921583006e-05, 'Los': 0.996408196214963, 'LA': 0.0029847010139052994}",Los,True
4,"You don't like small cities. If I were you, between Toronto and Indianapolis I would visit ->",Toronto,Indianapolis,"{'Tokyo': 0.0005867424446056904, 'big': 2.175693501472748e-05, 'oronto': 0.0009615538387147052, 'Toronto': 0.9983499507306605, 'Detroit': 1.8997959106778408e-05}",Toronto,True
5,"You don't like small cities. If I were you, between Riyadh and Kampala I would visit ->",Riyadh,Kampala,"{'Dh': 0.0002000980623159367, 'Tehran': 0.00016381693559156205, 'Saudis': 0.00020031168089367198, 'Riyadh': 0.9951970203728959, 'Saudi': 0.003991794898436462}",Riyadh,True
6,"You don't like small cities. If I were you, between Tampa and Fairbanks I would visit ->",Tampa,Fairbanks,"{'Tampa': 0.9993939862005831, 'T': 0.00011386352224996988, 'Fort': 0.0002454301923608834, 'Seattle': 6.90149783078113e-05, 'Detroit': 5.064581279929038e-05}",Tampa,True
7,"You don't like small cities. If I were you, between Lagos and Omaha I would visit ->",Lagos,Omaha,"{'Tokyo': 0.0010084039959446908, 'Rio': 0.0009006732668772737, 'Lag': 0.9947957011331809, 'Istanbul': 0.002406271078669505, 'S': 0.00015475458784833962}",Lag,True
8,"You don't like small cities. If I were you, between Santiago and Wau I would visit ->",Santiago,Wau,"{'Sant': 4.276981334038511e-05, 'Madrid': 1.890592864815485e-05, 'Salvador': 1.3173635977712222e-05, 'S': 0.00021305589688341682, 'Santiago': 0.9996784813482034}",Santiago,True
9,"You don't like small cities. If I were you, between Guangzhou and Sapporo I would visit ->",Guangzhou,Sapporo,"{'Singapore': 2.0947882304977893e-05, 'Gu': 0.008520493647260942, 'S': 1.2794502135156942e-05, 'Guang': 0.9841380943401634, 'Chong': 0.007250100124029127}",Guang,True
10,"You don't like small cities. If I were you, between Addis Ababa and La Ceiba I would visit ->",Addis Ababa,La Ceiba,"{'Dh': 0.005446870801854784, 'Tehran': 0.0337405129148006, 'Add': 0.9062377138827928, 'dd': 0.00297054452862921, 'Acc': 0.03294621815125597}",Add,True
11,"You don't like small cities. If I were you, between Karachi and Damascus I would visit ->",Karachi,Damascus,"{'Tokyo': 0.0014979456144301598, 'Baghdad': 0.0007610016742799112, 'Tehran': 0.18269764603495153, 'Damascus': 0.8069059017912051, 'Istanbul': 0.00459768666912045}",Damascus,False
12,"You don't like small cities. If I were you, between Nairobi and Sapporo I would visit ->",Nairobi,Sapporo,"{'Tokyo': 0.25475736413393896, 'S': 0.0006191091302068628, 'N': 0.7408127608715509, 'Kuala': 0.0015168416010303439, 'Kh': 0.0005199296728782825}",N,True
13,"You don't like small cities. If I were you, between Dar es Salaam and Bucharest I would visit ->",Dar es Salaam,Bucharest,"{'Tehran': 0.0016032271697788256, 'Buch': 0.988407943671938, 'Istanbul': 0.0040920287705143036, 'Bel': 0.0018119801974149723, 'Budapest': 0.002063105308302007}",Buch,False
14,"You don't like small cities. If I were you, between Lahore and Rome I would visit ->",Lahore,Rome,"{'Rome': 0.9996998186834297, 'Madrid': 2.7809663215108023e-05, 'Istanbul': 7.397310328149648e-05, 'Roma': 7.444536926723036e-05, 'R': 8.03949656526826e-05}",Rome,False
15,"You don't like small cities. If I were you, between Karachi and Kathmandu I would visit ->",Karachi,Kathmandu,"{'Dh': 0.0004211150431382506, 'Tehran': 0.0003880370628863729, 'Istanbul': 0.0001299894844014521, 'Karachi': 0.9985152354551604, 'Kh': 0.0001843963575535993}",Karachi,True
16,"You don't like small cities. If I were you, between Surabaya and Calgary I would visit ->",Surabaya,Calgary,"{'Singapore': 0.12705573887849758, 'ur': 0.011223875820393464, 'Sur': 0.68938201027235, 'Kuala': 0.11868924358080019, 'Jakarta': 0.009803204078062287}",Sur,True
17,"You don't like small cities. If I were you, between Buenos Aires and Port-Gentil I would visit ->",Buenos Aires,Port-Gentil,"{'Tokyo': 0.000159110122680939, 'Madrid': 0.00043924860797374285, 'Barcelona': 0.0004704695120885591, 'S': 0.00013166246416168486, 'Buenos': 0.9983551356745936}",Buenos,True
18,"You don't like small cities. If I were you, between Kano and Christchurch I would visit ->",Kano,Christchurch,"{'Tokyo': 0.0006198763098933247, 'Kuala': 0.0001650838551714437, 'K': 0.9989092806672172, 'Kh': 5.9319053301554596e-05, 'Acc': 4.3507944689736175e-05}",K,True
19,"You don't like small cities. If I were you, between Lagos and Alexandria I would visit ->",Lagos,Alexandria,"{'Tokyo': 0.058224270050078755, 'Rio': 0.005449556771197138, 'Lag': 0.7367335171450554, 'Istanbul': 0.1768399840886616, 'Detroit': 0.0050650918864242125}",Lag,True
20,"You don't like small cities. If I were you, between Brasília and Ushuaia I would visit ->",Brasília,Ushuaia,"{'Rio': 0.536557203022308, 'S': 0.10542088632818204, 'Bel': 0.01998498974407735, 'Bras': 0.335049867508845, 'Fort': 0.0010643414796841436}",Rio,True
21,"You don't like small cities. If I were you, between Lahore and Harare I would visit ->",Lahore,Harare,"{'Tehran': 0.00018594269929877725, 'Har': 0.9988036615840588, 'Lah': 9.87043045513648e-05, 'Kuala': 0.00015876649818762903, 'Kh': 0.0005687217268316389}",Har,False
22,"You don't like small cities. If I were you, between Toronto and La Paz I would visit ->",Toronto,La Paz,"{'Tokyo': 0.00042906806154502055, 'big': 2.297867376006538e-05, 'oronto': 0.0009798353604049046, 'Toronto': 0.9984842998355118, 'Detroit': 1.931147652847366e-05}",Toronto,True
23,"You don't like small cities. If I were you, between Ho Chi Minh City and Wellington I would visit ->",Ho Chi Minh City,Wellington,"{'Singapore': 0.12122941945803253, 'Dh': 0.018428310181019685, 'S': 0.028043006520685476, 'Chong': 0.15678980379464985, 'Ho': 0.5999635173687914}",Ho,True
24,"You don't like small cities. If I were you, between Toronto and Malabo I would visit ->",Toronto,Malabo,"{'Tokyo': 0.00043759606461810145, 'big': 2.622642677536874e-05, 'oronto': 0.0007659367219931312, 'Toronto': 0.9986719363580892, 'Detroit': 2.4319428507783407e-05}",Toronto,True
25,"You don't like small cities. If I were you, between Tashkent and Port-Gentil I would visit ->",Tashkent,Port-Gentil,"{'Tehran': 0.0009618086842475061, 'Istanbul': 0.0001273154109033809, 'T': 0.9988013973986046, 'S': 2.8758361448883276e-05, 'Chong': 2.1461584252021187e-05}",T,True
