{'statement': 'Between Yakutsk and San Diego, the bigger city is San Diego.', 'answer': 'San Diego', 'candidate': 'Yakutsk'}
{'statement': 'Between Piura and Luanda, the bigger city is Luanda.', 'answer': 'Luanda', 'candidate': 'Piura'}
{'statement': 'Between Makurdi and Buenos Aires, the bigger city is Buenos Aires.', 'answer': 'Buenos Aires', 'candidate': 'Makurdi'}
{'statement': 'Between Gabès and Minneapolis, the bigger city is Minneapolis.', 'answer': 'Minneapolis', 'candidate': 'Gabès'}
{'statement': 'Between Denver and Chihuahua, the bigger city is Denver.', 'answer': 'Denver', 'candidate': 'Chihuahua'}
{'statement': 'Between Jakarta and Los Angeles, the bigger city is Jakarta.', 'answer': 'Jakarta', 'candidate': 'Los Angeles'}
{'statement': 'Between Bratislava and Surabaya, the bigger city is Surabaya.', 'answer': 'Surabaya', 'candidate': 'Bratislava'}
{'statement': 'Between Johannesburg and Ushuaia, the bigger city is Johannesburg.', 'answer': 'Johannesburg', 'candidate': 'Ushuaia'}
{'statement': 'Between Nairobi and Goiânia, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Goiânia'}
{'statement': 'Between Hanoi and Saint Petersburg, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Saint Petersburg'}
{'statement': 'Between Tampa and Darwin, the bigger city is Tampa.', 'answer': 'Tampa', 'candidate': 'Darwin'}
{'statement': 'Between Alexandria and Auckland, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Auckland'}
{'statement': 'Between Chicago and Malabo, the bigger city is Chicago.', 'answer': 'Chicago', 'candidate': 'Malabo'}
{'statement': 'Between Alexandria and Lake Havasu City, the bigger city is Alexandria.', 'answer': 'Alexandria', 'candidate': 'Lake Havasu City'}
{'statement': 'Between Mumbai and Tauranga, the bigger city is Mumbai.', 'answer': 'Mumbai', 'candidate': 'Tauranga'}
{'statement': 'Between Kathmandu and Melbourne, the bigger city is Melbourne.', 'answer': 'Melbourne', 'candidate': 'Kathmandu'}
{'statement': 'Between Bratislava and Hanoi, the bigger city is Hanoi.', 'answer': 'Hanoi', 'candidate': 'Bratislava'}
{'statement': 'Between Guangzhou and Tirana, the bigger city is Guangzhou.', 'answer': 'Guangzhou', 'candidate': 'Tirana'}
{'statement': 'Between Nairobi and Irkutsk, the bigger city is Nairobi.', 'answer': 'Nairobi', 'candidate': 'Irkutsk'}
{'statement': 'Between Karachi and Hat Yai, the bigger city is Karachi.', 'answer': 'Karachi', 'candidate': 'Hat Yai'}
