,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"I'm looking for an affordable restaurant. Between Milo's Pita and Domino's Pizza, I should go to ->",Milo's Pita,Domino's Pizza,"{'Pizza': 0.0002943079175784242, 'om': 0.00010576922075554401, 'Milo': 0.5201327820015221, 'P': 0.4785111817612955, 'Dom': 0.0006727357165639768}",Milo,True
1,"I'm looking for an affordable restaurant. Between Bake Island and Aroma Espresso Bar, I should go to ->",Bake Island,Aroma Espresso Bar,"{'affordable': 2.255971178269119e-06, 'baked': 1.1666046928059502e-06, 'bake': 0.0005958586997282114, 'A': 0.8144250050584452, 'Bake': 0.18497289095861588}",A,False
2,"I'm looking for an affordable restaurant. Between Pisco 1641 and Shawarma Twist, I should go to ->",Shawarma Twist,Pisco 1641,"{'affordable': 5.9083384570909e-07, 'Shaw': 0.1719184229245374, 'haw': 4.761989570753333e-06, 'P': 0.8280741048421565, '': 6.83712725161049e-07}",P,False
3,"I'm looking for an affordable restaurant. Between Sky Dragon Chinese Restaurant and Hapa Toronto, I should go to ->",Sky Dragon Chinese Restaurant,Hapa Toronto,"{'ky': 2.359493388114901e-10, 'Hue': 1.9192047930105147e-10, 'H': 1.0, '': 3.810970686086463e-10, 'Sky': 6.6392090468742784e-09}",H,False
4,"I'm looking for an affordable restaurant. Between Top Sushi and Topham Corner, I should go to ->",Top Sushi,Topham Corner,"{'affordable': 1.4233745058350247e-05, 'T': 0.9414089857200949, 'S': 1.7593395183811834e-05, 'Top': 0.0580391207567352, 'op': 0.0004975417924346854}",T,False
5,"I'm looking for an affordable restaurant. Between Green Grotto and New Bilan Restaurant, I should go to ->",New Bilan Restaurant,Green Grotto,"{'affordable': 0.0001918789218927081, 'reen': 0.0007589734966143448, 'Green': 0.935927540029125, 'ew': 0.0002791330522594228, 'New': 0.062438787635201595}",Green,False
6,"I'm looking for an affordable restaurant. Between Supermodel Pizza and Chipotle Mexican Grill, I should go to ->",Supermodel Pizza,Chipotle Mexican Grill,"{'uper': 0.0029621497717968364, 'Chip': 0.424228734945626, 'Pizza': 0.0011091858513820035, 'Super': 0.5577509736480107, 'hip': 0.013505007991418091}",Super,True
7,"I'm looking for an affordable restaurant. Between Dinah's Cupboard and McDonald's, I should go to ->",McDonald's,Dinah's Cupboard,"{'McDonald': 0.7771019402400117, 'din': 4.356894203891243e-05, 'Din': 0.2224528522121428, 'MacDonald': 0.00024441450084514247, 'c': 6.11369272726229e-05}",McDonald,True
8,"I'm looking for an affordable restaurant. Between Magic Oven and Falafel Hut Village, I should go to ->",Falafel Hut Village,Magic Oven,"{'fal': 1.605668956333319e-05, 'al': 4.182836303607233e-06, 'Magic': 0.001394853342583431, 'Fal': 0.9980659322241207}",Fal,True
9,"I'm looking for an affordable restaurant. Between Lahore Grill & Fast Food and Watson's, I should go to ->",Lahore Grill & Fast Food,Watson's,"{'Ali': 3.1234961330749433e-10, 'Watson': 7.968910186184513e-08, 'Chand': 2.887164648167476e-10, 'Lah': 0.9999999317236823, 'L': 6.751353004711614e-10}",Lah,True
10,"I'm looking for an affordable restaurant. Between Fit For Life and Lebanese Bakery, I should go to ->",Fit For Life,Lebanese Bakery,"{'it': 0.001763995804150246, 'Fit': 0.9981431211367053, 'Lebanese': 4.920535986765961e-05, 'fit': 6.961483220000229e-06}",Fit,True
11,"I'm looking for an affordable restaurant. Between Buk Chang Dong Soon Tofu and JJ Bean, I should go to ->",Buk Chang Dong Soon Tofu,JJ Bean,"{'affordable': 0.00071379582207531, 'J': 0.004068826297945456, 'B': 0.0020630302126355346, 'Buk': 0.9071967985046958, 'JJ': 0.08471965923049625}",Buk,True
12,"I'm looking for an affordable restaurant. Between Tierra Azteca and Fitness Avenue, I should go to ->",Fitness Avenue,Tierra Azteca,"{'fitness': 0.00037942811475744445, 'Tier': 0.08615186223923331, 'Athlet': 0.00018189753935351528, 'Fitness': 0.9120114902763011, 'ier': 0.0008940074942463509}",Fitness,True
13,"I'm looking for an affordable restaurant. Between Buk Chang Dong Soon Tofu and Edible Arrangements, I should go to ->",Buk Chang Dong Soon Tofu,Edible Arrangements,"{'affordable': 0.00015049961980366936, 'Ed': 0.006403676502731459, 'B': 0.00017574763218426826, 'Buk': 0.9929048588103246, 'd': 0.00019612957896638717}",Buk,True
