,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like cheap restaurants. Between Nook and Thompson Rooftop, you should go to ->",Thompson Rooftop,Nook,"{'Thompson': 0.9634885586284869, 'T': 7.987728807343874e-05, 'R': 0.0018832392113784164, 'N': 0.030016633529133877, 'hompson': 0.004259222274666868}",Thompson,True
1,"You don't like cheap restaurants. Between Sheriff Broaster Chicken and Mirage Grill & Lounge, you should go to ->",Mirage Grill & Lounge,Sheriff Broaster Chicken,"{'Sheriff': 1.2579978698203127e-05, 'Illusion': 5.1819247362683835e-06, 'Mirage': 0.9998748783683643, 'Spectre': 1.4228123839316057e-05, 'Magic': 2.141034160704026e-05}",Mirage,True
2,"You don't like cheap restaurants. Between LCBO and Buk Chang Dong Soon Tofu, you should go to ->",LCBO,Buk Chang Dong Soon Tofu,"{'Shell': 0.00018401946829523113, 'LC': 0.9966641397864995, 'Buk': 0.00018870709630821925, 'L': 0.0009447190275730423, 'C': 0.0018110599452385288}",LC,True
3,"You don't like cheap restaurants. Between Cake Opera and Juice & Java Cafe, you should go to ->",Cake Opera,Juice & Java Cafe,"{'Ace': 0.002642828589459057, 'ake': 0.002159887806651737, 'Cake': 0.96299592380683, 'C': 0.00835971452663722, 'Sauce': 0.010436093002995498}",Cake,True
4,"You don't like cheap restaurants. Between Mysteriously Yours Dinner Theatre and Hina Sushi, you should go to ->",Mysteriously Yours Dinner Theatre,Hina Sushi,"{'Myster': 0.9975357453727749, 'My': 0.0005320614328539541, 'Myst': 0.0001689502947848889, 'expensive': 0.00016468384714472066, 'myster': 0.00031931611172364275}",Myster,True
5,"You don't like cheap restaurants. Between The Coffee Pocket and Sichuan Landscape Chinese Restaurant, you should go to ->",Sichuan Landscape Chinese Restaurant,The Coffee Pocket,"{'s': 3.8655255556004864e-07, 'T': 3.522319251662931e-07, 'S': 0.997967705512655, 'The': 0.0020297058457487954, 'Chinese': 5.380254355113794e-07}",S,True
6,"You don't like cheap restaurants. Between Queen Pita and LCBO, you should go to ->",LCBO,Queen Pita,"{'Shell': 8.305786702679181e-05, 'LC': 0.9978393743192758, 'L': 0.000617380518803681, 'C': 0.001397898278469305, 'expensive': 1.313674884236296e-05}",LC,True
7,"You don't like cheap restaurants. Between Supermodel Pizza and Lebanese Bakery, you should go to ->",Lebanese Bakery,Supermodel Pizza,"{'Lebanon': 0.001392019094292272, 'Lebanese': 0.9976107298605342, 'Lah': 0.00010918116404085731, 'Super': 3.287743505813432e-05, 'Beirut': 0.0007212793844259508}",Lebanese,True
8,"You don't like cheap restaurants. Between New Bilan Restaurant and Joe Badali's Ristorante Italiano & Bar, you should go to ->",Joe Badali's Ristorante Italiano & Bar,New Bilan Restaurant,"{'Andrea': 0.006228878365698987, 'R': 0.22956476244192783, 'Joe': 0.2915259659917682, 'expensive': 0.0048014995673188315, 'New': 0.44737012806622733}",New,False
9,"You don't like cheap restaurants. Between Madras Pantry and Chipotle Mexican Grill, you should go to ->",Chipotle Mexican Grill,Madras Pantry,"{'chip': 0.00010480128758881405, 'Chip': 0.9950168353668519, 'hip': 0.0041836425017603845, 'Mad': 0.00028627175671295813}",Chip,True
