,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Darwin and Fukuoka, the city with higher average temperature is ->",Darwin,Fukuoka,"{'Living': 0.000411079718495555, 'Darwin': 0.9444191335213437, 'Fuk': 0.052213134341809464, 'Jos': 0.0005783918371676463, 'ar': 0.0013654544163433397}",Darwin,True
1,"Between Viedma and Saskatoon, the city with higher average temperature is ->",Viedma,Saskatoon,"{'Gu': 0.0005357856412098502, 'Jos': 0.0003390354105972129, 'C': 0.0015398950719119687, 'Ver': 0.0017078232031665583, 'V': 0.9937138112787065}",V,True
2,"Between Napier and Kuopio, the city with higher average temperature is ->",Napier,Kuopio,"{'Ku': 0.9937138112787065, 'Nap': 0.00045124280186054045, 'Jos': 0.00013985827073809162, 'u': 0.004084698336626604, 'K': 0.001114085711646605}",Ku,False
3,"Between Panama City and Mendoza, the city with higher average temperature is ->",Panama City,Mendoza,"{'Gu': 0.006931502349680771, 'Mend': 0.06031840487572797, 'Panama': 0.8904144094783162, 'Teg': 0.005179749411703099, 'Pan': 0.013067177855822386}",Panama,True
4,"Between San Juan and Sacramento, the city with higher average temperature is ->",San Juan,Sacramento,"{'an': 2.574424613205089e-06, 'Puerto': 1.370683551299924e-06, 'Juan': 6.505133607527077e-07, 'San': 0.9999939684921896, 'SAN': 4.466489042789226e-07}",San,True
5,"Between Phnom Penh and Napier, the city with higher average temperature is ->",Phnom Penh,Napier,"{'Ph': 0.949945893709016, 'Cambod': 0.00023949021449655024, 'h': 0.00036728038859100583, 'Cambodia': 0.0032615116329045204, 'Kh': 0.04578260790715256}",Ph,True
6,"Between Cabo San Lucas and Saint Petersburg, the city with higher average temperature is ->",Cabo San Lucas,Saint Petersburg,"{'Cab': 0.6782220278126061, 'cab': 2.3623064827569342e-05, 'Gu': 0.00012259234196424534, 'San': 0.3214085897479251, 'C': 9.013770512807082e-05}",Cab,True
7,"Between Abéché and Los Angeles, the city with higher average temperature is ->",Abéché,Los Angeles,"{'Ass': 7.292616988758363e-05, 'Ab': 0.9980116329261293, 'Libre': 0.0005499616551924871, 'b': 0.0004623688078283781, 'Acc': 0.0006287637298809228}",Ab,True
8,"Between Perth and Anchorage, the city with higher average temperature is ->",Perth,Anchorage,"{'Adelaide': 0.0017990959324584485, 'Perth': 0.9943621337558181, 'W': 0.0003841348097226787, 'K': 0.0007004719050405599, 'Ash': 0.0002856680744453542}",Perth,True
9,"Between Kuwait City and Indianapolis, the city with higher average temperature is ->",Kuwait City,Indianapolis,"{'Gulf': 4.254858719065736e-06, 'Kuwait': 0.9995399586914681, 'u': 0.0002540607871728374, 'K': 4.315760112917669e-05, 'Kh': 0.00012956342867730548}",Kuwait,True
10,"Between Caracas and Kuopio, the city with higher average temperature is ->",Caracas,Kuopio,"{'Venezuel': 0.00040338311098152865, 'Venezuela': 0.0003924263820459772, 'Car': 0.9945972175124229, 'Gu': 0.002506813134698167, 'ar': 0.0008720271493188487}",Car,True
11,"Between Hanoi and Wellington, the city with higher average temperature is ->",Hanoi,Wellington,"{'Vietnam': 3.377275991762436e-05, 'Singapore': 5.4879757131657236e-05, 'Jos': 0.00010092791588903184, 'H': 0.999517130199165, 'Hon': 0.00011801692636671083}",H,True
12,"Between Pretoria and Minneapolis, the city with higher average temperature is ->",Pretoria,Minneapolis,"{'Pret': 0.9998146779242577, 'G': 1.5742995842774592e-05, 'Ver': 1.730626471078843e-05, 'ret': 1.996519600633322e-05, 'Acc': 4.1210272506705284e-05}",Pret,True
