,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like hot weather. Between Suva and Berlin, this person should visit ->",Berlin,Suva,"{'Cold': 4.62645753939591e-05, 'Berlin': 0.9988666655091829, 'er': 0.00010172067312520854, 'Germany': 0.0006543416122439324, 'cold': 0.0001477656478014838}",Berlin,True
1,"Someone doesn't like hot weather. Between Baghdad and Halifax, this person should visit ->",Halifax,Baghdad,"{'Nova': 0.00017256872414376153, 'Har': 0.000273103968031075, 'Halifax': 0.9985481356762526, 'cold': 0.0003009546406758996, 'Dartmouth': 0.0001437622017715549}",Halifax,True
2,"Someone doesn't like hot weather. Between Abéché and Kuopio, this person should visit ->",Kuopio,Abéché,"{'Ku': 0.9880030492041633, 'u': 0.0033546930602551335, 'cold': 0.0025664529717922663, 'Helsinki': 0.0005607418044541294, 'K': 0.004230403078661867}",Ku,True
3,"Someone doesn't like hot weather. Between Garoua and Milan, this person should visit ->",Milan,Garoua,"{'Milan': 0.998257503512889, 'il': 0.0001562983308088215, 'Mon': 9.015699666108862e-05, 'cold': 0.0005205419903814222, 'Italy': 0.00028921795053002717}",Milan,True
4,"Someone doesn't like hot weather. Between Riyadh and Indianapolis, this person should visit ->",Indianapolis,Riyadh,"{'Indiana': 0.011387404532110323, 'Indianapolis': 0.9707995399668128, 'Colts': 0.00028774971523188756, 'Indy': 0.016741460024700637, 'cold': 0.00032545381362782957}",Indianapolis,True
5,"Someone doesn't like hot weather. Between Lagos and Podgorica, this person should visit ->",Podgorica,Lagos,"{'Pod': 0.8702334761027608, 'Sof': 0.0032021868882869385, 'od': 0.0870005881504852, 'O': 0.0034270810018365632, 'cold': 0.012646421363465657}",Pod,True
6,"Someone doesn't like hot weather. Between Mexicali and Milan, this person should visit ->",Milan,Mexicali,"{'Milan': 0.9988427619170301, 'il': 0.00010693717986295391, 'Mon': 0.00010994877307078291, 'cold': 0.00041449443885201506, 'Italy': 0.00017146626778576261}",Milan,True
7,"Someone doesn't like hot weather. Between Mendoza and Irkutsk, this person should visit ->",Irkutsk,Mendoza,"{'r': 0.0015084831039369649, 'cold': 0.007696881747509772, 'Siberian': 0.0016393600937934223, 'Ir': 0.9778504165089197, 'Ark': 0.007575601687864278}",Ir,True
8,"Someone doesn't like hot weather. Between San Juan and Baltimore, this person should visit ->",Baltimore,San Juan,"{'Baltimore': 0.9945028635555982, 'Maryland': 0.00022113879984330984, 'Orioles': 2.8125553995947396e-05, 'altimore': 0.00496201932063918, 'Balt': 0.00020545983361366064}",Baltimore,True
9,"Someone doesn't like hot weather. Between Garissa and Chicago, this person should visit ->",Chicago,Garissa,"{'hicago': 0.004761888241540412, 'cold': 9.591990861178546e-05, 'Chicago': 0.9938613345715923, 'Detroit': 0.0001298726114317314, 'Illinois': 0.0008192713584416084}",Chicago,True
10,"Someone doesn't like hot weather. Between Pontianak and Moscow, this person should visit ->",Moscow,Pontianak,"{'Russia': 0.0012856181830648594, 'Sochi': 0.0013391907036126279, 'cold': 0.004607810410452327, 'oscow': 0.004785722369780455, 'Moscow': 0.9852615323271376}",Moscow,True
11,"Someone doesn't like hot weather. Between Yaoundé and Minsk, this person should visit ->",Minsk,Yaoundé,"{'Belarus': 7.599636863028195e-05, 'M': 0.999921964768907, 'Bel': 1.8099308696020638e-07, '': 7.543419931153625e-07, 'cold': 4.960736169324731e-07}",M,True
12,"Someone doesn't like hot weather. Between Mahajanga and Lhasa, this person should visit ->",Lhasa,Mahajanga,"{'Tibet': 0.002297517010142827, 'T': 0.0012675153653605347, 'L': 0.991982913638837, '': 0.0007754384086280955, 'cold': 0.002685573445719995}",L,True
13,"Someone doesn't like hot weather. Between Ouahigouya and Palmerston North, this person should visit ->",Palmerston North,Ouahigouya,"{'Palmer': 0.9723921075864894, 'Mon': 0.001317448984158223, 'cold': 0.0014647697735837675, 'Dun': 0.018653676890847785, 'New': 0.0031515600335302978}",Palmer,True
