,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for a small city to visit. Between Baghdad and Ségou, this person should visit ->",Ségou,Baghdad,"{'S': 1.0, 'C': 5.822785974277756e-09, 'B': 3.3885623434107197e-08, 'D': 6.192629762503516e-09, '': 1.3108342203354625e-08}",S,True
1,"Someone is looking for a small city to visit. Between Hanoi and Milwaukee, this person should visit ->",Milwaukee,Hanoi,"{'Milwaukee': 0.9987004273768266, 'Brewers': 4.296511717426855e-05, 'H': 0.0011243461638159027, 'W': 3.018613032009668e-05, 'Wisconsin': 3.328102976606638e-05}",Milwaukee,True
2,"Someone is looking for a small city to visit. Between Mumbai and Damascus, this person should visit ->",Damascus,Mumbai,"{'Assad': 0.00013064981264772764, 'am': 0.0006338377190087154, 'Damascus': 0.9987069837667832, 'Damien': 0.000119672465631747, 'Dam': 0.0001759015666112083}",Damascus,True
3,"Someone is looking for a small city to visit. Between Los Angeles and Kathmandu, this person should visit ->",Kathmandu,Los Angeles,"{'Kath': 0.9999574896365911, 'Nepal': 3.216219360059356e-06, 'Nath': 6.078923096259196e-06, 'N': 7.870971969875891e-06, 'K': 4.482431111080739e-06}",Kath,True
4,"Someone is looking for a small city to visit. Between Toronto and Indianapolis, this person should visit ->",Indianapolis,Toronto,"{'Indiana': 0.004989812225934426, 'Hamilton': 0.00748235273266074, 'Indianapolis': 0.8675640213995437, 'Colts': 0.0031623868633601235, 'Indy': 0.11347516234194562}",Indianapolis,True
5,"Someone is looking for a small city to visit. Between Riyadh and Kampala, this person should visit ->",Kampala,Riyadh,"{'Kum': 1.3124117366690555e-05, 'amp': 0.00010852999191520449, 'Kamp': 0.9994949599356889, 'K': 0.00032197456700365534, 'mp': 9.636322553265875e-06}",Kamp,True
6,"Someone is looking for a small city to visit. Between Tampa and Fairbanks, this person should visit ->",Fairbanks,Tampa,"{'Living': 9.396822102973692e-06, 'air': 0.00028014254361365793, 'Conce': 4.222217896870672e-06, '0': 4.758105372232119e-06, 'Fair': 0.9996279975500761}",Fair,True
7,"Someone is looking for a small city to visit. Between Lagos and Omaha, this person should visit ->",Omaha,Lagos,"{'Om': 5.008014178531609e-05, 'Nebraska': 0.0017946020155169603, 'Omaha': 0.9921517724288197, 'O': 0.005911084274554734, '': 1.980341817623769e-05}",Omaha,True
8,"Someone is looking for a small city to visit. Between Santiago and Wau, this person should visit ->",Wau,Santiago,"{'M': 6.998598606493562e-10, 'W': 1.0, 'N': 9.64982644235002e-10, 'St': 6.762488407515061e-10, '': 4.878402179184266e-08}",W,True
9,"Someone is looking for a small city to visit. Between Guangzhou and Sapporo, this person should visit ->",Sapporo,Guangzhou,"{'Sapp': 0.9999458068115039, 'S': 2.7735427245907725e-05, 'Sap': 7.038538561783489e-06, 'Sof': 1.26622186598943e-06, 'SAP': 1.3280271099571386e-05}",Sapp,True
