,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between Rome and San Juan, the city with a larger population is ->",Rome,San Juan,"{'Rome': 0.997677309729223, 'Romans': 0.00011240186816025129, 'Istanbul': 0.00011215048190936754, 'Roma': 0.0014131132922118386, 'R': 0.000539461035084224}",Rome,True
1,"Between Manila and Mahajanga, the city with a larger population is ->",Manila,Mahajanga,"{'Tokyo': 0.0042951603076213235, 'Singapore': 0.0014710659572393962, 'Man': 0.004380970516628005, 'Manila': 0.9845543881402266, 'Kuala': 0.0037281978955402933}",Manila,True
2,"Between Nairobi and Christchurch, the city with a larger population is ->",Nairobi,Christchurch,"{'Tokyo': 4.2594901284901447e-05, 'N': 0.9995540255361882, 'K': 5.026573126591211e-05, 'Kh': 0.00019756656350500474, 'Acc': 3.524904927470759e-05}",N,True
3,"Between Mumbai and Murmansk, the city with a larger population is ->",Mumbai,Murmansk,"{'Dh': 0.0007090446906938367, 'Mumbai': 0.9925626105826565, 'M': 0.0008986718561223505, 'B': 0.00039380547061279044, 'Bombay': 0.004802051771520207}",Mumbai,True
4,"Between Ho Chi Minh City and Piura, the city with a larger population is ->",Ho Chi Minh City,Piura,"{'Tai': 0.04845022483978948, 'Singapore': 0.13225781729626415, 'ytes: \\xc4': 0.03740730024099324, 'Chong': 0.09847750820251785, 'Ho': 0.5515373324576599}",Ho,True
5,"Between Bogotá and Tabora, the city with a larger population is ->",Bogotá,Tabora,"{'Col': 0.0011129217662942412, 'Med': 0.002301086905645531, 'Bog': 0.9799480763867593, 'B': 0.0006153510130798011, 'Bel': 0.013088979007519404}",Bog,True
6,"Between Algiers and Asmara, the city with a larger population is ->",Algiers,Asmara,"{'Ou': 0.10301164900619264, 'Marse': 0.09129625598987375, 'Kh': 0.08756446622793568, 'Acc': 0.23644340547598447, 'Al': 0.11937751647315964}",Acc,True
7,"Between Jakarta and Tripoli, the city with a larger population is ->",Jakarta,Tripoli,"{'Tokyo': 0.008356839279410933, 'Dh': 0.08843748152935077, 'Istanbul': 0.03279548911603138, 'Kuala': 0.05457256472934051, 'Jakarta': 0.8025466297969931}",Jakarta,True
8,"Between Beijing and Port Sudan, the city with a larger population is ->",Beijing,Port Sudan,"{'Beijing': 0.7715523535898013, 'Tokyo': 0.00483689158054353, 'city': 0.0034463888715999644, 'Tehran': 0.08187024197482039, 'Chong': 0.1225694832005038}",Beijing,True
9,"Between Hanoi and Kuwait City, the city with a larger population is ->",Hanoi,Kuwait City,"{'Dh': 0.03955225381180901, 'Tehran': 0.05043063758514982, 'Kuwait': 0.5883781473797594, 'Kuala': 0.0813352481342457, 'Kh': 0.200979995651059}",Kuwait,False
10,"Between Bogotá and Lviv, the city with a larger population is ->",Bogotá,Lviv,"{'Med': 0.005472476624634232, 'Tehran': 0.005913401873810134, 'Bog': 0.9246765946583483, 'Bel': 0.03367148305505516, 'Chong': 0.005749728170419581}",Bog,True
11,"Between Toronto and Goiânia, the city with a larger population is ->",Toronto,Goiânia,"{'Tokyo': 0.00448848298308532, 'city': 0.0001306884907163432, 'T': 0.0021544739326648044, 'oronto': 0.011560587444855785, 'Toronto': 0.9812192656565002}",Toronto,True
12,"Between Santiago and Florianópolis, the city with a larger population is ->",Santiago,Florianópolis,"{'Sant': 0.05001022972402938, 'Rio': 0.009620067477846156, 'Salvador': 0.0991111431971836, 'S': 0.08712242200080558, 'Santiago': 0.7459887345737297}",Santiago,True
13,"Between Melbourne and Sucre, the city with a larger population is ->",Melbourne,Sucre,"{'Melbourne': 0.9930916007659706, 'city': 0.00034705499622977447, 'el': 0.0003982118133094978, 'Adelaide': 0.00431694630725268, 'Detroit': 0.0008201510724335808}",Melbourne,True
14,"Between Douala and Port-Gentil, the city with a larger population is ->",Douala,Port-Gentil,"{'Dak': 0.07842629597641351, 'Ou': 0.03917074938036152, 'Libre': 0.08941111282478857, 'Acc': 0.4128169684162823, 'Fort': 0.1437325497093075}",Acc,False
15,"Between Santiago and Dublin, the city with a larger population is ->",Santiago,Dublin,"{'Sant': 0.07536871579106455, 'Rio': 0.08714050177908285, 'Salvador': 0.19459784174817157, 'S': 0.36759525376346297, 'Santiago': 0.22317519235834493}",S,True
16,"Between Hanoi and Bratislava, the city with a larger population is ->",Hanoi,Bratislava,"{'Singapore': 0.08056737404033656, 'ytes: \\xc4': 0.10280420727489101, 'H': 0.7169410351849785, 'Chong': 0.01170431970221988, 'Kh': 0.021330284682720822}",H,True
17,"Between Dar es Salaam and Lusaka, the city with a larger population is ->",Dar es Salaam,Lusaka,"{'Dh': 0.6983619692840914, 'Tehran': 0.0372253610995905, 'Kh': 0.07966449304857892, 'Acc': 0.049548762167575935, 'Dar': 0.033217464573515654}",Dh,True
18,"Between Cairo and Mahajanga, the city with a larger population is ->",Cairo,Mahajanga,"{'Tehran': 0.013181413629588953, 'Cairo': 0.9833394578635143, 'Istanbul': 0.00030584595432728073, 'C': 0.0005082780081196123, 'Kh': 0.001951982024097664}",Cairo,True
