,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like small cities. If I were you, between Kabul and Changsha I would visit ->",Kabul,Changsha,"{'Tehran': 0.8194085823335038, 'Kabul': 0.12028323808484417, 'Chong': 0.03678675194933757, 'Kuala': 0.003187159174058917, 'Kh': 0.0128298306496671}",Tehran,True
1,"You don't like small cities. If I were you, between Berlin and Managua I would visit ->",Berlin,Managua,"{'Berlin': 0.11250230147402794, 'Madrid': 0.03236684443631257, 'Man': 0.046009379550810546, 'Tehran': 0.7116503995670372, 'Kh': 0.027274938556667606}",Tehran,True
2,"You don't like small cities. If I were you, between Gabès and Kuwait City I would visit ->",Kuwait City,Gabès,"{'Dh': 0.010888712246930877, 'Tehran': 0.15804858392900045, 'Kuwait': 0.157918089700211, 'Kuala': 0.16173008100256356, 'Kh': 0.48279817490297927}",Kh,True
3,"You don't like small cities. If I were you, between Cayenne and Buenos Aires I would visit ->",Buenos Aires,Cayenne,"{'Madrid': 0.021658614614592165, 'Barcelona': 0.027633695484605047, 'Rio': 0.06130521293089059, 'S': 0.03298478118837215, 'Buenos': 0.8168977050323943}",Buenos,True
4,"You don't like small cities. If I were you, between Ürümqi and Canberra I would visit ->",Ürümqi,Canberra,"{'Tehran': 0.1127180287013115, 'Istanbul': 0.024298540309689146, 'ytes: \\xc4': 0.7485741913458382, 'Chong': 0.06437012828423457, 'Ü': 0.035228206367599664}",ytes: \xc4,True
5,"You don't like small cities. If I were you, between Dublin and Paris I would visit ->",Paris,Dublin,"{'Tokyo': 0.012493552097013753, 'Madrid': 0.01283739991574142, 'Tehran': 0.010025217602901395, 'Istanbul': 0.010761869435292264, 'Paris': 0.9388828011222152}",Paris,True
6,"You don't like small cities. If I were you, between Niamey and Algiers I would visit ->",Algiers,Niamey,"{'Ni': 0.009483669116399994, 'Tehran': 0.9298375179318259, 'Istanbul': 0.026887139290159685, 'Kh': 0.00817184148130017, 'Al': 0.017989385310546037}",Tehran,True
7,"You don't like small cities. If I were you, between Lima and Guadalajara I would visit ->",Lima,Guadalajara,"{'Madrid': 0.00021998636297729384, 'Rio': 0.0003112596831958146, 'Gu': 0.9896700175713328, 'Lima': 0.008605252554592985, 'Chong': 0.0008879631620593452}",Gu,False
8,"You don't like small cities. If I were you, between Cairo and Shanghai I would visit ->",Shanghai,Cairo,"{'Tehran': 0.011887854860374058, 'Shanghai': 0.07548230658944807, 'Istanbul': 0.001540600505386839, 'S': 0.09798302790035701, 'Chong': 0.8079105597231117}",Chong,True
9,"You don't like small cities. If I were you, between Guangzhou and Honolulu I would visit ->",Guangzhou,Honolulu,"{'Gu': 0.01873771952146813, 'Guang': 0.038118429495829144, 'Chinese': 0.0006429645290646473, 'Chong': 0.9412980020260028, 'Kuala': 0.0005209742195837444}",Chong,True
