,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"You don't like restaurants further away. Between Green Grotto and Pasta Pantry, you should go to ->",Green Grotto,Pasta Pantry,"{'Past': 6.9052677196562e-06, 'reen': 0.0006445472020629674, 'Green': 0.9992994545366342, 'Water': 1.1201487230962951e-05, 'Beach': 8.846974692865586e-06}",Green,True
1,"You don't like restaurants further away. Between Lahore Grill & Fast Food and Modo Mio Italian Bistro, you should go to ->",Lahore Grill & Fast Food,Modo Mio Italian Bistro,"{'MOD': 8.882383782638227e-05, 'Mod': 0.9938980503757995, 'od': 0.004559177703029256, 'mod': 0.0009778199549697491}",Mod,False
2,"You don't like restaurants further away. Between Supermodel Pizza and Marcello’s pizzeria, you should go to ->",Supermodel Pizza,Marcello’s pizzeria,"{'uper': 0.0006710859075848994, 'Mar': 0.8392061949133868, 'Super': 0.15944475187350204, 'nearby': 2.3516788208958338e-05, 'ar': 0.0003932507928029791}",Mar,False
3,"You don't like restaurants further away. Between Falafel House and Domino's Pizza, you should go to ->",Falafel House,Domino's Pizza,"{'Nik': 2.123915809686893e-05, 'om': 0.10009591526870638, 'omin': 2.3464568452533727e-05, 'nearby': 5.0473152334125446e-05, 'Dom': 0.8997255739392521}",Dom,False
4,"You don't like restaurants further away. Between Basha Middle Eastern Grill and Carole's Cheesecake Cafe, you should go to ->",Basha Middle Eastern Grill,Carole's Cheesecake Cafe,"{'Car': 2.139071458437496e-09, 'Casey': 1.954119751287997e-09, '': 4.331815122067559e-07, 'B': 0.9999995722265915, 'Bib': 2.129692799967248e-08}",B,True
5,"You don't like restaurants further away. Between Helena's Magic Kitchen and It's All Grk, you should go to ->",It's All Grk,Helena's Magic Kitchen,"{'Nik': 2.7596742598164954e-07, 'Helen': 1.690290754067858e-06, 'Helena': 0.9999731063796399, 'Asuka': 2.1683152097719153e-05, 'It': 1.5977390848739797e-06}",Helena,False
6,"You don't like restaurants further away. Between Big Al's Diner and Ardor Bistro, you should go to ->",Ardor Bistro,Big Al's Diner,"{'big': 7.379941737639077e-08, 'ig': 2.4219467306998206e-07, 'BIG': 6.916056546355388e-08, 'Big': 0.9999846721884721}",Big,False
7,"You don't like restaurants further away. Between Daily Press Juicery and Capitol Trattoria Pizzeria, you should go to ->",Daily Press Juicery,Capitol Trattoria Pizzeria,"{'aily': 8.513103442622286e-06, 'The': 1.191855763997995e-06, 'daily': 5.109781060346059e-06, 'Daily': 0.9968828933960876}",Daily,True
8,"You don't like restaurants further away. Between Chick Fiesta and Madras Pantry, you should go to ->",Madras Pantry,Chick Fiesta,"{'ad': 2.942502936063214e-06, 'MAD': 6.925335267426094e-05, 'Mad': 0.9989371190585183, 'nearby': 4.538522678849165e-06}",Mad,True
9,"You don't like restaurants further away. Between Domino's Pizza and Basha Middle Eastern Grill, you should go to ->",Basha Middle Eastern Grill,Domino's Pizza,"{'b': 2.9792956989222764e-10, '': 1.8139009442632188e-08, 'B': 1.0, 'F': 7.781016793748171e-11, 'Bib': 1.1289757852180451e-09}",B,True
10,"You don't like restaurants further away. Between Tierra Azteca and Dangerous Dan's Diner, you should go to ->",Dangerous Dan's Diner,Tierra Azteca,"{'Tier': 0.004545842045390614, 'Deadly': 0.00015197249613060058, 'Dangerous': 0.993848580331538, 'ier': 0.00034799063133616163, 'anger': 0.000665982609251367}",Dangerous,True
11,"You don't like restaurants further away. Between Ciao Europa wine bar and Hapa Toronto, you should go to ->",Hapa Toronto,Ciao Europa wine bar,"{'Brussels': 3.3025428883203e-08, 'C': 0.9999413944673713, '': 1.496174700223223e-07, 'H': 5.837493240034221e-05, 'F': 2.3664140351078862e-08}",C,False
12,"You don't like restaurants further away. Between Mamma's Pizza and Hina Sushi, you should go to ->",Mamma's Pizza,Hina Sushi,"{'Mam': 6.962019274846023e-06, 'H': 0.9999897952890684, '': 2.940473309339074e-06, 'L': 2.5772801848358866e-07, 'nearby': 3.2375042635530254e-08}",H,False
13,"You don't like restaurants further away. Between Topham Corner and Le Papillon Park, you should go to ->",Le Papillon Park,Topham Corner,"{'Le': 6.409431971134724e-07, 'T': 0.9999994539509491, 'P': 6.861402294437374e-09, 'F': 1.6534943508379788e-09, '': 3.586338422375155e-08}",T,False
14,"You don't like restaurants further away. Between Amaya Express and Banjara Indian Cuisine, you should go to ->",Amaya Express,Banjara Indian Cuisine,"{'Ban': 0.14209739161915752, 'Am': 0.8457702655302992, 'Ace': 0.0013542046109406673, 'A': 0.002482314221728299, 'm': 0.005483902480441952}",Am,True
15,"You don't like restaurants further away. Between St. Clair Shawarma and Falafel and Mysteriously Yours Dinner Theatre, you should go to ->",Mysteriously Yours Dinner Theatre,St. Clair Shawarma and Falafel,"{'Myster': 0.9995486616638041, 'myst': 2.1303567734564567e-05, 'St': 9.137460159621315e-05, 'myster': 0.00015871665333324958, 'Fal': 1.900698528090077e-05}",Myster,True
16,"You don't like restaurants further away. Between Goldstone Noodle Restaurant and Hina Sushi, you should go to ->",Goldstone Noodle Restaurant,Hina Sushi,"{'old': 0.004375055821736067, 'Gold': 0.9949210501047963, 'H': 0.00011479667935227381, 'gold': 2.840288026948364e-05, 'Golden': 0.0004981679942369659}",Gold,True
17,"You don't like restaurants further away. Between Aroma Espresso Bar and Tik Talk Cafe, you should go to ->",Tik Talk Cafe,Aroma Espresso Bar,"{'Ace': 8.03698358617888e-09, 'Athlet': 9.905626508982445e-10, 'A': 0.9999992145956385, '': 7.734204627125019e-07, 'Asuka': 1.6205601108835734e-09}",A,False
18,"You don't like restaurants further away. Between Fit For Life and Cake Opera, you should go to ->",Fit For Life,Cake Opera,"{'cake': 0.0005108073728412574, 'Fit': 0.001534549540451105, 'Cafe': 0.0008652812148451331, 'ake': 0.0006460465486783537, 'Cake': 0.9958062434605762}",Cake,False
19,"You don't like restaurants further away. Between Itamae Ayce Sushi and Smoke's Weinerie, you should go to ->",Itamae Ayce Sushi,Smoke's Weinerie,"{'t': 0.0031378023896408824, 'Smoke': 0.046192136546597304, 'Water': 0.0003044477738422443, 'It': 0.9414058291810578, 'smoke': 0.006450370551368886}",It,True
20,"You don't like restaurants further away. Between Lahore Grill & Fast Food and Thompson Rooftop, you should go to ->",Lahore Grill & Fast Food,Thompson Rooftop,"{'Thompson': 0.9688839392506081, 'rooftop': 9.44213145081756e-08, 'R': 0.022798316123079518, 'hompson': 0.008316872468894768, '': 9.799925111389364e-08}",Thompson,False
21,"You don't like restaurants further away. Between Villa Madina and Tian An Cuisine, you should go to ->",Tian An Cuisine,Villa Madina,"{'Tian': 0.9998156314279745, 'Villa': 8.278067587147074e-06, 'T': 1.2648865887144373e-05, 'Chinese': 0.00011796247412101473, 'Asuka': 9.378384855666808e-06}",Tian,True
22,"You don't like restaurants further away. Between El Fogón and EJ Sushi, you should go to ->",El Fogón,EJ Sushi,"{'EL': 4.246068368322614e-05, 'El': 0.6776522894580215, '': 2.693755899589165e-05, 'E': 0.32161985673641574, 'l': 0.0006064610818890818}",El,True
23,"You don't like restaurants further away. Between Mysteriously Yours Dinner Theatre and Magic Oven, you should go to ->",Mysteriously Yours Dinner Theatre,Magic Oven,"{'Myster': 5.181173893472272e-07, 'agic': 4.42053424177011e-06, 'magician': 1.564566284312032e-07, 'magic': 1.945330224615214e-08, 'Magic': 0.9999949221565922}",Magic,False
24,"You don't like restaurants further away. Between Warung Indonesia D'Eglinton and Mövenpick Café, you should go to ->",Warung Indonesia D'Eglinton,Mövenpick Café,"{'ar': 0.00013424232441866356, 'Brussels': 4.46320654939842e-05, 'War': 0.0022797290062220145, 'M': 0.9974236889004615, '': 4.7416324017334917e-05}",M,False
25,"You don't like restaurants further away. Between Cantine Bar & Grill and Hawthorne Food and Drink, you should go to ->",Cantine Bar & Grill,Hawthorne Food and Drink,"{'Garden': 5.716029751300732e-05, 'Cant': 0.9886572120454501, 'cant': 0.0001396147100969564, 'Gor': 9.752020213881304e-05, 'C': 0.010812118398188785}",Cant,True
26,"You don't like restaurants further away. Between Juice & Java Cafe and EJ Sushi, you should go to ->",Juice & Java Cafe,EJ Sushi,"{'juice': 0.00029375719476171827, 'Juice': 0.9147192512713213, '': 0.0001226180890594081, 'E': 0.08473298668106972, 'nearby': 2.262387032526216e-05}",Juice,True
27,"You don't like restaurants further away. Between Bao Bao Plus Dim Sum and Kim PO Vietnamese, you should go to ->",Kim PO Vietnamese,Bao Bao Plus Dim Sum,"{'Nik': 1.5392271887319202e-05, 'im': 0.0010522185911362545, 'B': 0.9552996424371752, 'K': 4.75796738917709e-06, 'Kim': 0.043621156739598745}",B,False
28,"You don't like restaurants further away. Between Anatolia Restaurant and To-ne Sushi, you should go to ->",Anatolia Restaurant,To-ne Sushi,"{'Nik': 0.006230732355760661, 'To': 0.15486466074034297, 'anat': 0.03174018612021986, 'Anat': 0.6796619749953728, 'Asuka': 0.09961941536550745}",Anat,True
