,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for restaurants further away. Between Basil Express Restaurant and Bagel Nash, this person should go to -> Bagel Nash. Someone is looking for restaurants further away. Between Domino's Pizza and Pho 88, this person should go to -> Domino's Pizza. Someone is looking for restaurants further away. Between Smoke's Weinerie and Mysteriously Yours Dinner Theatre, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between The Empire and Top Sushi, this person should go to -> Top Sushi. Someone is looking for restaurants further away. Between Popeyes Louisiana Kitchen and To-ne Sushi, this person should go to -> To-ne Sushi. Someone is looking for restaurants further away. Between Roncy's Bean and Tian An Cuisine, this person should go to -> Roncy's Bean. Someone is looking for restaurants further away. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between Mirage Grill & Lounge and Farmacia Health Bar, this person should go to -> Mirage Grill & Lounge. Someone is looking for restaurants further away. Between Queen Pita and La Cocina De Dona Luz, this person should go to ->",Queen Pita,La Cocina De Dona Luz,"{'a': 0.0017760934811761363, 'Don': 0.0005587584439141943, 'ueen': 0.0037702913475159226, 'La': 0.6380713296037225, 'Queen': 0.3525703860235472}",La,False
1,"Someone is looking for restaurants further away. Between La Cocina De Dona Luz and Queen Pita, this person should go to -> Queen Pita. Someone is looking for restaurants further away. Between Domino's Pizza and Pho 88, this person should go to -> Domino's Pizza. Someone is looking for restaurants further away. Between Smoke's Weinerie and Mysteriously Yours Dinner Theatre, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between The Empire and Top Sushi, this person should go to -> Top Sushi. Someone is looking for restaurants further away. Between Popeyes Louisiana Kitchen and To-ne Sushi, this person should go to -> To-ne Sushi. Someone is looking for restaurants further away. Between Tian An Cuisine and Roncy's Bean, this person should go to -> Roncy's Bean. Someone is looking for restaurants further away. Between Scaddabush Italian Kitchen & Bar and Smoke's Weinerie, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between Farmacia Health Bar and Mirage Grill & Lounge, this person should go to -> Mirage Grill & Lounge. Someone is looking for restaurants further away. Between Basil Express Restaurant and Bagel Nash, this person should go to ->",Bagel Nash,Basil Express Restaurant,"{'as': 0.0019009110646999953, 'Bag': 0.7366727907041118, 'Basil': 0.24901423885394278, 'Mirage': 0.002040696720045184, 'Bas': 0.002119864727748105}",Bag,True
2,"Someone is looking for restaurants further away. Between La Cocina De Dona Luz and Queen Pita, this person should go to -> Queen Pita. Someone is looking for restaurants further away. Between Bagel Nash and Basil Express Restaurant, this person should go to -> Bagel Nash. Someone is looking for restaurants further away. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between Top Sushi and The Empire, this person should go to -> Top Sushi. Someone is looking for restaurants further away. Between To-ne Sushi and Popeyes Louisiana Kitchen, this person should go to -> To-ne Sushi. Someone is looking for restaurants further away. Between Roncy's Bean and Tian An Cuisine, this person should go to -> Roncy's Bean. Someone is looking for restaurants further away. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between Mirage Grill & Lounge and Farmacia Health Bar, this person should go to -> Mirage Grill & Lounge. Someone is looking for restaurants further away. Between Domino's Pizza and Pho 88, this person should go to ->",Domino's Pizza,Pho 88,"{'Ph': 0.6351257170998714, '': 0.0009006714655325418, 'om': 0.0033068572894364248, 'h': 0.0022061631577140707, 'Dom': 0.3532314044971939}",Ph,False
3,"Someone is looking for restaurants further away. Between Queen Pita and La Cocina De Dona Luz, this person should go to -> Queen Pita. Someone is looking for restaurants further away. Between Basil Express Restaurant and Bagel Nash, this person should go to -> Bagel Nash. Someone is looking for restaurants further away. Between Domino's Pizza and Pho 88, this person should go to -> Domino's Pizza. Someone is looking for restaurants further away. Between Top Sushi and The Empire, this person should go to -> Top Sushi. Someone is looking for restaurants further away. Between Popeyes Louisiana Kitchen and To-ne Sushi, this person should go to -> To-ne Sushi. Someone is looking for restaurants further away. Between Roncy's Bean and Tian An Cuisine, this person should go to -> Roncy's Bean. Someone is looking for restaurants further away. Between Mirage Grill & Lounge and Farmacia Health Bar, this person should go to -> Mirage Grill & Lounge. Someone is looking for restaurants further away. Between Fit For Life and Beryl's Pepper Pot, this person should go to -> Beryl's Pepper Pot. Someone is looking for restaurants further away. Between Smoke's Weinerie and Mysteriously Yours Dinner Theatre, this person should go to ->",Smoke's Weinerie,Mysteriously Yours Dinner Theatre,"{'Myster': 0.7042127829383457, 'Smoke': 0.29202078434011747, 'Myst': 0.00037654450896837556, 'myster': 0.0011137695789829865, 'm': 0.0006836475848118244}",Myster,False
4,"Someone is looking for restaurants further away. Between La Cocina De Dona Luz and Queen Pita, this person should go to -> Queen Pita. Someone is looking for restaurants further away. Between Bagel Nash and Basil Express Restaurant, this person should go to -> Bagel Nash. Someone is looking for restaurants further away. Between Domino's Pizza and Pho 88, this person should go to -> Domino's Pizza. Someone is looking for restaurants further away. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between Popeyes Louisiana Kitchen and To-ne Sushi, this person should go to -> To-ne Sushi. Someone is looking for restaurants further away. Between Roncy's Bean and Tian An Cuisine, this person should go to -> Roncy's Bean. Someone is looking for restaurants further away. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between Farmacia Health Bar and Mirage Grill & Lounge, this person should go to -> Mirage Grill & Lounge. Someone is looking for restaurants further away. Between The Empire and Top Sushi, this person should go to ->",Top Sushi,The Empire,"{'The': 0.6115290003749269, 'Mirage': 0.003922690533620561, 'he': 0.002467442721740066, 'Top': 0.3737692315308868, 'op': 0.0015544347566187578}",The,False
5,"Someone is looking for restaurants further away. Between Queen Pita and La Cocina De Dona Luz, this person should go to -> Queen Pita. Someone is looking for restaurants further away. Between Bagel Nash and Basil Express Restaurant, this person should go to -> Bagel Nash. Someone is looking for restaurants further away. Between Pho 88 and Domino's Pizza, this person should go to -> Domino's Pizza. Someone is looking for restaurants further away. Between Smoke's Weinerie and Mysteriously Yours Dinner Theatre, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between The Empire and Top Sushi, this person should go to -> Top Sushi. Someone is looking for restaurants further away. Between Roncy's Bean and Tian An Cuisine, this person should go to -> Roncy's Bean. Someone is looking for restaurants further away. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between Mirage Grill & Lounge and Farmacia Health Bar, this person should go to -> Mirage Grill & Lounge. Someone is looking for restaurants further away. Between Popeyes Louisiana Kitchen and To-ne Sushi, this person should go to ->",To-ne Sushi,Popeyes Louisiana Kitchen,"{'pop': 0.0008378719277577674, 'To': 0.5464150648521177, 'op': 0.0024734211641242827, 'o': 0.0009698040666640995, 'Pop': 0.44736008919319015}",To,True
6,"Someone is looking for restaurants further away. Between Queen Pita and La Cocina De Dona Luz, this person should go to -> Queen Pita. Someone is looking for restaurants further away. Between Basil Express Restaurant and Bagel Nash, this person should go to -> Bagel Nash. Someone is looking for restaurants further away. Between Pho 88 and Domino's Pizza, this person should go to -> Domino's Pizza. Someone is looking for restaurants further away. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between The Empire and Top Sushi, this person should go to -> Top Sushi. Someone is looking for restaurants further away. Between Popeyes Louisiana Kitchen and To-ne Sushi, this person should go to -> To-ne Sushi. Someone is looking for restaurants further away. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between Farmacia Health Bar and Mirage Grill & Lounge, this person should go to -> Mirage Grill & Lounge. Someone is looking for restaurants further away. Between Roncy's Bean and Tian An Cuisine, this person should go to ->",Roncy's Bean,Tian An Cuisine,"{'Tian': 0.8993168674844407, 'Ron': 0.09115579530593257, 'on': 0.0023014719096895366, 'Ronnie': 0.0004368446142057316, 'Mirage': 0.0002965012866723971}",Tian,False
7,"Someone is looking for restaurants further away. Between La Cocina De Dona Luz and Queen Pita, this person should go to -> Queen Pita. Someone is looking for restaurants further away. Between Basil Express Restaurant and Bagel Nash, this person should go to -> Bagel Nash. Someone is looking for restaurants further away. Between Pho 88 and Domino's Pizza, this person should go to -> Domino's Pizza. Someone is looking for restaurants further away. Between Top Sushi and The Empire, this person should go to -> Top Sushi. Someone is looking for restaurants further away. Between To-ne Sushi and Popeyes Louisiana Kitchen, this person should go to -> To-ne Sushi. Someone is looking for restaurants further away. Between Roncy's Bean and Tian An Cuisine, this person should go to -> Roncy's Bean. Someone is looking for restaurants further away. Between Mirage Grill & Lounge and Farmacia Health Bar, this person should go to -> Mirage Grill & Lounge. Someone is looking for restaurants further away. Between Fit For Life and Beryl's Pepper Pot, this person should go to -> Beryl's Pepper Pot. Someone is looking for restaurants further away. Between Scaddabush Italian Kitchen & Bar and Smoke's Weinerie, this person should go to ->",Smoke's Weinerie,Scaddabush Italian Kitchen & Bar,"{'Sc': 0.6220989221885231, 'Sm': 0.0068429318920405265, 'Smoke': 0.36089919423152145, 'c': 0.0032817689104193584, 'm': 0.0020877027086784353}",Sc,False
8,"Someone is looking for restaurants further away. Between La Cocina De Dona Luz and Queen Pita, this person should go to -> Queen Pita. Someone is looking for restaurants further away. Between Basil Express Restaurant and Bagel Nash, this person should go to -> Bagel Nash. Someone is looking for restaurants further away. Between Domino's Pizza and Pho 88, this person should go to -> Domino's Pizza. Someone is looking for restaurants further away. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between Top Sushi and The Empire, this person should go to -> Top Sushi. Someone is looking for restaurants further away. Between To-ne Sushi and Popeyes Louisiana Kitchen, this person should go to -> To-ne Sushi. Someone is looking for restaurants further away. Between Roncy's Bean and Tian An Cuisine, this person should go to -> Roncy's Bean. Someone is looking for restaurants further away. Between Scaddabush Italian Kitchen & Bar and Smoke's Weinerie, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between Mirage Grill & Lounge and Farmacia Health Bar, this person should go to ->",Mirage Grill & Lounge,Farmacia Health Bar,"{'Mirage': 0.630589854907572, 'Farm': 0.3580289249125978, 'arm': 0.0037833765533315925, 'Mir': 0.0010949468014987873, '': 0.0009211604721724212}",Mirage,True
9,"Someone is looking for restaurants further away. Between La Cocina De Dona Luz and Queen Pita, this person should go to -> Queen Pita. Someone is looking for restaurants further away. Between Bagel Nash and Basil Express Restaurant, this person should go to -> Bagel Nash. Someone is looking for restaurants further away. Between Pho 88 and Domino's Pizza, this person should go to -> Domino's Pizza. Someone is looking for restaurants further away. Between Smoke's Weinerie and Mysteriously Yours Dinner Theatre, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between Top Sushi and The Empire, this person should go to -> Top Sushi. Someone is looking for restaurants further away. Between To-ne Sushi and Popeyes Louisiana Kitchen, this person should go to -> To-ne Sushi. Someone is looking for restaurants further away. Between Tian An Cuisine and Roncy's Bean, this person should go to -> Roncy's Bean. Someone is looking for restaurants further away. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between Beryl's Pepper Pot and Fit For Life, this person should go to ->",Beryl's Pepper Pot,Fit For Life,"{'': 0.0005168153003467579, 'Fit': 0.5570492961548525, 'it': 0.004672042204498046, 'B': 0.43447431063268066, 'fit': 0.0009252523933454278}",Fit,False
10,"Someone is looking for restaurants further away. Between La Cocina De Dona Luz and Queen Pita, this person should go to -> Queen Pita. Someone is looking for restaurants further away. Between Bagel Nash and Basil Express Restaurant, this person should go to -> Bagel Nash. Someone is looking for restaurants further away. Between Domino's Pizza and Pho 88, this person should go to -> Domino's Pizza. Someone is looking for restaurants further away. Between Smoke's Weinerie and Mysteriously Yours Dinner Theatre, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between Top Sushi and The Empire, this person should go to -> Top Sushi. Someone is looking for restaurants further away. Between To-ne Sushi and Popeyes Louisiana Kitchen, this person should go to -> To-ne Sushi. Someone is looking for restaurants further away. Between Roncy's Bean and Tian An Cuisine, this person should go to -> Roncy's Bean. Someone is looking for restaurants further away. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between Freshii and JJ Bean, this person should go to ->",Freshii,JJ Bean,"{'Fresh': 0.6466493592483369, 'J': 0.0023575005739491497, 'resh': 0.007984940091286299, 'JJ': 0.3378431650203682, 'fresh': 0.0010675570197524258}",Fresh,True
11,"Someone is looking for restaurants further away. Between La Cocina De Dona Luz and Queen Pita, this person should go to -> Queen Pita. Someone is looking for restaurants further away. Between Basil Express Restaurant and Bagel Nash, this person should go to -> Bagel Nash. Someone is looking for restaurants further away. Between Pho 88 and Domino's Pizza, this person should go to -> Domino's Pizza. Someone is looking for restaurants further away. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between The Empire and Top Sushi, this person should go to -> Top Sushi. Someone is looking for restaurants further away. Between Popeyes Louisiana Kitchen and To-ne Sushi, this person should go to -> To-ne Sushi. Someone is looking for restaurants further away. Between Roncy's Bean and Tian An Cuisine, this person should go to -> Roncy's Bean. Someone is looking for restaurants further away. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between Sushi World and Madras Pantry, this person should go to ->",Sushi World,Madras Pantry,"{'S': 0.5068470993836671, 'Mad': 0.4779959592396249, 'ad': 0.004934193716959836, '': 0.0018342644913112286, 'Smoke': 0.0006757975560981236}",S,True
12,"Someone is looking for restaurants further away. Between La Cocina De Dona Luz and Queen Pita, this person should go to -> Queen Pita. Someone is looking for restaurants further away. Between Basil Express Restaurant and Bagel Nash, this person should go to -> Bagel Nash. Someone is looking for restaurants further away. Between Domino's Pizza and Pho 88, this person should go to -> Domino's Pizza. Someone is looking for restaurants further away. Between Mysteriously Yours Dinner Theatre and Smoke's Weinerie, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between The Empire and Top Sushi, this person should go to -> Top Sushi. Someone is looking for restaurants further away. Between To-ne Sushi and Popeyes Louisiana Kitchen, this person should go to -> To-ne Sushi. Someone is looking for restaurants further away. Between Smoke's Weinerie and Scaddabush Italian Kitchen & Bar, this person should go to -> Smoke's Weinerie. Someone is looking for restaurants further away. Between Farmacia Health Bar and Mirage Grill & Lounge, this person should go to -> Mirage Grill & Lounge. Someone is looking for restaurants further away. Between Tian An Cuisine and Sizzlers, this person should go to ->",Sizzlers,Tian An Cuisine,"{'': 0.0004748597788174706, 'Tian': 0.651919559282784, 'S': 0.3415601092796569}",Tian,False
