,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Between LCBO and Basil Express Restaurant, the restaurant at a smaller distance is ->",Basil Express Restaurant,LCBO,"{'LC': 0.9198000219614335, 'Basil': 0.005207824879131443, 'L': 0.041879886630147516, 'C': 0.027288557605026735, 'nearby': 0.001965378561604377}",LC,False
1,"Between Watson's and Topham Corner, the restaurant at a smaller distance is ->",Watson's,Topham Corner,"{'Watson': 0.03629863288466586, 'T': 0.963697654477416, 'F': 1.1178984714629844e-06, 'Water': 4.231961727667683e-07, 'nearby': 3.7248465299088916e-07}",T,False
2,"Between Domino's Pizza and Just Soups Take Out & Catering, the restaurant at a smaller distance is ->",Just Soups Take Out & Catering,Domino's Pizza,"{'Just': 0.9564005407467688, 'JUST': 0.0013380579597707428, 'Yes': 0.0036472114123438765, 'ust': 0.011018215733798528, 'Dom': 0.023214453467533896}",Just,True
3,"Between Bonne Journee and Juice & Java Cafe, the restaurant at a smaller distance is ->",Juice & Java Cafe,Bonne Journee,"{'nearest': 0.023893741888540404, 'on': 0.04211024157769049, 'Juice': 0.20540190642641654, 'nearby': 0.02708714548436121, 'Bon': 0.6569013526134815}",Bon,False
4,"Between Mirage Grill & Lounge and Pho 88, the restaurant at a smaller distance is ->",Pho 88,Mirage Grill & Lounge,"{'nearest': 0.0001345062354195927, 'ir': 0.000241982777910276, 'Mirage': 0.9990531069863875, 'nearby': 0.00016751025243586377, 'restaurant': 0.00012689164812850452}",Mirage,False
5,"Between Joe Badali's Ristorante Italiano & Bar and Fit For Life, the restaurant at a smaller distance is ->",Fit For Life,Joe Badali's Ristorante Italiano & Bar,"{'nearest': 0.00017550219640648503, 'oe': 0.017131849568491894, 'jo': 0.00018342136700381015, 'Joe': 0.9820662466068005, 'nearby': 7.569124939813526e-05}",Joe,False
6,"Between Phil's Original BBQ and Popeyes Louisiana Kitchen, the restaurant at a smaller distance is ->",Popeyes Louisiana Kitchen,Phil's Original BBQ,"{'hil': 0.0009143418875969431, 'P': 0.00022965646409372375, 'Phil': 0.02195423542974563, 'nearby': 0.000518876998498166, 'Pop': 0.9757910408313994}",Pop,True
7,"Between Cantine Bar & Grill and Carole's Cheesecake Cafe, the restaurant at a smaller distance is ->",Cantine Bar & Grill,Carole's Cheesecake Cafe,"{'Cant': 0.005167599560124231, 'Car': 0.992796619612834, 'Cafe': 0.0001959431483985757, 'C': 0.00018427340619194847, 'nearby': 0.0011127175638862695}",Car,False
8,"Between Assembly Chef's Hall and Anatolia Restaurant, the restaurant at a smaller distance is ->",Anatolia Restaurant,Assembly Chef's Hall,"{'Assembly': 0.8399151366886768, 'assembly': 0.0012148410910530919, 'anat': 0.0011798542088025145, 'Anat': 0.1503170272825742, 'ssembly': 0.0022100171572965715}",Assembly,False
9,"Between Cafe Jules and Pisco 1641, the restaurant at a smaller distance is ->",Pisco 1641,Cafe Jules,"{'Starbucks': 1.005023318724059e-08, 'cafe': 3.705257796193327e-09, 'Cafe': 0.99999813984753, 'P': 1.8028424494627744e-06, 'Café': 4.479165442656569e-08}",Cafe,False
