,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone is looking for a small city to visit. Between Guadalajara and Kansas City, this person should visit ->",Kansas City,Guadalajara,"{'small': 5.9753786307333605e-05, 'Gu': 0.9925460425680714, 'Wichita': 0.0034230339543912885, 'K': 4.25234444504433e-05, 'Kansas': 0.003837537477472106}",Gu,False
1,"Someone is looking for a small city to visit. Between Guadalajara and Dodoma, this person should visit ->",Dodoma,Guadalajara,"{'small': 0.0001011541466635494, 'Dod': 0.9983441098015252, 'dod': 0.00014501780934744643, 'D': 0.00022392419019976926, 'Lod': 0.0008959741462834586}",Dod,True
2,"Someone is looking for a small city to visit. Between Toronto and Minneapolis, this person should visit ->",Minneapolis,Toronto,"{'Min': 0.0004277969033021795, 'Minneapolis': 0.9828401534435847, 'Winnipeg': 0.009124918600924493, 'M': 0.00558946334000886, 'Minnesota': 0.0011680255731448428}",Minneapolis,True
3,"Someone is looking for a small city to visit. Between Bangkok and Garissa, this person should visit ->",Garissa,Bangkok,"{'small': 0.00016937590892463495, 'ar': 0.0034355106620672393, 'G': 0.0005619880340630572, 'gar': 1.8101187755403796e-05, 'Gar': 0.9956769616485126}",Gar,True
4,"Someone is looking for a small city to visit. Between Mumbai and Mahajanga, this person should visit ->",Mahajanga,Mumbai,"{'Tam': 0.00016442138577710787, 'small': 0.0004115981700322707, 'M': 0.04835597435403429, 'ah': 0.0029181891768083374, 'Mah': 0.9472432092681172}",Mah,True
5,"Someone is looking for a small city to visit. Between Shanghai and Cape Town, this person should visit ->",Cape Town,Shanghai,"{'small': 0.00031759581678814417, 'Cape': 0.9989222170257308, 'C': 0.0003825406254541329, 'cape': 4.847036391931191e-05, 'Cap': 5.753678934842209e-05}",Cape,True
6,"Someone is looking for a small city to visit. Between Bogotá and Douala, this person should visit ->",Douala,Bogotá,"{'Dak': 0.00011460833787544644, 'D': 0.0014674241414002424, 'ou': 0.0008322702085313274, 'Ou': 0.0007624428523722135, 'Dou': 0.9959610400283562}",Dou,True
7,"Someone is looking for a small city to visit. Between Brasília and Campos do Jordão, this person should visit ->",Campos do Jordão,Brasília,"{'small': 0.00026482031991669955, 'Jos': 0.0008616391452056153, 'Jord': 0.026406502297732237, 'Camp': 0.9714843348487493, 'Jordan': 0.00013129353713393354}",Camp,True
8,"Someone is looking for a small city to visit. Between Hanoi and Asmara, this person should visit ->",Asmara,Hanoi,"{'As': 0.9999788282591244, 'small': 1.712842991255915e-06, 's': 5.589403935375033e-07, 'Ass': 1.4943068666306364e-05, 'Ash': 3.093566269590612e-06}",As,True
9,"Someone is looking for a small city to visit. Between Moscow and Napier, this person should visit ->",Napier,Moscow,"{'small': 0.0003372813869155245, 'Nap': 0.9917531989817583, 'N': 0.0028197687526525235, 'ap': 0.00263150856073194, 'New': 0.0013706201189281426}",Nap,True
10,"Someone is looking for a small city to visit. Between Denver and Upington, this person should visit ->",Upington,Denver,"{'UP': 1.8626150943197537e-05, 'Up': 0.9994833941867585, 'O': 0.00012131719452489548, 'p': 0.00021515583035992716, 'Down': 7.603886247626974e-05}",Up,True
11,"Someone is looking for a small city to visit. Between Chicago and Murmansk, this person should visit ->",Murmansk,Chicago,"{'Pir': 0.0003779894397138069, 'small': 0.0007226944783584611, 'ur': 0.002115701167813834, 'M': 0.0010100406514283254, 'Mur': 0.9953632575353583}",Mur,True
12,"Someone is looking for a small city to visit. Between Alexandria and Garoua, this person should visit ->",Garoua,Alexandria,"{'small': 0.0007198620223094185, 'ar': 0.003403259942853385, 'G': 0.000639452638430461, 'Gar': 0.993696944421735, 'Ash': 0.00018497090787157814}",Gar,True
13,"Someone is looking for a small city to visit. Between Guangzhou and San José, this person should visit ->",San José,Guangzhou,"{'Sant': 1.537615209590706e-07, 'small': 1.2463442308603094e-07, 'an': 4.166084604485076e-07, 'Gu': 1.5233877701965867e-07, 'San': 0.9999983792026135}",San,True
14,"Someone is looking for a small city to visit. Between Los Angeles and Palermo, this person should visit ->",Palermo,Los Angeles,"{'Pir': 0.0005493004491164871, 'al': 0.002774944588753111, 'small': 0.0005785775307496023, 'Pal': 0.9952638375562723, 'PAL': 0.00015415653665847847}",Pal,True
15,"Someone is looking for a small city to visit. Between Denver and Bergen, this person should visit ->",Bergen,Denver,"{'small': 0.0003511451103964419, 'Berg': 0.00010252560353427412, 'er': 7.150916032764258e-05, 'B': 0.0014519376562039314, 'Ber': 0.9976885719733324}",Ber,True
16,"Someone is looking for a small city to visit. Between Lahore and Asmara, this person should visit ->",Asmara,Lahore,"{'As': 0.9999791849356364, 'small': 1.5151804760383052e-06, 's': 6.62935590531089e-07, 'Ass': 1.536233228961091e-05, 'Ash': 2.937387432733003e-06}",As,True
17,"Someone is looking for a small city to visit. Between Monterrey and Kathmandu, this person should visit ->",Kathmandu,Monterrey,"{'small': 0.0004704107541160113, 'Kath': 0.33015144683323516, 'Mon': 0.6668593665833542, 'K': 0.0004316836627965464, 'Kh': 0.000637401374223795}",Mon,False
18,"Someone is looking for a small city to visit. Between Guangzhou and Tampa, this person should visit ->",Tampa,Guangzhou,"{'Tampa': 0.9949062677771433, 'Tall': 0.0003065407066961422, 'T': 0.0034595097178370506, 'Buccaneers': 0.00029840915792751126, 'St': 0.00034146683477314293}",Tampa,True
19,"Someone is looking for a small city to visit. Between Buenos Aires and Yakutsk, this person should visit ->",Yakutsk,Buenos Aires,"{'small': 7.526886410281633e-05, 'Kum': 2.7487450579811753e-05, 'Yak': 0.9990967991316727, 'yak': 0.00024978450295686574, 'Ash': 0.00036311008689252457}",Yak,True
20,"Someone is looking for a small city to visit. Between Lima and Baltimore, this person should visit ->",Baltimore,Lima,"{'Baltimore': 0.9826255766715505, 'Living': 0.001150625697252418, 'Orioles': 0.0014625739734509394, 'altimore': 0.005697466366870436, 'Balt': 0.0014756668347454675}",Baltimore,True
21,"Someone is looking for a small city to visit. Between Lima and Irkutsk, this person should visit ->",Irkutsk,Lima,"{'small': 0.00032041324649735185, 'r': 0.0009283711119502595, 'Vil': 7.632133796423398e-05, 'Ver': 7.343176134987463e-05, 'Ir': 0.9978402089124775}",Ir,True
22,"Someone is looking for a small city to visit. Between Beijing and Pretoria, this person should visit ->",Pretoria,Beijing,"{'Bl': 3.663989074548463e-05, 'small': 2.725640550703493e-05, 'T': 0.0002657658234233088, 'Pret': 0.9994720705438211, 'ret': 3.779423425158234e-05}",Pret,True
23,"Someone is looking for a small city to visit. Between Guadalajara and Honolulu, this person should visit ->",Honolulu,Guadalajara,"{'small': 3.855337165159947e-05, 'Gu': 0.998810575926219, 'G': 8.737607973539636e-05, 'Honolulu': 0.00014185331886205552, 'Hon': 0.0008087186309340095}",Gu,False
24,"Someone is looking for a small city to visit. Between Moscow and Gabès, this person should visit ->",Gabès,Moscow,"{'Gab': 0.9860378802638142, 'small': 0.000807200071780162, 'G': 0.005465361561897475, 'Libre': 0.0043702345436460776, 'ab': 0.0022573471107370483}",Gab,True
25,"Someone is looking for a small city to visit. Between Beijing and Tabora, this person should visit ->",Tabora,Beijing,"{'Tam': 3.628715554601245e-08, 'small': 8.673286146504946e-08, 'T': 0.9999996923682474, 'B': 5.3778826861559634e-08, '': 8.512568717235575e-08}",T,True
26,"Someone is looking for a small city to visit. Between Minneapolis and Tabora, this person should visit ->",Tabora,Minneapolis,"{'Tam': 9.608659699997325e-08, 'small': 1.8427898588759638e-07, 'T': 0.9999992145956385, 'B': 9.961779735654389e-08, 'W': 1.5387103814548523e-07}",T,True
27,"Someone is looking for a small city to visit. Between Mexico City and Palembang, this person should visit ->",Palembang,Mexico City,"{'Pir': 0.00039098084067917967, 'al': 0.0028333826455320486, 'small': 0.0015207464182782492, 'Pal': 0.9931751055038329, 'B': 0.0005776063365295131}",Pal,True
28,"Someone is looking for a small city to visit. Between Paris and Palermo, this person should visit ->",Palermo,Paris,"{'Pir': 0.0009321157087178137, 'al': 0.0033563993554650653, 'small': 0.00045127213359593256, 'Pal': 0.9945914337475006, 'PAL': 0.0001599009495089051}",Pal,True
29,"Someone is looking for a small city to visit. Between Riyadh and Kano, this person should visit ->",Kano,Riyadh,"{'small': 1.6619450793281012e-07, 'M': 3.610552269743067e-08, 'W': 8.259026669376419e-08, 'N': 1.886506396257181e-07, 'K': 0.9999994539509491}",K,True
30,"Someone is looking for a small city to visit. Between Luanda and Guadalajara, this person should visit ->",Guadalajara,Luanda,"{'small': 4.6003461835842005e-06, 'Gu': 0.999496032234437, 'u': 6.070594603180785e-06, 'G': 4.749736096940498e-06, 'Lu': 0.00048053076718565594}",Gu,True
31,"Someone is looking for a small city to visit. Between Lagos and Lake Havasu City, this person should visit ->",Lake Havasu City,Lagos,"{'small': 0.004980714123166068, 'Lag': 0.009604706886397868, 'Hav': 0.035669881561933015, 'ake': 0.005240326884797273, 'Lake': 0.940223913719573}",Lake,True
