,prompt,answer,candidate,predictions,top_prediction,predicts_answer_before_candidate
0,"Someone doesn't like hot weather. Between Bamako and Dublin, this person should visit ->",Dublin,Bamako,"{'Dublin': 0.9973798779273919, 'D': 0.00033842569576610884, 'ub': 0.0009221229425199328, 'Dun': 0.0003478059669233193, 'Ireland': 0.0007145450582153486}",Dublin,True
1,"Someone doesn't like hot weather. Between Willemstad and Baltimore, this person should visit ->",Baltimore,Willemstad,"{'Baltimore': 0.9923590036759291, 'Charm': 0.00022430282988492002, 'altimore': 0.002383252804111165, 'Wil': 0.002802551574932396, 'Balt': 0.0019247378544926402}",Baltimore,True
2,"Someone doesn't like hot weather. Between Willemstad and Tirana, this person should visit ->",Tirana,Willemstad,"{'T': 0.01394041644489798, 'Vil': 0.0023987848076559124, 'W': 0.0006225214328107783, 'Tir': 0.9788439005693237, 'Wil': 0.0025539323744788703}",Tir,True
3,"Someone doesn't like hot weather. Between Toamasina and Indianapolis, this person should visit ->",Indianapolis,Toamasina,"{'Indiana': 0.032024107514095144, 'To': 0.7476006006226265, 'Indianapolis': 0.21095692779862224, 'Indy': 0.0032248375567597138, 'Mon': 0.0011330348934660945}",To,False
4,"Someone doesn't like hot weather. Between Pontianak and Zagreb, this person should visit ->",Zagreb,Pontianak,"{'Z': 0.9898758913348897, 'Pont': 0.009846869417006953, 'R': 4.175167448694315e-05, 'ont': 3.088910577937703e-05, '': 4.8849617968871136e-05}",Z,True
5,"Someone doesn't like hot weather. Between Hat Yai and Skopje, this person should visit ->",Skopje,Hat Yai,"{'Hat': 0.6085103729168578, 'k': 0.0010885425364609074, 'Sk': 0.38831030649032344, 'at': 0.0007729748851563077, 'Ash': 0.0005297491316429166}",Hat,False
6,"Someone doesn't like hot weather. Between Lomé and Lhasa, this person should visit ->",Lhasa,Lomé,"{'Tibet': 0.0007052414017023642, 'S': 1.430522074877002e-05, 'Tibetan': 3.266226898279373e-05, 'L': 0.9990689036394726, '': 4.187326506336377e-05}",L,False
7,"Someone doesn't like hot weather. Between Muscat and Punta Arenas, this person should visit ->",Punta Arenas,Muscat,"{'T': 5.622968070718796e-07, 'P': 0.9999932532447594, 'colder': 5.431376771887918e-07, 'O': 9.026273939226928e-07, '': 1.1155935085578823e-06}",P,True
8,"Someone doesn't like hot weather. Between Garissa and Podgorica, this person should visit ->",Podgorica,Garissa,"{'Pir': 0.00011040998327434687, 'Pod': 0.9939120567839859, 'pod': 0.00010444823167246843, 'od': 0.004414670851619226, 'Gar': 0.001177460003446087}",Pod,True
9,"Someone doesn't like hot weather. Between Kathmandu and Suwałki, this person should visit ->",Suwałki,Kathmandu,"{'SU': 9.501497948540413e-05, 'Su': 0.9995808480887168, 'Warsaw': 1.4250023530326438e-05, 'u': 0.000210132977806676, 'Ark': 4.7851360876476705e-05}",Su,True
10,"Someone doesn't like hot weather. Between Ouahigouya and Saint Petersburg, this person should visit ->",Saint Petersburg,Ouahigouya,"{'Ou': 0.9658103491265835, 'O': 0.0043643718766971365, 'St': 0.003802237765184487, 'Ark': 0.00034263442346190885, 'Saint': 0.024741066614312038}",Ou,False
11,"Someone doesn't like hot weather. Between Hamilton and Erzurum, this person should visit ->",Erzurum,Hamilton,"{'Hamilton': 0.9756070415553585, 'Edmonton': 2.615675961420804e-06, 'amilton': 8.389891245205358e-06, 'Er': 0.02436953968782554, 'r': 5.304325172115348e-06}",Hamilton,False
12,"Someone doesn't like hot weather. Between Douala and Skopje, this person should visit ->",Skopje,Douala,"{'Pir': 6.952556717643458e-05, 'k': 0.0019613752374931875, 'Mon': 0.00012865501992271464, 'Sk': 0.9965085722580058, 'Sof': 0.001024683596896209}",Sk,True
13,"Someone doesn't like hot weather. Between Antofagasta and Minsk, this person should visit ->",Minsk,Antofagasta,"{'nt': 4.005108046120425e-06, 'Mon': 2.8910089474566654e-06, 'M': 0.03582061547704931, 'Ant': 0.9641711583270076, 'Ark': 3.0441665447146993e-07}",Ant,False
14,"Someone doesn't like hot weather. Between Malabo and Sacramento, this person should visit ->",Sacramento,Malabo,"{'Sacrament': 0.0006864546463353766, 'Sacramento': 0.5494552203982628, 'Med': 0.00048681684203835836, 'San': 0.0006750694388583528, 'Mal': 0.4451966875376718}",Sacramento,True
15,"Someone doesn't like hot weather. Between Lusaka and Murmansk, this person should visit ->",Murmansk,Lusaka,"{'ur': 0.0005380999146944218, 'Mon': 1.6306807374360678e-06, 'mur': 2.046501107185354e-06, 'Mur': 0.9994517427979352, 'Ark': 1.567199953479361e-06}",Mur,True
16,"Someone doesn't like hot weather. Between Sydney and Fairbanks, this person should visit ->",Fairbanks,Sydney,"{'Cold': 2.2712752660751397e-05, 'air': 0.004039941771936299, 'Fair': 0.995653654816279, 'Ash': 3.309865204918706e-05, 'Ark': 5.332117639367598e-05}",Fair,True
17,"Someone doesn't like hot weather. Between Tampa and Anchorage, this person should visit ->",Anchorage,Tampa,"{'Alaska': 0.0019958684701152445, 'N': 0.0002756372137003254, 'Anchorage': 0.9942157445955676, 'Ash': 0.0024121760827096332, 'Ark': 0.0003725477278112677}",Anchorage,True
18,"Someone doesn't like hot weather. Between Port Sudan and Ulaanbaatar, this person should visit ->",Ulaanbaatar,Port Sudan,"{'Tall': 0.003466344494848103, 'B': 0.0037444321587927504, 'O': 0.0031967295737054613, 'U': 0.9613558357619435, 'Ark': 0.011550636907825595}",U,True
19,"Someone doesn't like hot weather. Between Toamasina and Chicago, this person should visit ->",Chicago,Toamasina,"{'To': 0.964560202724569, 'o': 0.0005561894969098141, 'Chicago': 0.0319432623966785, 'Illinois': 0.0007992026618438729, 'Com': 0.00033610884735512834}",To,False
20,"Someone doesn't like hot weather. Between Florianópolis and Fairbanks, this person should visit ->",Fairbanks,Florianópolis,"{'Cold': 1.8645233890564917e-05, 'lor': 1.4823674898142464e-05, 'air': 0.0012457971161560187, 'Flor': 0.00208431919965258, 'Fair': 0.9965695484900129}",Fair,True
21,"Someone doesn't like hot weather. Between Djibouti and Pittsburgh, this person should visit ->",Pittsburgh,Djibouti,"{'Pitt': 0.005278605109359983, 'Pittsburgh': 0.9929686365277169, 'Mon': 0.00015478058880311697, 'Penguins': 0.0005709508665980552, 'itt': 0.0006427296970168653}",Pittsburgh,True
22,"Someone doesn't like hot weather. Between Abéché and Kabul, this person should visit ->",Kabul,Abéché,"{'Ab': 0.788650217705801, 'Mon': 0.004060755252034382, 'Kabul': 0.18649590448599587, 'b': 0.005808092937221166, 'Ash': 0.0026359516623763865}",Ab,False
23,"Someone doesn't like hot weather. Between Antsiranana and Murmansk, this person should visit ->",Murmansk,Antsiranana,"{'ur': 0.0003000681327280316, 'Mon': 1.2883026257499457e-06, 'Ant': 6.855295813040451e-05, 'mur': 1.8552854357918295e-06, 'Mur': 0.9996256124005344}",Mur,True
24,"Someone doesn't like hot weather. Between La Ceiba and Albuquerque, this person should visit ->",Albuquerque,La Ceiba,"{'Mon': 3.7226897756321945e-05, 'colder': 3.173790024202496e-05, 'Albuquerque': 0.9333249440921915, 'La': 0.06572084028900682, 'New': 0.0004825249155851548}",Albuquerque,True
25,"Someone doesn't like hot weather. Between Fukuoka and Saskatoon, this person should visit ->",Saskatoon,Fukuoka,"{'Edmonton': 2.5132241857044977e-05, 'Winnipeg': 0.00010782295300820996, 'Sask': 0.9925663661489111, 'S': 3.0247563959157253e-06, 'Saskatchewan': 0.007289185992739585}",Sask,True
26,"Someone doesn't like hot weather. Between San Antonio and Murmansk, this person should visit ->",Murmansk,San Antonio,"{'ur': 0.0005339823884386036, 'Mon': 3.584835394606042e-06, 'San': 6.685390063817808e-06, 'mur': 3.555808835690177e-06, 'Mur': 0.9994441148214475}",Mur,True
27,"Someone doesn't like hot weather. Between Bangui and Oslo, this person should visit ->",Oslo,Bangui,"{'Norway': 2.701311686803934e-05, 's': 0.0006333210983874873, 'B': 1.8112069838983353e-05, 'Oslo': 0.9903368165276174, 'O': 0.008881245258469417}",Oslo,True
28,"Someone doesn't like hot weather. Between Ouahigouya and Vladivostok, this person should visit ->",Vladivostok,Ouahigouya,"{'Vlad': 0.9999679805526335, 'Vladimir': 1.5105449276594182e-05, 'Vit': 3.4669164160107857e-06, 'Vil': 6.04685710906611e-07, 'Ark': 4.586905244334675e-06}",Vlad,True
29,"Someone doesn't like hot weather. Between Honolulu and Toronto, this person should visit ->",Toronto,Honolulu,"{'Hamilton': 0.003534911554111258, 'Edmonton': 0.0003938330773438848, 'Winnipeg': 0.00042953445438580196, 'oronto': 0.010600091985758748, 'Toronto': 0.9840509547382614}",Toronto,True
30,"Someone doesn't like hot weather. Between Ho Chi Minh City and Punta Arenas, this person should visit ->",Punta Arenas,Ho Chi Minh City,"{'P': 0.9999695264693275, 'R': 1.981562268260363e-06, 'colder': 2.1879533379067065e-06, 'O': 5.214720845974362e-06, '': 2.871446925528175e-06}",P,True
31,"Someone doesn't like hot weather. Between Mombasa and Zagreb, this person should visit ->",Zagreb,Mombasa,"{'Z': 0.991619505778051, 'Split': 9.078324516376691e-07, 'M': 0.008354725266507153, 'R': 6.8951451186546945e-06, '': 9.89338703778892e-06}",Z,True
32,"Someone doesn't like hot weather. Between Makurdi and Bucharest, this person should visit ->",Bucharest,Makurdi,"{'Mak': 0.05116626760009947, 'Romania': 0.0004345506714153826, 'Buch': 0.9457237193619571, 'M': 0.0006089567566002855, 'Budapest': 0.0005908301358855733}",Buch,True
33,"Someone doesn't like hot weather. Between Caracas and Amsterdam, this person should visit ->",Amsterdam,Caracas,"{'Holland': 0.0007062711705167307, 'Am': 0.0008364420639564511, 'Amsterdam': 0.9938433324273499, 'Ant': 0.0011589231777959436, 'm': 0.0005516654854509711}",Amsterdam,True
34,"Someone doesn't like hot weather. Between Hat Yai and Ushuaia, this person should visit ->",Ushuaia,Hat Yai,"{'Ant': 1.4359554765685085e-05, 'U': 0.9999286408961819, '': 9.783179739710843e-06, 'Ash': 8.7344638130513e-06, 'Ark': 5.9508291212829504e-06}",U,True
35,"Someone doesn't like hot weather. Between Florianópolis and Ulaanbaatar, this person should visit ->",Ulaanbaatar,Florianópolis,"{'Tall': 0.00029354312380508126, 'lor': 0.03001532483244181, 'Flor': 0.9483577068467199, 'U': 0.020389008955815167, 'Ark': 0.00039422923623555055}",Flor,False
36,"Someone doesn't like hot weather. Between Hamilton and Zürich, this person should visit ->",Zürich,Hamilton,"{'Hamilton': 0.6304077920685667, 'Z': 0.36663367140138414, 'Switzerland': 7.196907824613773e-05, 'Zurich': 0.002670702854035687, 'amilton': 0.00010020895520536808}",Hamilton,False
37,"Someone doesn't like hot weather. Between Makassar and Zagreb, this person should visit ->",Zagreb,Makassar,"{'Z': 0.9998722542301858, 'Mak': 2.544510936089792e-05, 'Split': 8.037479652295073e-06, 'R': 2.1282487638876433e-05, '': 2.1384290378037354e-05}",Z,True
38,"Someone doesn't like hot weather. Between Port-Gentil and Frankfurt, this person should visit ->",Frankfurt,Port-Gentil,"{'Frankfurt': 0.8513520212056167, 'D': 0.00030424842584397414, 'G': 0.00035578309375791005, 'Port': 0.14636376718380556, 'St': 0.0003023147091207119}",Frankfurt,True
39,"Someone doesn't like hot weather. Between Juba and Bratislava, this person should visit ->",Bratislava,Juba,"{'Br': 0.9999803788734968, 'Slov': 9.001646976330282e-06, 'B': 2.1857621066523165e-06, 'Slovakia': 3.32992092666534e-06, 'r': 3.1139018624428163e-06}",Br,True
40,"Someone doesn't like hot weather. Between Mahajanga and Bucharest, this person should visit ->",Bucharest,Mahajanga,"{'Br': 0.0003163380935602526, 'Romania': 0.0003008351853969932, 'Buch': 0.9917639868358525, 'Budapest': 0.0003268320916945456, 'Mah': 0.006462655354858589}",Buch,True
41,"Someone doesn't like hot weather. Between Bangkok and Moscow, this person should visit ->",Moscow,Bangkok,"{'Madrid': 0.0013494213608619867, 'Sochi': 0.15164394092217698, 'Helsinki': 0.006133706883324928, 'oscow': 0.004731302710101965, 'Moscow': 0.8279473281216037}",Moscow,True
